WATERSHED,SAMPLE_DATE,SITE_NAME,SITE_TYPE,MEDIUM,PARAM_TYPE,PARAMETER,RESULT,UNIT,FILTER,SAMPLE_ID,SAMPLE_SITE_NO,METHOD,QC_FLAG,PROJECT,Location,DATA_REF_NO,LAT_DD_WGS84,LON_DD_WGS84,SAMPLE_REF_NO,TIME_NULL,QC_TYPE
South Brushy Creek,06/20/2013 10:18:00 AM,ISMP Brushy Creek 87,Non-spatial or Protected Location,Habitat,Habitat Evaluation,ISMP HABITAT TYPE (1=Wooded;2=Open;3=Edge;4=Incompatible),2,None,Total,6014--Groundcover,6014,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2047375,,,432614,false,
Little Walnut Creek,05/25/2004 01:00:00 PM,Little Walnut Creek Upstream of Mearns Meadow,Stream,Benthic Macroinvertebrate,Calculated Metrics,PERCENT OF TRICHOPTERA AS HYDROPSYCHIDAE,0,(%) Percent,Total,LWT-S3,3537,TCEQ RWA PROTOCOL,U,PAH Biological Effects Study,"(30.36889899, -97.7028113)",1094473,30.36889899,-97.7028113,258943,false,
South Brushy Creek,06/20/2013 10:18:00 AM,ISMP Brushy Creek 87,Non-spatial or Protected Location,Habitat,Riparian Vegetation,ARDO4 ARUNDO DONAX,0,(%) Percent,Total,6014--Groundcover,6014,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2047377,,,432614,false,
South Brushy Creek,06/20/2013 10:18:00 AM,ISMP Brushy Creek 87,Non-spatial or Protected Location,Habitat,Riparian Vegetation,LIGUS2 LIGUSTRUM,0,(%) Percent,Total,6014--Groundcover,6014,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2047378,,,432614,false,
South Brushy Creek,06/20/2013 10:18:00 AM,ISMP Brushy Creek 87,Non-spatial or Protected Location,Habitat,Riparian Tree - Small,LISI LIGUSTRUM SINENSE,0,(%) Percent,Total,6014--Groundcover,6014,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2047379,,,432614,false,
South Brushy Creek,06/20/2013 10:18:00 AM,ISMP Brushy Creek 87,Non-spatial or Protected Location,Habitat,Riparian Tree - Large,MEAZ MELIA AZEDARACH,0,(%) Percent,Total,6014--Groundcover,6014,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2047380,,,432614,false,
South Brushy Creek,06/20/2013 10:18:00 AM,ISMP Brushy Creek 87,Non-spatial or Protected Location,Habitat,Riparian Vegetation,PHAU8 PHYLLOSTACHYS AUREA,0,(%) Percent,Total,6014--Groundcover,6014,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2047381,,,432614,false,
South Brushy Creek,06/21/2013 10:31:00 AM,ISMP Brushy Creek 83,Non-spatial or Protected Location,Habitat,Habitat Evaluation,NO VEGETATIVE COVER,60,(%) Percent,Total,6010--Canopy,6010,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2047382,,,432605,false,
South Brushy Creek,06/21/2013 10:31:00 AM,ISMP Brushy Creek 83,Non-spatial or Protected Location,Habitat,Habitat Evaluation,NATIVE SPECIES,2,Count,Total,6010--Canopy,6010,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2047383,,,432605,false,
South Brushy Creek,06/21/2013 10:31:00 AM,ISMP Brushy Creek 83,Non-spatial or Protected Location,Habitat,Riparian Vegetation,ARDO4 ARUNDO DONAX,0,(%) Percent,Total,6010--Understory,6010,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2047384,,,432615,false,
Bull Creek,06/21/2013 09:59:00 AM,ISMP Oak Grove Cemetary 23,Non-spatial or Protected Location,Habitat,Riparian Vegetation,FISI2 FIRMIANA SIMPLEX,0,(%) Percent,Total,10317--Groundcover,10317,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2047385,,,432611,false,
Bull Creek,06/21/2013 09:59:00 AM,ISMP Oak Grove Cemetary 23,Non-spatial or Protected Location,Habitat,Riparian Vegetation,MAUN3 MACFADYENA UNGUIS-CATI,0,(%) Percent,Total,10317--Groundcover,10317,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2047386,,,432611,false,
Bull Creek,06/21/2013 09:59:00 AM,ISMP Oak Grove Cemetary 23,Non-spatial or Protected Location,Habitat,Riparian Tree - Small,NADO NANDINA DOMESTICA,0,(%) Percent,Total,10317--Groundcover,10317,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2047387,,,432611,false,
South Brushy Creek,06/20/2013 09:13:00 AM,ISMP Brushy Creek 24,Non-spatial or Protected Location,Habitat,Riparian Tree - Large,TRSE6 TRIADICA SEBIFERA,0,(%) Percent,Total,5951--Understory,5951,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2047388,,,432616,false,
Bull Creek,06/21/2013 10:43:00 AM,ISMP Oak Grove Cemetary 26,Non-spatial or Protected Location,Habitat,Riparian Vegetation,SOHA SORGHUM HALEPENSE,0,(%) Percent,Total,10320--Groundcover,10320,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2047389,,,432603,false,
Bull Creek,06/21/2013 10:43:00 AM,ISMP Oak Grove Cemetary 26,Non-spatial or Protected Location,Habitat,Riparian Vegetation,AIAL AILANTHUS ALTISSIMA,0,(%) Percent,Total,10320--Groundcover,10320,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2047390,,,432603,false,
Bull Creek,06/21/2013 10:43:00 AM,ISMP Oak Grove Cemetary 26,Non-spatial or Protected Location,Habitat,Riparian Vegetation,BRPA4 BROUSSONETIA PAPYRIFERA,0,(%) Percent,Total,10320--Groundcover,10320,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2047391,,,432603,false,
Bull Creek,06/21/2013 10:43:00 AM,ISMP Oak Grove Cemetary 26,Non-spatial or Protected Location,Habitat,Riparian Vegetation,FISI2 FIRMIANA SIMPLEX,0,(%) Percent,Total,10320--Groundcover,10320,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2047392,,,432603,false,
Bull Creek,06/21/2013 10:43:00 AM,ISMP Oak Grove Cemetary 26,Non-spatial or Protected Location,Habitat,Riparian Vegetation,MAUN3 MACFADYENA UNGUIS-CATI,0,(%) Percent,Total,10320--Groundcover,10320,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2047393,,,432603,false,
Bull Creek,06/21/2013 10:43:00 AM,ISMP Oak Grove Cemetary 26,Non-spatial or Protected Location,Habitat,Riparian Tree - Small,NADO NANDINA DOMESTICA,0,(%) Percent,Total,10320--Groundcover,10320,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2047394,,,432603,false,
Bull Creek,06/21/2013 10:43:00 AM,ISMP Oak Grove Cemetary 26,Non-spatial or Protected Location,Habitat,Riparian Tree - Large,TRSE6 TRIADICA SEBIFERA,0,(%) Percent,Total,10320--Groundcover,10320,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2047395,,,432603,false,
Bull Creek,06/21/2013 10:43:00 AM,ISMP Oak Grove Cemetary 26,Non-spatial or Protected Location,Habitat,Riparian Vegetation,LOJA LONICERA JAPONICA,0,(%) Percent,Total,10320--Groundcover,10320,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2047396,,,432603,false,
Bull Creek,06/21/2013 10:43:00 AM,ISMP Oak Grove Cemetary 26,Non-spatial or Protected Location,Habitat,Habitat Evaluation,ISMP OTHER INVASIVE SPECIES,0,(%) Percent,Total,10320--Groundcover,10320,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2047397,,,432603,false,
Bull Creek,06/21/2013 10:43:00 AM,ISMP Oak Grove Cemetary 26,Non-spatial or Protected Location,Habitat,Habitat Evaluation,NO VEGETATIVE COVER,80,(%) Percent,Total,10320--Groundcover,10320,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2047398,,,432603,false,
Bull Creek,06/21/2013 10:43:00 AM,ISMP Oak Grove Cemetary 26,Non-spatial or Protected Location,Habitat,Habitat Evaluation,NATIVE SPECIES,13,Count,Total,10320--Groundcover,10320,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2047399,,,432603,false,
Bull Creek,06/21/2013 11:26:00 AM,ISMP Upper Bull Creek 38,Non-spatial or Protected Location,Habitat,Riparian Vegetation,ARDO4 ARUNDO DONAX,0,(%) Percent,Total,8459--Canopy,8459,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2047400,,,432617,false,
Bull Creek,06/21/2013 11:26:00 AM,ISMP Upper Bull Creek 38,Non-spatial or Protected Location,Habitat,Riparian Vegetation,LIGUS2 LIGUSTRUM,0,(%) Percent,Total,8459--Canopy,8459,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2047401,,,432617,false,
Bull Creek,06/21/2013 11:26:00 AM,ISMP Upper Bull Creek 38,Non-spatial or Protected Location,Habitat,Riparian Tree - Small,LISI LIGUSTRUM SINENSE,0,(%) Percent,Total,8459--Canopy,8459,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2047402,,,432617,false,
Bull Creek,06/21/2013 11:26:00 AM,ISMP Upper Bull Creek 38,Non-spatial or Protected Location,Habitat,Riparian Tree - Large,MEAZ MELIA AZEDARACH,0,(%) Percent,Total,8459--Canopy,8459,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2047403,,,432617,false,
Bull Creek,06/21/2013 11:26:00 AM,ISMP Upper Bull Creek 38,Non-spatial or Protected Location,Habitat,Riparian Vegetation,PHAU8 PHYLLOSTACHYS AUREA,0,(%) Percent,Total,8459--Canopy,8459,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2047404,,,432617,false,
Bull Creek,06/21/2013 11:26:00 AM,ISMP Upper Bull Creek 38,Non-spatial or Protected Location,Habitat,Riparian Vegetation,AIAL AILANTHUS ALTISSIMA,0,(%) Percent,Total,8459--Canopy,8459,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2047405,,,432617,false,
Bull Creek,06/21/2013 11:26:00 AM,ISMP Upper Bull Creek 38,Non-spatial or Protected Location,Habitat,Riparian Vegetation,BRPA4 BROUSSONETIA PAPYRIFERA,0,(%) Percent,Total,8459--Canopy,8459,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2047406,,,432617,false,
Bull Creek,06/21/2013 11:26:00 AM,ISMP Upper Bull Creek 38,Non-spatial or Protected Location,Habitat,Riparian Vegetation,FISI2 FIRMIANA SIMPLEX,0,(%) Percent,Total,8459--Canopy,8459,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2047407,,,432617,false,
South Brushy Creek,06/21/2013 10:01:00 AM,ISMP Brushy Creek 26,Non-spatial or Protected Location,Habitat,Riparian Vegetation,LIGUS2 LIGUSTRUM,0,(%) Percent,Total,5953--Canopy,5953,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2047408,,,432529,false,
South Brushy Creek,06/20/2013 11:33:00 AM,ISMP Brushy Creek 41,Non-spatial or Protected Location,Habitat,Riparian Vegetation,ARDO4 ARUNDO DONAX,0,(%) Percent,Total,5968--Understory,5968,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2047409,,,432618,false,
South Brushy Creek,06/20/2013 11:33:00 AM,ISMP Brushy Creek 41,Non-spatial or Protected Location,Habitat,Riparian Vegetation,LIGUS2 LIGUSTRUM,0,(%) Percent,Total,5968--Understory,5968,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2047410,,,432618,false,
South Brushy Creek,06/20/2013 11:33:00 AM,ISMP Brushy Creek 41,Non-spatial or Protected Location,Habitat,Riparian Tree - Small,LISI LIGUSTRUM SINENSE,0,(%) Percent,Total,5968--Understory,5968,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2047411,,,432618,false,
South Brushy Creek,06/20/2013 11:33:00 AM,ISMP Brushy Creek 41,Non-spatial or Protected Location,Habitat,Riparian Tree - Large,MEAZ MELIA AZEDARACH,0,(%) Percent,Total,5968--Understory,5968,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2047412,,,432618,false,
South Brushy Creek,06/20/2013 11:33:00 AM,ISMP Brushy Creek 41,Non-spatial or Protected Location,Habitat,Riparian Vegetation,PHAU8 PHYLLOSTACHYS AUREA,0,(%) Percent,Total,5968--Understory,5968,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2047413,,,432618,false,
South Brushy Creek,06/20/2013 11:33:00 AM,ISMP Brushy Creek 41,Non-spatial or Protected Location,Habitat,Riparian Vegetation,SOHA SORGHUM HALEPENSE,0,(%) Percent,Total,5968--Understory,5968,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2047414,,,432618,false,
South Brushy Creek,06/20/2013 11:33:00 AM,ISMP Brushy Creek 41,Non-spatial or Protected Location,Habitat,Riparian Vegetation,AIAL AILANTHUS ALTISSIMA,0,(%) Percent,Total,5968--Understory,5968,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2047415,,,432618,false,
South Brushy Creek,06/20/2013 11:33:00 AM,ISMP Brushy Creek 41,Non-spatial or Protected Location,Habitat,Riparian Vegetation,BRPA4 BROUSSONETIA PAPYRIFERA,0,(%) Percent,Total,5968--Understory,5968,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2047416,,,432618,false,
South Brushy Creek,06/20/2013 11:33:00 AM,ISMP Brushy Creek 41,Non-spatial or Protected Location,Habitat,Riparian Vegetation,FISI2 FIRMIANA SIMPLEX,0,(%) Percent,Total,5968--Understory,5968,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2047417,,,432618,false,
South Brushy Creek,06/20/2013 11:33:00 AM,ISMP Brushy Creek 41,Non-spatial or Protected Location,Habitat,Riparian Vegetation,MAUN3 MACFADYENA UNGUIS-CATI,0,(%) Percent,Total,5968--Understory,5968,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2047418,,,432618,false,
South Brushy Creek,06/20/2013 11:33:00 AM,ISMP Brushy Creek 41,Non-spatial or Protected Location,Habitat,Riparian Tree - Small,NADO NANDINA DOMESTICA,0,(%) Percent,Total,5968--Understory,5968,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2047419,,,432618,false,
South Brushy Creek,06/20/2013 11:33:00 AM,ISMP Brushy Creek 41,Non-spatial or Protected Location,Habitat,Riparian Tree - Large,TRSE6 TRIADICA SEBIFERA,0,(%) Percent,Total,5968--Understory,5968,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2047420,,,432618,false,
South Brushy Creek,06/20/2013 11:33:00 AM,ISMP Brushy Creek 41,Non-spatial or Protected Location,Habitat,Riparian Vegetation,LOJA LONICERA JAPONICA,0,(%) Percent,Total,5968--Understory,5968,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2047421,,,432618,false,
South Brushy Creek,06/20/2013 11:33:00 AM,ISMP Brushy Creek 41,Non-spatial or Protected Location,Habitat,Habitat Evaluation,ISMP OTHER INVASIVE SPECIES,0,(%) Percent,Total,5968--Understory,5968,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2047422,,,432618,false,
South Brushy Creek,06/20/2013 11:33:00 AM,ISMP Brushy Creek 41,Non-spatial or Protected Location,Habitat,Habitat Evaluation,NO VEGETATIVE COVER,46,(%) Percent,Total,5968--Understory,5968,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2047423,,,432618,false,
South Brushy Creek,06/20/2013 11:33:00 AM,ISMP Brushy Creek 41,Non-spatial or Protected Location,Habitat,Habitat Evaluation,NATIVE SPECIES,9,Count,Total,5968--Understory,5968,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2047424,,,432618,false,
South Brushy Creek,06/20/2013 11:33:00 AM,ISMP Brushy Creek 41,Non-spatial or Protected Location,Habitat,Habitat Evaluation,ISMP HABITAT TYPE (1=Wooded;2=Open;3=Edge;4=Incompatible),2,None,Total,5968--Groundcover,5968,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2047425,,,432535,false,
Little Walnut Creek,05/25/2004 01:00:00 PM,Little Walnut Creek Upstream of Mearns Meadow,Stream,Benthic Macroinvertebrate,Calculated Metrics,PERCENT OF TOTAL AS ELMIDAE,4.61,(%) Percent,Total,LWT-R2,3537,TCEQ RWA PROTOCOL,U,PAH Biological Effects Study,"(30.36889899, -97.7028113)",1094498,30.36889899,-97.7028113,258939,false,
South Brushy Creek,06/20/2013 11:33:00 AM,ISMP Brushy Creek 41,Non-spatial or Protected Location,Habitat,Riparian Vegetation,ARDO4 ARUNDO DONAX,0,(%) Percent,Total,5968--Groundcover,5968,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2047427,,,432535,false,
South Brushy Creek,06/20/2013 11:33:00 AM,ISMP Brushy Creek 41,Non-spatial or Protected Location,Habitat,Riparian Vegetation,LIGUS2 LIGUSTRUM,0,(%) Percent,Total,5968--Groundcover,5968,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2047428,,,432535,false,
South Brushy Creek,06/20/2013 11:33:00 AM,ISMP Brushy Creek 41,Non-spatial or Protected Location,Habitat,Riparian Tree - Small,LISI LIGUSTRUM SINENSE,0,(%) Percent,Total,5968--Groundcover,5968,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2047429,,,432535,false,
South Brushy Creek,06/20/2013 11:33:00 AM,ISMP Brushy Creek 41,Non-spatial or Protected Location,Habitat,Riparian Tree - Large,MEAZ MELIA AZEDARACH,0,(%) Percent,Total,5968--Groundcover,5968,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2047430,,,432535,false,
South Brushy Creek,06/20/2013 11:33:00 AM,ISMP Brushy Creek 41,Non-spatial or Protected Location,Habitat,Riparian Vegetation,PHAU8 PHYLLOSTACHYS AUREA,0,(%) Percent,Total,5968--Groundcover,5968,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2047431,,,432535,false,
South Brushy Creek,06/20/2013 11:33:00 AM,ISMP Brushy Creek 41,Non-spatial or Protected Location,Habitat,Riparian Vegetation,SOHA SORGHUM HALEPENSE,0,(%) Percent,Total,5968--Groundcover,5968,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2047432,,,432535,false,
South Brushy Creek,06/21/2013 10:31:00 AM,ISMP Brushy Creek 83,Non-spatial or Protected Location,Habitat,Riparian Vegetation,LIGUS2 LIGUSTRUM,0,(%) Percent,Total,6010--Understory,6010,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2047433,,,432615,false,
South Brushy Creek,06/21/2013 10:31:00 AM,ISMP Brushy Creek 83,Non-spatial or Protected Location,Habitat,Riparian Tree - Small,LISI LIGUSTRUM SINENSE,0,(%) Percent,Total,6010--Understory,6010,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2047434,,,432615,false,
South Brushy Creek,06/21/2013 10:31:00 AM,ISMP Brushy Creek 83,Non-spatial or Protected Location,Habitat,Riparian Tree - Large,MEAZ MELIA AZEDARACH,0,(%) Percent,Total,6010--Understory,6010,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2047435,,,432615,false,
South Brushy Creek,06/21/2013 10:31:00 AM,ISMP Brushy Creek 83,Non-spatial or Protected Location,Habitat,Riparian Vegetation,PHAU8 PHYLLOSTACHYS AUREA,0,(%) Percent,Total,6010--Understory,6010,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2047436,,,432615,false,
South Brushy Creek,06/21/2013 10:31:00 AM,ISMP Brushy Creek 83,Non-spatial or Protected Location,Habitat,Riparian Vegetation,SOHA SORGHUM HALEPENSE,0,(%) Percent,Total,6010--Understory,6010,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2047437,,,432615,false,
South Brushy Creek,06/21/2013 10:31:00 AM,ISMP Brushy Creek 83,Non-spatial or Protected Location,Habitat,Riparian Vegetation,AIAL AILANTHUS ALTISSIMA,0,(%) Percent,Total,6010--Understory,6010,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2047438,,,432615,false,
South Brushy Creek,06/21/2013 10:31:00 AM,ISMP Brushy Creek 83,Non-spatial or Protected Location,Habitat,Riparian Vegetation,BRPA4 BROUSSONETIA PAPYRIFERA,0,(%) Percent,Total,6010--Understory,6010,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2047439,,,432615,false,
South Brushy Creek,06/21/2013 10:31:00 AM,ISMP Brushy Creek 83,Non-spatial or Protected Location,Habitat,Riparian Vegetation,FISI2 FIRMIANA SIMPLEX,0,(%) Percent,Total,6010--Understory,6010,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2047440,,,432615,false,
South Brushy Creek,06/21/2013 10:31:00 AM,ISMP Brushy Creek 83,Non-spatial or Protected Location,Habitat,Riparian Vegetation,MAUN3 MACFADYENA UNGUIS-CATI,0,(%) Percent,Total,6010--Understory,6010,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2047441,,,432615,false,
South Brushy Creek,06/21/2013 10:31:00 AM,ISMP Brushy Creek 83,Non-spatial or Protected Location,Habitat,Riparian Tree - Small,NADO NANDINA DOMESTICA,0,(%) Percent,Total,6010--Understory,6010,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2047442,,,432615,false,
South Brushy Creek,06/21/2013 10:31:00 AM,ISMP Brushy Creek 83,Non-spatial or Protected Location,Habitat,Riparian Tree - Large,TRSE6 TRIADICA SEBIFERA,0,(%) Percent,Total,6010--Understory,6010,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2047443,,,432615,false,
South Brushy Creek,06/21/2013 10:31:00 AM,ISMP Brushy Creek 83,Non-spatial or Protected Location,Habitat,Riparian Vegetation,LOJA LONICERA JAPONICA,0,(%) Percent,Total,6010--Understory,6010,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2047444,,,432615,false,
South Brushy Creek,06/21/2013 10:31:00 AM,ISMP Brushy Creek 83,Non-spatial or Protected Location,Habitat,Habitat Evaluation,ISMP OTHER INVASIVE SPECIES,0,(%) Percent,Total,6010--Understory,6010,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2047445,,,432615,false,
South Brushy Creek,06/21/2013 10:31:00 AM,ISMP Brushy Creek 83,Non-spatial or Protected Location,Habitat,Habitat Evaluation,NO VEGETATIVE COVER,80,(%) Percent,Total,6010--Understory,6010,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2047446,,,432615,false,
South Brushy Creek,06/21/2013 10:31:00 AM,ISMP Brushy Creek 83,Non-spatial or Protected Location,Habitat,Habitat Evaluation,NATIVE SPECIES,2,Count,Total,6010--Understory,6010,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2047447,,,432615,false,
South Brushy Creek,06/21/2013 10:31:00 AM,ISMP Brushy Creek 83,Non-spatial or Protected Location,Habitat,Habitat Evaluation,ISMP HABITAT TYPE (1=Wooded;2=Open;3=Edge;4=Incompatible),3,None,Total,6010--Groundcover,6010,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2047448,,,432619,false,
Little Walnut Creek,05/25/2004 01:00:00 PM,Little Walnut Creek Upstream of Mearns Meadow,Stream,Benthic Macroinvertebrate,Calculated Metrics,TCEQ QUANTITATIVE AQUATIC LIFE USE SCORE,25,None,Total,LWT-R2,3537,TCEQ RWA PROTOCOL,U,PAH Biological Effects Study,"(30.36889899, -97.7028113)",1094499,30.36889899,-97.7028113,258939,false,
South Brushy Creek,06/21/2013 10:31:00 AM,ISMP Brushy Creek 83,Non-spatial or Protected Location,Habitat,Riparian Vegetation,ARDO4 ARUNDO DONAX,0,(%) Percent,Total,6010--Groundcover,6010,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2047450,,,432619,false,
