Property Name,Date Designated,Resolution Number,Built,Architect,Property Location
Dorothy Apartments,August 19 2008,37573,01/01/1928 12:00:00 AM,Heath & Gove,"301 Tacoma Ave N
Tacoma, WA
(47.265514, -122.451245)"
Medical Arts Building (Tacoma Municipal Building),November 14 1978,25385,,"Graham, John Sr.","747 Market Street
Tacoma, WA
(47.255777, -122.442155)"
Puget Sound Brewing Company,March 23 1988,23805,,"Darmer, Carl A.","2510, 2512, and 2524 South C Street
Tacoma, WA"
Masonic Temple and Temple Theater,December 03 1991,31562,01/01/1927 12:00:00 AM,"Russell, Ambrose J.","47 St. Helens
Tacoma, WA
(47.262986, -122.446266)"
First Presbyterian Church,April 01 1975,23292,,"Cram, Ralph Adams","Division and Tacoma Avenue South
Tacoma, WA"
Bridge Clinic (Marcourt Building),February 17 2004,36102,01/01/1931 12:00:00 AM,"Russell, Lumm and Lance","744 Market Street
Tacoma, WA
(47.25583, -122.442168)"
"Lord, George T, Residence",September 25 2007,37292,01/01/1906 12:00:00 AM,,"2902 N Cedar Street
Tacoma, WA
(47.274056, -122.476209)"
School - Central Administration Building / Central Elementary,December 08 2010,38158,01/01/1912 12:00:00 AM,"Heath (1912) and Parker (addition, 1967)","601 South 8th Street
Tacoma, WA
(47.255737, -122.446185)"
First Swedish Baptist Church,May 03 2005,36495,01/01/1900 12:00:00 AM,,"1201 South J Street
Tacoma, WA
(47.250908, -122.450008)"
Federal Building,December 08 2010,23501,10/01/1908 12:00:00 AM,"Taylor, James Knox","1102 A Street
Tacoma, WA
(47.253041, -122.437046)"
Ellington House,February 07 1995,32903,01/01/1889 12:00:00 AM,unknown,"423 North G Street
Tacoma, WA
(47.265404, -122.45433)"
Edgecliff Apartments,August 17 2010,38092,01/01/1919 12:00:00 AM,"1924 remodel by Heath, Gove and Bell","1 North Broadway
Tacoma, WA
(47.264511, -122.446736)"
Hilltop - Brenden House,January 31 1995,32895,01/01/1902 12:00:00 AM,,"1510 Tacoma Avenue South
Tacoma, WA
(47.248185, -122.443391)"
Carman Manufacturing Building,March 10 2009,37748,,"Darmer, Carl A. (1893)","711-25 E 25th Street
Tacoma, WA"
Virginia V Steam Vessel,February 24 1998,33969,01/01/1898 12:00:00 AM,,"Tacoma/Seattle
Tacoma, WA"
Walker Apartments,December 15 1992,32007,01/01/1927 12:00:00 AM,"Borhek, Roland E.","405 Sixth Avenue
Tacoma, WA
(47.258501, -122.443701)"
"Johnson-Gehri, Residence",February 12 2008,37397,01/01/1909 12:00:00 AM,,"1416 South 5th Street
Tacoma, WA
(47.257575, -122.458434)"
Webster Apartments,January 30 2001,35053,01/01/1904 12:00:00 AM,"Bullard, George W.","629 St Helens Avenue
Tacoma, WA
(47.257852, -122.442778)"
"McNeely, James House",March 28 2006,36819,01/01/1917 12:00:00 AM,Russell and Parker,"102 West Road N
Tacoma, WA
(47.272177, -122.470637)"
School - Lincoln Park High School,August 01 2006,36927,01/01/1913 12:00:00 AM,Heath and Gove,"701 S 37th Street
Tacoma, WA
(47.224699, -122.441962)"
"Beutel, Conrad F. & Annie Residence",December 08 2010,38158,09/01/1908 12:00:00 AM,"Keating, Harry","701 North 10th St
Tacoma, WA
(47.267565, -122.461695)"
Wilson/Ladenburg House,August 27 1996,33490,09/01/1907 12:00:00 AM,"Gore, George","844 South Steele Street
Tacoma, WA
(47.252085, -122.468275)"
Seaman's Rest,August 19 1975,23503,,,"2802 North Carr Street
Tacoma, WA
(47.273081, -122.466919)"
School - Stadium High School,January 02 1975,23159,,Hewitt and Hewitt/Frederick Heath,"111 North E Street
Tacoma, WA
(47.264829, -122.446187)"
Bone Dry Shoe Manufacturing Company,May 16 2000,34779,01/01/1919 12:00:00 AM,"Hill, Mock & Griffin","2111-2115 Pacific Avenue
Tacoma, WA"
"Snyder, Andrew House",December 05 1995,33231,01/01/1890 12:00:00 AM,"Duff, R.D. (developer)","1511 North Seventh Street
Tacoma, WA
(47.258698, -122.462807)"
"Yuncker, John F. House",December 17 1985,29009,,"Darmer, Carl A.","519 South G Street
Tacoma, WA
(47.258077, -122.447114)"
Sunset Telephone and Telegraph Company,December 17 1985,29009,,,"1101 South Fawcett avenue
Tacoma, WA"
Fire Station - Fire Station No. 4,January 06 1987,29457,01/01/1935 12:00:00 AM,"Nelson, Silas","1453 South 12th Street
Tacoma, WA
(47.250408, -122.456787)"
School - Fern Hill Elementary School,,38158,,"Heath (1912) and O. F. Larson, Knoell Brothers","8442 South Park Avenue
Tacoma, WA
(47.178851, -122.441973)"
"Larsen, Idius M Home",October 26 2004,36328,01/01/1905 12:00:00 AM,,"3102 North 30th Street
Tacoma, WA
(47.274718, -122.476545)"
Hunt-Mottet Warehouse,April 08 2014,38877,01/01/1907 12:00:00 AM,Bullard and Hill,"2109 S C Street
Tacoma, WA
(47.242437, -122.437655)"
Provident Building,March 20 2007,37132,04/01/1903 12:00:00 AM,"Bullard, George W.","917 Pacific Avenue
Tacoma, WA
(47.254612, -122.438901)"
Whitworth Literary Society Hall,November 28 2006,37049,01/01/1906 12:00:00 AM,,"4604 N 38th Street
Tacoma, WA
(47.283412, -122.498943)"
Hilltop - Hob Nob Restaurant,January 31 1995,32895,01/01/1925 12:00:00 AM,,"712-716 Sixth Ave
Tacoma, WA"
School - Hoyt Elementary School,October 14 2014,39037,01/01/1957 12:00:00 AM,"Price, Robert Billsbrugh","2708 N Union Street
Tacoma, WA
(47.272083, -122.484218)"
YMCA (The Kensington Apartments),November 14 1978,25386,10/01/1909 12:00:00 AM,"Bullard, George W.","714 Market Street
Tacoma, WA
(47.256701, -122.442361)"
Fire Station - Fire Station No. 18 (Fireboat),January 06 1987,29457,,"Nicholson, Morton J.","302 East 11th Street
Tacoma, WA
(47.254572, -122.427921)"
School - McCarver Elementary,December 08 2010,38158,01/01/1925 12:00:00 AM,Hill and Mock,"2111 South J Street
Tacoma, WA
(47.241476, -122.447854)"
Hilltop - Buren/Holden Apartments,January 31 1995,32895,01/01/1908 12:00:00 AM,Heath and Twichell,"708-710 South Eighth Street
Tacoma, WA"
Fire Station - Engine House No. 8,January 06 1987,29457,01/01/1909 12:00:00 AM,city engineer,"4301 South L Street
Tacoma, WA
(47.218236, -122.449386)"
"Shaw, Stanley Residence",October 14 2014,39037,,Stanley T Shaw (1931 remodel),"2500 N Lawrence Sette
Tacoma, WA"
Northern Pacific Railroad Headquarters Building,January 02 1975,23159,,"Talbot, Charles B.","621 Pacific Avenue
Tacoma, WA
(47.257555, -122.43955)"
Fireboat No. 1,June 07 1983,29457,01/01/1929 12:00:00 AM,"T. McK, Rowlands","Marine Park, at approximately 3400 Ruston Way
Tacoma, WA"
Central Lutheran Church,June 29 2010,38061,01/01/1957 12:00:00 AM,"Lea, Pearson and Richards","401 Tacoma Avenue North
Tacoma, WA
(47.266082, -122.453001)"
Haddaway Hall,June 09 1992,31784,01/01/1923 12:00:00 AM,Meade and Hamilton,"4301 North Stevens
Tacoma, WA
(47.288071, -122.495984)"
National Shuffleboard Sales Company,September 30 2003,35968,01/01/1922 12:00:00 AM,,"1119 Tacoma Ave S
Tacoma, WA
(47.252165, -122.444295)"
Bob's Java Jive,September 30 2003,35968,01/01/1929 12:00:00 AM,"Button, Otis G (builder)","2102 South Tacoma Way
Tacoma, WA
(47.231984, -122.464776)"
Frisko Freeze,August 19 2008,37573,01/01/1950 12:00:00 AM,,"1201 Division Ave
Tacoma, WA
(47.259844, -122.455444)"
Commencement Bay Building,November 05 1991,31531,,"Darmer, Carl A.","1117 A Street
Tacoma, WA
(47.25276, -122.436981)"
Pantages Theatre/Jones Building,April 01 1975,23292,,Russell and Babcock,"901 and 909 Broadway Plaza
Tacoma, WA"
Old City Hall,October 08 1974,23038,01/01/1893 12:00:00 AM,"Hatherton, E.A.","625 Commerce Street
Tacoma, WA
(47.257491, -122.44032)"
YWCA,July 12 1977,24544,01/01/1927 12:00:00 AM,"Duggan, Earl N.","405 Broadway
Tacoma, WA
(47.260553, -122.443041)"
Cabin No. 97 (Walter Crooks' Cabin),June 09 1992,31784,01/01/1916 12:00:00 AM,,"97 North Salmon Beach
Tacoma, WA
(47.297221, -122.530269)"
"Rust, William R. House",December 28 1976,24215,01/01/1905 12:00:00 AM,"Russell, Ambrose J.","1001 North I Street
Tacoma, WA
(47.266046, -122.463336)"
Kress Building,March 28 2006,36819,01/01/1925 12:00:00 AM,"Hoffman, E.J.T","934-936 Broadway
Tacoma, WA"
Crescent Apartments (New York Apartments),February 17 2004,36102,01/01/1889 12:00:00 AM,,"321-323 North G Street
Tacoma, WA"
Lynn Funeral Home,May 03 2005,36495,01/01/1917 12:00:00 AM,Lundberg & Mahon,"717 Tacoma Avenue S
Tacoma, WA
(47.256191, -122.445212)"
Park Universalist Church,August 19 2008,37573,01/01/1909 12:00:00 AM,Woodroofe & Constable,"206 North J Street
Tacoma, WA
(47.261542, -122.452885)"
Hilltop - Burkee-Francois House,January 31 1995,32895,01/01/1904 12:00:00 AM,,"2326 South L Street
Tacoma, WA
(47.238526, -122.450136)"
McCormack Mansion,February 07 1995,32903,01/01/1925 12:00:00 AM,"Russell, Ambrose J.","705 North 5th Street
Tacoma, WA
(47.265235, -122.45481)"
Tacoma Cold Storage Building ,January 25 2005,36413,01/01/1922 12:00:00 AM,,"2602 South Holgate Street
Tacoma, WA
(47.237508, -122.437554)"
Tacoma Buddhist Church,December 05 1995,33231,01/01/1931 12:00:00 AM,"Bullard, George W.","1717 South Fawcett Avenue
Tacoma, WA"
JD Aubrey Wagon & Auto Works,April 08 2014,38877,01/01/1910 12:00:00 AM,"O.F. Larson, builder","2105 S C Street
Tacoma, WA
(47.242616, -122.4377)"
Epworth LeSourd United Methodist Church,December 08 2015,39339,01/01/1926 12:00:00 AM,"Bullard, George W.","710 S Anderson Street
Tacoma, WA
(47.253964, -122.472501)"
Seymour Conservatory (Wright Park),May 16 1975,23503,01/01/1907 12:00:00 AM,,"Wright Park
Tacoma, WA"
"Thompson, Walter J Residence ",May 03 2005,36495,01/01/1885 12:00:00 AM,,"7 Saint Helens Avenue
Tacoma, WA
(47.263823, -122.44687)"
Hilltop - Kellogg-Sicker Building,June 25 2013,38685,01/01/1906 12:00:00 AM,"Darmer, Carl. A.","1114-16 Martin Luther King, Jr. Way
Tacoma, WA"
University Union Club,July 21 2009,37829,01/01/1888 12:00:00 AM,Whidden & Lewis,"539 Broadway
Tacoma, WA
(47.258623, -122.441717)"
Bridge - 11th Street Bridge,October 19 2000,34929,,Waddell and Harrington,"Spans Foss Waterway at 11th Street
Tacoma, WA"
Tacoma Mausoleum,February 24 1998,33969,01/01/1909 12:00:00 AM,"Gove, George","5302 South Junett
Tacoma, WA
(47.208282, -122.474979)"
Saint Peter's Church (Episcopal),February 18 1975,23227,01/01/1873 12:00:00 AM,,"2910 North Starr Street
Tacoma, WA
(47.274032, -122.463722)"
"Shackleford, John A. House",March 20 2007,37132,01/01/1888 12:00:00 AM,,"211 North J Street
Tacoma, WA
(47.261582, -122.453011)"
Rialto Theatre,September 18 1990,31055,01/01/1918 12:00:00 AM,"Borhek, Roland E.","310 South 9th street
Tacoma, WA
(47.255212, -122.441266)"
Bowes Building (Tacoma Savings and Loan),December 11 1979,26121,09/01/1908 12:00:00 AM,"Heath, Frederick","100 S Ninth St
Tacoma, WA
(47.255551, -122.438002)"
Osgood-Anderson House,September 25 2007,37292,01/01/1893 12:00:00 AM,"Sutton, Albert (1893); C.A. Darmer (1903)","407 North E Street
Tacoma, WA
(47.267008, -122.452337)"
"Gardener, C.N. Building",January 30 2001,35055,01/01/1907 12:00:00 AM,"Bullard, George W.","928-930 Broadway Plaza
Tacoma, WA"
Fire Station - Fire Station No. 10,January 06 1987,29457,01/01/1928 12:00:00 AM,"Nicholson, Morton J.","7247 South Park Avenue
Tacoma, WA
(47.190885, -122.441895)"
Bridge - Tacoma Narrows Bridge Ruins,October 20 1992,31955,01/01/1940 12:00:00 AM,,"Tacoma, WA
(47.25308, -122.44153)"
Saint Luke's Memorial Church,August 19 2008,37573,,"Sherwin, Joseph A (1883); Muri, Russell, Lance (1936)","3615 North Gove Street
Tacoma, WA
(47.280765, -122.499855)"
Hilltop - Charles Madsen House,June 16 1998,34080,10/01/1909 12:00:00 AM,"Madsen, Charles","1419 South Sheridan
Tacoma, WA
(47.248088, -122.455227)"
School - Whitman Elementary School,December 08 2010,38158,01/01/1951 12:00:00 AM,"Lea, Pearson & Richards","1120 South 39th Street
Tacoma, WA
(47.221798, -122.449298)"
Olof Carlson House,September 30 2003,35968,01/01/1899 12:00:00 AM,,"1116 North 26th Street
Tacoma, WA
(47.271004, -122.46213)"
Fire Station - Fire Communications Center,January 06 1987,29457,,"Nicholson, Morton J.","415 South Tacoma Avenue
Tacoma, WA
(47.25894, -122.445858)"
Point Defiance Streetcar Station,January 13 2014,39101,01/01/1914 12:00:00 AM,"Twichell, Luther","5801 Trolley Lane
Tacoma, WA
(47.305675, -122.515607)"
