INTERSECTIONID,ONST,CRST,QUAD,INSPECTOR,DATE,EVNT_LAT,EVNT_LON,EVNT_MAP,EVNT_TYPE,PED_SIGNAL_PRES,CPL_SIZE,CPL_FORCE,CPL_OP,CPL_CTRST,CPL_VIS,CPL_AUD,CMNT_1,CPL_LDG,CPL_PROX,CPL_PLACE,CPL_SEP,CPL_HGT,CPL_CW_1,CPL_CW_2,CMNT_2,OA_CMNT,Mapped Location
4630,Peachtree st,Nolensville pk,Northeast,Jacob Locey,04/18/2019 12:00:00 AM,36.120651,-86.749931,11901,PED_SIGNAL,true,true,true,true,true,true,true,"Chrome arrow, black button, with black housing.",false,false,true,true,42,9,10,No complaint landing near push button.,Push button and pedestrian signal are operational.,POINT (-86.749931 36.120651)
3323,Donaldson,McCampbell Ave,Northeast,Chase Clark,04/18/2019 12:00:00 AM,,,96092,NA,false,,,,,,,,,,,,,,,,No pedestrian signals or push button,
3326,Donelson pk,Royal pkwy,Southeast,Jacob Locey,04/19/2019 12:00:00 AM,36.145821,-86.666443,10801,NA,false,,,,,,,No push button observed.,,,,,,,,,Pedestrian signal is operational.,POINT (-86.666443 36.145821)
2869,Andrew Jackson Parkway,Donelson Trace,Northeast,Jeff Pedine,04/19/2019 12:00:00 AM,36.221992,-86.59742,6412,NA,false,,,,,,,,,,,,,,,,There is no push button at this location.,POINT (-86.59742 36.221992)
1250,4th ave s,Chestnut st,Northeast,Jacob Locey,04/23/2019 12:00:00 AM,36.145081,-86.766602,10503,NA,false,,,,,,,No push button observed.,,,,,,,,,No push button observed. Pedestrian signal is operational.,POINT (-86.766602 36.145081)
1250,Chestnut st,4th ave s,Northwest,Jacob Locey,04/23/2019 12:00:00 AM,36.145004,-86.766876,10503,NA,false,,,,,,,No push button observed.,,,,,,,,,No push button observed. Pedestrian signal is operational.,POINT (-86.766876 36.145004)
4281,Lebanon pike,Lebanon,North,Chase Clark,04/24/2019 12:00:00 AM,36.154381,-86.742485,94094,NA,false,,,,,,,,,,,,,,,,No push button or pedestrian signals,POINT (-86.742485 36.154381)
3171,Cleveland,On ramp,West,Chase Clark,04/25/2019 12:00:00 AM,36.185116,-86.760391,820801,NA,false,,,,,,,,,,,,,,,,No push button or pedestrian signals,POINT (-86.760391 36.185116)
2115,Wedgewood ave,15th ave s,Southwest,Jacob Locey,04/25/2019 12:00:00 AM,36.135902,-86.792084,10509,NA,false,,,,,,,No push button observed.,,,,,,,,,Pedestrian signal is operational.,POINT (-86.792084 36.135902)
4200,E Trinity Lane,Jones Avenue,Northwest,Jeff Pedine,04/29/2019 12:00:00 AM,36.205242,-86.757751,7108,NA,false,,,,,,,,,,,,,,,,There is no push button at this location.,POINT (-86.757751 36.205242)
2425,Scarritt Place,21st Ave S,Northwest,Greg Roddy,04/30/2019 12:00:00 AM,36.146145,-86.799637,10404,PED_SIGNAL,true,true,true,true,false,true,true,The push button is black with a black housing and a chrome arrow.,true,true,true,true,41,5,5,The push button is only 41” high from the landing.,The push button is only 41” high from the landing. The push button and signal light are both in good working condition and free of any other issues.,POINT (-86.799637 36.146145)
1130,Broadway,3rd Avenue S,Southwest,Jeff Pedine,05/22/2019 12:00:00 AM,36.161465,-86.776016,9306,NA,false,,,,,,,,,,,,,,,,There is no push button at this location.,POINT (-86.776016 36.161465)
3201,DB Todd Blvd,Albion St,Northwest,Greg Roddy,05/09/2019 12:00:00 AM,36.166389,-86.805405,9203,NA,false,,,,,,,"There is no push button for this crosswalk, however there is a Ped signal light.",,,,,,,,,There is no push button for this crosswalk. The Ped signal light is in good working condition.,POINT (-86.805405 36.166389)
3145,Charlotte,Westboro,Northwest,Mark Lee,05/13/2019 12:00:00 AM,36.146088,-86.870872,10301,NA,false,,,,,,,,,,,,,,,,There is no Pedestrian push button or Pedestrian signal.,POINT (-86.870872 36.146088)
2290,19th Ave N,Church St,Northwest,Greg Roddy,05/14/2019 12:00:00 AM,36.154495,-86.798973,9212,NA,false,,,,,,,"There is no push button for this crosswalk, however there is a Ped signal light.",,,,,,,,,There is no push button for this crosswalk. The Ped signal light is in good working condition.,POINT (-86.798973 36.154495)
4205,Lafayette Street,Claiborne Street,Northwest,Jeff Pedine,05/16/2019 12:00:00 AM,36.14859,-86.761292,9316,PED_SIGNAL,true,true,true,true,true,true,true,,true,true,true,false,42,9,14,"The push button is separated from the adjacent button by only 0.5’, but it shows good condition otherwise.","The push button is separated from the adjacent button by only 0.5’, but it shows good condition otherwise.",POINT (-86.761292 36.14859)
4755,Powell pl,Unnamed,Northwest,Mark Lee,05/17/2019 12:00:00 AM,36.106537,-86.764725,11815,NA,false,,,,,,,,,,,,,,,,"There is no push button.
There is a pedestrian signal in good working order with no other issues.
Unnamed street is entrance to Home Depot",POINT (-86.764725 36.106537)
1580,Lafayette Street,7th Avenue S,Southwest,Jeff Pedine,05/20/2019 12:00:00 AM,36.154072,-86.778,9310,NA,false,,,,,,,,,,,,,,,,There is no push button at this location.,POINT (-86.778 36.154072)
1330,Lafayette Street,4th Avenue S,Southeast,Jeff Pedine,05/17/2019 12:00:00 AM,36.151592,-86.771027,9315,NA,false,,,,,,,,,,,,,,,,There is no push button at this location.,POINT (-86.771027 36.151592)
2740,S 1st Street,Woodland Street,Northwest,Jeff Pedine,05/17/2019 12:00:00 AM,36.169155,-86.772415,9303,NA,false,,,,,,,,,,,,,,,,There is no push button at this location.,POINT (-86.772415 36.169155)
4250,Lebanon Pike,Unnamed,Northwest,Mark Lee,05/20/2019 12:00:00 AM,36.167828,-86.663383,9601,NA,false,,,,,,,,,,,,,,,,There is no button but there is a pedestrian signal that is in good working order with no other issues.,POINT (-86.663383 36.167828)
3313,Donelson pk,Allen rd,Southeast,Mark Lee,05/21/2019 12:00:00 AM,36.15062,-86.666435,9613,PED_SIGNAL,true,true,true,true,true,true,true,Push button is chrome with yellow housing.,true,true,true,false,43,7,0,"Push button is 43” high from landing.
There are two buttons on one pole at this location.","Push button is 43” high from landing.
Pedestrian signal is there and in good working order with no other issues.",POINT (-86.666435 36.15062)
1490,6th Avenue S,Demonbreun Street,Northeast,Jeff Pedine,05/29/2019 12:00:00 AM,36.157986,-86.778519,9310,NA,false,,,,,,,,,,,,,,,,There is no push button at this location.,POINT (-86.778519 36.157986)
4180,Woodland St,Interstate Dr,Northwest,Greg Roddy,02/12/2019 12:00:00 AM,36.170498,-86.76857,82153,NA,false,,,,,,,There is no ped button for this crosswalk.,,,,,,,,,The crosswalk does not have a ped button. The crosswalk markings show no fading and minor cracking. The ped signals are in good working condition.,POINT (-86.76857 36.170498)
2521,Oak St,Elm Ave,North,Matt Cardwell,01/16/2019 12:00:00 AM,36.152905,-86.766479,1,PED_SIGNAL,true,true,true,true,true,true,true,Some comments,true,true,true,true,42.5,1.5,5,Crosswalk comments,Overall comments,POINT (-86.766479 36.152905)
4817,Donaldson,Donaldson,West,Chase Clark,04/19/2019 12:00:00 AM,,,96024,PED_SIGNAL,true,true,true,true,true,true,true,Chrome arrow black housing,true,true,true,true,43,7,4,,Push button and pedestrian signals working properly,
2938,Mt View Rd,Bell Road,Northeast,Greg Roddy,04/08/2019 12:00:00 AM,36.049889,-86.649139,16307,PED_SIGNAL,true,true,true,true,true,true,true,The push button is black with a yellow housing and a chrome arrow.,true,true,true,false,42,15,3,,The push button and signal light are both in good working condition and free of any issues.,POINT (-86.649139 36.049889)
3470,Gallatin Pike,Hart Lane,Southwest,Jeff Pedine,04/24/2019 12:00:00 AM,36.211586,-86.732819,7202,NA,false,,,,,,,,,,,,,,,,There is no push button at this location.,POINT (-86.732819 36.211586)
4978,Unnamed,White Bridge Pk,Northwest,Greg Roddy,04/23/2019 12:00:00 AM,36.133598,-86.858238,10310,PED_SIGNAL,true,true,true,true,false,true,true,The push button is black with a black housing and a chrome arrow.,true,true,true,true,40,7,9,The push button is only 40” high from the landing.,The push button is only 40” high from the landing. The push button and signal light are both in good working condition and free of any other issues.,POINT (-86.858238 36.133598)
3315,Donaldson,Elm hill pike,Northeast,Chase Clark,04/19/2019 12:00:00 AM,36.148842,-86.666138,96133,NA,false,,,,,,,,,,,,,,,,No pedestrian signals or push button,POINT (-86.666138 36.148842)
3471,Gallatin Pike,Greenfield Avenue,Southwest,Jeff Pedine,04/24/2019 12:00:00 AM,36.21088,-86.733246,7202,NA,false,,,,,,,,,,,,,,,,There is no push button at this location.,POINT (-86.733246 36.21088)
4605,Old Hickory Blvd,Nolensville Pike,Northeast,Greg Roddy,04/16/2019 12:00:00 AM,36.04562,-86.712975,16112,PED_SIGNAL,true,true,true,true,false,true,true,The push button is black with a yellow housing and a chrome arrow.,true,true,true,false,52,14,10,The push button is 52” high from the sidewalk.,The push button is 52” high from the sidewalk. The push button and signal light are both in good working condition and free of any other issues.,POINT (-86.712975 36.04562)
2879,Ezell Pike,Antioch Pike,Southeast,Greg Roddy,04/10/2019 12:00:00 AM,36.08334,-86.68882,13415,PED_SIGNAL,true,true,true,true,true,true,true,The push button is black with a yellow housing and a chrome arrow.,true,true,true,true,42,5,5,,The push button and signal light are both in good working condition and free of any issues.,POINT (-86.68882 36.08334)
2020,12th ave s,Wedgewood ave,Southwest,Jacob Locey,04/25/2019 12:00:00 AM,36.13604,-86.788933,10509,PED_SIGNAL,true,true,true,true,true,true,true,"Chrome arrow, black button, with black housing.",true,true,true,false,42,7.5,8,Two push buttons are located on one pole.,Push button and pedestrian signal are operational.,POINT (-86.788933 36.13604)
4706,Old hickory blvd,Old hickory blvd,South,Chase Clark,04/23/2019 12:00:00 AM,36.17075,-86.601662,97032,NA,false,,,,,,,,,,,,,,,,No push button or pedestrian signals,POINT (-86.601662 36.17075)
2951,Tusculum Rd,Blue Hole Rd,Southwest,Greg Roddy,04/09/2019 12:00:00 AM,36.052559,-86.673264,16208,PED_SIGNAL,true,true,true,true,true,true,true,The push button is black with a yellow housing and a chrome arrow. There is no signage for this push button.,true,true,true,true,39,5,2,The push button is only 39” high from the landing.,The push button is only 39” high from the landing and does not have any signage. The push button and signal light are both in good working condition and free of any other issues.,POINT (-86.673264 36.052559)
4062,Burton Hills Blvd,Hillsboro Pk,Northwest,Greg Roddy,04/17/2019 12:00:00 AM,36.09771,-86.82341,13105,PED_SIGNAL,true,true,true,true,false,true,true,The push button is black with a black housing and a chrome arrow.,true,false,true,true,42,11,10,The push button is 16” from the landing.,The push button is 16” from the landing. The push button and signal light are both in good working condition and free of any other issues.,POINT (-86.82341 36.09771)
4620,Pargon mills rd,Nolensville pk,Southeast,Jacob Locey,04/16/2019 12:00:00 AM,36.084885,-86.727921,13315,PED_SIGNAL,true,false,true,false,true,false,false,Black button with yellow housing.,false,false,true,true,40.5,3.5,4,Push button is 11’ away from curb ramp landing. Attached to pole in middle of sidewalk.,"Push button has no audio or visual indicator. Pedestrian signal is operational. Crosswalk leads to push button, not curb ramp.",POINT (-86.727921 36.084885)
4896,E Trinity Lane,Pittway Drive,Southwest,Jeff Pedine,04/25/2019 12:00:00 AM,36.204632,-86.750763,7205,NA,false,,,,,,,,,,,,,,,,There is no push button at this location.,POINT (-86.750763 36.204632)
3731,Litton Avenue,Gallatin Pike,Southwest,Jeff Pedine,04/23/2019 12:00:00 AM,36.202427,-86.739288,7210,PED_SIGNAL,true,true,true,true,true,true,true,,true,true,true,true,40,9,0,,"The push button shows good working order, properly spaced, visual contrast, and audio/visual indicators.",POINT (-86.739288 36.202427)
2650,46th Ave N,Charlotte Ave,Northeast,Greg Roddy,04/24/2019 12:00:00 AM,36.152409,-86.842125,9116,PED_SIGNAL,true,true,true,true,true,true,true,The push button is black with a black housing and a chrome arrow. There is no signage at this push button.,true,true,true,true,44,12,6,The push button is 44” high from the landing.,The push button is 44” high from the landing. The push button is not pointing in the correct direction due to the post being damaged and the button was moved. There is no signage at this push button. The Ped signal light is in good working condition.,POINT (-86.842125 36.152409)
4550,Wallace rd,Nolensville pk,Southeast,Jacob Locey,04/15/2019 12:00:00 AM,36.077076,-86.725433,14703,PED_SIGNAL,true,true,true,true,true,true,true,"Chrome arrow, black button, yellow housing.",true,true,true,true,42,9,13.5,Push button and pedestrian signal are operational,Push button and pedestrian signal are operational.,POINT (-86.725433 36.077076)
4230,Lebanon pike,Central pike,Southeast,Chase Clark,04/17/2019 12:00:00 AM,36.187,-86.630768,85082,PED_SIGNAL,true,true,true,true,true,true,false,Works properly black button yellow housing,true,true,true,true,44,10,15,there is only one button for north crosswalk  and no button for west crosswalk,"See previous about only one button for north crossing, push button working properly.",POINT (-86.630768 36.187)
3520,Gallatin Pike,Mcclurkan Avenue,West,Jeff Pedine,04/24/2019 12:00:00 AM,36.195099,-86.743217,7213,NA,false,,,,,,,,,,,,,,,,There is no push button at this location.,POINT (-86.743217 36.195099)
1040,2nd ave s,Chestnut st,Southwest,Jacob Locey,04/23/2019 12:00:00 AM,36.145668,-86.764771,10503,NA,false,,,,,,,No push button observed.,,,,,,,,,No push button observed. Pedestrian signal is operational.,POINT (-86.764771 36.145668)
2855,Abbott Martin Rd,Brandywood Dr,Northeast,Greg Roddy,04/18/2019 12:00:00 AM,36.106243,-86.815796,11714,NA,false,,,,,,,"There is no push button for this crosswalk, however there is a Ped signal light.",,,,,,,,,There is no push button for this crosswalk. The Ped signal light is in good working condition.,POINT (-86.815796 36.106243)
1610,Bradford ave,8th ave s,Northwest,Jacob Locey,04/24/2019 12:00:00 AM,36.128605,-86.777954,10514,PED_SIGNAL,true,true,true,true,true,true,true,"Chrome arrow, black button, with black housing.",false,false,false,true,34,1.5,13,Push button is 6.5’ away from compliant landing.,Push button and pedestrian signal are operational.,POINT (-86.777954 36.128605)
3570,Eastland ave,Gallatin ave,Southeast,Chase Clark,04/24/2019 12:00:00 AM,36.183697,-86.748291,83051,PED_SIGNAL,true,true,true,true,true,true,true,Chrome button yellow housing,true,true,true,true,43,7,12,,Push button and pedestrian signals working properly,POINT (-86.748291 36.183697)
4055,Hillsboro Cir,Brandywood Dr,Southeast,Greg Roddy,04/17/2019 12:00:00 AM,36.104988,-86.819427,11714,PED_SIGNAL,true,true,true,true,false,true,true,The push button is black with a black housing and a chrome arrow. There is no signage at this push button.,true,true,true,false,42,6,6,,There is no signage at this push button. The push button and signal light are both in good working condition and free of any other issues.,POINT (-86.819427 36.104988)
3570,Gallatin ave,Gallatin ave,Southwest,Chase Clark,04/24/2019 12:00:00 AM,36.183807,-86.748489,83051,PED_SIGNAL,true,true,true,true,true,true,true,Chrome button yellow housing,true,true,true,true,31,1,10,,Push button and pedestrian signals working properly,POINT (-86.748489 36.183807)
4473,Murfreesboro Pike,Ransom Place,Northeast,Greg Roddy,04/11/2019 12:00:00 AM,36.089298,-86.649956,13510,PED_SIGNAL,true,true,true,true,true,true,true,The push button is silver with a yellow housing and a black arrow.,true,true,true,false,42,9,8,,The push button and signal light are both in good working condition and free of any issues.,POINT (-86.649956 36.089298)
3915,Harding Pike,Woodlawn Dr,Southeast,Greg Roddy,04/24/2019 12:00:00 AM,36.127499,-86.843658,10315,NA,false,,,,,,,"There is no push button for this crosswalk, however there is a Ped signal light.",,,,,,,,,There is no push button for this crosswalk. The Ped signal light is in good working condition.,POINT (-86.843658 36.127499)
4514,Madison Boulevard,Neelys Bend Road,Southwest,Jeff Pedine,04/05/2019 12:00:00 AM,36.255619,-86.707405,5201,PED_SIGNAL,true,true,true,true,true,true,true,,true,true,true,true,44,10,3,,"The push button shows good working order, properly spaced, visual contrast, and audio/visual indicators.",POINT (-86.707405 36.255619)
2710,Centennial Blvd,51st Ave N,Northeast,Greg Roddy,04/25/2019 12:00:00 AM,36.162453,-86.848999,9107,PED_SIGNAL,true,true,true,true,true,true,true,The push button is black with a yellow housing and a chrome arrow.,true,true,true,true,42,12,10,,The push button and signal light are both in good working condition and free of any issues.,POINT (-86.848999 36.162453)
4706,Old hickory blvd,Old hickory blvd,Southeast,Chase Clark,04/23/2019 12:00:00 AM,36.170792,-86.601418,97032,NA,false,,,,,,,,,,,,,,,,No push button or pedestrian signals,POINT (-86.601418 36.170792)
4398,Entrance leading to averitt,Murfreesboro pk,Southeast,Jacob Locey,04/18/2019 12:00:00 AM,36.10902,-86.680061,12016,PED_SIGNAL,true,true,true,true,true,true,true,"Black arrow, chrome button, with yellow housing.",true,true,true,false,42,9,13,Two push buttons are located on one pole. No sidewalk leading to landing. Landing covered with debris.,Push button and pedestrian signal are operational.,POINT (-86.680061 36.10902)
4250,Donaldson,Lebanon pike,Southeast,Chase Clark,04/18/2019 12:00:00 AM,36.167431,-86.663124,96014,PED_SIGNAL,true,false,true,false,true,false,false,Old small button yellow housing,true,false,true,false,45,14,16,Father than 10”,"Button #1 on same poll,old small yellow button. Push button working properly and pedestrian signals",POINT (-86.663124 36.167431)
3290,Dickerson Pike,W Trinity Lane,Southwest,Jeff Pedine,04/26/2019 12:00:00 AM,36.205708,-86.768936,7107,PED_SIGNAL,true,false,true,false,true,false,false,The push button is small and has no visible or audible indicators.,true,true,true,false,51,8,3,The push button is separated from the adjacent button by only 1’.,The push button is small and has no visible or audible indicators. It is also separated from the adjacent button by only 1’.,POINT (-86.768936 36.205708)
3172,McFerrin,Cleveland t,Northeast,Chase Clark,04/25/2019 12:00:00 AM,36.184288,-86.754601,82082,PED_SIGNAL,true,true,true,true,true,true,true,Chrome arrow yellow housing,true,true,true,true,42,9,11,,Push button and pedestrian signals working properly,POINT (-86.754601 36.184288)
4135,Warfield Dr,Hillsboro Pk,Northwest,Greg Roddy,04/17/2019 12:00:00 AM,36.103477,-86.816185,13102,PED_SIGNAL,true,true,true,true,true,false,false,The push button is chrome with a black housing. There is no visual or audible indicator.,true,true,true,true,45,8,12,The push button is 45” high from the landing.,There is no visual or audible indicators. The push button is 45” high from the landing. The push button and signal light are both in good working condition and free of any other issues.,POINT (-86.816185 36.103477)
3880,Trousdale Dr,Harding Place,Southwest,Greg Roddy,04/16/2019 12:00:00 AM,36.080986,-86.75856,14604,PED_SIGNAL,true,true,true,true,false,true,true,The push button is black with a black housing and a chrome arrow.,true,true,true,true,42,4,2,,The push button and signal light are both in good working condition and free of any issues.,POINT (-86.75856 36.080986)
2003,Horton ave,12th ave s,Southeast,Jacob Locey,04/25/2019 12:00:00 AM,36.139713,-86.78746,10505,PED_SIGNAL,true,true,true,true,true,true,true,"Chrome arrow, black button, with black housing.",true,true,false,true,39,8,9,Arrow on push button is not parallel with crosswalk.,Push button and pedestrian signal are operational.,POINT (-86.78746 36.139713)
4616,Natchez ct,Nolensville pk,Northeast,Jacob Locey,04/17/2019 12:00:00 AM,36.09354,-86.736153,13306,PED_SIGNAL,true,true,true,true,true,true,true,"Chrome arrow, black button, with yellow housing.",true,true,true,true,42,7,10,No issues observed.,Push button and pedestrian signal are operational.,POINT (-86.736153 36.09354)
3571,W eastland ave,Gallatin ave,South,Chase Clark,04/24/2019 12:00:00 AM,36.183281,-86.748543,83031,PED_SIGNAL,true,true,true,true,false,false,true,Old chrome button yellow housing,true,true,true,true,42,1,9,,Push button and pedestrian signals working properly,POINT (-86.748543 36.183281)
4764,Martingale Drive,Robinson Road,Northwest,Jeff Pedine,04/10/2019 12:00:00 AM,36.257908,-86.657074,5302,PED_SIGNAL,true,true,true,true,true,true,true,,true,true,true,false,32,10,0,The push button is low in height (32”) and separated from the adjacent button by only 6”.,The push button is low in height (32”) and separated from the adjacent button by only 6”.,POINT (-86.657074 36.257908)
2010,South st,12th ave s,Southwest,Jacob Locey,04/25/2019 12:00:00 AM,36.147274,-86.785873,10501,PED_SIGNAL,true,true,true,true,true,true,true,"Chrome arrow, black button, with black housing.",false,false,true,true,48,2.5,20.5,Complaint landing is 11’ away from push button.,Push button and pedestrian signal are operational.,POINT (-86.785873 36.147274)
4415,Murfreesboro pk,Dell pkwy,Southwest,Jacob Locey,04/18/2019 12:00:00 AM,36.107731,-86.677177,12016,PED_SIGNAL,true,true,true,true,true,true,true,"Black button, chrome arrow, with yellow housing.",true,true,true,true,42,3.5,9,No issues observed.,Push button and pedestrian signal are operational.,POINT (-86.677177 36.107731)
2630,42nd Ave N,Charlotte Ave,Northwest,Greg Roddy,04/25/2019 12:00:00 AM,36.152473,-86.837181,9116,PED_SIGNAL,true,true,true,true,false,true,true,The push button is black with a black housing and a chrome arrow.,false,false,false,true,43,2,4,There is no landing at this push button. The push button is 43” high and only 24” from the curb.,There is no landing at this push button. The push button is 43” high and only 24” from the curb. The Ped signal light is in good working condition.,POINT (-86.837181 36.152473)
4325,Lebanon Pike,Old Hickory Boulevard,Southeast,Jeff Pedine,04/18/2019 12:00:00 AM,36.198383,-86.62001,7509,PED_SIGNAL,true,true,true,true,true,true,true,,true,true,true,false,42,7,4,The push button is only separated from the adjacent button by 6”.,The push button is only separated from the adjacent button by 6”.,POINT (-86.62001 36.198383)
4238,Lebanon pike,Lebanon pike,North,Chase Clark,04/22/2019 12:00:00 AM,36.168171,-86.691139,95022,PED_SIGNAL,true,true,true,true,true,true,true,Chrome arrow black housing button sign present,false,false,false,true,42,,,No curb ramp or crosswalk,Push button working properly,POINT (-86.691139 36.168171)
3730,Gallatin Pike,E Trinity Lane,Northwest,Jeff Pedine,04/23/2019 12:00:00 AM,36.203632,-86.73867,7206,NA,false,,,,,,,,,,,,,,,,There is no push button at this location.,POINT (-86.73867 36.203632)
3870,Tampa Dr,Harding Place,West,Greg Roddy,04/09/2019 12:00:00 AM,36.082787,-86.710686,13413,PED_SIGNAL,true,true,true,true,true,true,true,The push button is black with a yellow housing and a chrome arrow.,true,false,true,true,42,12,12,The push button is 18” from the landing.,The push button is 18” from the landing. The push button and signal light are both in good working condition and free of any other issues.,POINT (-86.710686 36.082787)
3960,White Bridge Rd,Harding Pike,West,Greg Roddy,04/19/2019 12:00:00 AM,36.125008,-86.847816,11603,PED_SIGNAL,true,true,true,true,false,false,false,The push button is black with a black housing and a chrome arrow. The visual and audible indicators do not work.,true,true,true,true,58,10,1,The push button is 58” high from the landing.,The push button is 58” high from the landing. The visual and audible indicators do not work. The Ped signal light is in good working condition.,POINT (-86.847816 36.125008)
4225,Andrew Jackson Parkway,Lebanon Pike,Southeast,Jeff Pedine,04/19/2019 12:00:00 AM,36.214989,-86.597496,6416,PED_SIGNAL,true,true,true,true,true,true,true,,true,true,true,true,42,8,2,,"The push button shows good working order, properly spaced, visual contrast, and audio/visual indicators.",POINT (-86.597496 36.214989)
4180,Interstate dr,Woodland st,Southeast,Chase Clark,04/26/2019 12:00:00 AM,36.170315,-86.768295,82153,PED_SIGNAL,true,true,true,true,true,false,false,Old round chrome button yellow housing,true,false,true,true,48,14,16,,Push button and pedestrian signals working properly,POINT (-86.768295 36.170315)
4473,Ransom Place,Murfreesboro Pike,Northeast,Greg Roddy,04/11/2019 12:00:00 AM,36.089279,-86.649933,13510,PED_SIGNAL,true,true,true,true,true,true,true,The push button is silver with a yellow housing and a black arrow.,true,true,true,false,42,13,9,,,POINT (-86.649933 36.089279)
4533,Nolensville Road,Lenox Village Dr,Northeast,Greg Roddy,04/12/2019 12:00:00 AM,36.025597,-86.712914,17212,NA,false,,,,,,,"There is no push button for this crosswalk, however there is a Ped signal light.",,,,,,,,,There is no push button for this crosswalk. The ped signal light is in good working condition.,POINT (-86.712914 36.025597)
1610,Bradford ave,8th ave s,Southeast,Jacob Locey,04/24/2019 12:00:00 AM,36.128571,-86.777756,10514,PED_SIGNAL,true,true,true,true,true,true,true,"Chrome arrow, black button, with black housing.",true,true,true,true,42,6,12,No issues observed.,Push button and pedestrian signal are operational.,POINT (-86.777756 36.128571)
2820,Woodland st,S 10st,South,Chase Clark,04/24/2019 12:00:00 AM,36.176895,-86.751343,83093,PED_SIGNAL,true,true,true,true,true,true,false,Chrome button black housing,true,true,true,false,42,5,12,,Push button and pedestrian signals working properly,POINT (-86.751343 36.176895)
4725,Old Hickory Blvd,Health Parks Dr,Northwest,Greg Roddy,04/15/2019 12:00:00 AM,36.041039,-86.773544,16014,NA,false,,,,,,,"There is no push button for this crosswalk, however there is a Ped signal light.",,,,,,,,,There is no push button for this crosswalk. The Ped signal light is in good working condition.,POINT (-86.773544 36.041039)
3130,Charlotte Pk,Annex Avenue,Northeast,Greg Roddy,04/22/2019 12:00:00 AM,36.139233,-86.880569,10208,NA,false,,,,,,,"There is no push button for this crosswalk, however there is a Ped signal light.",,,,,,,,,There is no push button for this crosswalk. The Ped signal light is in good working condition.,POINT (-86.880569 36.139233)
4431,Murfreesboro pk,Lester ave,Southwest,Jacob Locey,04/24/2019 12:00:00 AM,36.145481,-86.752777,10504,PED_SIGNAL,true,true,true,true,true,true,true,"Black arrow, chrome button, with yellow housing.",true,false,true,false,42,15,18,Two push buttons are located on one pole. Push button is 18” away from compliant landing,Push button and pedestrian signal are operational.,POINT (-86.752777 36.145481)
