ADDRESS,PERMIT,Permit Status,Inspection Date,Inspection Type,Inspection Result,Latitude/Longitude
1446 W 69TH ST,14014 70000 00287,CofO Issued,07/22/2016,Inspection,Permit Finaled,"(33.97689, -118.30181)"
6750 N DE SOTO AVE STE B,04016 10000 21187,Issued,07/21/2016,Smoke Detectors,Conditional Approval,"(34.19316, -118.58808)"
877 S FRANCISCO ST,15010 10000 02366,Issued,07/20/2016,Deputy Grading,Approved,"(34.04799, -118.26363)"
6539 N GAVIOTA AVE,14047 20000 01746,CofO Issued,07/20/2016,CofO Issuance,CofO Issued,"(34.1898, -118.48167)"
11933 W ALLEGHENY ST,15010 10001 03635,Issued,07/19/2016,Deputy Steel/Welding,Conditional Approval,"(34.23744, -118.39294)"
11933 W ALLEGHENY ST,15010 10001 03635,Issued,07/19/2016,Deputy Steel/Welding,Conditional Approval,"(34.23744, -118.39294)"
275 W CENTER WAY,15020 10000 00585,CofO in Progress,07/19/2016,Final,Conditional Approval,"(33.94386, -118.4047)"
649 N CROSS AVE,13010 10000 03132,Issued,07/19/2016,Footing/Foundation/Slab,Partial Approval,"(34.1074, -118.20985)"
1150 W 25TH ST,16016 70001 06892,Issued,07/22/2016,Final,Insp Scheduled,"(34.03339, -118.28536)"
1332 N EL HITO CIR,15043 20000 03270,Permit Finaled,07/18/2016,Final,Not Ready for Inspection,"(34.05988, -118.54254)"
14111 W BERESFORD ROAD,14030 20000 00267,Issued,07/20/2016,Rough,Approved,"(34.13316, -118.43859)"
19401 W PARTHENIA ST,14043 20000 04721,Issued,07/20/2016,Final,Partial Approval,"(34.22847, -118.55614)"
10213 N GLORY AVE,16016 90000 04356,Issued,07/22/2016,ELECTRICAL-Final,Insp Scheduled,"(34.25427, -118.28119)"
5318 N WALDO PL,16016 10000 16302,Issued,07/19/2016,Green Building Rough,Insp Cancelled,"(34.14294, -118.19067)"
1433 N WATERLOO ST,14010 10000 03931,Issued,07/18/2016,Floor/Roof Diaphrgm/Shear Wall,Partial Approval,"(34.08283, -118.26446)"
4424 N VAN NOORD AVE,15010 20000 03082,Issued,07/19/2016,BUILDING-Rough-Frame,Partial Approval,"(34.15114, -118.41483)"
9235 N SOPHIA AVE,16016 10000 15438,Issued,07/22/2016,Final,Insp Scheduled,"(34.23849, -118.48849)"
1251 W 2ND ST,15030 10000 06447,Issued,07/19/2016,Final,Partial Inspection,"(33.74232, -118.30319)"
1400 N STANLEY AVE,15020 10001 03138,Issued,07/22/2016,Excavation/Setback/Form/Re-Bar,Partial Approval,"(34.09667, -118.35591)"
6067 W WILSHIRE BLVD,13014 10006 03762,Issued,07/20/2016,Piling/Pier/Caisson,Partial Inspection,"(34.0631, -118.36086)"
12144 W WIXOM ST,16016 90000 16841,Issued,07/22/2016,Floor/Roof Diaphrgm/Shear Wall,Approved,"(34.2111, -118.39812)"
1318 E 7TH ST,16041 10000 00572,Issued,07/18/2016,Rough,Partial Inspection,"(34.03608, -118.24052)"
535 S KINGSLEY DR,13010 10000 04235,Issued,07/22/2016,Excavation/Setback/Form/Re-Bar,Insp Scheduled,"(34.06429, -118.30303)"
3911 S FIGUEROA ST,16020 10000 00746,Issued,07/19/2016,Footing/Foundation/Slab,Approved,"(34.01366, -118.28294)"
7233 N TUJUNGA AVE,16041 90000 08626,Permit Finaled,07/21/2016,Final,Permit Finaled,"(34.20213, -118.37921)"
1138 N LE GRAY AVE,16016 70000 09600,Issued,07/20/2016,Shower Pan,Approved,"(34.12293, -118.19209)"
15542 W COBALT ST,16016 20000 09646,Issued,07/19/2016,Interior/Exterior Lathing,Partial Approval,"(34.30598, -118.47046)"
21901 W ERWIN ST,15020 10000 00839,Issued,07/20/2016,Plumbing Verification,CofO on Hold,"(34.18301, -118.60425)"
1403 N SEWARD ST,16042 70001 11557,Permit Finaled,07/18/2016,Final,Permit Finaled,"(34.09656, -118.33344)"
970 N MORAGA DR,14014 20004 03823,Issued,07/19/2016,Green Building Rough,Not Ready for Inspection,"(34.08202, -118.46797)"
13230 N HERRICK AVE,10014 20000 04575,Issued,07/22/2016,Final,Insp Scheduled,"(34.31128, -118.4607)"
939 S FIGUEROA ST,15042 10000 24032,Issued,07/22/2016,Rough,Insp Scheduled,"(34.04538, -118.26389)"
8130 N WAKEFIELD AVE,13014 70000 05506,Issued,07/22/2016,BUILDING-Rough-Frame,Approved,"(34.21854, -118.44263)"
4348 W SUNSET BLVD,16041 10000 01435,Issued,07/22/2016,Final,Insp Scheduled,"(34.09528, -118.28388)"
7188 W SUNSET BLVD,16020 10000 01968,Permit Finaled,07/18/2016,Final,Permit Finaled,"(34.09782, -118.3467)"
1012 W PAPEETE ST,15042 70000 21009,Issued,07/19/2016,Final,Corrections Issued,"(33.78691, -118.27543)"
10979 W BLUFFSIDE DR,16043 10000 03010,Issued,07/19/2016,Rough,Partial Inspection,"(34.14174, -118.36926)"
16735 W MARQUEZ TER,15014 10002 00619,Issued,07/22/2016,Footing/Foundation/Slab,Not Ready for Inspection,"(34.04759, -118.54591)"
804 W SOLANO AVE,15041 10000 36946,Issued,07/19/2016,Service/Power Release,Corrections Issued,"(34.07825, -118.2348)"
1 E EASTWIND ST 302,13014 10000 01257,Issued,07/21/2016,SGSOV-Seismic Gas S/O Valve,SGSOV Approved,"(33.97668, -118.46445)"
2484 N ROSCOMARE ROAD,15014 30000 01934,Issued,07/19/2016,PLUMBING-Rough,Partial Approval,"(34.12205, -118.46354)"
1027 W WEST 34TH ST,15042 10000 17891,Issued,07/18/2016,Shower Pan,Partial Approval,"(34.02481, -118.28857)"
10000 W SANTA MONICA BLVD 1-283,15042 10000 25123,Issued,07/20/2016,Bathtub Test,Partial Approval,"(34.06364, -118.41437)"
4788 N BURGUNDY ROAD TEMP,15041 30000 04518,Permit Finaled,07/23/2016,Final,Permit Finaled,"(34.15657, -118.62244)"
6253 N AUCKLAND AVE,14010 10000 00943,CofO Issued,07/20/2016,Inspection,Permit Finaled,"(34.18453, -118.36062)"
6253 N AUCKLAND AVE,14010 10000 00943,CofO Issued,07/20/2016,Inspection,Permit Finaled,"(34.18453, -118.36062)"
189 S THE GROVE DR G5,16041 10000 23654,Issued,07/22/2016,T-Bar Ceiling,Insp Scheduled,"(34.07125, -118.35662)"
990 W 190TH ST 6TH FL,16041 10000 17727,Issued,07/22/2016,Rough,Insp Scheduled,"(33.85813, -118.29505)"
5253 N VANTAGE AVE 1-18,15041 10000 39664,Issued,07/20/2016,Rough,Partial Inspection,"(34.16639, -118.3984)"
345-347 W 73RD ST,15010 10000 02657,Issued,07/19/2016,HVAC-Final,Approved,"(33.97381, -118.27996)"
311 N GAFFEY ST,14030 20000 04833,Issued,07/19/2016,Bottom/Toe,Partial Inspection,"(33.74529, -118.29249)"
2420 N ECHO PARK AVE,16042 90000 14612,Issued,07/20/2016,Final,Corrections Issued,"(34.09474, -118.24809)"
21650 W OXNARD ST,16016 10000 12100,Issued,07/19/2016,Drywall Nailing,Approved,"(34.17901, -118.60107)"
9859 N SAN FERNANDO ROAD,13010 20000 01099,Issued,07/20/2016,Reinforced Masonry Frame,Not Ready for Inspection,"(34.24923, -118.40471)"
6147 N BEEMAN AVE,14047 20000 00469,Issued,07/18/2016,Final,Not Ready for Inspection,"(34.18251, -118.40749)"
100 S DOHENY DR #715,16042 10000 14156,Permit Finaled,07/18/2016,Final,Permit Finaled,"(34.07508, -118.38955)"
2436 N ECHO PARK AVE 6,16016 30000 08489,Permit Finaled,07/20/2016,Final,Permit Finaled,"(34.09492, -118.24878)"
1540 N ANGELUS AVE,16014 10000 00629,Issued,07/19/2016,Final,Not Ready for Inspection,"(34.08658, -118.2676)"
340 S CATALINA ST #2,16016 20000 16713,Issued,07/22/2016,Drywall Nailing,Insp Scheduled,"(34.0678, -118.29525)"
10979 W BLUFFSIDE DR,16041 10000 20219,Issued,07/21/2016,Final,Insp Scheduled,"(34.14174, -118.36926)"
435 N FLORES ST,16041 10000 10383,Permit Finaled,07/21/2016,Final,Permit Finaled,"(34.07917, -118.3712)"
301 WORLD WAY,16041 90000 25366,Issued,07/20/2016,Construction Power(CTS),Not Ready for Inspection,"(33.94423, -118.40709)"
928 S BROADWAY,13010 10000 02211,Issued,07/22/2016,Deputy Reinf. Concrete,Conditional Approval,"(34.04157, -118.25655)"
3085 N FRANKLIN CANYON DR,12020 20001 00581,Permit Finaled,07/21/2016,Final,Permit Finaled,"(34.12877, -118.40759)"
2753 W WAVERLY DR BLDG 6,15044 10000 12452,Issued,07/21/2016,Rough-A/C and Heating,Partial Approval,"(34.10855, -118.26334)"
1601 N SAN ONOFRE DR,13014 10000 02002,Issued,07/22/2016,Rough-Elec/Plmb/HVAC,Insp Scheduled,"(34.06191, -118.50471)"
5015 N BALBOA BLVD #101-#410,13010 20000 02587,Issued,07/22/2016,Insulation,Insp Scheduled,"(34.16219, -118.50134)"
1006 S WEYMOUTH AVE,15010 20000 01304,Issued,07/19/2016,Smoke Detectors,Approved,"(33.73511, -118.30955)"
3164 S CURTS AVE,16041 90000 25528,Issued,07/21/2016,Construction Power(CTS),Approved,"(34.03034, -118.38783)"
1245 W WILSHIRE BLVD 2ND-9TH FL,16041 10000 17617,Issued,07/19/2016,Rough,Cancelled,"(34.05373, -118.26606)"
3651 S WATT WAY,16042 10000 13012,Issued,07/18/2016,Rough,Corrections Issued,"(34.02013, -118.28812)"
8710 S EMERSON AVE BLDG 1,16016 10000 09191,Issued,07/22/2016,Interior/Exterior Lathing,Insp Scheduled,"(33.95858, -118.40418)"
225 E 31ST ST,16014 70000 01242,Issued,07/21/2016,Green Building Rough,Not Ready for Inspection,"(34.02024, -118.26911)"
1500 S STADIUM WAY,16016 10000 15549,Issued,07/20/2016,PLUMBING-Rough,Not Ready for Inspection,"(34.06872, -118.23824)"
8231 N TEESDALE AVE,16014 20000 01624,Issued,07/19/2016,Interior/Exterior Lathing,Not Ready for Inspection,"(34.22081, -118.41133)"
823 N MANSFIELD AVE,15010 20000 02612,CofO Issued,07/23/2016,Inspection,Permit Finaled,"(34.08601, -118.34073)"
823 N MANSFIELD AVE,15010 20000 02612,CofO Issued,07/23/2016,Inspection,Permit Finaled,"(34.08601, -118.34073)"
1443 W BELLEVUE AVE,15014 10000 05716,Issued,07/19/2016,HVAC-Final,Approved,"(34.06893, -118.25716)"
1901 S FIGUEROA ST,16019 10001 01975,Issued,07/19/2016,Sewer or Sewer Cap,Not Ready for Inspection,"(34.0343, -118.27237)"
249 E 93RD ST,16014 70000 02095,Issued,07/21/2016,ELECTRICAL-Final,Insp Scheduled,"(33.95204, -118.27003)"
12360 W OSBORNE PL 21,13010 20000 04182,Issued,07/18/2016,Rough-Elec/Plmb/HVAC,Insp Cancelled,"(34.25922, -118.40237)"
617 W 7TH ST #303,16016 10000 07902,Permit Finaled,07/21/2016,Smoke Detectors,Approved,"(34.04779, -118.2571)"
225 S LINCOLN BLVD,16016 70000 02209,Permit Finaled,07/18/2016,Final,Permit Finaled,"(34.00183, -118.46926)"
184 S CARMELINA AVE,16047 30000 00651,Issued,07/22/2016,Grounding or Bonding,Insp Scheduled,"(34.05571, -118.48028)"
7352 W 82ND ST,15014 30000 05370,Issued,07/22/2016,BUILDING-Rough-Frame,Insp Scheduled,"(33.96209, -118.42541)"
2910 W BEVERLY BLVD,16016 10000 07457,Permit Finaled,07/18/2016,Final,Permit Finaled,"(34.07099, -118.28068)"
2407-2419 E 1ST ST,16020 10000 00419,Issued,07/18/2016,Deputy Reinf. Concrete,Conditional Approval,"(34.04369, -118.20936)"
5434 N RHODES AVE,16042 90000 14489,Issued,07/18/2016,Final,Not Ready for Inspection,"(34.16954, -118.40302)"
6150 W 96TH ST,15010 10000 03058,Issued,07/19/2016,Final,Conditional Approval,"(33.94871, -118.39284)"
2709 E CAMULOS PL,15016 20000 14580,Issued,07/20/2016,SGSOV-Seismic Gas S/O Valve,SGSOV Not Ready,"(34.02601, -118.21715)"
416 W 8TH ST,14016 10001 24095,Issued,07/19/2016,Deputy Steel/Welding,Partial Approval,"(34.04471, -118.25646)"
1403 N MANSFIELD AVE,15014 10000 05951,Issued,07/18/2016,Final,Not Ready for Inspection,"(34.09634, -118.34065)"
3212 W 74TH ST,16042 90000 14502,Permit Finaled,07/19/2016,Final,Permit Finaled,"(33.9726, -118.32911)"
1842 N CHEROKEE AVE,13016 10000 20471,Issued,07/22/2016,Final,Insp Scheduled,"(34.1044, -118.33463)"
3580 W 3RD ST,16042 10000 13646,Issued,07/21/2016,Underground,Partial Inspection,"(34.06889, -118.29371)"
1432 N DEVLIN DR,14030 30000 02656,Issued,07/22/2016,Irrigation/Landscape,Insp Scheduled,"(34.09497, -118.3872)"
14122 W WILLOW LANE,14010 20000 00721,Issued,07/19/2016,Verify Sprinkler Sign Off,Approved,"(34.20283, -118.44096)"
3975 S MICHAEL AVE,16014 10000 02394,Issued,07/19/2016,Interior/Exterior Lathing,Partial Approval,"(33.99447, -118.44106)"
5100 W WILSHIRE BLVD,16041 20000 07794,Issued,07/21/2016,Rough,Insp Scheduled,"(34.06187, -118.34094)"
3501 S TROUSDALE PKWY,16016 10000 12090,Issued,07/19/2016,Partition/T-Bar Ceiling,Conditional Approval,"(34.02194, -118.28455)"
725 S FIGUEROA ST STE.4150,16044 10000 02850,Issued,07/21/2016,Final,Insp Cancelled,"(34.04886, -118.26071)"
1026 S BROADWAY,13042 10000 22534,Issued,07/19/2016,Rough,Insp Scheduled,"(34.04029, -118.25788)"
10335 W ALMAYO AVE,16016 10000 10179,Issued,07/21/2016,Wood Frame,Approved,"(34.04857, -118.41538)"
6532 N CLEOMOORE AVE,15014 20000 05094,Issued,07/21/2016,Final,Conditional Approval,"(34.18905, -118.651)"
5304 N VANALDEN AVE,15030 20000 03555,Issued,07/21/2016,Rough,Not Ready for Inspection,"(34.16722, -118.54988)"
5500 N NEWCASTLE AVE,15016 10000 25905,Issued,07/22/2016,Deputy Steel/Welding,Insp Scheduled,"(34.17052, -118.52419)"
7034 N TAMPA AVE,16041 90000 22911,Issued,07/22/2016,Final,Insp Scheduled,"(34.19844, -118.55331)"
1003 N CASIANO ROAD,16016 30000 10301,Permit Finaled,07/20/2016,Final,Permit Finaled,"(34.08133, -118.47082)"
1601 W 11TH PL 10,16041 70000 17250,Issued,07/21/2016,Final,Corrections Issued,"(34.04713, -118.27563)"
631 W JEFFERSON BLVD,15043 10000 04522,Issued,07/21/2016,Weld,Insp Scheduled,"(34.02254, -118.28097)"
3131 S HOOVER ST Bldg#9,14042 10000 21847,Issued,07/19/2016,Bathtub Test,Insp Scheduled,"(34.02591, -118.28536)"
1912 S TUDOR LANE,15010 20000 04425,Issued,07/22/2016,Drywall Nailing,Approved,"(34.04078, -118.37061)"
2138 N MICHELTORENA ST,15030 20000 05881,Permit Finaled,07/18/2016,Final,Permit Finaled,"(34.09913, -118.26949)"
1016 N MAYBROOK DR,16042 90000 14261,Issued,07/22/2016,Final,Insp Scheduled,"(34.08977, -118.4296)"
11761 W CRESCENDA ST,15010 10000 04061,Issued,07/18/2016,Reinforced Masonry Frame,Approved,"(34.0673, -118.47382)"
5771 W VALLEY OAK DR,16047 10001 00658,Issued,07/21/2016,Excavation/Setback/Form/Re-Bar,Cancelled,"(34.11045, -118.31471)"
1945 S COVINGTON LANE,15010 20000 03106,Issued,07/19/2016,Smoke Detectors,Approved,"(34.04035, -118.372)"
9251 N LEMONA AVE,15030 10000 03316,Issued,07/19/2016,Deputy Grading,Approved,"(34.23822, -118.45897)"
376 S LA JOLLA AVE,16016 30000 07161,Permit Finaled,07/18/2016,Final,Permit Finaled,"(34.07094, -118.36743)"
6006 S BRYNHURST AVE,16042 70000 05582,Issued,07/22/2016,Rough,Insp Scheduled,"(33.98511, -118.33363)"
581 S BURLINGAME AVE,15047 30000 01404,Issued,07/20/2016,Grading Verification,Not Applicable,"(34.0462, -118.48569)"
