Address,Type,Datetime,Latitude,Longitude,Report Location,Incident Number
3907 Sw Hinds St,Fire in Single Family Res,06/06/2019 06:01:00 AM,47.573151,-122.381462,POINT (-122.381462 47.573151),F190058696
101 Westlake Av N,Aid Response,06/06/2019 06:06:00 AM,47.618534,-122.338485,POINT (-122.338485 47.618534),F190058699
1648 S Lane St,Aid Response,05/23/2019 03:15:00 PM,47.596649,-122.310953,POINT (-122.310953 47.596649),F190052391
500 5th Av,Aid Response,05/23/2019 03:19:00 PM,47.602985,-122.328535,POINT (-122.328535 47.602985),F190052392
111 Cedar St,Aid Response,04/25/2019 08:10:56 PM,47.615877,-122.35052,POINT (-122.35052 47.615877),F190041551
24th Av / E Columbia St,Investigate Out Of Service,04/25/2019 05:40:11 PM,47.609016,-122.301464,POINT (-122.301464 47.609016),F190041506
3233 Sw Avalon Way,Aid Response,04/25/2019 05:30:11 PM,47.564417,-122.372777,POINT (-122.372777 47.564417),F190041500
1010 Spring St,Rescue Elevator,04/25/2019 05:16:19 PM,47.609634,-122.326789,POINT (-122.326789 47.609634),F190041495
318 2nd Av Et S,Trans to AMR,06/06/2019 06:26:00 AM,47.600194,-122.330541,POINT (-122.330541 47.600194),F190058701
8732 Phinney Av N,Aid Response,06/06/2019 06:34:00 AM,47.692601,-122.353952,POINT (-122.353952 47.692601),F190058703
Nb I5 At Lakeview,MVI Freeway,06/30/2019 03:40:00 PM,47.629452,-122.326694,POINT (-122.326694 47.629452),F190068588
7758 14th Av Nw,Auto Fire Alarm,06/30/2019 03:42:00 PM,47.685418,-122.374094,POINT (-122.374094 47.685418),F190068589
,Rescue Confined Space,06/06/2019 10:40:00 AM,,,,F190058793
3527 Chelan Av Sw,Aid Response,06/30/2019 05:38:00 PM,47.571829,-122.360948,POINT (-122.360948 47.571829),F190068640
5902 Lake Washington Blvd S,Brush Fire,06/30/2019 05:38:00 PM,47.550605,-122.258063,POINT (-122.258063 47.550605),F190068641
1604 Ne 50th St,Aid Response,11/02/2020 12:30:00 PM,47.664884,-122.310756,POINT (-122.310756 47.664884),F200108487
Ne 55th St / Sand Point Way Ne,Triaged Incident,09/21/2019 12:34:00 AM,47.668501,-122.273383,POINT (-122.273383 47.668501),F190101083
3820 Rainier Av S,Triaged Incident,05/21/2020 09:14:00 PM,47.569608,-122.290486,POINT (-122.290486 47.569608),F200048431
4219 S Othello St,4RED - 2 + 1 + 1,08/19/2019 08:01:00 PM,47.53705,-122.280473,POINT (-122.280473 47.53705),F190088782
E Pine St / Melrose Av,Aid Response,08/19/2019 08:05:00 PM,47.615238,-122.327904,POINT (-122.327904 47.615238),F190088784
4535 University Way Ne,Aid Response,08/19/2019 08:13:00 PM,47.661582,-122.313125,POINT (-122.313125 47.661582),F190088785
8323 39th Av S,Aid Response,05/15/2019 07:30:00 PM,47.52896,-122.283666,POINT (-122.283666 47.52896),F190049541
1128 13th Av,Alarm Bell,05/15/2019 07:32:00 PM,47.611679,-122.315437,POINT (-122.315437 47.611679),F190049542
9201 13th Av Sw,Aid Response,05/15/2019 07:33:00 PM,47.521001,-122.351703,POINT (-122.351703 47.521001),F190049543
11052 12th Av Ne,Aid Response,05/15/2019 07:34:00 PM,47.709253,-122.315199,POINT (-122.315199 47.709253),F190049544
S Alaska St / Rainier Av S,Aid Response,05/15/2019 07:36:00 PM,47.560748,-122.287027,POINT (-122.287027 47.560748),F190049545
2208 15th Av W,Aid Response,09/10/2019 01:41:00 PM,47.638695,-122.376149,POINT (-122.376149 47.638695),F190097153
9446 5th Av Sw,Aid Response,05/15/2019 07:45:00 PM,47.518682,-122.341609,POINT (-122.341609 47.518682),F190049546
4045 Delridge Way Sw,Aid Response,09/10/2019 01:43:00 PM,47.567516,-122.363295,POINT (-122.363295 47.567516),F190097154
400 Pine St,Medic Response,05/15/2019 07:56:00 PM,47.611207,-122.337592,POINT (-122.337592 47.611207),F190049548
413 Ne 70th St,Medic Response,05/15/2019 07:56:00 PM,47.67914,-122.324169,POINT (-122.324169 47.67914),F190049550
601 Alaskan Way,Aid Response,09/04/2020 07:18:00 PM,47.601718,-122.336582,POINT (-122.336582 47.601718),F200088197
144 N 130th St,Aid Response,07/10/2019 01:13:00 PM,47.723241,-122.356821,POINT (-122.356821 47.723241),F190072622
405 M L King Jr Way S,Aid Response,07/10/2019 01:14:00 PM,47.599173,-122.297417,POINT (-122.297417 47.599173),F190072623
20th Av Nw / Nw 56th St,Aid Response,07/10/2019 01:16:00 PM,47.669447,-122.382127,POINT (-122.382127 47.669447),F190072624
521 S Weller St,Trans to AMR,05/02/2019 01:16:00 PM,47.597517,-122.327395,POINT (-122.327395 47.597517),F190044179
1925 1st Av,Aid Response,05/02/2019 01:21:00 PM,47.61048,-122.341617,POINT (-122.341617 47.61048),F190044181
12300 33rd Av Ne,Medic Response,05/02/2019 01:21:00 PM,47.717343,-122.292781,POINT (-122.292781 47.717343),F190044182
3122 W Emerson St,Aid Response,05/02/2019 01:26:00 PM,47.654064,-122.397204,POINT (-122.397204 47.654064),F190044183
4332 31st Av W,Aid Response,05/02/2019 01:28:00 PM,47.658865,-122.397033,POINT (-122.397033 47.658865),F190044184
747 N 135th St,Medic Response,05/30/2019 03:09:00 PM,47.726864,-122.348012,POINT (-122.348012 47.726864),F190056121
8th Av S / S Weller St,Aid Response,05/02/2019 01:33:00 PM,47.597509,-122.322452,POINT (-122.322452 47.597509),F190044185
10330 Meridian Av N,Medic Response,05/23/2019 11:54:00 AM,47.703486,-122.333907,POINT (-122.333907 47.703486),F190052313
420 4th Av,Aid Response,05/23/2019 11:56:00 AM,47.601986,-122.32914,POINT (-122.32914 47.601986),F190052315
1000 4th Av S,Aid Response,05/23/2019 11:57:00 AM,47.594333,-122.329049,POINT (-122.329049 47.594333),F190052318
1000 4th Av S,Aid Response,05/23/2019 11:58:00 AM,47.594333,-122.329049,POINT (-122.329049 47.594333),F190052316
3039 Nw 71st St,Aid Response,05/23/2019 11:58:00 AM,47.68023,-122.396216,POINT (-122.396216 47.68023),F190052317
401 Broadway,Aid Response,05/23/2019 12:00:00 PM,47.605225,-122.32075,POINT (-122.32075 47.605225),F190052319
1101 Madison St,Medic Response- 7 per Rule,05/02/2019 01:53:00 PM,47.609343,-122.325128,POINT (-122.325128 47.609343),F190044186
10443 34th Av Sw,Medic Response,05/02/2019 01:58:00 PM,47.509597,-122.374625,POINT (-122.374625 47.509597),F190044189
2601 Elliott Av,Auto Fire Alarm,05/02/2019 01:58:00 PM,47.61392,-122.351402,POINT (-122.351402 47.61392),F190044188
720 8th Av S,Medic Response,05/02/2019 02:01:00 PM,47.596499,-122.322456,POINT (-122.322456 47.596499),F190044190
9259 18th Ave Sw,Aid Response,11/02/2020 12:31:00 PM,47.520698,-122.357805,POINT (-122.357805 47.520698),F200108488
7507 45th Ave S,Natural Gas Leak,11/02/2020 12:33:00 PM,47.535157,-122.276575,POINT (-122.276575 47.535157),F200108491
7516 Renton Av S,Aid Response,06/20/2019 03:43:00 AM,47.535046,-122.280245,POINT (-122.280245 47.535046),F190064351
2408 2nd Av,Aid Response,08/31/2019 02:23:00 AM,47.614848,-122.347021,POINT (-122.347021 47.614848),F190093186
1518 W Dravus St,Rescue Elevator,04/25/2019 05:34:58 PM,47.648473,-122.376818,POINT (-122.376818 47.648473),F190041502
4700 38th Av Sw,Aid Response,04/25/2019 05:29:52 PM,47.561082,-122.380063,POINT (-122.380063 47.561082),F190041499
1200 University St,Aid Response,04/25/2019 05:28:56 PM,47.611943,-122.325987,POINT (-122.325987 47.611943),F190041498
1050 James St,Rescue Elevator,04/25/2019 05:25:54 PM,47.606255,-122.323074,POINT (-122.323074 47.606255),F190041497
901 Boren Av,Aid Response,04/25/2019 05:22:37 PM,47.608624,-122.324487,POINT (-122.324487 47.608624),F190041496
13737 30th Av Ne,Medic Response- 7 per Rule,05/30/2019 11:27:00 AM,47.72818,-122.296431,POINT (-122.296431 47.72818),F190056038
651 N Northlake Way,Aid Response,05/30/2019 11:28:00 AM,47.648991,-122.350699,POINT (-122.350699 47.648991),F190056039
1504 Ne 90th St,Automatic Medical Alarm,05/30/2019 11:41:00 AM,47.693978,-122.312101,POINT (-122.312101 47.693978),F190056044
701 Union St,Medic Response- 6 per Rule,05/02/2019 01:03:00 PM,47.610617,-122.332441,POINT (-122.332441 47.610617),F190044173
1753 Nw 56th St,Aid Response,03/15/2020 11:51:00 AM,47.669446,-122.37945,POINT (-122.37945 47.669446),F200026597
2906 1st Av N,Aid Response,05/02/2019 01:07:00 PM,47.645873,-122.355532,POINT (-122.355532 47.645873),F190044175
3rd Av / Virginia St,Car Fire,05/02/2019 01:07:00 PM,47.612398,-122.340892,POINT (-122.340892 47.612398),F190044177
418 E Loretta Pl,Trans to AMR,08/30/2020 04:47:00 PM,47.619219,-122.326346,POINT (-122.326346 47.619219),F200086356
5100 S Wallace St,Aid Response Yellow,05/09/2020 01:59:00 AM,47.497618,-122.270269,POINT (-122.270269 47.497618),F200044235
3225 Benton Pl Sw,Aid Response,07/10/2019 01:20:00 PM,47.575335,-122.418114,POINT (-122.418114 47.575335),F190072625
20th Av Ne / Lake City Way Ne,Aid Response,07/10/2019 01:21:00 PM,47.691236,-122.306849,POINT (-122.306849 47.691236),F190072626
3rd Av / Vine St,Aid Response,07/10/2019 01:22:00 PM,47.616579,-122.347964,POINT (-122.347964 47.616579),F190072627
1110 E Spring St,Alarm Bell,07/10/2019 01:24:00 PM,47.611563,-122.316779,POINT (-122.316779 47.611563),F190072629
4521 29th Av S,Medic Response- 7 per Rule,05/15/2019 07:59:00 PM,47.562215,-122.295661,POINT (-122.295661 47.562215),F190049551
9240 2nd Av Sw,Trans to AMR,05/15/2019 08:04:00 PM,47.520451,-122.336003,POINT (-122.336003 47.520451),F190049552
1031 S Southern St,Medic Response,05/15/2019 08:05:00 PM,47.529788,-122.318808,POINT (-122.318808 47.529788),F190049553
42nd Av Sw / Sw Alaska St,Aid Response,05/15/2019 08:15:00 PM,47.561101,-122.385457,POINT (-122.385457 47.561101),F190049555
810 Virginia St,Aid Response,05/15/2019 08:16:00 PM,47.615789,-122.336507,POINT (-122.336507 47.615789),F190049556
40th Av S / S Holly St,Aid Response,05/15/2019 08:17:00 PM,47.542448,-122.282637,POINT (-122.282637 47.542448),F190049557
1700 E Madison St,Aid Response Yellow,05/15/2019 08:20:00 PM,47.61559,-122.310151,POINT (-122.310151 47.61559),F190049558
840 E Denny Way,Rescue Elevator,05/15/2019 08:22:00 PM,47.618736,-122.321643,POINT (-122.321643 47.618736),F190049559
6500 25th Av Ne,Aid Response,05/15/2019 08:24:00 PM,47.675774,-122.300652,POINT (-122.300652 47.675774),F190049560
815 Pike St,Trans to AMR,05/15/2019 08:26:00 PM,47.612142,-122.332074,POINT (-122.332074 47.612142),F190049563
1901 19th Av S,Medic Response,05/15/2019 08:36:00 PM,47.586335,-122.308144,POINT (-122.308144 47.586335),F190049566
5467 16th Av Sw,Investigate Out Of Service,05/15/2019 08:40:00 PM,47.553091,-122.354801,POINT (-122.354801 47.553091),F190049567
2001 W Garfield St,Auto Fire Alarm,05/15/2019 08:41:00 PM,47.633255,-122.378853,POINT (-122.378853 47.633255),F190049568
1116 Nw 54th St,Aid Response,05/15/2019 08:51:00 PM,47.667885,-122.370903,POINT (-122.370903 47.667885),F190049572
PIKE ST / 7TH AV,Aid Response,05/15/2019 09:02:00 PM,47.611606,-122.333354,POINT (-122.333354 47.611606),F190049574
1631 N 51st St,Automatic Fire Alarm Resd,05/15/2019 09:10:00 PM,47.665774,-122.33817,POINT (-122.33817 47.665774),F190049575
6188 4th Av S,Aid Response,04/11/2020 08:12:00 AM,47.545614,-122.329588,POINT (-122.329588 47.545614),F200035588
1700 E MADISON ST,Rescue Elevator,04/11/2020 08:13:00 AM,47.61559,-122.310151,POINT (-122.310151 47.61559),F200035589
1st Ave S / Myers Way S,1RED 1 Unit,08/18/2020 07:38:00 AM,47.505437,-122.33365,POINT (-122.33365 47.505437),V200081739
2216 E Roanoke St,Medic Response,05/21/2020 06:51:00 PM,47.643158,-122.303023,POINT (-122.303023 47.643158),F200048397
206 Western Av W,Aid Response,07/20/2019 11:46:00 AM,47.620037,-122.359786,POINT (-122.359786 47.620037),F190076646
4001 East Stevens Way Ne,Trans to AMR,11/12/2019 03:31:00 PM,47.656044,-122.304567,POINT (-122.304567 47.656044),F190120648
308 4th Av S,Aid Response,11/12/2019 03:38:00 PM,47.599968,-122.328965,POINT (-122.328965 47.599968),F190120650
2820 Ne 127th St,Trans to AMR,11/12/2019 03:41:00 PM,47.721101,-122.297581,POINT (-122.297581 47.721101),F190120651
7500 Detroit Av Sw,Aid Response,09/20/2019 11:24:00 PM,47.536027,-122.338994,POINT (-122.338994 47.536027),F190101070
2448 Nw 59th St,Aid Response,07/30/2019 02:49:00 PM,47.671646,-122.388193,POINT (-122.388193 47.671646),F190080692
Marion St / 3rd Av,Trans to AMR,07/30/2019 03:02:00 PM,47.604911,-122.333366,POINT (-122.333366 47.604911),F190080701
S Forest St / Rainier Av S,Aid Response,07/30/2019 03:03:00 PM,47.577526,-122.297522,POINT (-122.297522 47.577526),F190080702
8011 Fauntleroy Way Sw,Aid Response,07/30/2019 03:04:00 PM,47.531494,-122.392698,POINT (-122.392698 47.531494),F190080703
1457 22nd Av,Aid Response,07/30/2019 03:11:00 PM,47.613603,-122.303618,POINT (-122.303618 47.613603),F190080704
928 12th Av,Auto Fire Alarm,07/30/2019 03:12:00 PM,47.610554,-122.316779,POINT (-122.316779 47.610554),F190080706
9132 M L King Jr Way S,Medic Response,06/30/2019 04:23:00 PM,47.521608,-122.279569,POINT (-122.279569 47.521608),F190068605
5444 Delridge Way Sw,Auto Fire Alarm,06/30/2019 04:35:00 PM,47.553321,-122.362969,POINT (-122.362969 47.553321),F190068611
13TH AV / E PIKE ST,Aid Response,06/30/2019 04:40:00 PM,47.614113,-122.31553,POINT (-122.31553 47.614113),F190068615
7735 25th Av Nw,Medic Response,05/30/2019 12:52:00 PM,47.685173,-122.388705,POINT (-122.388705 47.685173),F190056073
825 Eastlake Av E,Medic Response,05/02/2019 02:10:00 PM,47.626215,-122.329199,POINT (-122.329199 47.626215),F190044192
15th Av Ne/ne 145th St,Aid Response,05/02/2019 02:10:00 PM,47.733952,-122.312749,POINT (-122.312749 47.733952),F190044193
450 3rd Av,Aid Response,05/02/2019 02:14:00 PM,47.601886,-122.330511,POINT (-122.330511 47.601886),F190044194
12th Av S / S Main St,Illegal Burn,05/02/2019 02:15:00 PM,47.600015,-122.31723,POINT (-122.31723 47.600015),F190044195
Nw 39th St / Leary Way Nw,Aid Response,05/30/2019 01:19:00 PM,47.654146,-122.360063,POINT (-122.360063 47.654146),F190056078
1902 2nd Av,Auto Fire Alarm,05/30/2019 01:29:00 PM,47.610972,-122.340465,POINT (-122.340465 47.610972),F190056080
2101 N Northlake Way,Aid Response Yellow,05/02/2019 02:38:00 PM,47.646867,-122.333927,POINT (-122.333927 47.646867),F190044199
1431 Minor Av,Aid Response,05/02/2019 02:39:00 PM,47.613247,-122.327187,POINT (-122.327187 47.613247),F190044200
6528 30th Av S,Trans to AMR,05/30/2019 01:40:00 PM,47.544124,-122.293664,POINT (-122.293664 47.544124),F190056084
1802 17th Av,Aid Response,05/30/2019 01:41:00 PM,47.61762,-122.310139,POINT (-122.310139 47.61762),F190056085
202 6th Av S,Medic Response,05/30/2019 01:41:00 PM,47.600854,-122.326354,POINT (-122.326354 47.600854),F190056086
2040 15th Av W,Medic Response,05/30/2019 01:48:00 PM,47.637352,-122.376142,POINT (-122.376142 47.637352),F190056087
1700 23rd Av,Auto Fire Alarm,05/02/2019 02:52:00 PM,47.616491,-122.302623,POINT (-122.302623 47.616491),F190044202
721 PINE ST,Aid Response,05/02/2019 02:57:00 PM,47.612701,-122.334021,POINT (-122.334021 47.612701),F190044203
1427 3rd Av,Aid Response,05/02/2019 03:01:00 PM,47.60902,-122.337126,POINT (-122.337126 47.60902),F190044205
7TH AV / PIKE ST,MVI - Motor Vehicle Incident,06/20/2019 03:48:00 AM,47.611606,-122.333354,POINT (-122.333354 47.611606),F190064352
5577 Kenwood Pl N,Triaged Incident,07/12/2020 09:54:00 PM,47.670415,-122.335561,POINT (-122.335561 47.670415),F200068308
1017 Minor Av,Auto Fire Alarm,01/29/2020 05:15:00 PM,47.609919,-122.324135,POINT (-122.324135 47.609919),F200010234
9401 Rainier Av S,MVI - Motor Vehicle Incident,06/20/2019 04:01:00 AM,47.51984,-122.265042,POINT (-122.265042 47.51984),F190064355
7000 Highland Park Way Sw,MVI - Motor Vehicle Incident,06/20/2019 04:02:00 AM,47.539639,-122.34545,POINT (-122.34545 47.539639),F190064354
810 Virginia St,Aid Response,08/09/2019 03:50:00 PM,47.615789,-122.336507,POINT (-122.336507 47.615789),F190084750
3621 33rd Av S,Aid Response Yellow,08/09/2019 03:57:00 PM,47.571408,-122.291001,POINT (-122.291001 47.571408),F190084753
2312 3rd Av,Aid Response,08/19/2019 08:18:00 PM,47.614791,-122.34494,POINT (-122.34494 47.614791),F190088786
9543 Greenwood Av N,Automatic Medical Alarm,06/30/2019 01:46:00 PM,47.698223,-122.355381,POINT (-122.355381 47.698223),F190068549
2001 W Garfield St,Aid Response,06/30/2019 01:48:00 PM,47.633255,-122.378853,POINT (-122.378853 47.633255),F190068550
230 8th Av N,Auto Fire Alarm,06/30/2019 01:49:00 PM,47.620061,-122.341084,POINT (-122.341084 47.620061),F190068551
N 130th St / 1st Av Ne,Car Fire,06/30/2019 01:59:00 PM,47.723166,-122.328918,POINT (-122.328918 47.723166),F190068556
627 4th Av W,Aid Response,08/19/2019 08:22:00 PM,47.624935,-122.361932,POINT (-122.361932 47.624935),F190088787
612 2nd Av,Aid Response,08/19/2019 08:27:00 PM,47.602386,-122.332592,POINT (-122.332592 47.602386),F190088789
50th Ave Ne / Ne 70th St,Aid Response,05/09/2020 02:01:00 AM,47.6794,-122.274301,POINT (-122.274301 47.6794),F200044236
7th Av Ne / Ne 45th St,Aid Response,04/25/2019 06:07:25 PM,47.661319,-122.320728,POINT (-122.320728 47.661319),F190041513
3230 16th Av W,Rescue Elevator,04/25/2019 06:02:38 PM,47.648741,-122.377499,POINT (-122.377499 47.648741),F190041512
4800 SAND POINT WAY NE,Medic Response,04/25/2019 06:01:22 PM,47.664275,-122.283475,POINT (-122.283475 47.664275),F190041511
Erickson Pl Ne / 35th Av Ne,1RED 1 Unit,04/25/2019 05:54:01 PM,47.726464,-122.290907,POINT (-122.290907 47.726464),F190041510
10049 College Way N,Aid Response,04/25/2019 05:52:43 PM,47.701742,-122.335029,POINT (-122.335029 47.701742),F190041508
800 Occidental Av S,EVENT - Special Event,04/25/2019 05:47:24 PM,47.595693,-122.333273,POINT (-122.333273 47.595693),F190041507
1518 W Dravus St,Rescue Elevator,04/25/2019 05:38:45 PM,47.648473,-122.376818,POINT (-122.376818 47.648473),F190041505
2121 26th Av S,Auto Fire Alarm,04/25/2019 05:36:36 PM,47.584234,-122.299024,POINT (-122.299024 47.584234),F190041503
420 4th Av,Trans to AMR,04/25/2019 05:36:27 PM,47.601986,-122.32914,POINT (-122.32914 47.601986),F190041504
2208 15th Av W,Aid Response,05/18/2020 10:36:00 AM,47.638695,-122.376149,POINT (-122.376149 47.638695),F200047311
318 2nd Av Et S,Aid Response,08/31/2019 04:09:00 AM,47.600194,-122.330541,POINT (-122.330541 47.600194),F190093205
811 Maynard Av S,Trans to AMR,08/31/2019 04:14:00 AM,47.595741,-122.325068,POINT (-122.325068 47.595741),F190093206
2nd Av Et S / S Main St,Aid Response,08/31/2019 04:16:00 AM,47.599991,-122.330342,POINT (-122.330342 47.599991),F190093207
Sb I5 At Alaska,Brush Fire Freeway,08/31/2019 04:21:00 AM,47.566556,-122.320956,POINT (-122.320956 47.566556),F190093209
S Lander St / 4th Av S,Aid Response,07/20/2019 11:51:00 AM,47.579809,-122.329057,POINT (-122.329057 47.579809),F190076647
3642 33rd Av S,Aid Response,07/20/2019 11:51:00 AM,47.571233,-122.291003,POINT (-122.291003 47.571233),F190076648
