Incident #,Alarm Time,Call Type,Incident Type,Response Time (Median),Incident Duration,Stations,Units,Unit Count,GeoJSON,geo_point_2d
20-0800462,2020-08-22,Fire,Fire,4.66,39.95,"BROCK ST,PALACE RD,RAILWAY ST","C241,L261,P241,P251,P261",5,"{""type"": ""Point"", ""coordinates"": [-76.48896577904848, 44.24711988163837]}","44.2471198816,-76.488965779"
20-0800474,2020-08-22,False Fire Call,Alarm System Equipment - Malfunction,9.05,28.77,"DAYS RD,PALACE RD,WOODBINE RD","L261,P201,P271",3,"{""type"": ""Point"", ""coordinates"": [-76.53712695891102, 44.26758767228442]}","44.2675876723,-76.5371269589"
20-0800479,2020-08-22,False Fire Call,Human - Perceived Emergency,3.83,15.1,"BROCK ST,RAILWAY ST","P241,P251",2,"{""type"": ""Point"", ""coordinates"": [-76.49676636768017, 44.24655052226591]}","44.2465505223,-76.4967663677"
20-0800482,2020-08-22,Fire,NO LOSS OUTDOOR fire (see exclusions),7.63,18.53,"BROCK ST,DAYS RD,PALACE RD,WOODBINE RD","C241,L261,P201,P271,P272",5,"{""type"": ""Point"", ""coordinates"": [-76.52672115281999, 44.23819485440534]}","44.2381948544,-76.5267211528"
20-0800483,2020-08-23,Fire,Open air burning/unauthorized controlled burning (,5.73,13.45,RAILWAY ST,P251,1,"{""type"": ""Point"", ""coordinates"": [-76.47157878005761, 44.2674327452774]}","44.2674327453,-76.4715787801"
20-0800486,2020-08-23,Medical,Alcohol or drug related,3.7,14.38,BROCK ST,P241,1,"{""type"": ""Point"", ""coordinates"": [-76.4885195177094, 44.23108887309408]}","44.2310888731,-76.4885195177"
20-0800494,2020-08-23,False Fire Call,Human - Accidental (alarm accidentally activated b,3.12,21.17,"BROCK ST,PALACE RD","L261,P241,P261",3,"{""type"": ""Point"", ""coordinates"": [-76.48414238234815, 44.230208161884185]}","44.2302081619,-76.4841423823"
20-0800497,2020-08-23,False Fire Call,Human - Accidental (alarm accidentally activated b,0.02,12.12,"38 HY,UNITY RD,WOODBINE RD","P271,P281,P291,T271,T291",5,"{""type"": ""Point"", ""coordinates"": [-76.56789833671174, 44.293599207290804]}","44.2935992073,-76.5678983367"
20-0800501,2020-08-23,Motor Vehicle Accident,Vehicle Collision,11.62,30.37,"BREWERS MILLS RD,JOYCEVILLE RD","P211,P221",2,"{""type"": ""Point"", ""coordinates"": [-76.29631612881253, 44.40871508622196]}","44.4087150862,-76.2963161288"
20-0800503,2020-08-23,Other,Gas Leak - Propane,6.13,18.12,PALACE RD,P261,1,"{""type"": ""Point"", ""coordinates"": [-76.52736820759655, 44.217376097469646]}","44.2173760975,-76.5273682076"
20-0800504,2020-08-23,Medical,Alcohol or drug related,3.93,13.22,RAILWAY ST,P251,1,"{""type"": ""Point"", ""coordinates"": [-76.47082926534297, 44.263242265159455]}","44.2632422652,-76.4708292653"
20-0800511,2020-08-24,Medical,"Vital signs absent, DOA",5.15,37.75,WOODBINE RD,P271,1,"{""type"": ""Point"", ""coordinates"": [-76.55049732070538, 44.25680949578515]}","44.2568094958,-76.5504973207"
20-0800519,2020-08-24,False Fire Call,Human - Accidental (alarm accidentally activated b,4.08,15.68,"DAYS RD,PALACE RD,WOODBINE RD","L261,P201,P271",3,"{""type"": ""Point"", ""coordinates"": [-76.5651993304954, 44.252271925493716]}","44.2522719255,-76.5651993305"
20-0800523,2020-08-24,Medical,"Accident or illness related - cuts, fractures, per",5.7,20.45,PALACE RD,P261,1,"{""type"": ""Point"", ""coordinates"": [-76.51971361519234, 44.2287509081456]}","44.2287509081,-76.5197136152"
20-0800525,2020-08-24,Medical,Alcohol or drug related,3.75,10.0,RAILWAY ST,P251,1,"{""type"": ""Point"", ""coordinates"": [-76.50039854888178, 44.25479612302121]}","44.254796123,-76.5003985489"
20-0800538,2020-08-25,False Fire Call,Human - Accidental (alarm accidentally activated b,6.81,14.47,GORE RD,"A231,P231",2,"{""type"": ""Point"", ""coordinates"": [-76.45013798577244, 44.26056822795006]}","44.260568228,-76.4501379858"
20-0800541,2020-08-25,Medical,Medical Aid Not Required on Arrival,3.63,5.47,BROCK ST,P241,1,"{""type"": ""Point"", ""coordinates"": [-76.48081038853388, 44.22995133389943]}","44.2299513339,-76.4808103885"
20-0800544,2020-08-25,Medical,"Asphyxia, Respiratory Condition",6.78,11.6,WOODBINE RD,P272,1,"{""type"": ""Point"", ""coordinates"": [-76.55412061798927, 44.239779767197774]}","44.2397797672,-76.554120618"
20-0800553,2020-08-26,Motor Vehicle Accident,Vehicle Collision,4.04,36.0,"BROCK ST,PALACE RD","P241,P261",2,"{""type"": ""Point"", ""coordinates"": [-76.51697412264959, 44.24258801550926]}","44.2425880155,-76.5169741226"
20-0800559,2020-08-26,Medical,"Accident or illness related - cuts, fractures, per",3.08,21.68,"BROCK ST,RAILWAY ST","P241,P251",2,"{""type"": ""Point"", ""coordinates"": [-76.50039854888178, 44.25479612302121]}","44.254796123,-76.5003985489"
20-0800563,2020-08-26,False Fire Call,Alarm System Equipment - Malfunction,10.7,23.25,GORE RD,"A231,C231,P231",3,"{""type"": ""Point"", ""coordinates"": [-76.41521147056174, 44.244789185606464]}","44.2447891856,-76.4152114706"
20-0800571,2020-08-26,Fire,Other pre fire conditions (no fire),6.67,24.73,"BROCK ST,DAYS RD,PALACE RD,RAILWAY ST,WOODBINE RD","C241,L261,P201,P241,P251,P271",6,"{""type"": ""Point"", ""coordinates"": [-76.53406408178425, 44.236419988627574]}","44.2364199886,-76.5340640818"
20-0800575,2020-08-27,Other,Other Public Hazard,5.45,7.97,BROCK ST,P241,1,"{""type"": ""Point"", ""coordinates"": [-76.50220111389214, 44.23058972307636]}","44.2305897231,-76.5022011139"
20-0800580,2020-08-27,Motor Vehicle Accident,Vehicle Collision,8.62,37.5,"BROCK ST,RAILWAY ST,WOODBINE RD","B241,P251,P272",3,"{""type"": ""Point"", ""coordinates"": [-76.55487970543875, 44.27639726571657]}","44.2763972657,-76.5548797054"
20-0800598,2020-08-27,False Fire Call,Alarm System Equipment - Accidental activation (ex,3.96,36.43,"BROCK ST,PALACE RD","P241,P261",2,"{""type"": ""Point"", ""coordinates"": [-76.48496376945769, 44.227271428161174]}","44.2272714282,-76.4849637695"
20-0800601,2020-08-27,Fire,"Overheat (no fire, e.g. engines, mechanical device",3.42,20.98,BROCK ST,P241,1,"{""type"": ""Point"", ""coordinates"": [-76.49273333135024, 44.23445010886384]}","44.2344501089,-76.4927333314"
20-0800608,2020-08-28,Medical,Other Medical/Resuscitator Call,3.12,12.98,BROCK ST,P241,1,"{""type"": ""Point"", ""coordinates"": [-76.48895784643099, 44.22941062300356]}","44.229410623,-76.4889578464"
20-0800610,2020-08-28,Fire,Fire,3.43,30.63,"BROCK ST,PALACE RD","P241,P261",2,"{""type"": ""Point"", ""coordinates"": [-76.51254058510234, 44.23342073760107]}","44.2334207376,-76.5125405851"
20-0800621,2020-08-28,Other Rescue,Animal rescue,4.75,13.45,RAILWAY ST,P251,1,"{""type"": ""Point"", ""coordinates"": [-76.50043967457535, 44.24649619905872]}","44.2464961991,-76.5004396746"
20-0800637,2020-08-29,Motor Vehicle Accident,Vehicle Collision,8.44,18.58,"BROCK ST,RAILWAY ST","B241,P241,P251",3,"{""type"": ""Point"", ""coordinates"": [-76.5129624022724, 44.2704470592778]}","44.2704470593,-76.5129624023"
20-0800639,2020-08-29,False Fire Call,Alarm System Equipment - Malfunction,6.08,25.18,"DAYS RD,PALACE RD,WOODBINE RD","L261,P201,P271",3,"{""type"": ""Point"", ""coordinates"": [-76.55049732070538, 44.25680949578515]}","44.2568094958,-76.5504973207"
20-0800643,2020-08-29,Other,Other Public Service,4.98,12.82,BROCK ST,P241,1,"{""type"": ""Point"", ""coordinates"": [-76.50186945181225, 44.22568531894446]}","44.2256853189,-76.5018694518"
20-0800651,2020-08-29,Fire,Fire,3.33,28.5,"BROCK ST,DAYS RD,PALACE RD,WOODBINE RD","C241,L261,P201,P271,P272",5,"{""type"": ""Point"", ""coordinates"": [-76.57894411354486, 44.236513420162474]}","44.2365134202,-76.5789441135"
20-0800654,2020-08-29,Water Rescue,Water Rescue,10.45,25.3,"BROCK ST,WOODBINE RD","C241,P241,P271,TE241",4,"{""type"": ""Point"", ""coordinates"": [-76.62237580819107, 44.23432952317968]}","44.2343295232,-76.6223758082"
20-0800655,2020-08-29,Medical,Other Medical/Resuscitator Call,1.67,15.12,BROCK ST,P241,1,"{""type"": ""Point"", ""coordinates"": [-76.5285578039678, 44.24364381082684]}","44.2436438108,-76.528557804"
20-0800656,2020-08-29,Other,Call cancelled on route,,5.47,RAILWAY ST,P251,1,"{""type"": ""Point"", ""coordinates"": [-76.48402255306219, 44.26480207604742]}","44.264802076,-76.4840225531"
20-0800657,2020-08-29,False Fire Call,Alarm System Equipment - Malfunction,6.35,47.23,"DAYS RD,PALACE RD,WOODBINE RD","L261,P201,P271",3,"{""type"": ""Point"", ""coordinates"": [-76.56818779073342, 44.27428152085256]}","44.2742815209,-76.5681877907"
20-0800662,2020-08-29,Medical,Medical Aid Not Required on Arrival,4.08,14.42,WOODBINE RD,P271,1,"{""type"": ""Point"", ""coordinates"": [-76.58178153557749, 44.24992789751585]}","44.2499278975,-76.5817815356"
20-0800664,2020-08-29,Motor Vehicle Accident,Vehicle Collision,3.72,13.32,"BROCK ST,RAILWAY ST","P241,P251",2,"{""type"": ""Point"", ""coordinates"": [-76.50270709241339, 44.239362368433596]}","44.2393623684,-76.5027070924"
20-0800667,2020-08-29,Medical,"Accident or illness related - cuts, fractures, per",3.72,35.37,BROCK ST,P241,1,"{""type"": ""Point"", ""coordinates"": [-76.48383959206681, 44.22475451460915]}","44.2247545146,-76.4838395921"
20-0800668,2020-08-29,Medical,Seizure,3.43,27.77,PALACE RD,P261,1,"{""type"": ""Point"", ""coordinates"": [-76.51142608501559, 44.24064511090636]}","44.2406451109,-76.511426085"
20-0800672,2020-08-30,Medical,"Vital signs absent, DOA",4.37,15.13,WOODBINE RD,P271,1,"{""type"": ""Point"", ""coordinates"": [-76.56622498488893, 44.25613997059721]}","44.2561399706,-76.5662249849"
20-0800674,2020-08-30,False Fire Call,Alarm System Equipment - Accidental activation (ex,5.13,19.38,"BROCK ST,PALACE RD","L261,P241,P261",3,"{""type"": ""Point"", ""coordinates"": [-76.48068532183837, 44.228368933782264]}","44.2283689338,-76.4806853218"
20-0800680,2020-08-30,False Fire Call,Alarm System Equipment - Accidental activation (ex,5.75,13.37,"DAYS RD,PALACE RD","L261,P201,P261",3,"{""type"": ""Point"", ""coordinates"": [-76.55738705018226, 44.228376037240146]}","44.2283760372,-76.5573870502"
20-0800682,2020-08-30,Medical,Medical/resuscitator call no action required,5.17,11.23,WOODBINE RD,P271,1,"{""type"": ""Point"", ""coordinates"": [-76.53876099792029, 44.25685999522891]}","44.2568599952,-76.5387609979"
20-0800683,2020-08-30,Motor Vehicle Accident,Vehicle Collision,2.85,35.93,"BROCK ST,RAILWAY ST","P241,P251",2,"{""type"": ""Point"", ""coordinates"": [-76.49343496136487, 44.24156070264017]}","44.2415607026,-76.4934349614"
20-0800690,2020-08-31,False Fire Call,Alarm System Equipment - Malfunction,3.78,24.85,"BROCK ST,PALACE RD","L261,P241,P261",3,"{""type"": ""Point"", ""coordinates"": [-76.51385362320279, 44.2221776160165]}","44.222177616,-76.5138536232"
20-0800700,2020-08-31,Other,Gas Leak - Natural Gas,3.87,18.82,"BROCK ST,PALACE RD,RAILWAY ST","C241,L261,P241,P251,P261",5,"{""type"": ""Point"", ""coordinates"": [-76.49309994491176, 44.24030687570131]}","44.2403068757,-76.4930999449"
20-0800704,2020-08-31,Medical,Alcohol or drug related,2.47,5.98,BROCK ST,P241,1,"{""type"": ""Point"", ""coordinates"": [-76.49660558340598, 44.233830498010924]}","44.233830498,-76.4966055834"
20-0800707,2020-08-31,Structure Rescue,Persons Trapped in Elevator,4.67,43.77,PALACE RD,P261,1,"{""type"": ""Point"", ""coordinates"": [-76.53789815673714, 44.2277436254534]}","44.2277436255,-76.5378981567"
20-0900006,2020-09-01,Fire,Other Cooking/toasting/smoke/steam (no fire),7.88,22.9,"DAYS RD,PALACE RD,WOODBINE RD","L261,P201,P271",3,"{""type"": ""Point"", ""coordinates"": [-76.5468706532738, 44.24432646285034]}","44.2443264629,-76.5468706533"
20-0900007,2020-09-01,Medical,Medical/resuscitator call no action required,11.6,12.78,GORE RD,P231,1,"{""type"": ""Point"", ""coordinates"": [-76.4255996669383, 44.24279048136965]}","44.2427904814,-76.4255996669"
20-0900010,2020-09-01,Medical,Seizure,4.72,23.27,DAYS RD,P201,1,"{""type"": ""Point"", ""coordinates"": [-76.57894411354486, 44.236513420162474]}","44.2365134202,-76.5789441135"
20-0900014,2020-09-01,Fire,Other pre fire conditions (no fire),3.9,16.32,WOODBINE RD,P271,1,"{""type"": ""Point"", ""coordinates"": [-76.58675494187692, 44.263730937543215]}","44.2637309375,-76.5867549419"
20-0900015,2020-09-01,Fire,Open air burning/unauthorized controlled burning (,4.08,25.72,RAILWAY ST,P251,1,"{""type"": ""Point"", ""coordinates"": [-76.47953650965435, 44.2493214244975]}","44.2493214245,-76.4795365097"
20-0900016,2020-09-01,Medical,Medical/resuscitator call no action required,3.05,10.4,BROCK ST,P241,1,"{""type"": ""Point"", ""coordinates"": [-76.48785422778259, 44.23369198489041]}","44.2336919849,-76.4878542278"
20-0900017,2020-09-01,Medical,Seizure,3.73,9.68,RAILWAY ST,P251,1,"{""type"": ""Point"", ""coordinates"": [-76.50177095179684, 44.25784263220884]}","44.2578426322,-76.5017709518"
20-0900025,2020-09-02,Medical,Alcohol or drug related,6.35,14.12,BROCK ST,P242,1,,
20-0900028,2020-09-02,Fire,Fire,4.42,359.65,"BROCK ST,PALACE RD,RAILWAY ST","C241,L261,P242,P251,P261,R271",6,"{""type"": ""Point"", ""coordinates"": [-76.49949388996801, 44.24227808120705]}","44.2422780812,-76.49949389"
20-0900029,2020-09-02,Other,Other Response,7.98,128.47,DAYS RD,P201,1,"{""type"": ""Point"", ""coordinates"": [-76.51233768124928, 44.2317155092788]}","44.2317155093,-76.5123376812"
20-0900031,2020-09-02,Other,Other Response,0.0,9.67,WOODBINE RD,P272,1,"{""type"": ""Point"", ""coordinates"": [-76.58518888983693, 44.257161983687794]}","44.2571619837,-76.5851888898"
20-0900040,2020-09-02,Structure Rescue,Persons Trapped in Elevator,3.83,20.9,PALACE RD,P261,1,"{""type"": ""Point"", ""coordinates"": [-76.52842915826716, 44.22341466102599]}","44.223414661,-76.5284291583"
20-0900042,2020-09-03,Motor Vehicle Accident,Vehicle Collision,5.48,22.08,"DAYS RD,WOODBINE RD","P201,P271",2,"{""type"": ""Point"", ""coordinates"": [-76.55738705018226, 44.228376037240146]}","44.2283760372,-76.5573870502"
20-0900047,2020-09-03,Fire,Fire,6.62,85.57,"BROCK ST,PALACE RD,RAILWAY ST","C241,L261,P241,P251,P261",5,"{""type"": ""Point"", ""coordinates"": [-76.47082926534297, 44.263242265159455]}","44.2632422652,-76.4708292653"
20-0900048,2020-09-03,Other,Other Response,,9.77,DAYS RD,P201,1,"{""type"": ""Point"", ""coordinates"": [-76.51233768124928, 44.2317155092788]}","44.2317155093,-76.5123376812"
20-0900049,2020-09-03,Other,Other Response,3.27,19.27,WOODBINE RD,P271,1,"{""type"": ""Point"", ""coordinates"": [-76.4933430954266, 44.24702734193086]}","44.2470273419,-76.4933430954"
20-0900051,2020-09-03,False Fire Call,Alarm System Equipment - Malfunction,4.73,16.02,"DAYS RD,WOODBINE RD","P201,P271",2,"{""type"": ""Point"", ""coordinates"": [-76.55168109161703, 44.26197178203441]}","44.261971782,-76.5516810916"
20-0900056,2020-09-03,Other,Other Public Service,6.75,27.53,BROCK ST,P241,1,"{""type"": ""Point"", ""coordinates"": [-76.49430232270093, 44.265852498343556]}","44.2658524983,-76.4943023227"
20-0900059,2020-09-03,Fire,Other pre fire conditions (no fire),5.45,49.83,"BROCK ST,PALACE RD,RAILWAY ST","C241,L261,P241,P251,P261",5,"{""type"": ""Point"", ""coordinates"": [-76.49256162312702, 44.23500751579033]}","44.2350075158,-76.4925616231"
20-0900072,2020-09-04,False Fire Call,Alarm System Equipment - Malfunction,4.3,15.38,"PALACE RD,RAILWAY ST","L261,P251,P261",3,"{""type"": ""Point"", ""coordinates"": [-76.50419204094995, 44.238499976571134]}","44.2384999766,-76.5041920409"
20-0900075,2020-09-04,False Fire Call,Alarm System Equipment - Malfunction,5.3,23.55,"PALACE RD,RAILWAY ST","L261,P251,P261",3,"{""type"": ""Point"", ""coordinates"": [-76.53408992854744, 44.2542029442182]}","44.2542029442,-76.5340899285"
20-0900079,2020-09-04,Motor Vehicle Accident,Vehicle Collision,5.82,38.07,"PALACE RD,RAILWAY ST","P251,P261",2,"{""type"": ""Point"", ""coordinates"": [-76.47953650965435, 44.2493214244975]}","44.2493214245,-76.4795365097"
20-0900081,2020-09-04,Other Rescue,Rescue false alarm,6.38,22.5,"BROCK ST,PALACE RD","L261,P241,P261,TE241",4,"{""type"": ""Point"", ""coordinates"": [-76.52736820759655, 44.217376097469646]}","44.2173760975,-76.5273682076"
20-0900086,2020-09-04,Other,Other Public Service,3.3,19.32,RAILWAY ST,P251,1,"{""type"": ""Point"", ""coordinates"": [-76.48896577904848, 44.24711988163837]}","44.2471198816,-76.488965779"
20-0900087,2020-09-04,Structure Rescue,Persons Trapped in Elevator,5.78,15.22,DAYS RD,P201,1,"{""type"": ""Point"", ""coordinates"": [-76.54116263222357, 44.239417175634834]}","44.2394171756,-76.5411626322"
20-0900088,2020-09-04,Medical,"Vital signs absent, DOA",7.77,31.38,WOODBINE RD,P271,1,"{""type"": ""Point"", ""coordinates"": [-76.63686580253218, 44.25822300237458]}","44.2582230024,-76.6368658025"
20-0900091,2020-09-04,Medical,"Accident or illness related - cuts, fractures, per",5.34,28.45,"BROCK ST,RAILWAY ST","P241,P251",2,"{""type"": ""Point"", ""coordinates"": [-76.49430232270093, 44.265852498343556]}","44.2658524983,-76.4943023227"
20-0900095,2020-09-05,Fire,Open air burning/unauthorized controlled burning (,6.95,17.8,WOODBINE RD,P271,1,"{""type"": ""Point"", ""coordinates"": [-76.58905419176034, 44.246810979534494]}","44.2468109795,-76.5890541918"
20-0900101,2020-09-05,Medical,Seizure,3.43,27.07,BROCK ST,P241,1,"{""type"": ""Point"", ""coordinates"": [-76.48320511059644, 44.23415997636289]}","44.2341599764,-76.4832051106"
20-0900102,2020-09-05,Medical,Medical/resuscitator call false alarm,3.33,6.53,RAILWAY ST,P251,1,"{""type"": ""Point"", ""coordinates"": [-76.49913050522177, 44.25144029083864]}","44.2514402908,-76.4991305052"
20-0900105,2020-09-05,Motor Vehicle Accident,Vehicle Collision,7.87,29.58,"BROCK ST,DAYS RD,WOODBINE RD","B241,P201,P271",3,"{""type"": ""Point"", ""coordinates"": [-76.59970306133334, 44.28376894939159]}","44.2837689494,-76.5997030613"
20-0900108,2020-09-05,Medical,Alcohol or drug related,4.2,20.6,BROCK ST,P241,1,"{""type"": ""Point"", ""coordinates"": [-76.48404628837437, 44.23934877631241]}","44.2393487763,-76.4840462884"
20-0900111,2020-09-05,Fire,NO LOSS OUTDOOR fire (see exclusions),3.72,12.7,BROCK ST,P241,1,"{""type"": ""Point"", ""coordinates"": [-76.488440756298, 44.22487880616146]}","44.2248788062,-76.4884407563"
20-0900115,2020-09-05,False Fire Call,Alarm System Equipment - Accidental activation (ex,2.62,13.1,"BROCK ST,PALACE RD","P241,P261",2,"{""type"": ""Point"", ""coordinates"": [-76.50736161597062, 44.23041283187306]}","44.2304128319,-76.507361616"
20-0900127,2020-09-06,False Fire Call,Human - Accidental (alarm accidentally activated b,6.63,11.53,"BROCK ST,PALACE RD","L261,P241,P261",3,"{""type"": ""Point"", ""coordinates"": [-76.52367693635239, 44.21892793842323]}","44.2189279384,-76.5236769364"
20-0900132,2020-09-06,Fire,Fire,3.07,29.75,RAILWAY ST,P251,1,"{""type"": ""Point"", ""coordinates"": [-76.4855511725725, 44.244128890092156]}","44.2441288901,-76.4855511726"
20-0900134,2020-09-06,CO Alarm,CO false alarm - equipment malfunction (no CO pres,12.02,26.28,GORE RD,"A231,P231",2,"{""type"": ""Point"", ""coordinates"": [-76.45041117987044, 44.23916180860664]}","44.2391618086,-76.4504111799"
20-0900136,2020-09-06,Medical,Seizure,5.2,28.05,BROCK ST,P241,1,"{""type"": ""Point"", ""coordinates"": [-76.47687352156821, 44.24302541993708]}","44.2430254199,-76.4768735216"
20-0900137,2020-09-06,False Fire Call,Alarm System Equipment - Accidental activation (ex,3.38,21.8,"PALACE RD,RAILWAY ST","L261,P251,P261",3,"{""type"": ""Point"", ""coordinates"": [-76.49531426367324, 44.23958166188643]}","44.2395816619,-76.4953142637"
20-0900139,2020-09-06,Medical,CPR administered,2.68,39.98,RAILWAY ST,P251,1,"{""type"": ""Point"", ""coordinates"": [-76.4933430954266, 44.24702734193086]}","44.2470273419,-76.4933430954"
20-0900142,2020-09-07,Medical,Alcohol or drug related,4.28,17.58,PALACE RD,P261,1,"{""type"": ""Point"", ""coordinates"": [-76.50729604978847, 44.23996324284814]}","44.2399632428,-76.5072960498"
20-0900148,2020-09-07,False Fire Call,Alarm System Equipment - Accidental activation (ex,5.62,19.48,"BROCK ST,DAYS RD,PALACE RD,WOODBINE RD","L261,P201,P241,P261,P271",5,"{""type"": ""Point"", ""coordinates"": [-76.49837108980628, 44.236388675692886]}","44.2363886757,-76.4983710898"
20-0900155,2020-09-07,Other,Other Response,7.52,15.62,WOODBINE RD,P271,1,"{""type"": ""Point"", ""coordinates"": [-76.4933430954266, 44.24702734193086]}","44.2470273419,-76.4933430954"
20-0900165,2020-09-08,Medical,Medical/resuscitator call no action required,5.53,9.05,PALACE RD,P261,1,"{""type"": ""Point"", ""coordinates"": [-76.53653034881921, 44.2489141121923]}","44.2489141122,-76.5365303488"
20-0900170,2020-09-09,False Fire Call,Alarm System Equipment - Accidental activation (ex,4.47,11.97,"BROCK ST,PALACE RD","L261,P241,P261",3,"{""type"": ""Point"", ""coordinates"": [-76.52672115281999, 44.23819485440534]}","44.2381948544,-76.5267211528"
20-0900173,2020-09-09,Medical,"Vital signs absent, DOA",5.1,14.8,RAILWAY ST,P251,1,,
20-0900178,2020-09-09,False Fire Call,Alarm System Equipment - Accidental activation (ex,10.61,19.25,"BREWERS MILLS RD,GORE RD,JOYCEVILLE RD","P211,P221,P231,T211,T221,T231",6,"{""type"": ""Point"", ""coordinates"": [-76.25767775070264, 44.310352687626164]}","44.3103526876,-76.2576777507"
20-0900180,2020-09-09,False Fire Call,Human - Perceived Emergency,3.13,24.55,"BROCK ST,PALACE RD,RAILWAY ST","C241,L261,P241,P251,P261",5,"{""type"": ""Point"", ""coordinates"": [-76.53406408178425, 44.236419988627574]}","44.2364199886,-76.5340640818"
20-0900182,2020-09-09,False Fire Call,Human - Accidental (alarm accidentally activated b,2.88,9.77,"BROCK ST,PALACE RD","L261,P241,P261",3,"{""type"": ""Point"", ""coordinates"": [-76.48632556256574, 44.23263387341772]}","44.2326338734,-76.4863255626"
20-0900186,2020-09-09,Fire,Fire,4.92,62.85,GORE RD,P231,1,"{""type"": ""Point"", ""coordinates"": [-76.45622845261576, 44.26151447641646]}","44.2615144764,-76.4562284526"
20-0900188,2020-09-09,Other,Spill - Gasoline or Fuel,5.94,22.12,"GORE RD,JOYCEVILLE RD","A231,P231,T211,T231",4,"{""type"": ""Point"", ""coordinates"": [-76.41018343754462, 44.27039697156926]}","44.2703969716,-76.4101834375"
20-0900194,2020-09-10,Medical,Other Medical/Resuscitator Call,3.45,28.65,RAILWAY ST,P251,1,"{""type"": ""Point"", ""coordinates"": [-76.47953650965435, 44.2493214244975]}","44.2493214245,-76.4795365097"
20-0900201,2020-09-10,Fire,Fire,6.68,61.27,"BROCK ST,PALACE RD,RAILWAY ST","C241,L261,P241,P251,P261",5,"{""type"": ""Point"", ""coordinates"": [-76.47157878005761, 44.2674327452774]}","44.2674327453,-76.4715787801"
20-0900202,2020-09-10,Other,Other Response,,18.3,WOODBINE RD,P271,1,"{""type"": ""Point"", ""coordinates"": [-76.4933430954266, 44.24702734193086]}","44.2470273419,-76.4933430954"
20-0900204,2020-09-10,Fire,Authorized controlled burning - complaint,5.5,18.18,PALACE RD,P261,1,"{""type"": ""Point"", ""coordinates"": [-76.53789815673714, 44.2277436254534]}","44.2277436255,-76.5378981567"
20-0900212,2020-09-11,False Fire Call,Other False Fire Call,4.0,15.77,PALACE RD,P261,1,"{""type"": ""Point"", ""coordinates"": [-76.52149626850543, 44.23568343091952]}","44.2356834309,-76.5214962685"
20-0900222,2020-09-11,Other,Other Public Service,5.45,30.8,PALACE RD,P261,1,"{""type"": ""Point"", ""coordinates"": [-76.50570279730498, 44.24527782748486]}","44.2452778275,-76.5057027973"
