School,School Number,School Type,Minimum Grade,Maximum Grade,Start Time,End Time,Telephone,Fax,Principal,Assistant Principal 1,Assistant Principal 2,Assistant Principal 3,Assistant Principal 4,Associate Supt. / Board of Ed. Member 1,Associate Supt. / Board of Ed. Member 2,Address Number,Street,City,State,Zip Code,Council DIstrict,Police District,Census Tract,Census Block,Census Block Group,Latitude,Longitude,Location
Marva J. Daniel Futures Preparatory School #37 (PK-8),37,Elementary,PK,8,09/01/2019 08:00:00 AM,09/01/2019 02:55:00 PM,(716)816-3800,(716)851-3796,Serena Restivo,Carolyn Flattery,,,,C. Wright,P. Woods,295,CARLTON ST,BUFFALO,NY,14204,ELLICOTT,District B,31,2009,2,42.89838989,-78.85806223,POINT (-78.85806223 42.89838989)
The Academy School #131 @ 4 (7-8),131,Secondary,7,8,09/01/2019 08:15:00 AM,09/01/2019 02:35:00 AM,(716)816-7180,(716)851-3943,Nathaniel McCrea,Bert Stevenson,,,,S. Cimato,L. Petrucci,319,SUFFOLK ST,BUFFALO,NY,14215,UNIVERSITY,District E,44.02,2000,2,42.93109052,-78.8103949,POINT (-78.8103949 42.93109052)
Virtual Pathways #358 – Riverside Academy,358,Secondary,9,12,09/01/2019 08:00:00 AM,09/01/2019 02:45:00 PM,(716)816-4526,(716)897-8128,Valarie Kent,Maria Conrad,,,,J. Mecozzi,L. Petrucci,425,SOUTH PARK AVE,BUFFALO,NY,14204,FILLMORE,District A,5,1010,1,42.87155481,-78.863822,POINT (-78.863822 42.87155481)
Frederick Law Olmsted #64 (PK-4),64,Elementary,PK,4,09/01/2019 08:00:00 AM,09/01/2019 02:55:00 PM,(716)816-3420,(716)871-6021,Marquita Bryant,Joshua Freeburg,,,,C. Wright,H. Jay,874,AMHERST ST,BUFFALO,NY,14216,NORTH,District D,54,2001,2,42.9405844,-78.87169997,POINT (-78.87169997 42.9405844)
Lorraine Elementary #72 (PK-8),72,Elementary,PK,8,09/01/2019 08:00:00 AM,09/01/2019 02:55:00 PM,(716)816-4809,(716)828-4811,Jeffrey Banks,Sharon McCormick,Sarah Vittoria,,,D. Jesonowski,L. Petrucci,71,LORRAINE AVE,BUFFALO,NY,14220,SOUTH,District A,8,3006,3,42.84715244,-78.8148433,POINT (-78.8148433 42.84715244)
North Park Middle #66 (5-8),66,Elementary,5,8,09/01/2019 09:00:00 AM,09/01/2019 03:55:00 PM,(716)816-3440,(716)838-7448,Rose Schneider,Carlos Wallace,,,,D. Jesonowski,H. Jay,780,PARKSIDE AVE,BUFFALO,NY,14216,DELAWARE,District D,48,3009,3,42.95095744,-78.84885909,POINT (-78.84885909 42.95095744)
Virtual Pathways #361 – East Community,361,Secondary,9,12,09/01/2019 08:00:00 AM,09/01/2019 02:45:00 PM,(716)816-4526,(716)897-8128,Valarie Kent,Maria Conrad,,,,J. Mecozzi,L. Petrucci,425,SOUTH PARK AVE,BUFFALO,NY,14204,FILLMORE,District A,5,1010,1,42.87155481,-78.863822,POINT (-78.863822 42.87155481)
Discovery School #67 (PK-8),67,Elementary,PK,8,09/01/2019 08:00:00 AM,09/01/2019 02:55:00 PM,(716)816-4922,(716)828-4925,Karen Murray,Lisa Robinson,,,,D. Jesonowski,L. Petrucci,911,ABBOTT RD,BUFFALO,NY,14220,SOUTH,District A,7,5005,5,42.8404649,-78.80833984,POINT (-78.80833984 42.8404649)
LTEP #131 @ 4 (9-12),131,Secondary,9,12,09/01/2019 08:15:00 AM,09/01/2019 02:35:00 AM,(716)816-3270,(716)851-3761,Adriann Johnson Cofield,Bert Stevenson,,,,S. Cimato,L. Petrucci,425,SOUTH PARK AVE,BUFFALO,NY,14204,FILLMORE,District A,5,1010,1,42.87155481,-78.86382206,POINT (-78.86382206 42.87155481)
E.C.C. #82 (PK-4),82,Elementary,PK,4,09/01/2019 09:00:00 AM,09/01/2019 03:55:00 PM,(716)816-4070,(716)897-8073,Tracie Michele Lewis,Kristin Reeves,,,,S. Cimato,T. Harris-Tigg,230,EASTON AVE,BUFFALO,NY,14215,UNIVERSITY,District E,41,4001,4,42.92762382,-78.80569715,POINT (-78.80569715 42.92762382)
Burgard #301 (9-12),301,Secondary,9,12,09/01/2019 07:55:00 AM,09/01/2019 03:05:00 PM,(716)816-4450,(716)838-7546,Charlene Watson,Andrew Drouin,Eric Johnson,Tracey Travis,,J. Weimer,S. Belton-Cottman,400,KENSINGTON AVE,BUFFALO,NY,14214,MASTEN,District E,40.01,4013,4,42.92841834,-78.83731736,POINT (-78.83731736 42.92841834)
Virtual Pathways #360 – Burgard,360,Secondary,9,12,09/01/2019 08:00:00 AM,09/01/2019 02:45:00 PM,(716)816-4526,(716)897-8128,Valarie Kent,Maria Conrad,,,,J. Mecozzi,L. Petrucci,425,SOUTH PARK AVE,BUFFALO,NY,14204,FILLMORE,District A,5,1010,1,42.87155481,-78.863822,POINT (-78.863822 42.87155481)
Virtual Pathways #367 – MST,367,Secondary,9,12,09/01/2019 08:00:00 AM,09/01/2019 02:45:00 PM,(716)816-4526,(716)897-8128,Valarie Kent,Maria Conrad,,,,J. Mecozzi,L. Petrucci,425,SOUTH PARK AVE,BUFFALO,NY,14204,FILLMORE,District A,5,1010,1,42.87155481,-78.863822,POINT (-78.863822 42.87155481)
Newcomer Academy @ Lafayette #353 (8-12),353,Secondary,8,12,09/01/2019 08:00:00 AM,09/01/2019 02:57:00 PM,(716)816-4345,(716)888-7096,Teena Jones,Elena Wozniak,,,,S. Cimato,J. Mecozzi,370,LAFAYETTE AVE,BUFFALO,NY,14213,NIAGARA,District D,65.01,3001,3,42.92016473,-78.88465008,POINT (-78.88465008 42.92016473)
Emerson School of Hospitality #302 (9-12),302,Secondary,9,12,09/01/2019 08:15:00 AM,09/01/2019 03:07:00 PM,(716)816-3018,(716)851-3017,Debbie White Stokes,Aarin Pellitieri,,,,J. Weimer,P. Woods,70,W CHIPPEWA ST,BUFFALO,NY,14201,FILLMORE,District B,71.02,2002,2,42.89113697,-78.87866317,POINT (-78.87866317 42.89113697)
Riverside Academy #208 (9-10),208,Secondary,9,10,09/01/2019 07:55:00 AM,09/01/2019 03:10:00 PM,(716)816-4530,(716)871-6097,David Hills,Colleen Cunningham,,,,J. Weimer,J. Mecozzi,51,ONTARIO ST,BUFFALO,NY,14207,NORTH,District D,57,2005,2,42.94679748,-78.90641029,POINT (-78.90641029 42.94679748)
Virtual Pathways #359 – South Park,359,Secondary,9,12,09/01/2019 08:00:00 AM,09/01/2019 02:45:00 PM,(716)816-4526,(716)897-8128,Valarie Kent,Maria Conrad,,,,J. Mecozzi,L. Petrucci,425,SOUTH PARK AVE,BUFFALO,NY,14204,FILLMORE,District A,5,1010,1,42.87155481,-78.863822,POINT (-78.863822 42.87155481)
The New Buffalo School of Culinary Art & Hospitality Management # 355 (9-12),355,Secondary,9,12,09/01/2019 08:15:00 AM,09/01/2019 03:10:00 PM,(716)816-4777,(716)828-4947,Kathleen Schuta,Daniel Bass,,,,J. Weimer,L. Petrucci,1515,SOUTH PARK AVE,BUFFALO,NY,14220,LOVEJOY,District A,2,1011,1,42.85677193,-78.82890498,POINT (-78.82890498 42.85677193)
Dr. Antonia Pantoja #18 (PK-8),18,Elementary,PK,8,09/01/2019 09:00:00 AM,09/01/2019 03:55:00 PM,(716)816-3160,(716)888-7036,Aakta Patel,Tracy Cotter,Ashanti Haynes,,,D. Jesonowski,J. Mecozzi,750,WEST AVE,BUFFALO,NY,14213,NIAGARA,District B,69.01,3011,3,42.91092458,-78.89612929,POINT (-78.89612929 42.91092458)
Lafayette International #207 (9-11),207,Secondary,9,11,09/01/2019 08:50:00 AM,09/01/2019 04:05:00 PM,(716)816-4358,(716)888-7096,John Starkey,Jennifer Springer,,,,S. Cimato,J. Mecozzi,370,LAFAYETTE AVE,BUFFALO,NY,14213,NIAGARA,District D,63.01,3003,3,42.92026039,-78.88541975,POINT (-78.88541975 42.92026039)
"Math, Science & Tech. Preparatory #197 (9-12)",197,Secondary,9,12,09/01/2019 08:00:00 AM,09/01/2019 03:10:00 PM,(716)816-4500,(716)897-8058,Kevin Eberle,Tatiana Merrick,Danielle Womack (Temporary),,,J. Weimer,S. Belton-Cottman,666,E DELAVAN AVE,BUFFALO,NY,14215,MASTEN,District E,170,2003,2,42.92191583,-78.83263033,POINT (-78.83263033 42.92191583)
Riverside #205 (12),205,Secondary,12,12,09/01/2019 07:55:00 AM,09/01/2019 03:10:00 PM,(716)816-4360,(716)871-6046,Jerome Piwko,Colleen Cunningham,,,,J. Weimer,J. Mecozzi,51,ONTARIO ST,BUFFALO,NY,14207,NORTH,District D,57,2005,2,42.94679748,-78.90641029,POINT (-78.90641029 42.94679748)
International Preparatory School #198 @ 202 (7-12),198,Secondary,7,12,09/01/2019 07:50:00 AM,09/01/2019 03:00:00 PM,(716)816-4300,(716)888-7158,Ella Dunne,Martin Buchnowski,Amy Chase,Patrick Doyle,Martin Lyonga,S. Cimato,J. Mecozzi,110,14TH ST,BUFFALO,NY,14213,NIAGARA,District B,69.02,1010,1,42.90319821,-78.88388498,POINT (-78.88388498 42.90319821)
Southside Elementary #93 (PK-8),93,Elementary,PK,8,09/01/2019 08:00:00 AM,09/01/2019 02:55:00 PM,(716)816-4818,(716)828-4820,Patricia Dixon,Rene Cooley (Acting),Kathryn Goldman,Bruno Stampone,,D. Jesonowski,L. Petrucci,430,SOUTHSIDE PKWY,BUFFALO,NY,14210,SOUTH,District A,11,2000,2,42.86025325,-78.8216378,POINT (-78.8216378 42.86025325)
Houghton Academy #69 (PK-8),69,Elementary,PK,8,09/01/2019 09:00:00 AM,09/01/2019 03:55:00 PM,(716)816-4794,(716)828-4797,Elaine Vandi,Kevin Garcia,,,,D. Jesonowski,L. Petrucci,1725,CLINTON ST,BUFFALO,NY,14206,LOVEJOY,District A,19,3004,3,42.87182647,-78.80931296,POINT (-78.80931296 42.87182647)
Occupational Training Center #42 (K-12),42,Secondary,K,12,09/01/2019 08:00:00 AM,09/01/2019 02:55:00 PM,(716)816-3250,(716)838-2226,Thomas Vitale,,,,,C. Wright,S. Belton-Cottman,2495,MAIN ST,BUFFALO,NY,14214,MASTEN,District E,40.01,4001,4,42.93632874,-78.8421438,POINT (-78.8421438 42.93632874)
Roosevelt E.C.C. #65 (PK-4),65,Elementary,PK,4,09/01/2019 09:00:00 AM,09/01/2019 03:55:00 PM,(716)816-3430,(716)871-6031,Michelle Hope Barnes,Amy Chavez,,,,S. Cimato,H. Jay,249,SKILLEN ST,BUFFALO,NY,14207,NORTH,District D,58.01,1011,1,42.95993166,-78.89633919,POINT (-78.89633919 42.95993166)
B.U.I.L.D. Community School #92 (PK-8),92,Elementary,PK,8,09/01/2019 08:00:00 AM,09/01/2019 02:55:00 PM,(716)816-4140,(716)897-8107,Tanika Shedrick,Kara Barret,Amber Berry,,,C. Wright,T. Harris-Tigg,340,FOUGERON ST,BUFFALO,NY,14211,FILLMORE,District C,35,1001,1,42.90825554,-78.827264,POINT (-78.827264 42.90825554)
Frederick Law Olmsted #156 (5-12),156,Secondary,5,12,09/01/2019 08:00:00 AM,09/01/2019 02:50:00 PM,(716)816-4330,(716)838-7530,Michael Gruber,Catherine Dulak,James Fredo,Leslie Potempa,,S. Cimato,T. Harris-Tigg,450,MASTEN AVE,BUFFALO,NY,14209,MASTEN,District E,168,3014,3,42.91584759,-78.8595565,POINT (-78.8595565 42.91584759)
Lovejoy Discovery School #43 (PK-8),43,Elementary,PK,8,09/01/2019 09:00:00 AM,09/01/2019 03:55:00 PM,(716)816-3260,(716)897-8012,Orniece Hill,Patricia Lattuca,Lisa Mazzara,,,D. Jesonowski,T. Harris-Tigg,161,BENZINGER ST,BUFFALO,NY,14206,LOVEJOY,District C,23,2002,2,42.88921703,-78.8063162,POINT (-78.8063162 42.88921703)
North Park Community School #50 (PK-K),50,Elementary,PK,K,09/01/2019 09:00:00 AM,09/01/2019 03:55:00 PM,(716)816-3440,(716)838-7448,Carla Graves,,,,,D. Jesonowski,H. Jay,780,PARKSIDE AVE,BUFFALO,NY,14216,DELAWARE,District D,48,3009,3,42.95095744,-78.8483,POINT (-78.8483 42.95095744)
Bennett Park Montessori #32 (PK-8),32,Elementary,PK,8,09/01/2019 09:00:00 AM,09/01/2019 03:55:00 PM,(716)816-4603,(716)851-3895,Jennifer Stockmeyer,Peter Gottfried,Shannon Thurston,,,D. Jesonowski,P. Woods,342,CLINTON ST,BUFFALO,NY,14204,ELLICOTT,District B,14.02,3001,3,42.88341271,-78.86248867,POINT (-78.86248867 42.88341271)
Dr. Charles R. Drew Science Magnet #59 (3-8),59,Elementary,3,8,09/01/2019 08:00:00 AM,09/01/2019 02:55:00 PM,(716)816-3370,(716)897-8049,Mirlene Dere,Lynn Benaglio,Derek Swader,,,D. Jesonowski,P. Woods,1,MARTIN LUTHER KING JR PARK,BUFFALO,NY,14211,MASTEN,District C,35,4014,4,42.90640339,-78.8394026,POINT (-78.8394026 42.90640339)
School #48 @ 39 (PK-1),48,Elementary,PK,1,09/01/2019 09:00:00 AM,09/01/2019 03:55:00 PM,(716)816-3240,(716)888-7014,Miguel Medina,Janet Correa Longo,,,,C. Wright,P. Woods,437,HIGH ST,BUFFALO,NY,14211,ELLICOTT,District C,31,1006,1,42.90011468,-78.85142658,POINT (-78.85142658 42.90011468)
Buffalo Elementary School of Technology #6 (PK-8),6,Elementary,PK,8,09/01/2019 08:00:00 AM,09/01/2019 02:55:00 PM,(716)816-3767,(716)851-3770,Karen Piotrowski,Wendy Emerling,Todd Strange,,,D. Jesonowski,P. Woods,414,SOUTH DIVISION ST,BUFFALO,NY,14204,ELLICOTT,District B,14.02,3012,3,42.88012648,-78.86040867,POINT (-78.86040867 42.88012648)
Harvey Austin School #97 (PK-8),97,Elementary,PK,8,09/01/2019 09:00:00 AM,09/01/2019 03:55:00 PM,(716)816-4460,(716)897-8162,Demario Strickland,Cassandra Gasbarrini,Melissa Jasulavich,,,C. Wright,T. Harris-Tigg,1405,SYCAMORE ST,BUFFALO,NY,14211,FILLMORE,District C,28,4006,4,42.90336399,-78.8209417,POINT (-78.8209417 42.90336399)
West Hertel Elementary #94 (PK-8),94,Elementary,PK,8,09/01/2019 08:00:00 AM,09/01/2019 02:55:00 PM,(716)816-4150,(716)871-6111,Cecelie Owens,Bradley Barringer,Carmelita Burgin,Elaine Nieman,Lorene Boyd (DS),C. Wright,H. Jay,489,HERTEL AVE,BUFFALO,NY,14207,NORTH,District D,56,3002,3,42.9464399,-78.8899696,POINT (-78.88996960000001 42.9464399)
Erie County Health Care Center for Children #84 (K-12),84,Elementary,K,12,09/01/2019 07:50:00 AM,09/01/2019 02:45:00 PM,(716)816-4080,(716)897-8081,Jennifer Kapsiak,Michelle Reczek,,,,C. Wright,S. Belton-Cottman,462,GRIDER ST,BUFFALO,NY,14215,MASTEN,District E,170,2012,2,42.92731799,-78.8290769,POINT (-78.82907690000002 42.92731799)
East Community High School #309 (9-11),309,Secondary,9,11,09/01/2019 07:55:00 AM,09/01/2019 02:50:00 PM,(716)816-3997,(716)897-8130,Darryl King,Naomi Cerre,Moustafa Khalil,,,J. Weimer,T. Harris-Tigg,820,NORTHAMPTON ST,BUFFALO,NY,14211,MASTEN,District C,35,4008,4,42.90727094,-78.83752162,POINT (-78.83752162 42.90727094)
Leonardo daVinci #212 (9-12),212,Secondary,9,12,09/01/2019 08:15:00 AM,09/01/2019 02:50:00 PM,(716)816-4380,(716)888-7181,Gregory Lodinsky,Lizzy Crispin,,,,S. Cimato,J. Mecozzi,320,PORTER AVE,BUFFALO,NY,14201,NIAGARA,District B,69.02,4007,4,42.90222948,-78.8909,POINT (-78.8909 42.90222948000001)
School #81 (PK-8),81,Elementary,PK,8,09/01/2019 09:00:00 AM,09/01/2019 03:55:00 PM,(716)816-4060,(716)871-6041,Nicholas Klaich,Denise Cobbs,Ryan Shepherd,,,D. Jesonowski,H. Jay,140,TACOMA AVE,BUFFALO,NY,14216,DELAWARE,District D,51,4001,4,42.95159467,-78.86719175,POINT (-78.86719175 42.95159467)
Dr. Charles R. Drew Science Magnet #59 at A Street Site (PK-2),59,Elementary,PK,2,09/01/2019 08:00:00 AM,09/01/2019 02:55:00 PM,(716)816-4120,(716)897-8105,Mirlene Dere,Mark Shoemaker,,,,D. Jesonowski,T. Harris-Tigg,50,A ST,BUFFALO,NY,14211,FILLMORE,District C,27.02,2004,2,42.90095036,-78.8377013,POINT (-78.8377013 42.90095036)
Herman Badillo Bilingual Academy #76 (PK-8),76,Elementary,PK,8,09/01/2019 08:00:00 AM,09/01/2019 02:55:00 PM,(716)816-3848,(716)851-3853,Kathryn Foy,Maria Rosario-Cala,Elizabeth Kuras,Matthew Pegg,,C. Wright,P. Woods,315,CAROLINA ST,BUFFALO,NY,14201,FILLMORE,District B,71.02,2000,2,42.89398,-78.87893357,POINT (-78.87893357 42.89398)
Harriet Ross Tubman #31 (PK-8),31,Elementary,PK,8,09/01/2019 09:00:00 AM,09/01/2019 03:55:00 PM,(716)816-3780,(716)851-3787,Heather Short English,Julie Walsh,Samuel Reynolds,,,J. Weimer,P. Woods,212,STANTON ST,BUFFALO,NY,14212,FILLMORE,District C,15,2021,2,42.88917035,-78.84589422,POINT (-78.84589422 42.88917035)
Hillery Park Elementary #27 (PK-8),27,Elementary,PK,8,09/01/2019 09:00:00 AM,09/01/2019 03:55:00 PM,(716)816-4770,(716)828-4771,Vincent Vanderlip,Andrea Lee,Samantha Nasca,,,D. Jesonowski,L. Petrucci,73,PAWNEE PKWY,BUFFALO,NY,14210,SOUTH,District A,11,1008,1,42.86151608,-78.8093,POINT (-78.8093 42.86151608)
Pathways Academy Pathways @ East Community #357,357,Secondary,9,12,09/01/2019 07:55:00 AM,09/01/2019 02:50:00 PM,(716)816-4526,(716)897-8128,Valarie Kent,Maria Conrad,,,,S. Cimato,T. Harris-Tigg,820,NORTHAMPTON ST,BUFFALO,NY,14211,MASTEN,District C,35,4016,4,42.90714857,-78.83636763,POINT (-78.83636763 42.907148570000004)
City Honors School at Fosdick Masten Park #195 (5-12),195,Secondary,9,12,09/01/2019 07:55:00 AM,09/01/2019 02:45:00 PM,(716)816-4230,(716)888-7145,William Kresse,Tandy Hamilton,Angela Hannah,Carla McDow,,S. Cimato,P. Woods,646,E DELAVAN AVE,BUFFALO,NY,14215,MASTEN,District E,170,2003,2,42.92191583,-78.83263033,POINT (-78.83263033 42.92191583)
Virtual Pathways #358 – Riverside Academy,358,Secondary,9,12,09/01/2019 08:00:00 AM,09/01/2019 02:45:00 PM,(716)816-4526,(716)897-8128,Valarie Kent,Maria Conrad,,,,J. Mecozzi,L. Petrucci,425,SOUTH PARK AVE,BUFFALO,NY,14204,FILLMORE,District A,5,1010,1,42.87155481,-78.863822,POINT (-78.863822 42.87155481)
Hutchinson Central Technical #304 (9-12),304,Secondary,9,12,09/01/2019 07:55:00 AM,09/01/2019 03:05:00 PM,(716)816-3888,(716)851-3890,Gabrielle Morquecho,Pedro Estrada,Dennis Lesniak,Gregory Stefanone,Daniel Zack,S. Cimato,P. Woods,256,S ELMWOOD AVE,BUFFALO,NY,14222,ELLICOTT,District B,67.02,2002,2,42.90388478,-78.87705908,POINT (-78.87705908 42.90388478)
Buffalo Academy for Visual & Performing Arts #192 (5-12),192,Secondary,5,12,09/01/2019 07:50:00 AM,09/01/2019 02:45:00 PM,(716)816-4220,(716)888-7136,Jody Covington,Rebecca Ryan,Jonathan Welka,,,S. Cimato,P. Woods,186,E NORTH ST,BUFFALO,NY,14204,ELLICOTT,District B,31,3002,3,42.9022231,-78.861619,POINT (-78.861619 42.9022231)
"Math, Science & Tech Preparatory School #196 197 @ 39 (5-8)",197,Secondary,5,8,09/01/2019 08:00:00 AM,09/01/2019 02:55:00 PM,(716)816-3501,(716)888-7014,Michael Mogavero,John Zeis,,,,J. Weimer,P. Woods,489,HIGH ST,BUFFALO,NY,14211,ELLICOTT,District C,31,1003,1,42.90021405,-78.85055835,POINT (-78.85055835 42.90021405)
Waterfront Elementary #95 (PK-8),95,Elementary,PK,8,09/01/2019 08:00:00 AM,09/01/2019 02:55:00 PM,(716)816-3900,(716)851-3861,Terence Jenkins,Nicole Dias,Catherine Paolini,,,C. Wright,P. Woods,95,FOURTH ST,BUFFALO,NY,14202,FILLMORE,District B,71.02,1000,1,42.88753515,-78.88640564,POINT (-78.88640564 42.88753515)
Hamlin Park Claude & Ouida Clapp Academy #74 (PK-8),74,Elementary,PK,8,09/01/2019 09:00:00 AM,09/01/2019 03:55:00 PM,(716)816-3490,(716)888-7109,Patrick Cook,Cameron Hall,,,,D. Jesonowski,S. Belton-Cottman,126,DONALDSON RD,BUFFALO,NY,14208,MASTEN,District E,33.01,2011,2,42.91841623,-78.8472896,POINT (-78.8472896 42.91841623)
The Academy School #131@ 4 (9-12),131,Secondary,9,12,09/01/2019 08:15:00 AM,09/01/2019 02:35:00 AM,(716)816-3270,(716)851-3761,Adriann Johnson Cofield,Janice Bowden,,,,S. Cimato,L. Petrucci,179,ALBANY ST,BUFFALO,NY,14213,NIAGARA,District B,61,3006,3,42.91270728,-78.89346171,POINT (-78.89346171000001 42.91270728)
E.C.C. #17 (PK-4),17,Elementary,PK,4,09/01/2019 09:00:00 AM,09/01/2019 03:55:00 PM,(716)816-3150,(716)888-7023,Marianna Cecchini,Ashley Wakelee,,,,D. Jesonowski,P. Woods,1045,W DELAVAN AVE,BUFFALO,NY,14209,ELLICOTT,District D,169,4000,4,42.9221794,-78.85986114,POINT (-78.85986114 42.9221794)
Highgate Heights #80 (PK-8),80,Elementary,PK,8,09/01/2019 09:00:00 AM,09/01/2019 03:55:00 PM,(716)816-4050,(716)838-7475,Gayle Irving White,Gregelle Fulcher,Geraldine Velez Lopez,,,C. Wright,T. Harris-Tigg,600,HIGHGATE AVE,BUFFALO,NY,14215,UNIVERSITY,District E,43,1001,1,42.9481833,-78.80679374,POINT (-78.80679374 42.9481833)
Stanley Makowski E.C.C. #99 (PK-4),99,Elementary,PK,4,09/01/2019 09:00:00 AM,09/01/2019 03:55:00 PM,(716)816-4180,(716)888-2012,Dawn DiNatale,Kathleen Carpenter,Jennifer Mohorter,,,C. Wright,P. Woods,1095,JEFFERSON AVE,BUFFALO,NY,14208,MASTEN,District E,33.01,4004,4,42.91566448,-78.8539128,POINT (-78.8539128 42.915664480000004)
Dr. George Blackman E.C.C. #54 (PK-4),54,Elementary,PK,4,09/01/2019 09:00:00 AM,09/01/2019 03:55:00 PM,(716)816-3340,(716)838-7403,Gregory Johnson,Dawne McNeal,,,,S. Cimato,S. Belton-Cottman,2358,MAIN ST,BUFFALO,NY,14214,DELAWARE,District D,52.01,3001,3,42.93314752,-78.84579287,POINT (-78.84579287 42.93314752)
Pfc. William J. Grabiarz #79 PK-8,79,Elementary,PK,8,09/01/2019 08:00:00 AM,09/01/2019 02:55:00 PM,(716)816-4040,(716)871-6115,Marlon Lee,Michael Ryndak,Kim Nixon Williams,,,S. Cimato,H. Jay,225,LAWN AVE,BUFFALO,NY,14207,NORTH,District D,56,3008,3,42.94988055,-78.887563,POINT (-78.887563 42.94988055)
Dr. Lydia T. Wright School of Excellence #89 (PK-8),89,Elementary,PK,8,09/01/2019 09:00:00 AM,09/01/2019 03:55:00 PM,(716)816-4110,(716)897-8093,Contann Dabney,Natasha Hendricks,Nicole Smith,LeeQuisha Volious,,C. Wright,S. Belton-Cottman,106,APPENHEIMER ST,BUFFALO,NY,14214,MASTEN,District E,170,2009,2,42.92304962,-78.8363287,POINT (-78.8363287 42.92304962)
