FOLDERYEAR;LicenceRSN;LicenceNumber;LicenceRevisionNumber;BusinessName;BusinessTradeName;Status;IssuedDate;ExpiredDate;BusinessType;BusinessSubType;Unit;UnitType;House;Street;City;Province;Country;PostalCode;LocalArea;NumberofEmployees;FeePaid;ExtractDate;Geom
18;3026153;18-457864;00;Bonny H Blake;B Blake Law Firm;Issued;2018-01-03T03:07:47+01:00;2018-12-31;Office;Barrister & Solicitor;218;Unit;515;W PENDER ST;Vancouver;BC;CA;V6B 6H5;Downtown;2;145;2020-11-01T11:32:28+01:00;"{""type"": ""Point"", ""coordinates"": [-123.113123090414, 49.2838690672845]}"
18;3026157;18-457868;00;J T Insurance Services (Canada) Inc;;Issued;2017-11-16T21:47:42+01:00;2018-12-31;Office;Insurance Agent;Main;Floor;1177;HORNBY ST;Vancouver;BC;CA;V6Z 2E9;Downtown;11;145;2020-11-01T11:32:28+01:00;"{""type"": ""Point"", ""coordinates"": [-123.128064738975, 49.2788370062956]}"
18;3026161;18-457872;00;Great Canadian Railtour Co Ltd;Rocky Mountain Rail Tour Co;Issued;2017-11-15T22:48:42+01:00;2018-12-31;Office;Administration;1100;Unit;980;HOWE ST;Vancouver;BC;CA;V6Z 0C8;Downtown;200;145;2020-11-01T11:32:28+01:00;"{""type"": ""Point"", ""coordinates"": [-123.123326449381, 49.2799917538749]}"
18;3026171;18-457882;00;Minco Silver Corporation;;Issued;2017-11-23T21:02:43+01:00;2018-12-31;Office;Mining Exploration;2772;Unit;1055;W GEORGIA ST;Vancouver;BC;CA;V6E 3R5;Downtown;000;145;2020-11-01T11:32:28+01:00;"{""type"": ""Point"", ""coordinates"": [-123.121942956538, 49.2854191488256]}"
18;3026177;18-457888;00;Peregrine Diamonds Ltd;;Issued;2017-11-22T18:14:17+01:00;2018-12-31;Office;Mining Exploration;654;Unit;999;CANADA PLACE;Vancouver;BC;CA;V6C 3E1;Downtown;11;145;2020-11-01T11:32:28+01:00;"{""type"": ""Point"", ""coordinates"": [-123.112430882112, 49.2878273304586]}"
18;3026178;18-457889;00;J Kenneth McEwan Law Corporation;;Inactive;2017-12-01T22:50:12+01:00;2018-12-31;Office;Barrister & Solicitor;2100;Unit;1040;W GEORGIA ST;Vancouver;BC;CA;V6B 2M9;Downtown;1;145;2020-11-01T11:32:28+01:00;"{""type"": ""Point"", ""coordinates"": [-123.122490354875, 49.2848518559734]}"
18;3026185;18-457896;00;Fenella Chi Fun Sung (Fenella Sung);;Issued;2017-12-15T00:24:31+01:00;2018-12-31;Office;Consultant;720;Unit;999;W BROADWAY;Vancouver;BC;CA;V5Z 1K5;Fairview;2;145;2020-11-01T11:32:28+01:00;"{""type"": ""Point"", ""coordinates"": [-123.126104236733, 49.2638663729166]}"
18;3026192;18-457903;00;Mee Hoi Bros Company Ltd;;Issued;2017-12-20T23:30:44+01:00;2018-12-31;Office;Development Company;201;Unit;1155;W PENDER ST;Vancouver;BC;CA;V6E 2P4;Downtown;5;145;2020-11-01T11:32:28+01:00;"{""type"": ""Point"", ""coordinates"": [-123.121792814441, 49.288244690183]}"
18;3026194;18-457905;00;Cameron Belsher Law Corporation;McCarthy Tetrault LLP;Issued;2017-12-18T18:38:30+01:00;2018-12-31;Office;Barrister & Solicitor;2400;Unit;745;THURLOW ST;Vancouver;BC;CA;V6E 0C5;West End;000;145;2020-11-01T11:32:28+01:00;"{""type"": ""Point"", ""coordinates"": [-123.124465550389, 49.2853876476896]}"
18;3026199;18-457910;00;Ken Rystead Insurance Agencies Ltd;;Issued;2017-12-15T22:30:50+01:00;2018-12-31;Office;Insurance Agent;;;593;W 57TH AV;Vancouver;BC;CA;V6P 1R8;Oakridge;4;145;2020-11-01T11:32:28+01:00;"{""type"": ""Point"", ""coordinates"": [-123.119767328984, 49.2202478820265]}"
18;3026202;18-457913;00;Robert M Lonergan (Robert Lonergan);Fasken Martineau DuMoulin LLP;Issued;2018-01-11T17:51:34+01:00;2018-12-31;Office;Barrister & Solicitor;2900;Unit;550;BURRARD ST;Vancouver;BC;CA;V6C 0A3;Downtown;315;145;2020-11-01T11:32:28+01:00;"{""type"": ""Point"", ""coordinates"": [-123.118286911277, 49.2857182786615]}"
18;3026204;18-457915;00;David W Little (David Little);Fasken Martineau DuMoulin LLP;Issued;2018-01-11T17:52:13+01:00;2018-12-31;Office;Barrister & Solicitor;2900;Unit;550;BURRARD ST;Vancouver;BC;CA;V6C 0A3;Downtown;315;145;2020-11-01T11:32:28+01:00;"{""type"": ""Point"", ""coordinates"": [-123.118286911277, 49.2857182786615]}"
18;3026205;18-457916;00;Steven G Lukas Personal Law Corporation;Harper Grey LLP;Issued;2018-01-05T21:40:07+01:00;2018-12-31;Office;Barrister & Solicitor;3200;Unit;650;W GEORGIA ST;Vancouver;BC;CA;V6B 4P7;Downtown;315;145;2020-11-01T11:32:28+01:00;"{""type"": ""Point"", ""coordinates"": [-123.117897724969, 49.2818316993831]}"
18;3026210;18-457921;00;(Iain Mant);Fasken Martineau DuMoulin LLP;Issued;2018-01-11T17:48:54+01:00;2018-12-31;Office;Barrister & Solicitor;2900;Unit;550;BURRARD ST;Vancouver;BC;CA;V6C 0A3;Downtown;315;145;2020-11-01T11:32:28+01:00;"{""type"": ""Point"", ""coordinates"": [-123.118286911277, 49.2857182786615]}"
18;3026217;18-457928;00;(Sandra Mott);Arris Design;Issued;2017-11-23T00:24:29+01:00;2018-12-31;Office;Interior Design/Decorator;3rd;Floor;1005;CAMBIE ST;Vancouver;BC;CA;V6B 5L7;Downtown;4;145;2020-11-01T11:32:28+01:00;"{""type"": ""Point"", ""coordinates"": [-123.118921676565, 49.2758784477609]}"
18;3026222;18-457933;00;(Georald Ingborg);Fasken Martineau DuMoulin LLP;Issued;2018-01-11T17:33:32+01:00;2018-12-31;Office;Barrister & Solicitor;2900;Unit;550;BURRARD ST;Vancouver;BC;CA;V6C 0A3;Downtown;315;145;2020-11-01T11:32:28+01:00;"{""type"": ""Point"", ""coordinates"": [-123.118286911277, 49.2857182786615]}"
18;3026225;18-457936;00;Edgar Armand Frechette (Edgar Frechette);Fasken Martineau DuMoulin LLP;Issued;2018-01-11T17:44:07+01:00;2018-12-31;Office;Barrister & Solicitor;2900;Unit;550;BURRARD ST;Vancouver;BC;CA;V6C 0A3;Downtown;315;145;2020-11-01T11:32:28+01:00;"{""type"": ""Point"", ""coordinates"": [-123.118286911277, 49.2857182786615]}"
18;3026231;18-457942;00;William O Westeringh (William Westeringh);Fasken Martineau DuMoulin LLP;Issued;2018-01-11T18:29:37+01:00;2018-12-31;Office;Barrister & Solicitor;2900;Unit;550;BURRARD ST;Vancouver;BC;CA;V6C 0A3;Downtown;315;145;2020-11-01T11:32:28+01:00;"{""type"": ""Point"", ""coordinates"": [-123.118286911277, 49.2857182786615]}"
18;3026235;18-457946;00;(Barbara Vanderburgh);Fasken Martineau DuMoulin LLP;Issued;2018-01-11T18:19:26+01:00;2018-12-31;Office;Barrister & Solicitor;2900;Unit;550;BURRARD ST;Vancouver;BC;CA;V6C 0A3;Downtown;315;145;2020-11-01T11:32:28+01:00;"{""type"": ""Point"", ""coordinates"": [-123.118286911277, 49.2857182786615]}"
18;3026238;18-457949;00;Donald M Dalik (Donald Dalik);Fasken Martineau DuMoulin LLP;Issued;2018-01-11T18:39:09+01:00;2018-12-31;Office;Barrister & Solicitor;2900;Unit;550;BURRARD ST;Vancouver;BC;CA;V6C 0A3;Downtown;315;145;2020-11-01T11:32:28+01:00;"{""type"": ""Point"", ""coordinates"": [-123.118286911277, 49.2857182786615]}"
18;3026239;18-457950;00;Simon Raymond Coval (Simon Coval);Fasken Martineau DuMoulin LLP;Issued;2018-01-11T18:40:49+01:00;2018-12-31;Office;Barrister & Solicitor;2900;Unit;550;BURRARD ST;Vancouver;BC;CA;V6C 0A3;Downtown;315;145;2020-11-01T11:32:28+01:00;"{""type"": ""Point"", ""coordinates"": [-123.118286911277, 49.2857182786615]}"
18;3026246;18-457957;00;Analysisworks Inc;;Issued;2017-11-15T21:15:54+01:00;2018-12-31;Office;Consultant;;;1234;W 6TH AV;Vancouver;BC;CA;V6H 1A5;Fairview;19;145;2020-11-01T11:32:28+01:00;"{""type"": ""Point"", ""coordinates"": [-123.132148961313, 49.2658119008057]}"
18;3026251;18-457962;00;Marina A Pratchett (Marina Pratchett);Fasken Martineau DuMoulin LLP;Issued;2018-01-11T18:03:37+01:00;2018-12-31;Office;Barrister & Solicitor;2900;Unit;550;BURRARD ST;Vancouver;BC;CA;V6C 0A3;Downtown;315;145;2020-11-01T11:32:28+01:00;"{""type"": ""Point"", ""coordinates"": [-123.118286911277, 49.2857182786615]}"
18;3026252;18-457963;00;Andrew Dean Borrell (Andrew Borrell);Fasken Martineau DuMoulin LLP;Issued;2018-01-11T18:45:33+01:00;2018-12-31;Office;Barrister & Solicitor;2900;Unit;550;BURRARD ST;Vancouver;BC;CA;V6C 0A3;Downtown;315;145;2020-11-01T11:32:28+01:00;"{""type"": ""Point"", ""coordinates"": [-123.118286911277, 49.2857182786615]}"
18;3026259;18-457970;00;Christian J Petersen (Christian Petersen);Norton Rose Fulbright Canada LLP;Gone Out of Business;;;Office;Barrister & Solicitor;1800;Unit;510;W GEORGIA ST;Vancouver;BC;CA;V6B 0M3;Downtown;000;;2020-11-01T11:32:28+01:00;"{""type"": ""Point"", ""coordinates"": [-123.116921846041, 49.2812115648857]}"
18;3026263;18-457974;00;PD Group Interior Design Ltd;;Issued;2017-11-16T23:53:45+01:00;2018-12-31;Office;Interior Design/Decorator;;;;;Vancouver;BC;CA;;Kitsilano;1;145;2020-11-01T11:32:28+01:00;
18;3026266;18-457977;00;Madison Pacific Properties Inc;;Issued;2018-01-03T20:20:26+01:00;2018-12-31;Office;Real Estate Development/Investment;;;389;W 6TH AV;Vancouver;BC;CA;V5Y 1L1;Mount Pleasant;000;145;2020-11-01T11:32:28+01:00;"{""type"": ""Point"", ""coordinates"": [-123.112274495242, 49.2659648641609]}"
18;3026269;18-457980;00;Kinji Christopher Bourchier (Kinji Bourchier);Lawson Lundell LLP;Issued;2018-02-07T23:18:20+01:00;2018-12-31;Office;Barrister & Solicitor;1600;Unit;925;W GEORGIA ST;Vancouver;BC;CA;V6C 3L2;Downtown;000;145;2020-11-01T11:32:28+01:00;"{""type"": ""Point"", ""coordinates"": [-123.119804845719, 49.2843168050669]}"
18;3026271;18-457982;00;William L Roberts Law Corporation;Lawson Lundell LLP;Issued;2018-02-07T23:39:06+01:00;2018-12-31;Office;Barrister & Solicitor;1600;Unit;925;W GEORGIA ST;Vancouver;BC;CA;V6C 3L2;Downtown;000;145;2020-11-01T11:32:28+01:00;"{""type"": ""Point"", ""coordinates"": [-123.119804845719, 49.2843168050669]}"
18;3026278;18-457989;00;Liana Danielle Tatarin (Liana Tatarin);Designer Cocktail Company;Issued;2018-02-21T02:38:22+01:00;2018-12-31;Office;Consultant;300;Unit;1055;W HASTINGS ST;Vancouver;BC;CA;V6E 2E9;Downtown;1;185;2020-11-01T11:32:28+01:00;"{""type"": ""Point"", ""coordinates"": [-123.118192793095, 49.2877342016388]}"
18;3026279;18-457990;00;Michael F Provenzano Personal Law Corporation;;Issued;2017-11-20T23:52:48+01:00;2018-12-31;Office;Barrister & Solicitor;704;Unit;595;HOWE ST;Vancouver;BC;CA;V6C 2T5;Downtown;2;145;2020-11-01T11:32:28+01:00;"{""type"": ""Point"", ""coordinates"": [-123.117446081131, 49.2845958641155]}"
18;3026282;18-457993;00;MacDonald Harris & Associates Ltd;;Issued;2017-12-04T20:03:53+01:00;2018-12-31;Office;Consultant;170;Unit;601;W CORDOVA ST;Vancouver;BC;CA;V6B 1G1;Downtown;28;145;2020-11-01T11:32:28+01:00;"{""type"": ""Point"", ""coordinates"": [-123.111518282345, 49.2855753024676]}"
18;3026283;18-457994;00;Clear HR Consulting Inc;;Issued;2017-11-16T18:55:28+01:00;2018-12-31;Office;Consultant;400;Unit;601;W BROADWAY;Vancouver;BC;CA;V5Z 4C2;Fairview;2;145;2020-11-01T11:32:28+01:00;"{""type"": ""Point"", ""coordinates"": [-123.118596122757, 49.2635657969344]}"
18;3026285;18-457996;00;KJF Investments Limited;PricewaterhouseCoopers LLP;Issued;2017-12-05T00:19:34+01:00;2018-12-31;Office;Other;1400;Unit;250;HOWE ST;Vancouver;BC;CA;V6C 3S7;Downtown;1;167;2020-11-01T11:32:28+01:00;"{""type"": ""Point"", ""coordinates"": [-123.113252488858, 49.2866526135765]}"
18;3026288;18-457999;00;(Antoinette MacLellan);DML Support Services;Gone Out of Business;;;Office;Consultant;;;;;Vancouver;BC;CA;;Fairview;1;;2020-11-01T11:32:28+01:00;
18;3026292;18-458003;00;AME Realty Corp;;Issued;2017-12-05T17:51:42+01:00;2018-12-31;Office;Property Management;;;1978;STEPHENS ST;Vancouver;BC;CA;V6K 3V9;Kitsilano;1;145;2020-11-01T11:32:28+01:00;"{""type"": ""Point"", ""coordinates"": [-123.166018705731, 49.2685878441934]}"
18;3026294;18-458005;00;(John-Paul Bogden);Blake Cassels & Graydon LLP;Issued;2017-12-19T00:47:02+01:00;2018-12-31;Office;Barrister & Solicitor;2600;Unit;595;BURRARD ST;Vancouver;BC;CA;V7X 1L3;Downtown;000;145;2020-11-01T11:32:28+01:00;"{""type"": ""Point"", ""coordinates"": [-123.11972958074, 49.2861303368945]}"
18;3026299;18-458010;00;Vancouver Arena General Partner Inc;Canucks Sports & Entertainment;Issued;2017-12-06T20:16:39+01:00;2018-12-31;Office;Administration;;;800;GRIFFITHS WAY;Vancouver;BC;CA;V6B 6G1;Downtown;150;435;2020-11-01T11:32:28+01:00;"{""type"": ""Point"", ""coordinates"": [-123.10867942868, 49.2778345175058]}"
18;3026300;18-458011;00;Klimko Insurance Brokers Ltd;;Issued;2017-11-23T22:13:01+01:00;2018-12-31;Office;Insurance Agent;;;3473;FRASER ST;Vancouver;BC;CA;V5V 4C3;Riley Park;3;145;2020-11-01T11:32:28+01:00;"{""type"": ""Point"", ""coordinates"": [-123.090427157067, 49.2540996273959]}"
18;3026305;18-458016;00;Bank of Nova Scotia;Scotiabank;Gone Out of Business;;;Office;Administration;700;Unit;409;GRANVILLE ST;Vancouver;BC;CA;V6C 1T2;Downtown;85;;2020-11-01T11:32:28+01:00;"{""type"": ""Point"", ""coordinates"": [-123.114569797322, 49.2853593925229]}"
18;3026307;18-458018;00;Ludmila B Herbst (Ludmila Herbst);Farris Vaughan Wills & Murphy LLP;Issued;2017-12-21T21:12:06+01:00;2018-12-31;Office;Barrister & Solicitor;2500;Unit;700;W GEORGIA ST;Vancouver;BC;CA;V7Y 1B3;Downtown;000;145;2020-11-01T11:32:28+01:00;"{""type"": ""Point"", ""coordinates"": [-123.119500778402, 49.2822434350563]}"
18;3026308;18-458019;00;David J Selley Law Corporation;Farris Vaughan Wills & Murphy LLP;Issued;2017-12-21T21:23:15+01:00;2018-12-31;Office;Barrister & Solicitor;2500;Unit;700;W GEORGIA ST;Vancouver;BC;CA;V7Y 1B3;Downtown;000;145;2020-11-01T11:32:28+01:00;"{""type"": ""Point"", ""coordinates"": [-123.119500778402, 49.2822434350563]}"
18;3026311;18-458022;00;SLR Consulting (Canada) Ltd;;Issued;2018-01-04T18:15:00+01:00;2018-12-31;Office;Engineer;200;Unit;1620;W 8TH AV;Vancouver;BC;CA;V6J 1V4;Fairview;60;145;2020-11-01T11:32:28+01:00;"{""type"": ""Point"", ""coordinates"": [-123.141664449589, 49.2642963306208]}"
18;3026320;18-458031;00;Mallen Gowing Berzins Architecture Inc;;Issued;2017-11-28T19:54:33+01:00;2018-12-31;Office;Architect;300;Unit;7;E 6TH AV;Vancouver;BC;CA;V5T 1J3;Mount Pleasant;24;145;2020-11-01T11:32:28+01:00;"{""type"": ""Point"", ""coordinates"": [-123.10456281357, 49.2658198475997]}"
18;3026321;18-458032;00;Sierra Systems Group Inc;;Issued;2017-12-08T20:25:25+01:00;2018-12-31;Office;Consultant;2500;Unit;1177;W HASTINGS ST;Vancouver;BC;CA;V6E 2K3;Downtown;000;145;2020-11-01T11:32:28+01:00;"{""type"": ""Point"", ""coordinates"": [-123.121979852972, 49.2888486263507]}"
18;3026335;18-458046;00;Richard Keate Interior Design Ltd;Keate & Co Designers;Issued;2018-11-22T18:33:12+01:00;2018-12-31;Office;Interior Design/Decorator;;;;;Vancouver;BC;CA;;Shaughnessy;3;185;2020-11-01T11:32:28+01:00;
