"YEAR";"MONTH_NUMBER";"MONTH";"REPORT_PERIOD";"NEIGHBOURHOOD";"NEIGHBOURHOOD_ID";"COMPLAINT";"INITIATED_BY";"STATUS";"COUNT";"LATITUDE";"LONGITUDE";"LOCATION"
"2019";"7";"JULY";"JULY-2019";"Trumpeter Area, Rural West Big Lake, Rampart Industrial, Starling, Cumberland";"4471, 4470, 3360, 4474, 3150";"Nuisance Property";"Citizen";"Resolved Complaint";"1";"";"";""
"2018";"8";"AUGUST";"AUGUST-2018";"Trumpeter Area, Rural West Big Lake, Rampart Industrial, Starling, Cumberland";"4471, 4470, 3360, 4474, 3150";"Weeds";"Citizen";"Under Investigation";"1";"";"";""
"2019";"7";"JULY";"JULY-2019";"Tamarack, Silver Berry, Aster";"6443, 6442, 6445";"Weeds";"Citizen";"Resolved Complaint";"1";"";"";""
"2014";"6";"JUNE";"JUNE-2014";"University of Alberta, River Valley Walterdale";"5520, 5390";"Unlicensed Business";"Citizen";"Resolved Complaint";"1";"";"";""
"2020";"5";"MAY";"MAY-2020";"";"";"Nuisance Property";"Citizen";"Under Investigation";"1";"";"";""
"2020";"5";"MAY";"MAY-2020";"Anthony Henday Rampart, Rampart Industrial";"4023, 3360";"Nuisance Property";"Citizen";"Resolved Complaint";"1";"";"";""
"2019";"10";"OCTOBER";"OCTOBER-2019";"University of Alberta, River Valley Walterdale";"5520, 5390";"Unlicensed Business";"Citizen";"Resolved Complaint";"1";"";"";""
"2020";"5";"MAY";"MAY-2020";"Mattson, Rural South East";"6667, 6660";"Nuisance Property";"Citizen";"Resolved Complaint";"1";"";"";""
"2011";"4";"APRIL";"APRIL-2011";"";"";"Unlicensed Business";"Citizen";"Under Investigation";"1";"";"";""
"2018";"3";"MARCH";"MARCH-2018";"";"";"Graffiti";"Citizen";"Under Investigation";"1";"";"";""
"2020";"8";"AUGUST";"AUGUST-2020";"Ellerslie Industrial, South Edmonton Common";"6214, 6195";"Graffiti";"Citizen";"Resolved Complaint";"1";"";"";""
"2018";"3";"MARCH";"MARCH-2018";"";"";"Snow/Ice On Walk";"Citizen";"Under Investigation";"1";"";"";""
"2018";"12";"DECEMBER";"DECEMBER-2018";"";"";"Nuisance Property";"Citizen";"Resolved Complaint";"1";"";"";""
"2018";"3";"MARCH";"MARCH-2018";"Rural South East";"6660";"Snow/Ice On Walk";"Citizen";"Under Investigation";"1";"";"";""
"2014";"6";"JUNE";"JUNE-2014";"Rural South East";"6660";"Weeds";"Citizen";"Resolved Complaint";"1";"";"";""
"2013";"7";"JULY";"JULY-2013";"Rural South East";"6660";"Weeds";"By-law Officer";"Resolved Complaint";"1";"";"";""
"2019";"6";"JUNE";"JUNE-2019";"Rural South East";"6660";"Nuisance Property";"Citizen";"Under Investigation";"1";"";"";""
"2012";"8";"AUGUST";"AUGUST-2012";"Rural South East";"6660";"Weeds";"By-law Officer";"Under Investigation";"1";"";"";""
"2011";"6";"JUNE";"JUNE-2011";"Rural South East";"6660";"Weeds";"By-law Officer";"Resolved Complaint";"1";"";"";""
"2019";"4";"APRIL";"APRIL-2019";"Davies Industrial West, Davies Industrial East, Lambton Industrial, Gainer Industrial, Coronet Industrial, Eastgate Business Park";"6170, 6160, 6380, 6250, 6100, 6180";"Nuisance Property";"Citizen";"Resolved Complaint";"1";"";"";""
"2019";"7";"JULY";"JULY-2019";"Mattson, Rural South East";"6667, 6660";"Weeds";"Citizen";"Resolved Complaint";"1";"";"";""
"2019";"9";"SEPTEMBER";"SEPTEMBER-2019";"University of Alberta, River Valley Walterdale";"5520, 5390";"Unlicensed Business";"Citizen";"Resolved Complaint";"1";"";"";""
"2019";"11";"NOVEMBER";"NOVEMBER-2019";"Sweet Grass, Steinhauer";"5490, 5470";"Nuisance Property";"Citizen";"Resolved Complaint";"1";"";"";""
"2019";"7";"JULY";"JULY-2019";"University of Alberta, River Valley Walterdale";"5520, 5390";"Unlicensed Business";"Citizen";"Resolved Complaint";"1";"";"";""
"2019";"9";"SEPTEMBER";"SEPTEMBER-2019";"";"";"Nuisance Property";"Citizen";"Resolved Complaint";"2";"";"";""
"2019";"9";"SEPTEMBER";"SEPTEMBER-2019";"Overlanders, Canon Ridge";"2590, 2120";"Nuisance Property";"Citizen";"Resolved Complaint";"1";"";"";""
"2020";"12";"DECEMBER";"DECEMBER-2020";"Eastgate Business Park";"6180";"Unlicensed Business";"Citizen";"Under Investigation";"4";"53.53405";"-113.40635093079894";"(53.53405252983872, -113.40635093079894)"
"2020";"12";"DECEMBER";"DECEMBER-2020";"Lynnwood";"4280";"Unlicensed Business";"Citizen";"Under Investigation";"1";"53.51569";"-113.58990899951134";"(53.51568651591643, -113.58990899951134)"
"2019";"1";"JANUARY";"JANUARY-2019";"Anthony Henday Mistatim, Mistatim Industrial";"4015, 4320";"Nuisance Property";"By-law Officer";"Resolved Complaint";"1";"";"";""
"2020";"12";"DECEMBER";"DECEMBER-2020";"Fraser";"2280";"Unlicensed Business";"Citizen";"Under Investigation";"1";"53.61121";"-113.36978447542182";"(53.61120506312749, -113.36978447542182)"
"2019";"11";"NOVEMBER";"NOVEMBER-2019";"";"";"Unlicensed Business";"Citizen";"Resolved Complaint";"1";"";"";""
"2020";"8";"AUGUST";"AUGUST-2020";"Kinokamau Plains Area, Brown Industrial, White Industrial, Winterburn Industrial Area East, Anthony Henday";"4475, 3050, 4630, 4650, 4011";"Graffiti";"Citizen";"Resolved Complaint";"1";"";"";""
"2020";"2";"FEBRUARY";"FEBRUARY-2020";"";"";"Unlicensed Business";"Citizen";"Resolved Complaint";"1";"";"";""
"2019";"6";"JUNE";"JUNE-2019";"";"";"Nuisance Property";"Citizen";"Resolved Complaint";"1";"";"";""
"2019";"8";"AUGUST";"AUGUST-2019";"Ellerslie Industrial, South Edmonton Common";"6214, 6195";"Graffiti";"Citizen";"Resolved Complaint";"1";"";"";""
"2011";"5";"MAY";"MAY-2011";"Mattson, Rural South East";"6667, 6660";"Nuisance Property";"Citizen";"Resolved Complaint";"1";"";"";""
"2018";"5";"MAY";"MAY-2018";"Mattson, Rural South East";"6667, 6660";"Nuisance Property";"By-law Officer";"Resolved Complaint";"1";"";"";""
"2014";"5";"MAY";"MAY-2014";"Mattson, Rural South East";"6667, 6660";"Nuisance Property";"Citizen";"Resolved Complaint";"2";"";"";""
"2020";"12";"DECEMBER";"DECEMBER-2020";"Oliver";"1150";"Nuisance Property";"Citizen";"Under Investigation";"1";"53.54199";"-113.52399426586823";"(53.541993233892136, -113.52399426586823)"
"2020";"8";"AUGUST";"AUGUST-2020";"University of Alberta, River Valley Walterdale";"5520, 5390";"Unlicensed Business";"Citizen";"Resolved Complaint";"2";"";"";""
"2020";"8";"AUGUST";"AUGUST-2020";"";"";"Nuisance Property";"Citizen";"Resolved Complaint";"1";"";"";""
"2020";"5";"MAY";"MAY-2020";"University of Alberta, River Valley Walterdale";"5520, 5390";"Unlicensed Business";"Citizen";"Resolved Complaint";"2";"";"";""
"2017";"6";"JUNE";"JUNE-2017";"Glenridding Ravine, Hays Ridge Area";"5579, 5465";"Weeds";"Citizen";"Resolved Complaint";"1";"";"";""
"2020";"12";"DECEMBER";"DECEMBER-2020";"Lee Ridge";"6400";"Unlicensed Business";"Citizen";"Under Investigation";"2";"53.46959";"-113.44479692943608";"(53.46959133342771, -113.44479692943608)"
"2020";"12";"DECEMBER";"DECEMBER-2020";"Rutherford";"5454";"Unlicensed Business";"Citizen";"Under Investigation";"5";"53.41751";"-113.52874800563353";"(53.41751073053943, -113.52874800563353)"
"2020";"12";"DECEMBER";"DECEMBER-2020";"Allard";"5458";"Unlicensed Business";"Citizen";"Under Investigation";"3";"53.40116";"-113.52664103089808";"(53.40116440487528, -113.52664103089808)"
"2020";"12";"DECEMBER";"DECEMBER-2020";"Aldergrove";"4020";"Unlicensed Business";"Citizen";"Under Investigation";"2";"53.51689";"-113.6412392123956";"(53.51688913776262, -113.6412392123956)"
"2020";"12";"DECEMBER";"DECEMBER-2020";"Bonnie Doon";"6040";"Unlicensed Business";"Citizen";"Under Investigation";"4";"53.52377";"-113.46729006225137";"(53.523768960098934, -113.46729006225137)"
"2020";"8";"AUGUST";"AUGUST-2020";"Papaschase Industrial, Parsons Industrial, Strathcona Industrial Park, Coronet Industrial, CPR Irvine";"6560, 6570, 6700, 6100, 6110";"Weeds";"Citizen";"Resolved Complaint";"2";"";"";""
"2020";"12";"DECEMBER";"DECEMBER-2020";"Cumberland";"3150";"Unlicensed Business";"Citizen";"Under Investigation";"1";"53.61061";"-113.55318828997665";"(53.610605092147075, -113.55318828997665)"
"2020";"12";"DECEMBER";"DECEMBER-2020";"Spruce Avenue";"1230";"Unlicensed Business";"Citizen";"Under Investigation";"3";"53.56463";"-113.50197643546534";"(53.56462855872456, -113.50197643546534)"
"2020";"12";"DECEMBER";"DECEMBER-2020";"Westmount";"3440";"Unlicensed Business";"Citizen";"Under Investigation";"4";"53.55167";"-113.54112241012326";"(53.551671762229795, -113.54112241012326)"
"2018";"8";"AUGUST";"AUGUST-2018";"Anthony Henday Mistatim, Mistatim Industrial";"4015, 4320";"Nuisance Property";"By-law Officer";"Resolved Complaint";"1";"";"";""
"2020";"12";"DECEMBER";"DECEMBER-2020";"Brintnell";"2110";"Unlicensed Business";"Citizen";"Under Investigation";"1";"53.62184";"-113.40593551917826";"(53.621837223937895, -113.40593551917826)"
"2018";"5";"MAY";"MAY-2018";"";"";"Graffiti";"Citizen";"Resolved Complaint";"1";"";"";""
"2020";"12";"DECEMBER";"DECEMBER-2020";"Woodcroft";"3450";"Unlicensed Business";"Citizen";"Under Investigation";"2";"53.56456";"-113.55764889218268";"(53.56456236582152, -113.55764889218268)"
"2020";"12";"DECEMBER";"DECEMBER-2020";"Cameron Heights";"4466";"Unlicensed Business";"Citizen";"Under Investigation";"1";"53.47413";"-113.63435953231212";"(53.47413231561944, -113.63435953231212)"
"2020";"12";"DECEMBER";"DECEMBER-2020";"Lorelei";"3280";"Unlicensed Business";"Citizen";"Under Investigation";"1";"53.62461";"-113.5044094315818";"(53.6246127279689, -113.5044094315818)"
"2020";"12";"DECEMBER";"DECEMBER-2020";"Downtown";"1090";"Unlicensed Business";"Citizen";"Under Investigation";"11";"53.54088";"-113.49924372443917";"(53.54087526522481, -113.49924372443917)"
"2017";"6";"JUNE";"JUNE-2017";"Tamarack, Silver Berry, Aster";"6443, 6442, 6445";"Weeds";"Citizen";"Resolved Complaint";"1";"";"";""
"2020";"12";"DECEMBER";"DECEMBER-2020";"Desrochers Area";"5463";"Nuisance Property";"Citizen";"Under Investigation";"1";"53.39935";"-113.55276475899495";"(53.39935165344728, -113.55276475899495)"
"2019";"11";"NOVEMBER";"NOVEMBER-2019";"University of Alberta, River Valley Walterdale";"5520, 5390";"Unlicensed Business";"Citizen";"Resolved Complaint";"1";"";"";""
"2019";"3";"MARCH";"MARCH-2019";"";"";"Unlicensed Business";"Citizen";"Resolved Complaint";"1";"";"";""
"2020";"7";"JULY";"JULY-2020";"Davies Industrial West, Davies Industrial East, Lambton Industrial, Gainer Industrial, Coronet Industrial, Eastgate Business Park";"6170, 6160, 6380, 6250, 6100, 6180";"Weeds";"Citizen";"Under Investigation";"1";"";"";""
"2011";"2";"FEBRUARY";"FEBRUARY-2011";"Yellowhead Corridor";"1260";"Unlicensed Business";"Citizen";"Resolved Complaint";"2";"";"";""
"2011";"2";"FEBRUARY";"FEBRUARY-2011";"Yellowhead Corridor";"1260";"Unlicensed Business";"Citizen";"Under Investigation";"1";"";"";""
"2020";"12";"DECEMBER";"DECEMBER-2020";"High Park";"4200";"Unlicensed Business";"Citizen";"Under Investigation";"1";"53.55497";"-113.5841830838426";"(53.55496845282562, -113.5841830838426)"
"2020";"12";"DECEMBER";"DECEMBER-2020";"Edmonton Research and Development Park";"6190";"Unlicensed Business";"Citizen";"Under Investigation";"1";"53.44572";"-113.47306483898305";"(53.44572180584982, -113.47306483898305)"
"2019";"9";"SEPTEMBER";"SEPTEMBER-2019";"";"";"Weeds";"Citizen";"Resolved Complaint";"1";"";"";""
"2020";"12";"DECEMBER";"DECEMBER-2020";"Ottewell";"6550";"Unlicensed Business";"Citizen";"Under Investigation";"2";"53.53134";"-113.43074604760109";"(53.53134376415048, -113.43074604760109)"
"2020";"12";"DECEMBER";"DECEMBER-2020";"Laurel";"6444";"Unlicensed Business";"Citizen";"Under Investigation";"2";"53.44580";"-113.38147072766459";"(53.44580464601288, -113.38147072766459)"
"2020";"7";"JULY";"JULY-2020";"Tamarack, Silver Berry, Aster";"6443, 6442, 6445";"Weeds";"Citizen";"Resolved Complaint";"1";"";"";""
"2020";"12";"DECEMBER";"DECEMBER-2020";"Bearspaw";"5030";"Unlicensed Business";"Citizen";"Under Investigation";"1";"53.44345";"-113.50053718855766";"(53.44344833573473, -113.50053718855766)"
"2020";"12";"DECEMBER";"DECEMBER-2020";"Kensington";"3250";"Unlicensed Business";"Citizen";"Under Investigation";"1";"53.59587";"-113.52892319252928";"(53.59587384934523, -113.52892319252928)"
"2015";"7";"JULY";"JULY-2015";"Mattson, Rural South East";"6667, 6660";"Weeds";"By-law Officer";"Resolved Complaint";"3";"";"";""
"2017";"6";"JUNE";"JUNE-2017";"";"";"Weeds";"Citizen";"Resolved Complaint";"1";"";"";""
"2011";"7";"JULY";"JULY-2011";"Pilot Sound Area West Portion";"2610";"Weeds";"Citizen";"Under Investigation";"1";"";"";""
"2011";"6";"JUNE";"JUNE-2011";"";"";"Weeds";"By-law Officer";"Resolved Complaint";"1";"";"";""
"2017";"6";"JUNE";"JUNE-2017";"Clareview Campus";"2150";"Weeds";"Citizen";"Resolved Complaint";"1";"";"";""
"2011";"2";"FEBRUARY";"FEBRUARY-2011";"Gorman Industrial West";"2310";"Unlicensed Business";"Citizen";"Under Investigation";"1";"";"";""
"2017";"12";"DECEMBER";"DECEMBER-2017";"Pilot Sound Area West Portion";"2610";"Snow/Ice On Walk";"Citizen";"Under Investigation";"1";"";"";""
"2020";"3";"MARCH";"MARCH-2020";"Homesteader, Industrial Heights";"2350, 2360";"Nuisance Property";"Citizen";"Resolved Complaint";"1";"";"";""
"2020";"6";"JUNE";"JUNE-2020";"Gorman, Ebbers, Anthony Henday Horse Hill";"2311, 2251, 4021";"Nuisance Property";"Citizen";"Resolved Complaint";"1";"";"";""
"2020";"9";"SEPTEMBER";"SEPTEMBER-2020";"Davies Industrial West, Davies Industrial East, Lambton Industrial, Gainer Industrial, Coronet Industrial, Eastgate Business Park";"6170, 6160, 6380, 6250, 6100, 6180";"Graffiti";"Citizen";"Under Investigation";"1";"";"";""
"2011";"2";"FEBRUARY";"FEBRUARY-2011";"";"";"Unlicensed Business";"Citizen";"Under Investigation";"1";"";"";""
"2011";"6";"JUNE";"JUNE-2011";"Pilot Sound Area West Portion";"2610";"Weeds";"By-law Officer";"Resolved Complaint";"2";"";"";""
"2011";"7";"JULY";"JULY-2011";"Pilot Sound Area West Portion";"2610";"Weeds";"Citizen";"Resolved Complaint";"1";"";"";""
"2019";"8";"AUGUST";"AUGUST-2019";"University of Alberta, River Valley Walterdale";"5520, 5390";"Unlicensed Business";"Citizen";"Resolved Complaint";"1";"";"";""
"2020";"9";"SEPTEMBER";"SEPTEMBER-2020";"Ellerslie Industrial, South Edmonton Common";"6214, 6195";"Graffiti";"Citizen";"Resolved Complaint";"1";"";"";""
"2020";"7";"JULY";"JULY-2020";"Gorman, Ebbers, Anthony Henday Horse Hill";"2311, 2251, 4021";"Weeds";"Citizen";"Resolved Complaint";"2";"";"";""
"2019";"12";"DECEMBER";"DECEMBER-2019";"University of Alberta, River Valley Walterdale";"5520, 5390";"Unlicensed Business";"Citizen";"Resolved Complaint";"1";"";"";""
"2020";"4";"APRIL";"APRIL-2020";"University of Alberta, River Valley Walterdale";"5520, 5390";"Graffiti";"Citizen";"Resolved Complaint";"1";"";"";""
"2020";"9";"SEPTEMBER";"SEPTEMBER-2020";"Baranow, Caernarvon, Dunluce";"3020, 3060, 3180";"Nuisance Property";"Citizen";"Resolved Complaint";"1";"";"";""
"2018";"4";"APRIL";"APRIL-2018";"";"";"Nuisance Property";"Citizen";"Resolved Complaint";"3";"";"";""
"2020";"12";"DECEMBER";"DECEMBER-2020";"Stone Industrial";"4510";"Unlicensed Business";"Citizen";"Under Investigation";"3";"53.54498";"-113.62113795546365";"(53.54498493771637, -113.62113795546365)"
"2020";"12";"DECEMBER";"DECEMBER-2020";"Coronet Industrial";"6100";"Unlicensed Business";"Citizen";"Under Investigation";"3";"53.49396";"-113.4789791683215";"(53.49395869528816, -113.4789791683215)"
"2020";"12";"DECEMBER";"DECEMBER-2020";"The Orchards At Ellerslie";"6216";"Unlicensed Business";"Citizen";"Under Investigation";"2";"53.40309";"-113.45816656931493";"(53.403088297267004, -113.45816656931493)"
"2020";"12";"DECEMBER";"DECEMBER-2020";"Britannia Youngstown";"4060";"Unlicensed Business";"Citizen";"Under Investigation";"2";"53.54628";"-113.60149844673005";"(53.54628475992977, -113.60149844673005)"
"2020";"12";"DECEMBER";"DECEMBER-2020";"Bonnie Doon";"6040";"Graffiti";"Citizen";"Under Investigation";"1";"53.52377";"-113.46729006225137";"(53.523768960098934, -113.46729006225137)"
"2020";"12";"DECEMBER";"DECEMBER-2020";"Cavanagh";"5467";"Unlicensed Business";"Citizen";"Under Investigation";"1";"53.40598";"-113.51205499081989";"(53.40598007508891, -113.51205499081989)"
"2020";"12";"DECEMBER";"DECEMBER-2020";"Forest Heights";"6230";"Graffiti";"Citizen";"Under Investigation";"2";"53.54454";"-113.45126745011629";"(53.54454288128656, -113.45126745011629)"
"2020";"12";"DECEMBER";"DECEMBER-2020";"Leger";"5630";"Unlicensed Business";"Citizen";"Under Investigation";"4";"53.45772";"-113.57740906861547";"(53.4577181888475, -113.57740906861547)"
"2020";"12";"DECEMBER";"DECEMBER-2020";"Bisset";"6030";"Unlicensed Business";"Citizen";"Under Investigation";"1";"53.45910";"-113.40137552327023";"(53.45909651679703, -113.40137552327023)"
"2020";"12";"DECEMBER";"DECEMBER-2020";"Westwood";"1250";"Nuisance Property";"Citizen";"Under Investigation";"2";"53.57593";"-113.49856633573037";"(53.57592737297088, -113.49856633573037)"
"2020";"12";"DECEMBER";"DECEMBER-2020";"Kennedale Industrial";"2380";"Unlicensed Business";"Citizen";"Under Investigation";"1";"53.58814";"-113.42706778517515";"(53.58813633013027, -113.42706778517515)"
"2020";"12";"DECEMBER";"DECEMBER-2020";"Cumberland";"3150";"Nuisance Property";"Citizen";"Under Investigation";"1";"53.61061";"-113.55318828997665";"(53.610605092147075, -113.55318828997665)"
"2020";"12";"DECEMBER";"DECEMBER-2020";"Crestwood";"3140";"Unlicensed Business";"Citizen";"Under Investigation";"2";"53.53542";"-113.56904819542947";"(53.53541854779786, -113.56904819542947)"
"2020";"12";"DECEMBER";"DECEMBER-2020";"Chappelle Area";"5462";"Unlicensed Business";"Citizen";"Under Investigation";"2";"53.40292";"-113.58684458014213";"(53.4029240038706, -113.58684458014213)"
"2020";"12";"DECEMBER";"DECEMBER-2020";"Abbottsfield";"2010";"Unlicensed Business";"Citizen";"Under Investigation";"1";"53.57351";"-113.38888495817957";"(53.57351149052783, -113.38888495817957)"
"2020";"12";"DECEMBER";"DECEMBER-2020";"Calgary Trail North";"5110";"Unlicensed Business";"Citizen";"Under Investigation";"2";"53.49016";"-113.4941285289187";"(53.49015797983714, -113.4941285289187)"
"2013";"7";"JULY";"JULY-2013";"Anthony Henday Terwillegar, Windermere";"4013, 5570";"Weeds";"By-law Officer";"Resolved Complaint";"1";"";"";""
"2018";"7";"JULY";"JULY-2018";"Tamarack, Silver Berry, Aster";"6443, 6442, 6445";"Weeds";"Citizen";"Resolved Complaint";"1";"";"";""
"2018";"8";"AUGUST";"AUGUST-2018";"University of Alberta, River Valley Walterdale";"5520, 5390";"Unlicensed Business";"Citizen";"Resolved Complaint";"1";"";"";""
"2018";"7";"JULY";"JULY-2018";"";"";"Weeds";"Citizen";"Resolved Complaint";"1";"";"";""
"2018";"10";"OCTOBER";"OCTOBER-2018";"University of Alberta, River Valley Walterdale";"5520, 5390";"Unlicensed Business";"Citizen";"Resolved Complaint";"2";"";"";""
"2011";"3";"MARCH";"MARCH-2011";"Clareview Campus";"2150";"Unlicensed Business";"Citizen";"Under Investigation";"1";"";"";""
"2018";"3";"MARCH";"MARCH-2018";"";"";"Snow/Ice On Walk";"Citizen";"Resolved Complaint";"1";"";"";""
"2018";"4";"APRIL";"APRIL-2018";"Rural South West";"5450";"Snow/Ice On Walk";"Citizen";"Under Investigation";"1";"";"";""
"2017";"8";"AUGUST";"AUGUST-2017";"Davies Industrial West, Davies Industrial East, Lambton Industrial, Gainer Industrial, Coronet Industrial, Eastgate Business Park";"6170, 6160, 6380, 6250, 6100, 6180";"Graffiti";"Citizen";"Resolved Complaint";"1";"";"";""
"2018";"3";"MARCH";"MARCH-2018";"Papaschase Industrial, Parsons Industrial, Strathcona Industrial Park, Coronet Industrial, CPR Irvine";"6560, 6570, 6700, 6100, 6110";"Graffiti";"Citizen";"Resolved Complaint";"1";"";"";""
"2018";"4";"APRIL";"APRIL-2018";"";"";"Nuisance Property";"Citizen";"Under Investigation";"2";"";"";""
"2018";"5";"MAY";"MAY-2018";"";"";"Nuisance Property";"Citizen";"Under Investigation";"1";"";"";""
"2020";"12";"DECEMBER";"DECEMBER-2020";"Downtown";"1090";"Unlicensed Business";"Citizen";"Resolved Complaint";"3";"53.54088";"-113.49924372443917";"(53.54087526522481, -113.49924372443917)"
"2020";"11";"NOVEMBER";"NOVEMBER-2020";"Queen Alexandra";"5330";"Nuisance Property";"Citizen";"Resolved Complaint";"2";"53.51233";"-113.50484705945985";"(53.51233223489751, -113.50484705945985)"
"2020";"12";"DECEMBER";"DECEMBER-2020";"Paisley";"5469";"Nuisance Property";"Citizen";"Resolved Complaint";"1";"53.41402";"-113.55927334529876";"(53.414017932031626, -113.55927334529876)"
"2020";"12";"DECEMBER";"DECEMBER-2020";"Oxford";"3320";"Nuisance Property";"Citizen";"Resolved Complaint";"1";"53.62218";"-113.5473255798242";"(53.62217562769456, -113.5473255798242)"
"2018";"5";"MAY";"MAY-2018";"Overlanders, Canon Ridge";"2590, 2120";"Nuisance Property";"Citizen";"Resolved Complaint";"1";"";"";""
"2020";"11";"NOVEMBER";"NOVEMBER-2020";"Belvedere";"2080";"Nuisance Property";"By-law Officer";"Under Investigation";"1";"53.59481";"-113.43063586028043";"(53.59480982946976, -113.43063586028043)"
"2020";"11";"NOVEMBER";"NOVEMBER-2020";"Beacon Heights";"2040";"Nuisance Property";"Citizen";"Resolved Complaint";"2";"53.57353";"-113.40604017904667";"(53.57353309911853, -113.40604017904667)"
"2020";"12";"DECEMBER";"DECEMBER-2020";"White Industrial";"4630";"Unlicensed Business";"Citizen";"Under Investigation";"2";"53.56471";"-113.64864890345619";"(53.564713195533095, -113.64864890345619)"
"2020";"11";"NOVEMBER";"NOVEMBER-2020";"Glenwood";"4180";"Unlicensed Business";"Citizen";"Under Investigation";"3";"53.53645";"-113.60277044031012";"(53.53645466158683, -113.60277044031012)"
"2020";"5";"MAY";"MAY-2020";"McCauley";"1140";"Unlicensed Business";"Citizen";"Resolved Complaint";"14";"53.55551";"-113.48141781132108";"(53.55550744739304, -113.48141781132108)"
"2020";"11";"NOVEMBER";"NOVEMBER-2020";"Callaghan";"5457";"Unlicensed Business";"Citizen";"Resolved Complaint";"3";"53.40735";"-113.52681827429444";"(53.40735027611705, -113.52681827429444)"
"2019";"11";"NOVEMBER";"NOVEMBER-2019";"Forest Heights";"6230";"Unlicensed Business";"Citizen";"Resolved Complaint";"5";"53.54454";"-113.45126745011629";"(53.54454288128656, -113.45126745011629)"
"2020";"12";"DECEMBER";"DECEMBER-2020";"Yellowhead Corridor East";"1270";"Unlicensed Business";"Citizen";"Resolved Complaint";"1";"53.57919";"-113.45198764445469";"(53.579190382006885, -113.45198764445469)"
"2018";"7";"JULY";"JULY-2018";"";"";"Unlicensed Business";"Citizen";"Under Investigation";"1";"";"";""
"2016";"7";"JULY";"JULY-2016";"Tamarack, Silver Berry, Aster";"6443, 6442, 6445";"Weeds";"By-law Officer";"Resolved Complaint";"1";"";"";""
"2018";"7";"JULY";"JULY-2018";"University of Alberta, River Valley Walterdale";"5520, 5390";"Unlicensed Business";"Citizen";"Resolved Complaint";"1";"";"";""
"2018";"6";"JUNE";"JUNE-2018";"Rural West Lewis Farms";"4480";"Nuisance Property";"Citizen";"Resolved Complaint";"1";"";"";""
"2018";"5";"MAY";"MAY-2018";"Terwillegar Area";"5500";"Nuisance Property";"Citizen";"Resolved Complaint";"1";"";"";""
"2019";"2";"FEBRUARY";"FEBRUARY-2019";"Papaschase Industrial, Parsons Industrial, Strathcona Industrial Park, Coronet Industrial, CPR Irvine";"6560, 6570, 6700, 6100, 6110";"Graffiti";"Citizen";"Under Investigation";"1";"";"";""
"2018";"12";"DECEMBER";"DECEMBER-2018";"Davies Industrial West, Davies Industrial East, Lambton Industrial, Gainer Industrial, Coronet Industrial, Eastgate Business Park";"6170, 6160, 6380, 6250, 6100, 6180";"Snow/Ice On Walk";"By-law Officer";"Resolved Complaint";"1";"";"";""
"2019";"4";"APRIL";"APRIL-2019";"Ellerslie Area P";"6212";"Nuisance Property";"Citizen";"Under Investigation";"1";"";"";""
"2015";"6";"JUNE";"JUNE-2015";"Sweet Grass, Steinhauer";"5490, 5470";"Graffiti";"By-law Officer";"Resolved Complaint";"1";"";"";""
