occupant_code,debtor_number,category_code,category_description,bill_code,utility_type,start_date,end_date,current_read_date,last_read_date,usage_hcf,usage_gallons,net,bill_date,batch_number,street_name,block_address,street_side,zip_code,census_block_id,street_centroid_lat,street_centroid_lon,street_centroid_wkt,street_centroid,street_segment_wkt,id
3,35781,CO,COMMERCIAL,WANR3,W,1986/08/26,2018/05/02,2008/08/07,2008/06/11,9,6732,45.91,2008/08/21,1586,3RD ST,1300BLK 3RD ST,,90401,,,,,,,247223158612008-08-07
3,60239,FI,FIRE,WAFI6,W,1996/08/19,,2008/11/10,2008/09/10,0,0,181.60,2008/11/29,1906,3RD ST,1400BLK 3RD ST,,90401,,,,,,,5510193190612008-11-10
1,10281,MU,MUNICIPAL,WANR3,W,1987/07/30,,2017/10/03,2017/08/02,65,48620,277.55,2017/10/06,13783,CLOVER ST,2900BLK CLOVER ST,,90405,,,,,,,44125411378312017-10-03
1,51851,FI,FIRE,WAFI6,W,2002/10/08,,2008/11/10,2008/09/10,0,0,104.07,2009/02/05,2147,3RD ST,1200BLK 3RD ST,,90401,,,,,,,5503031214712008-11-10
7,57967,SF,SINGLE FAMILY,WASF1,W,2004/07/15,2018/08/31,2017/10/03,2017/08/02,36,26928,141.14,2017/10/06,13785,LINDA LN,3000BLK LINDA LN,,90405,060377022024010,,,,,,43746371378512017-10-03
2,11883,OC,OUTSIDE CITY,WASF3,W,2006/07/01,,2008/08/19,2008/06/23,63,47124,161.30,2008/08/27,1611,BRISTOL AVE,700BLK BRISTOL AVE,,90403,,,,,,,1814382161112008-08-19
1,10281,CF,CITY FIRE,WAFI7,W,1988/03/30,,2017/10/03,2017/08/02,0,0,367.71,2017/10/06,13783,DONALD DOUGLAS LOOP,3100BLK DONALD DOUGLAS LOOP,,90405,,,,,,,55809011378312017-10-03
1,10281,CL,CITY LANDSCAPE,WANR3,W,1985/11/01,,2017/09/13,2017/07/13,9,6732,38.43,2017/09/26,13710,4TH ST,600BLK 4TH ST,,90402,,,,,,,26681611371012017-09-13
1,11803,FI,FIRE,WAFI6,W,2004/03/23,,2008/11/11,2008/09/11,0,0,-181.60,2008/11/29,2127,PEARL ST,1700BLK PEARL ST,odd,90405,,34.0156942520538,-118.469006193119,POINT (-118.469006193119 34.0156942520538),"(34.0156942520538, -118.469006193119)","LINESTRING (-118.469638430202 34.0153240052166, -118.468373950791 34.0160644953825)",5500211212702008-11-11
1,10281,CL,CITY LANDSCAPE,WANR3,W,1976/11/04,,2008/08/26,2008/06/27,260,194480,553.32,2008/09/08,1656,CLOVERFIELD BLVD,1700BLK CLOVERFIELD BLVD,,90404,,,,,,,3218221165612008-08-26
1,10281,CL,CITY LANDSCAPE,WANR4,W,2006/07/01,,2017/10/03,2017/08/02,162,121176,691.74,2017/10/06,13783,AIRPORT AVE,3600BLK AIRPORT AVE,,90405,,,,,,,44284411378312017-10-03
4,22382,CO,COMMERCIAL,WANR1,W,1999/08/23,2014/09/30,2008/08/07,2008/06/11,4,2992,16.05,2008/08/21,1586,3RD ST,1300BLK 3RD ST,,90401,,,,,,,223824158612008-08-07
1,39739,CO,COMMERCIAL,WANR2,W,2006/07/01,,2008/11/05,2008/09/08,41,30668,96.35,2008/11/20,1890,PALISADES BEACH RD,200BLK PALISADES BEACH RD,,90402,060377013043023,,,,,,100611189012008-11-05
1,10281,CL,CITY LANDSCAPE,WANR3,W,1992/06/24,,2008/09/03,2008/07/08,32,23936,67.30,2008/09/16,1688,DONALD DOUGLAS LOOP,2400BLK DONALD DOUGLAS LOOP,,90405,,,,,,,4454241168812008-09-03
11,53891,CO,COMMERCIAL,WANR5,W,1999/09/17,2010/06/17,2008/11/10,2008/09/10,116,86768,272.60,2008/11/29,1907,3RD ST,1300BLK 3RD ST,,90401,,,,,,,60899011190712008-11-10
1,10281,CL,CITY LANDSCAPE,WANR1,W,2008/09/25,,2017/09/14,2017/07/17,17,12716,72.59,2017/09/26,13712,CENTINELA AVE,1900BLK CENTINELA AVE,,90404,,,,,,,100012311371212017-09-14
7,25806,SF,SINGLE FAMILY,WASF1,W,1997/11/21,,2017/10/03,2017/08/02,17,12716,55.64,2017/10/06,13785,MARGARET LN,3000BLK MARGARET LN,,90405,060377022024010,,,,,,43771371378512017-10-03
1,10281,CL,CITY LANDSCAPE,WANR3,W,1992/06/24,,2017/10/03,2017/08/02,7,5236,29.89,2017/10/06,13783,DONALD DOUGLAS LOOP,2400BLK DONALD DOUGLAS LOOP,,90405,,,,,,,44542411378312017-10-03
1,52444,CO,COMMERCIAL,WANR4,W,1988/12/06,2017/10/03,2017/10/03,2017/08/02,70,52360,298.90,2017/10/06,13783,DONALD DOUGLAS LP N,2800BLK DONALD DOUGLAS LP N,,90405,,,,,,,44544411378312017-10-03
2,56896,CO,COMMERCIAL,WANR4,W,2008/04/14,2010/04/05,2008/08/07,2008/06/11,95,71060,144.80,2008/08/21,1586,3RD ST,1400BLK 3RD ST,,90401,,,,,,,241012158612008-08-07
3,64750,CO,COMMERCIAL,WANR4,W,1992/11/03,,2015/01/05,2014/11/03,9,6732,32.94,2015/01/15,9360,3RD ST,1400BLK 3RD ST,,90401,,,,,,,228623936012015-01-05
1,10281,MU,MUNICIPAL,WANR5,W,1988/09/01,,2017/10/03,2017/08/02,282,210936,1204.14,2017/10/06,13783,DONALD DOUGLAS LOOP,3200BLK DONALD DOUGLAS LOOP,,90405,,,,,,,60864911378312017-10-03
2,57424,CO,COMMERCIAL,WANR5,W,1993/09/30,2010/09/23,2008/11/10,2008/09/10,572,427856,1344.20,2008/11/29,1907,3RD ST,1300BLK 3RD ST,,90401,,,,,,,6089952190712008-11-10
1,10281,CL,CITY LANDSCAPE,WANR1,W,2003/05/16,,2008/08/19,2008/06/23,1,748,13.26,2008/08/27,1611,26TH ST,300BLK 26TH ST,,90402,,,,,,,1838121161112008-08-19
7,63993,CO,COMMERCIAL,WANR2,W,1995/02/20,,2008/08/07,2008/06/11,13,9724,33.87,2008/08/21,1586,3RD ST,1400BLK 3RD ST,,90401,,,,,,,228227158612008-08-07
3,77644,SF,SINGLE FAMILY,WASF3,W,2012/01/19,,2017/10/09,2017/08/08,45,33660,192.94,2017/10/24,13827,SEAVIEW TERR,0BLK SEAVIEW TERR,,90401,,,,,,,1322131382712017-10-09
1,10281,CL,CITY LANDSCAPE,WANR3,W,2003/06/10,,2010/10/04,2010/08/09,38,28424,109.06,2010/10/18,4331,BROADWAY,2800BLK BROADWAY,,90404,,,,,,,1433101433112010-10-04
7,57967,SF,SINGLE FAMILY,WASF1,W,2004/07/15,2018/08/31,2008/09/03,2008/07/03,26,19448,52.47,2008/09/16,1687,LINDA LN,3000BLK LINDA LN,,90405,060377022024010,,,,,,4374637168712008-09-03
4,11803,FI,FIRE,WAFI6,W,1988/07/21,,2017/10/03,2017/08/02,0,0,189.99,2017/10/06,13783,AIRPORT AVE,2800BLK AIRPORT AVE,,90405,,,,,,,55185541378312017-10-03
1,10281,CL,CITY LANDSCAPE,WANR2,W,2004/06/01,,2017/10/04,2017/08/02,1,748,4.27,2017/10/06,13783,4TH ST,3100BLK 4TH ST,,90405,,,,,,,44440511378312017-10-04
4,41137,OC,OUTSIDE CITY,WASF2,W,1986/07/25,,2017/09/11,2017/07/11,36,26928,141.14,2017/09/19,13650,BRISTOL AVE,700BLK BRISTOL AVE,,90403,,,,,,,18141841365012017-09-11
1,10281,CL,CITY LANDSCAPE,WANR2,W,2009/01/23,,2017/10/10,2017/08/09,0,0,0.00,2017/10/20,13825,4TH ST,1200BLK 4TH ST,,90401,,,,,,,100010311382512017-10-10
4,39723,SF,SINGLE FAMILY,WASF1,W,2006/07/01,,2017/10/03,2017/08/02,19,14212,64.64,2017/10/06,13785,LINDA LN,3000BLK LINDA LN,,90405,060377022024010,,,,,,43736341378512017-10-03
1,71149,FI,FIRE,WAFI8,W,2006/07/01,,2017/10/09,2017/08/08,0,0,580.99,2017/10/24,13827,PALISADES BEACH RD,200BLK PALISADES BEACH RD,,90402,060377013043023,,,,,,55055011382712017-10-09
9,58452,CO,COMMERCIAL,WANR1,W,1998/12/14,2018/04/26,2008/08/07,2008/06/11,1,748,13.26,2008/08/21,1586,3RD ST,1300BLK 3RD ST,,90401,,,,,,,245629158612008-08-07
1,10281,CL,CITY LANDSCAPE,WANR2,W,2004/06/01,,2008/09/04,2008/07/08,1,748,22.71,2008/09/16,1688,4TH ST,3100BLK 4TH ST,,90405,,,,,,,4444051168812008-09-04
1,18095,PS,PUBLIC SCHOOL,WANR5,W,2006/07/01,,2010/11/09,2010/09/08,36,26928,103.32,2010/11/29,4444,MICHIGAN AVE,600BLK MICHIGAN AVE,,90401,,,,,,,6025091444412010-11-09
1,10281,CL,CITY LANDSCAPE,WANR2,W,2009/01/23,,2017/10/09,2017/08/08,0,0,0.00,2017/10/23,13821,2ND ST,1200BLK 2ND ST,,90401,,,,,,,100010211382112017-10-09
4,14747,FI,FIRE,WAFI7,W,1981/04/15,,2008/09/10,2008/07/14,0,0,181.47,2008/09/29,1729,3RD ST,1300BLK 3RD ST,,90401,,,,,,,5501104172912008-09-10
2,37831,FI,FIRE,WAFI6,W,1999/09/14,,2008/11/06,2008/09/10,0,0,181.60,2008/11/29,1906,3RD ST,1300BLK 3RD ST,,90401,,,,,,,5595352190612008-11-06
2,36231,FI,FIRE,WAFI6,W,1979/10/17,,2017/10/09,2017/08/08,0,0,189.99,2017/10/24,13827,PALISADES BEACH RD,700BLK PALISADES BEACH RD,,90402,,,,,,,55153021382712017-10-09
1,10281,CL,CITY LANDSCAPE,WANR2,W,2006/07/01,,2008/11/11,2008/09/11,0,0,0.00,2008/11/29,1907,2ND ST,800BLK 2ND ST,,90403,,,,,,,6018691190712008-11-11
1,52444,FI,FIRE,WAFI9,W,1990/05/31,2017/10/03,2017/10/03,2017/08/02,0,0,829.80,2017/10/06,13783,DONALD DOUGLAS LP S,2800BLK DONALD DOUGLAS LP S,,90405,,,,,,,55839011378312017-10-03
6,31649,SF,SINGLE FAMILY,WASF2,W,1989/08/30,,2017/10/03,2017/08/02,51,38148,233.50,2017/10/06,13785,LINDA LN,3000BLK LINDA LN,,90405,060377022024010,,,,,,43734361378512017-10-03
1,10491,RW,RECLAIMED WATER,WARW3,W,2015/02/23,,2017/09/14,2017/07/17,102,76296,391.68,2017/09/26,13711,11TH ST,1600BLK 11TH ST,,90404,,,,,,,100052211371112017-09-14
1,10281,CL,CITY LANDSCAPE,WANR3,W,1991/11/12,,2010/09/20,2010/07/20,9,6732,25.83,2010/09/30,4447,OCEAN PARK BLVD,600BLK OCEAN PARK BLVD,,90405,,,,,,,4563751444712010-09-20
1,29911,OC,OUTSIDE CITY,WASF3,W,2006/07/01,,2017/09/11,2017/07/11,35,26180,136.64,2017/09/19,13650,MONTANA AVE,12600BLK MONTANA AVE,,90403,,,,,,,18182811365012017-09-11
12,66177,SF,SINGLE FAMILY,WASF3,W,2005/12/16,2009/05/07,2008/09/08,2008/07/10,57,42636,147.74,2008/09/18,1704,PACIFIC COAST HWY,700BLK PACIFIC COAST HWY,,90402,,,,,,,1056112170412008-09-08
6,50371,SF,SINGLE FAMILY,WASF1,W,1987/08/18,,2008/09/03,2008/07/03,17,12716,32.13,2008/09/16,1687,LINDA LN,3000BLK LINDA LN,,90405,060377022024012,,,,,,4376236168712008-09-03
3,13299,SF,SINGLE FAMILY,WASF1,W,2006/07/01,,2017/10/03,2017/08/02,55,41140,260.54,2017/10/06,13785,MARGARET LN,3000BLK MARGARET LN,,90405,060377022024010,,,,,,43775331378512017-10-03
9,33258,SF,SINGLE FAMILY,WASF1,W,2000/05/16,,2017/10/03,2017/08/02,1,748,3.01,2017/10/06,13785,LINDA LN,3000BLK LINDA LN,,90405,060377022024010,,,,,,43750391378512017-10-03
1,18095,PS,PUBLIC SCHOOL,WANR6,W,2006/07/01,,2017/09/19,2017/07/19,239,178772,1020.53,2017/09/26,13714,PEARL ST,2400BLK PEARL ST,,90405,,,,,,,60260911371412017-09-19
1,10281,CL,CITY LANDSCAPE,WANR3,W,2003/06/10,,2017/09/11,2017/07/11,98,73304,418.46,2017/09/19,13649,BROADWAY,3100BLK BROADWAY,,90404,,,,,,,17511911364912017-09-11
1,10281,CL,CITY LANDSCAPE,WANR2,W,2003/07/29,,2015/05/07,2015/03/09,11,8228,42.68,2015/05/18,9801,WILSHIRE BLVD,1800BLK WILSHIRE BLVD,,90403,,,,,,,1047001980112015-05-07
3,60239,FI,FIRE,WAFI6,W,1996/08/19,,2008/07/14,2008/05/14,0,0,93.76,2008/07/31,1521,3RD ST,1400BLK 3RD ST,,90401,,,,,,,5510193152112008-07-14
1,10281,CL,CITY LANDSCAPE,WANR2,W,2006/07/01,,2008/07/14,2008/05/14,0,0,21.78,2008/07/31,1522,2ND ST,800BLK 2ND ST,,90403,,,,,,,6018691152212008-07-14
2,40747,OC,OUTSIDE CITY,WASF2,W,1973/09/07,,2017/09/11,2017/07/11,17,12716,55.64,2017/09/19,13650,BRISTOL AVE,700BLK BRISTOL AVE,,90403,,,,,,,18145821365012017-09-11
1,10281,CL,CITY LANDSCAPE,WANR2,W,2009/01/23,,2017/10/10,2017/08/09,1,748,4.27,2017/10/20,13825,4TH ST,1400BLK 4TH ST,,90401,,,,,,,100010711382512017-10-10
2,63550,FI,FIRE,WAFI6,W,2004/02/25,,2017/09/01,2017/07/01,0,0,189.99,2017/09/13,13634,3RD ST,1400BLK 3RD ST,,90401,,,,,,,55974121363412017-09-01
3,124755,SF,SINGLE FAMILY,WASF2,W,2016/06/13,,2017/10/09,2017/08/08,7,5236,21.07,2017/10/24,13827,PALISADES BEACH RD,1300BLK PALISADES BEACH RD,,90401,060377019023036,,,,,,1147731382712017-10-09
2,43269,SF,SINGLE FAMILY,WASF1,W,2006/07/01,2012/01/19,2008/07/10,2008/05/12,35,26180,72.81,2008/09/11,1666,SEAVIEW TERR,0BLK SEAVIEW TERR,,90401,,,,,,,132212166612008-07-10
1,10281,MU,MUNICIPAL,WANR1,W,1999/06/02,,2017/10/09,2017/08/08,4,2992,17.08,2017/10/24,13827,OCEAN AVE,400BLK OCEAN AVE,,90403,,,,,,,60183511382712017-10-09
4,81814,FI,FIRE,WAFI7,W,2013/12/24,,2017/09/01,2017/07/01,0,0,367.71,2017/09/13,13634,3RD ST,1300BLK 3RD ST,,90401,,,,,,,55953041363412017-09-01
1,10281,MU,MUNICIPAL,WANR1,W,1999/06/02,,2017/10/09,2017/08/08,2,1496,8.54,2017/10/24,13827,OCEAN AVE,700BLK OCEAN AVE,,90403,,,,,,,60184511382712017-10-09
7,63993,CO,COMMERCIAL,WANR2,W,1995/02/20,,2017/09/01,2017/07/01,3,2244,12.81,2017/09/13,13634,3RD ST,1400BLK 3RD ST,,90401,,,,,,,2282271363412017-09-01
1,10281,CL,CITY LANDSCAPE,WANR3,W,2002/07/17,,2017/09/05,2017/07/05,11,8228,46.97,2017/09/13,13639,SANTA MONICA BLVD,600BLK SANTA MONICA BLVD,,90401,,,,,,,4452511363912017-09-05
7,58210,CO,COMMERCIAL,WANR1,W,2008/10/24,,2017/09/01,2017/07/01,58,43384,247.66,2017/09/13,13634,3RD ST,1200BLK 3RD ST,,90401,,,,,,,2202271363412017-09-01
1,10281,CL,CITY LANDSCAPE,WANR1,W,1978/07/13,,2010/01/26,2009/12/01,0,0,0.00,2010/02/18,3456,CALIFORNIA AVE,600BLK CALIFORNIA AVE,,90403,,,,,,,434141345612010-01-26
2,45300,SF,SINGLE FAMILY,WASF2,W,2004/05/19,,2017/10/09,2017/08/08,24,17952,87.14,2017/10/24,13827,PALISADES BEACH RD,1400BLK PALISADES BEACH RD,,90401,060377019023036,,,,,,1170121382712017-10-09
1,10281,CL,CITY LANDSCAPE,WANR1,W,2000/08/08,,2017/09/20,2017/07/20,4,2992,17.08,2017/09/27,13728,PEARL ST,800BLK PEARL ST,,90405,,,,,,,39013511372812017-09-20
1,10281,CL,CITY LANDSCAPE,WANR1,W,2000/03/22,,2017/09/20,2017/07/20,8,5984,34.16,2017/09/27,13728,PEARL ST,1300BLK PEARL ST,,90405,,,,,,,39158211372812017-09-20
5,37879,CO,COMMERCIAL,WANR2,W,2003/04/16,,2017/10/09,2017/08/08,29,21692,123.83,2017/10/24,13827,OCEAN FRONT WALK,1600BLK OCEAN FRONT WALK,,90401,,,,,,,1185351382712017-10-09
12,39006,SF,SINGLE FAMILY,WASF2,W,2006/10/01,,2008/07/10,2008/05/12,-20,-14960,-48.36,2008/09/10,1665,PALISADES BEACH RD,1300BLK PALISADES BEACH RD,,90401,060377019023036,,,,,,1147112166502008-07-10
1,10281,MU,MUNICIPAL,WANR1,W,1999/06/02,,2017/10/09,2017/08/08,2,1496,8.54,2017/10/24,13827,OCEAN AVE,900BLK OCEAN AVE,,90403,,,,,,,60189111382712017-10-09
1,10281,CL,CITY LANDSCAPE,WANR1,W,2006/07/01,,2017/09/01,2017/07/01,0,0,0.00,2017/09/13,13634,CALIFORNIA AVE,200BLK CALIFORNIA AVE,,90403,,,,,,,2569211363412017-09-01
1,10281,CF,CITY FIRE,WAFI8,W,1984/06/01,,2017/09/14,2017/07/17,0,0,580.99,2017/09/26,13711,OLYMPIC BLVD,600BLK OLYMPIC BLVD,,90401,,,,,,,55706511371112017-09-14
1,14210,CH,CHURCH,WANR1,W,2006/07/01,,2017/09/20,2017/07/20,8,5984,34.16,2017/09/27,13728,CEDAR ST,800BLK CEDAR ST,,90405,,,,,,,39277911372812017-09-20
1,72266,CO,COMMERCIAL,WANR4,W,2008/05/07,2008/07/21,2008/07/21,2008/07/21,0,0,0.00,2008/08/12,1534,STANFORD ST,1800BLK STANFORD ST,,90404,,,,,,,10000031153412008-07-21
3,22245,CO,COMMERCIAL,WANR3,W,2002/08/16,,2017/09/01,2017/07/01,2,1496,8.54,2017/09/13,13634,3RD ST,1300BLK 3RD ST,,90401,,,,,,,2449231363412017-09-01
3,81571,CO,COMMERCIAL,WANR2,W,2013/10/08,2017/03/20,2017/09/01,2017/07/01,-4,-2992,-17.08,2017/09/13,14845,3RD ST,1400BLK 3RD ST,,90401,,,,,,,2228031484502017-09-01
5,10132,SF,SINGLE FAMILY,WASF2,W,1980/11/03,,2017/09/13,2017/07/13,17,12716,55.64,2017/09/26,13710,4TH ST,600BLK 4TH ST,even,90402,060377013043010,34.0258447458665,-118.506169236496,POINT (-118.506169236496 34.0258447458665),"(34.0258447458665, -118.506169236496)",,26679851371012017-09-13
1,68948,CO,COMMERCIAL,WANR2,W,2003/05/30,,2017/09/01,2017/07/01,122,91256,520.94,2017/09/13,13634,3RD ST,1300BLK 3RD ST,,90401,,,,,,,2241611363412017-09-01
6,18633,CO,COMMERCIAL,WANR1,W,2017/09/12,2018/05/01,2017/09/14,2017/09/12,0,0,0.00,2017/12/12,14015,MICHIGAN AVE,2400BLK MICHIGAN AVE,,90404,,,,,,,32199461401512017-09-14
10,33947,SF,SINGLE FAMILY,WASF3,W,2007/09/17,,2008/07/10,2008/05/12,144,107712,367.96,2008/09/11,1666,PALISADES BEACH RD,600BLK PALISADES BEACH RD,,90402,060377013043023,,,,,,1050110166612008-07-10
1,10281,CL,CITY LANDSCAPE,WANR1,W,2003/05/16,,2014/03/19,2014/01/21,1,748,3.56,2014/03/28,8163,26TH ST,300BLK 26TH ST,,90402,,,,,,,1838121816312014-03-19
3,10281,MU,MUNICIPAL,WANR4,W,2011/07/27,,2017/09/01,2017/07/03,441,329868,1883.07,2017/09/13,13635,OCEAN FRONT WALK,2800BLK OCEAN FRONT WALK,,90405,,,,,,,47495731363512017-09-01
1,60642,FY,STATE FREEWAY,WANR5,W,2006/07/01,,2017/09/11,2017/07/11,1,748,4.27,2017/09/19,13649,SANTA MONICA FWY,3100BLK SANTA MONICA FWY,,90404,,,,,,,60107911364912017-09-11
1,10281,CL,CITY LANDSCAPE,WANR2,W,1991/08/13,,2017/09/01,2017/07/01,16,11968,68.32,2017/09/13,13634,3RD ST,1200BLK 3RD ST,,90401,,,,,,,2186711363412017-09-01
7,83243,SF,SINGLE FAMILY,WASF2,W,2015/04/16,2017/12/11,2017/09/12,2017/07/12,62,46376,307.86,2017/09/19,13651,20TH ST,200BLK 20TH ST,even,90402,060377012014002,34.0432631158482,-118.497600253461,POINT (-118.497600253461 34.0432631158482),"(34.0432631158482, -118.497600253461)",,20322071365112017-09-12
1,10281,CL,CITY LANDSCAPE,WANR4,W,2006/07/01,,2017/10/09,2017/08/08,195,145860,832.65,2017/10/24,13827,OCEAN FRONT WALK,1600BLK OCEAN FRONT WALK,,90401,,,,,,,1188111382712017-10-09
9,54054,CO,COMMERCIAL,WANR2,W,2008/12/08,,2017/09/01,2017/07/01,1,748,4.27,2017/09/13,13634,3RD ST,1200BLK 3RD ST,,90401,,,,,,,2202391363412017-09-01
11,82969,CO,COMMERCIAL,WANR2,W,2017/03/01,2019/11/06,2017/09/01,2017/07/01,5,3740,21.35,2017/09/13,13634,3RD ST,1200BLK 3RD ST,,90401,,,,,,,22082111363412017-09-01
6,124019,CO,COMMERCIAL,WANR1,W,2015/10/09,,2017/09/01,2017/07/01,22,16456,93.94,2017/09/13,13634,3RD ST,1300BLK 3RD ST,,90401,,,,,,,2236261363412017-09-01
3,65977,CO,COMMERCIAL,WANR3,W,1994/07/20,,2017/10/09,2017/08/08,276,206448,1178.52,2017/10/24,13827,SANTA MONICA PIER,300BLK SANTA MONICA PIER,,90401,,,,,,,1204131382712017-10-09
8,57854,CO,COMMERCIAL,WANR3,W,2001/07/02,,2017/09/01,2017/07/01,32,23936,136.64,2017/09/13,13634,3RD ST,1200BLK 3RD ST,,90401,,,,,,,2190281363412017-09-01
1,10281,CL,CITY LANDSCAPE,WANR2,W,2003/07/29,,2017/09/26,2017/07/26,24,17952,102.48,2017/09/28,13745,WILSHIRE BLVD,2100BLK WILSHIRE BLVD,,90403,,,,,,,11591811374512017-09-26
4,52465,CO,COMMERCIAL,WANR2,W,2015/08/03,,2017/09/01,2017/07/01,21,15708,89.67,2017/09/13,13634,3RD ST,1200BLK 3RD ST,,90401,,,,,,,2500241363412017-09-01
1,45663,CO,COMMERCIAL,WANR2,W,2006/07/01,,2017/10/09,2017/08/08,12,8976,51.24,2017/10/24,13827,PALISADES BEACH RD,200BLK PALISADES BEACH RD,,90402,060377013043023,,,,,,1008111382712017-10-09
1,18095,PS,PUBLIC SCHOOL,WANR6,W,2006/07/01,,2008/07/15,2008/05/15,235,175780,382.14,2008/07/31,1522,PEARL ST,2400BLK PEARL ST,,90405,,,,,,,6026091152212008-07-15
1,10281,CL,CITY LANDSCAPE,WANR1,W,2000/07/12,,2017/10/02,2017/08/01,-4,-2992,-17.08,2017/10/09,14065,ARIZONA AVE,2600BLK ARIZONA AVE,,90404,,,,,,,13798011406502017-10-02
1,10281,CL,CITY LANDSCAPE,WANR2,W,1991/11/13,,2017/09/01,2017/07/03,1,748,4.27,2017/09/13,13635,OCEAN PARK BLVD,200BLK OCEAN PARK BLVD,,90405,,,,,,,47311711363512017-09-01
1,10281,CL,CITY LANDSCAPE,WANR4,W,2006/07/01,,2017/10/05,2017/08/07,63,47124,269.01,2017/10/31,13866,SAN VICENTE BLVD,2200BLK SAN VICENTE BLVD,,90402,,,,,,,19853911386612017-10-05
4,125241,SF,SINGLE FAMILY,WASF3,W,2016/12/01,,2017/10/09,2017/08/08,21,15708,73.64,2017/10/24,13827,SEAVIEW TERR,0BLK SEAVIEW TERR,,90401,,,,,,,1300141382712017-10-09
2,21547,SF,SINGLE FAMILY,WASF2,W,1972/07/25,,2017/09/12,2017/07/12,23,17204,82.64,2017/09/19,13651,20TH ST,200BLK 20TH ST,even,90402,060377012014002,34.0432631158482,-118.497600253461,POINT (-118.497600253461 34.0432631158482),"(34.0432631158482, -118.497600253461)",,20303021365112017-09-12
4,39353,FI,FIRE,WAFI7,W,2000/02/10,2018/01/03,2017/09/01,2017/07/01,0,0,367.71,2017/09/13,13634,3RD ST,1200BLK 3RD ST,,90401,,,,,,,55028541363412017-09-01
1,10281,RW,RECLAIMED WATER,WARW6,W,2003/05/28,,2017/10/09,2017/08/08,1361,1018028,5226.24,2017/10/24,13827,OCEAN AVE,1200BLK OCEAN AVE,,90401,,,,,,,60203411382712017-10-09
