Incident Number,Highest Offense Description,Highest Offense Code,Family Violence,Occurred Date Time,Occurred Date,Occurred Time,Report Date Time,Report Date,Report Time,Location Type,Address,Zip Code,Council District,APD Sector,APD District,PRA,Census Tract,Clearance Status,Clearance Date,UCR Category,Category Description,X-coordinate,Y-coordinate,Latitude,Longitude,Location
20071872515,BURGLARY OF VEHICLE,601,N,07/06/2007 11:00:00 PM,07/06/2007,2300,07/06/2007 11:47:00 PM,07/06/2007,2347,PARKING LOTS / GARAGE,15424 FM 1825 RD,78660,7,ED,6,159,,,07/19/2007,23F,Theft,3137673,3137673,30.44908807,-97.66378377,"(30.44908807, -97.66378377)"
20112511365,ASSAULT W/INJURY-FAM/DATE VIOL,900,Y,09/08/2011 04:59:00 PM,09/08/2011,1659,09/08/2011 04:59:00 PM,09/08/2011,1659,PARKING LOTS / GARAGE,6103 MANOR RD,78723,1,ID,4,298,,N,09/29/2011,,,3134407,3134407,30.30755468,-97.67805181,"(30.30755468, -97.67805181)"
20072310122,ASSAULT W/INJURY-FAM/DATE VIOL,900,N,08/18/2007 11:50:00 PM,08/18/2007,2350,08/18/2007 11:50:00 PM,08/18/2007,2350,PARKING LOTS / GARAGE,15424 FM 1825 RD,78660,7,ED,6,159,,C,09/19/2007,,,3137673,3137673,30.44908807,-97.66378377,"(30.44908807, -97.66378377)"
20145051748,CRIMINAL MISCHIEF,1400,N,11/22/2014 04:57:00 PM,11/22/2014,1657,11/22/2014 08:40:00 PM,11/22/2014,2040,RESIDENCE / HOME,1647 RUTLAND DR,78758,4,ED,2,236,,N,11/24/2014,,,3122927,3122927,30.37378575,-97.71264307,"(30.37378575, -97.71264307)"
2011231392,CUSTODY ARREST TRAFFIC WARR,3722,N,01/23/2011 05:58:00 PM,01/23/2011,1758,01/23/2011 05:58:00 PM,01/23/2011,1758,STREETS / HWY / ROAD / ALLEY,E M FRANKLIN AVE / E MARTIN LUTHER KING JR BLVD,78721,1,CH,4,323,,C,01/31/2011,,,3128919,3128919,30.28372951,-97.69609908,"(30.28372951, -97.69609908)"
20205023140,THEFT OF BICYCLE,609,N,06/14/2020 09:20:00 PM,06/14/2020,2120,06/15/2020 08:38:00 AM,06/15/2020,838,PARKING LOTS / GARAGE,2400 BURLESON RD,78741,3,HE,2,482,,N,06/16/2020,23H,Theft,3116803,3116803,30.22966041,-97.73595027,"(30.22966041, -97.73595027)"
20205010693,RUNAWAY CHILD,4100,N,03/14/2020 08:50:00 PM,03/14/2020,2050,03/14/2020 09:16:00 PM,03/14/2020,2116,RESIDENCE / HOME,6202 BREEZE WAY,78723,1,ID,4,297,,N,04/04/2020,,,3134366,3134366,30.30964372,-97.67812429,"(30.30964372, -97.67812429)"
2005200689,ASSAULT ON PUBLIC SERVANT,903,N,01/20/2005 12:52:00 PM,01/20/2005,1252,01/20/2005 12:52:00 PM,01/20/2005,1252,STREETS / HWY / ROAD / ALLEY,908 E CESAR CHAVEZ ST,78702,3,CH,1,410,,C,01/21/2005,,,3116904,3116904,30.26097417,-97.73478786,"(30.26097417, -97.73478786)"
2005331838,LITTERING,3216,N,02/02/2005 10:29:00 PM,02/02/2005,2229,02/02/2005 10:29:00 PM,02/02/2005,2229,STREETS / HWY / ROAD / ALLEY,1800 ROSEWOOD AVE,78702,1,CH,2,413,,,,,,3121532,3121532,30.2696318,-97.71989062,"(30.2696318, -97.71989062)"
20135037570,BURGLARY OF VEHICLE,601,N,08/17/2013 08:00:00 PM,08/17/2013,2000,08/17/2013 09:28:00 PM,08/17/2013,2128,PARKING LOTS / GARAGE,3800 MOUNT BONNELL RD,78731,10,BA,7,314,,N,08/21/2013,23F,Theft,3104170,3104170,30.32104847,-97.77354003,"(30.32104847, -97.77354003)"
20083011035,AIRPORT PLACES WEAPON PROHIBIT,1509,N,10/27/2008 11:40:00 AM,10/27/2008,1140,10/27/2008 11:46:00 AM,10/27/2008,1146,TRANSPORTATION (AIR / BUS / TRAIN - TERMINALS),3602 PRESIDENTIAL BLVD,78719,2,AP,D,499,,N,10/28/2008,,,3139077,3139077,30.20258144,-97.66614987,"(30.20258144, -97.66614987)"
2018250974,SEXUAL ASSAULT OF CHILD/OBJECT,1707,Y,12/18/2017 12:00:00 AM,12/18/2017,0,01/25/2018 04:10:00 PM,01/25/2018,1610,RESIDENCE / HOME,9200 BLOCK BALCONES CLUB DR,78750,6,AD,6,187,204.05,N,06/07/2019,11C,Rape,0,0,,,
20192820044,DWI,2100,N,10/09/2019 12:39:00 AM,10/09/2019,39,10/09/2019 12:39:00 AM,10/09/2019,39,STREETS / HWY / ROAD / ALLEY,600 TRINITY ST,78701,9,GE,2,381,,C,10/09/2019,,,3115403,3115403,30.2671839,-97.73937664,"(30.2671839, -97.73937664)"
20115022656,HARASSMENT,2703,N,04/05/2011 12:00:00 PM,04/05/2011,1200,05/05/2011 04:42:00 PM,05/05/2011,1642,RESIDENCE / HOME,12118 WALNUT PARK XING,78753,7,ED,4,205,,N,05/11/2011,,,3134045,3134045,30.39295402,-97.67684845,"(30.39295402, -97.67684845)"
200540891,LIQUOR LAW VIOLATION/OTHER,2208,N,01/04/2005 01:37:00 PM,01/04/2005,1337,01/04/2005 01:37:00 PM,01/04/2005,1337,STREETS / HWY / ROAD / ALLEY,2000 S CONGRESS AVE,78704,9,DA,1,476,,,,,,3111587,3111587,30.24419472,-97.75208226,"(30.24419472, -97.75208226)"
20195017657,FRAUD - OTHER,1199,N,04/01/2018 12:00:00 PM,04/01/2018,1200,05/01/2019 10:50:00 AM,05/01/2019,1050,RESIDENCE / HOME,11900 RICKEM CV,78758,7,ED,4,2211,18.44,N,06/05/2019,,,3127192,3127192,30.39879808,-97.698431,"(30.39879808, -97.698431)"
20102460072,WARRANT ARREST NON TRAFFIC,3442,N,09/03/2010 01:05:00 AM,09/03/2010,105,09/03/2010 01:05:00 AM,09/03/2010,105,STREETS / HWY / ROAD / ALLEY,E POWELL LN / N IH 35 SVRD SB,78753,4,ED,1,250,,,,,,3128087,3128087,30.34459051,-97.69707355,"(30.34459051, -97.69707355)"
20191511517,EVADING VEHICLE,2724,N,05/31/2019 05:33:00 PM,05/31/2019,1733,05/31/2019 05:33:00 PM,05/31/2019,1733,STREETS / HWY / ROAD / ALLEY,LOUIS AVE / WEBBERVILLE RD,78721,1,CH,5,397,21.09,N,06/05/2019,,,3131620,3131620,30.27663166,-97.68773396,"(30.27663166, -97.68773396)"
20111850462,CUSTODY ARREST TRAFFIC WARR,3722,N,07/04/2011 07:12:00 AM,07/04/2011,712,07/04/2011 07:12:00 AM,07/04/2011,712,STREETS / HWY / ROAD / ALLEY,500 BLOCK E 6TH ST,78701,9,GE,2,382,,,,,,3115840,3115840,30.26704868,-97.73799564,"(30.26704868, -97.73799564)"
20185027647,THEFT,600,N,07/20/2018 07:50:00 PM,07/20/2018,1950,07/21/2018 12:59:00 AM,07/21/2018,59,CONVENIENCE STORE,933 E RUNDBERG LN,78753,4,ED,3,251,,N,07/23/2018,23H,Theft,3131733,3131733,30.35602394,-97.68519796,"(30.35602394, -97.68519796)"
2019950690,THEFT,600,N,04/05/2019 11:19:00 AM,04/05/2019,1119,04/05/2019 11:19:00 AM,04/05/2019,1119,STREETS / HWY / ROAD / ALLEY,600 N PLEASANT VALLEY RD,78702,3,CH,1,419,,C,04/15/2019,23H,Theft,3124674,3124674,30.25872729,-97.71023119,"(30.25872729, -97.71023119)"
20121790692,FORGERY AND PASSING,1000,N,06/27/2012 10:49:00 AM,06/27/2012,1049,06/27/2012 10:49:00 AM,06/27/2012,1049,COMMERCIAL / OFFICE BUILDING,1143 AIRPORT BLVD,78721,3,CH,4,425,,N,09/19/2012,,,3128818,3128818,30.27163304,-97.69674957,"(30.27163304, -97.69674957)"
20171711533,THEFT,600,N,06/20/2017 08:12:00 PM,06/20/2017,2012,06/20/2017 08:12:00 PM,06/20/2017,2012,RESIDENCE / HOME,412 E WILLIAM CANNON DR,78745,2,FR,4,515,24,N,09/15/2017,23H,Theft,3104793,3104793,30.19259606,-97.77497082,"(30.19259606, -97.77497082)"
20191541998,ASSAULT WITH INJURY,900,N,06/03/2019 10:55:00 PM,06/03/2019,2255,06/03/2019 10:55:00 PM,06/03/2019,2255,TRANSPORTATION (AIR / BUS / TRAIN - TERMINALS),ROBERT DEDMAN DR / RED RIVER ST,78705,1,UT,B,386,4.01,N,06/05/2019,,,3118143,3118143,30.28023536,-97.73034306,"(30.28023536, -97.73034306)"
20195017021,THEFT,600,N,04/26/2019 12:00:00 PM,04/26/2019,1200,04/27/2019 08:09:00 AM,04/27/2019,809,RESIDENCE / HOME,12100 METRIC BLVD,78758,7,AD,2,202,18.49,N,06/04/2019,23H,Theft,3126346,3126346,30.40362788,-97.70098336,"(30.40362788, -97.70098336)"
20198001726,FORGERY AND PASSING,1000,N,05/15/2019 12:16:00 PM,05/15/2019,1216,05/16/2019 05:27:00 PM,05/16/2019,1727,RESIDENCE / HOME,8600 BRODIE LN,78749,8,DA,7,86,17.77,N,06/03/2019,,,3083989,3083989,30.19859792,-97.84068155,"(30.19859792, -97.84068155)"
20195020832,FRAUD - OTHER,1199,N,05/16/2019 12:00:00 PM,05/16/2019,1200,05/22/2019 11:43:00 AM,05/22/2019,1143,RESIDENCE / HOME,11312 DRUMELLAN ST,78754,1,CH,8,226,18.56,N,06/06/2019,,,3153331,3153331,30.34848705,-97.61691274,"(30.34848705, -97.61691274)"
20195023131,IDENTITY THEFT,4022,N,06/06/2019 11:48:00 AM,06/06/2019,1148,06/06/2019 11:48:00 AM,06/06/2019,1148,OTHER / UNKNOWN,208 W LISA DR,78752,4,ID,8,279,15.03,N,06/06/2019,,,3123393,3123393,30.33602773,-97.71219117,"(30.33602773, -97.71219117)"
2019981206,BREACH OF COMPUTER SECURITY,1109,N,04/08/2019 02:07:00 PM,04/08/2019,1407,04/08/2019 02:07:00 PM,04/08/2019,1407,COMMERCIAL / OFFICE BUILDING,400 W CESAR CHAVEZ ST,78701,9,GE,4,404,11,N,06/03/2019,23H,Theft,3112663,3112663,30.2645582,-97.74812862,"(30.2645582, -97.74812862)"
20191540657,ASSAULT W/INJURY-FAM/DATE VIOL,900,Y,06/03/2019 10:30:00 AM,06/03/2019,1030,06/03/2019 01:02:00 PM,06/03/2019,1302,RESIDENCE / HOME,8110 SONNET AVE,78759,10,BA,8,231,17.07,C,06/03/2019,,,3112629,3112629,30.36676829,-97.74549668,"(30.36676829, -97.74549668)"
20191270170,FAMILY DISTURBANCE,3400,N,05/07/2019 03:57:00 AM,05/07/2019,357,05/07/2019 03:57:00 AM,05/07/2019,357,RESIDENCE / HOME,744 W WILLIAM CANNON DR,78745,2,FR,4,512,24.1,N,06/03/2019,,,3100231,3100231,30.19835668,-97.78926252,"(30.19835668, -97.78926252)"
20205029674,THEFT OF LICENSE PLATE,614,N,07/30/2020 09:00:00 PM,07/30/2020,2100,07/31/2020 03:17:00 PM,07/31/2020,1517,OTHER / UNKNOWN,4407 MONTEREY OAKS BLVD,78749,8,DA,6,79,,N,08/02/2020,23G,Theft,3085054,3085054,30.22996853,-97.83649883,"(30.22996853, -97.83649883)"
20161301163,FAMILY DISTURBANCE,3400,N,05/09/2016 04:24:00 PM,05/09/2016,1624,05/09/2016 04:24:00 PM,05/09/2016,1624,RESIDENCE / HOME,8803 GLENN LN,78753,4,ED,1,250,,N,05/11/2016,,,3127529,3127529,30.35584758,-97.69853553,"(30.35584758, -97.69853553)"
2019421100,THEFT,600,N,02/11/2019 03:05:00 PM,02/11/2019,1505,02/11/2019 03:05:00 PM,02/11/2019,1505,RESIDENCE / HOME,7000 CONVICT HILL RD,78749,8,DA,6,75,17.37,N,06/04/2019,23H,Theft,3071899,3071899,30.22975096,-97.87816885,"(30.22975096, -97.87816885)"
20191522020,FELONY ENHANCEMENT/ASSLT W/INJ,909,Y,06/01/2019 11:53:00 PM,06/01/2019,2353,06/01/2019 11:53:00 PM,06/01/2019,2353,RESIDENCE / HOME,7077 GRAND CANYON DR,78752,4,ID,1,265,18.12,C,06/02/2019,,,3129103,3129103,30.32695651,-97.69433415,"(30.32695651, -97.69433415)"
20195037471,BURGLARY OF VEHICLE,601,N,09/11/2019 12:00:00 AM,09/11/2019,0,09/11/2019 11:32:00 AM,09/11/2019,1132,RESIDENCE / HOME,7116 WHIFFLEWIND WAY,78754,1,CH,8,226,18.56,N,09/18/2019,23F,Theft,3155397,3155397,30.34438994,-97.61047658,"(30.34438994, -97.61047658)"
20191411788,AGG ASLT STRANGLE/SUFFOCATE,410,Y,05/21/2019 09:00:00 PM,05/21/2019,2100,05/21/2019 09:20:00 PM,05/21/2019,2120,STREETS / HWY / ROAD / ALLEY,3800 E SH 71 SVRD EB,78617,,HE,8,788,24.33,N,06/05/2019,13A,Aggravated Assault,3151727,3151727,30.1950893,-97.62630434,"(30.1950893, -97.62630434)"
20195019215,HARASSMENT,2703,Y,05/03/2019 12:00:00 AM,05/03/2019,0,05/11/2019 01:04:00 PM,05/11/2019,1304,RESIDENCE / HOME,1224 ANISE DR,78741,3,HE,5,444,23.12,N,06/05/2019,,,3130948,3130948,30.22487424,-97.69128,"(30.22487424, -97.69128)"
2015150483,RAPE,200,N,12/01/2014 09:30:00 AM,12/01/2014,930,01/15/2015 09:30:00 AM,01/15/2015,930,FIELD / WOODS,00 BLOCK UNKNOWN,,,BA,1,384,,N,01/27/2015,11A,Rape,0,0,,,
20182340152,DOC EXPOSURE,2411,N,08/22/2018 03:12:00 AM,08/22/2018,312,08/22/2018 03:12:00 AM,08/22/2018,312,STREETS / HWY / ROAD / ALLEY,E. 38TH ST./ GUADALUPE ST.,,,,,,,N,08/28/2018,,,,,,,
20192081228,ASSAULT WITH INJURY,900,N,07/27/2019 05:22:00 PM,07/27/2019,1722,07/27/2019 05:22:00 PM,07/27/2019,1722,RESTAURANTS,5365 N IH 35 SVRD NB,78723,4,ID,5,292,21.05,N,09/19/2019,,,3124970,3124970,30.31347575,-97.70780461,"(30.31347575, -97.70780461)"
20191500615,BURGLARY OF RESIDENCE,500,N,05/29/2019 10:00:00 AM,05/29/2019,1000,05/30/2019 09:22:00 AM,05/30/2019,922,RESIDENCE / HOME,2411 BURLESON RD,78741,3,HE,2,483,23.13,N,06/03/2019,220,Burglary,3117009,3117009,30.22922387,-97.73530956,"(30.22922387, -97.73530956)"
20191531720,FAMILY DISTURBANCE,3400,N,06/02/2019 09:34:00 PM,06/02/2019,2134,06/02/2019 09:34:00 PM,06/02/2019,2134,RESIDENCE / HOME,7610 CAMERON RD,78752,4,ID,1,265,18.12,,,,,3130949,3130949,30.33173988,-97.6883503,"(30.33173988, -97.6883503)"
20191221670,VIOL OF PROTECTIVE ORDER,3009,N,05/02/2019 07:46:00 PM,05/02/2019,1946,05/02/2019 08:22:00 PM,05/02/2019,2022,RESIDENCE / HOME,11005 FLORAL PARK DR,78759,10,AD,7,198,17.22,C,05/09/2019,,,3110990,3110990,30.40728409,-97.74960978,"(30.40728409, -97.74960978)"
20182370295,DWI - DRUG RECOGNITION EXPERT,2103,N,08/25/2018 03:30:00 AM,08/25/2018,330,08/25/2018 04:43:00 AM,08/25/2018,443,STREETS / HWY / ROAD / ALLEY,E RIVERSIDE DR / CROSSING PL,78741,3,HE,4,458,,C,08/25/2018,,,3122621,3122621,30.23163585,-97.71746957,"(30.23163585, -97.71746957)"
20195022454,THEFT,600,N,05/29/2019 01:36:00 PM,05/29/2019,1336,06/02/2019 01:36:00 PM,06/02/2019,1336,RESIDENCE / HOME,602 E 41ST ST,78751,9,BA,5,332,3.02,N,06/03/2019,23H,Theft,3119261,3119261,30.30186273,-97.72621607,"(30.30186273, -97.72621607)"
20191450899,DATING DISTURBANCE,2400,N,05/25/2019 01:28:00 PM,05/25/2019,1328,05/25/2019 02:05:00 PM,05/25/2019,1405,RESIDENCE / HOME,3901 RED RIVER ST,78751,9,BA,5,332,3.02,,,,,3120418,3120418,30.29731851,-97.72267172,"(30.29731851, -97.72267172)"
20202090986,SEXUAL ASSAULT OF CHILD/OBJECT,1707,N,06/02/2020 12:01:00 AM,06/02/2020,1,07/27/2020 04:36:00 PM,07/27/2020,1636,RESIDENCE / HOME,1600 BLOCK PAYTON GIN RD,78758,4,ED,2,235,,N,08/06/2020,11C,Rape,0,0,,,
20191572158,POSS CONTROLLED SUB/NARCOTIC,1800,N,06/07/2019 01:06:00 AM,06/07/2019,106,06/07/2019 01:06:00 AM,06/07/2019,106,STREETS / HWY / ROAD / ALLEY,3100 NORTHEAST DR,78723,1,ID,3,296,21.13,C,06/07/2019,,,3135878,3135878,30.31061644,-97.67330454,"(30.31061644, -97.67330454)"
20195022162,BURGLARY OF VEHICLE,601,N,05/30/2019 05:00:00 PM,05/30/2019,1700,05/31/2019 10:35:00 AM,05/31/2019,1035,RESIDENCE / HOME,412 E WILLIAM CANNON DR,78745,2,FR,4,515,24.02,N,06/04/2019,23F,Theft,3104793,3104793,30.19259606,-97.77497082,"(30.19259606, -97.77497082)"
20191471468,BURGLARY OF RESIDENCE,500,N,05/27/2019 07:03:00 PM,05/27/2019,1903,05/27/2019 07:03:00 PM,05/27/2019,1903,RESIDENCE / HOME,13425 N FM 620 RD NB,78729,6,AD,5,153,204.08,N,05/29/2019,220,Burglary,3099318,3099318,30.47109736,-97.78495912,"(30.47109736, -97.78495912)"
20191540996,BURGLARY OF RESIDENCE,500,N,06/03/2019 01:27:00 PM,06/03/2019,1327,06/03/2019 03:52:00 PM,06/03/2019,1552,RESIDENCE / HOME,11303 WINDERMERE MEADOWS,78759,10,AD,7,188,17.56,N,06/04/2019,220,Burglary,3103369,3103369,30.42516339,-97.77331708,"(30.42516339, -97.77331708)"
20195021803,RUNAWAY CHILD,4100,N,05/22/2019 09:00:00 AM,05/22/2019,900,05/28/2019 07:14:00 PM,05/28/2019,1914,RESIDENCE / HOME,6100 CALMAR CV,78721,3,CH,5,428,21.11,N,06/06/2019,,,3133093,3133093,30.25662563,-97.6836154,"(30.25662563, -97.6836154)"
20201790942,BURG NON RESIDENCE SHEDS,504,N,06/24/2020 06:00:00 AM,06/24/2020,600,06/27/2020 05:52:00 PM,06/27/2020,1752,RENTAL STORAGE FACILITY,4505 WASSON RD,,,,,,,N,09/01/2020,220,Burglary,,,,,
20195023299,IDENTITY THEFT,4022,N,05/30/2019 12:00:00 PM,05/30/2019,1200,06/07/2019 12:31:00 PM,06/07/2019,1231,RESIDENCE / HOME,2300 SENTIERO WALK,78748,5,FR,1,7281,17.48,N,06/07/2019,,,3086065,3086065,30.16726185,-97.83491891,"(30.16726185, -97.83491891)"
20191571666,FELONY ENHANCEMENT/ASSLT W/INJ,909,Y,06/06/2019 06:13:00 PM,06/06/2019,1813,06/06/2019 06:13:00 PM,06/06/2019,1813,RESIDENCE / HOME,4600 MONTEREY OAKS BLVD,78749,8,DA,6,79,17.49,C,06/07/2019,,,3084747,3084747,30.23150211,-97.83743153,"(30.23150211, -97.83743153)"
20075056176,TOBACCO VIOL - UNDER AGE 17,2607,N,10/18/2007 09:00:00 PM,10/18/2007,2100,10/18/2007 09:00:00 PM,10/18/2007,2100,PARKING LOTS / GARAGE,6118 FAIRWAY ST,78741,3,HE,3,443,,,,,,3127179,3127179,30.22900387,-97.70310447,"(30.22900387, -97.70310447)"
20195037744,IDENTITY THEFT,4022,N,07/12/2019 09:42:00 AM,07/12/2019,942,09/13/2019 09:42:00 AM,09/13/2019,942,RESIDENCE / HOME,1515 WICKERSHAM LN,78741,3,HE,3,442,23.18,N,09/16/2019,,,3122306,3122306,30.23496305,-97.7183772,"(30.23496305, -97.7183772)"
20195044494,RAPE,200,N,10/26/2019 12:30:00 AM,10/26/2019,30,10/28/2019 03:27:00 PM,10/28/2019,1527,OTHER / UNKNOWN,00 BLOCK UNKNOWN,,,,,,,C,07/27/2020,11A,Rape,0,0,,,
20195035346,RUNAWAY CHILD,4100,N,08/23/2019 04:00:00 PM,08/23/2019,1600,08/28/2019 08:08:00 AM,08/28/2019,808,RESIDENCE / HOME,420 W SLAUGHTER LN,78748,2,FR,3,537,24.21,N,09/19/2019,,,3097944,3097944,30.17214698,-97.79719166,"(30.17214698, -97.79719166)"
20191481281,CRIMINAL MISCHIEF,1400,N,05/28/2019 05:49:00 PM,05/28/2019,1749,05/28/2019 05:49:00 PM,05/28/2019,1749,COMMERCIAL / OFFICE BUILDING,506 W 15TH ST,78701,9,BA,2,375,7,,,,,3113654,3113654,30.27875586,-97.74460804,"(30.27875586, -97.74460804)"
20191511996,POSSESSION OF MARIJUANA,1803,N,05/31/2019 09:23:00 PM,05/31/2019,2123,05/31/2019 09:23:00 PM,05/31/2019,2123,STREETS / HWY / ROAD / ALLEY,1073 SPRINGDALE RD,78721,3,CH,5,397,21.1,C,05/31/2019,,,3130612,3130612,30.27245061,-97.69104259,"(30.27245061, -97.69104259)"
20191561862,POSSESSION OF MARIJUANA,1803,N,06/05/2019 10:35:00 PM,06/05/2019,2235,06/05/2019 10:35:00 PM,06/05/2019,2235,RESIDENCE / HOME,6201 SNEED CV,78744,2,FR,8,516,24.19,,,,,3108421,3108421,30.19394123,-97.76344868,"(30.19394123, -97.76344868)"
20191511203,EVADING / FOOT,2723,N,05/31/2019 02:58:00 PM,05/31/2019,1458,05/31/2019 02:58:00 PM,05/31/2019,1458,RESIDENCE / HOME,4618 MANCHACA RD,78745,5,DA,4,488,17.12,C,06/04/2019,,,3099373,3099373,30.22573152,-97.79125883,"(30.22573152, -97.79125883)"
20195023169,CRIMINAL MISCHIEF,1400,N,05/23/2019 08:00:00 PM,05/23/2019,2000,06/06/2019 02:29:00 PM,06/06/2019,1429,RESIDENCE / HOME,3203 WHITEWAY DR,78757,7,BA,6,257,15.01,N,06/07/2019,,,3113464,3113464,30.35643687,-97.74312573,"(30.35643687, -97.74312573)"
2019990714,BURGLARY OF RESIDENCE,500,N,04/09/2019 12:06:00 PM,04/09/2019,1206,04/09/2019 12:06:00 PM,04/09/2019,1206,RESIDENCE / HOME,2101 TERI RD,78744,2,FR,5,493,24.11,N,06/04/2019,220,Burglary,3111980,3111980,30.2016066,-97.75197579,"(30.2016066, -97.75197579)"
20195016921,THEFT,600,N,04/25/2019 06:00:00 PM,04/25/2019,1800,04/26/2019 12:21:00 PM,04/26/2019,1221,RESIDENCE / HOME,1400 E RUNDBERG LN,78753,4,ED,7,241,18.33,N,06/04/2019,23H,Theft,3134061,3134061,30.35227315,-97.67791808,"(30.35227315, -97.67791808)"
20191422073,FAMILY DISTURBANCE/PARENTAL,3458,N,05/22/2019 10:38:00 PM,05/22/2019,2238,05/22/2019 11:25:00 PM,05/22/2019,2325,RESIDENCE / HOME,9036 N LAMAR BLVD,78758,4,ED,1,237,18.19,N,06/03/2019,,,3127384,3127384,30.36030464,-97.69887365,"(30.36030464, -97.69887365)"
20195023060,BURGLARY OF VEHICLE,601,N,06/05/2019 06:30:00 AM,06/05/2019,630,06/05/2019 07:55:00 PM,06/05/2019,1955,RESIDENCE / HOME,5121 GLOBE MALLOW DR,78739,8,DA,8,9701,17.75,N,06/06/2019,23F,Theft,3069036,3069036,30.16525075,-97.88886896,"(30.16525075, -97.88886896)"
20195022337,HARASSMENT,2703,N,05/25/2019 09:00:00 AM,05/25/2019,900,06/01/2019 12:41:00 PM,06/01/2019,1241,RESIDENCE / HOME,8505 ROMNEY RD,78748,2,FR,3,536,24.23,N,06/03/2019,,,3097816,3097816,30.17786437,-97.79744679,"(30.17786437, -97.79744679)"
