Category,Trade Name,Address,Licence Number,Licence Status,Issue Date,Expiry Date,Business Improvement Area,Neighbourhood ID,Neighbourhood,Ward,Latitude,Longitude,Location,Count
Tobacco Sales,7-ELEVEN STORE #34631,3003 - CALGARY TRAIL NW,102342232-001,ISSUED,10/22/2020 12:00:00 AM,10/22/2021 12:00:00 AM,,5120,Calgary Trail South,Ward 10,53.461825,-113.492904,"(53.46182455080058, -113.49290384085735)",1
Minor Retail Store,AL TAIBAH,3214 - 82 STREET NW,231177798-002,ISSUED,09/26/2020 12:00:00 AM,09/29/2021 12:00:00 AM,,6750,Tipaskan,Ward 11,53.464426,-113.457432,"(53.464426296918305, -113.45743188337413)",1
Restaurant or Food Service,ROGUE WAVE COFFEE CO,11322 - 119 STREET NW,287893197-002,ISSUED,09/26/2020 12:00:00 AM,10/25/2021 12:00:00 AM,Kingsway,1170,Prince Rupert,Ward 2,53.563463,-113.527491,"(53.56346335642319, -113.52749140607771)",1
Minor Retail Store,BABA HALAL,9848 - 63 AVENUE NW,290196721-002,ISSUED,09/26/2020 12:00:00 AM,09/26/2021 12:00:00 AM,,6290,Hazeldean,Ward 11,53.500222,-113.485354,"(53.5002222330513, -113.48535366730937)",1
Personal Service Shop,WENDY FACCIO,,290695758-002,ISSUED,09/26/2020 12:00:00 AM,10/23/2021 12:00:00 AM,,6213,Summerside,Ward 12,,,,1
Participant Recreation Services,NAVINA YOGA,"211, 316 - WINDERMERE ROAD NW",223919040-002,RENEWAL NOTICE,11/10/2019 12:00:00 AM,11/10/2020 12:00:00 AM,,5570,Windermere,Ward 9,53.440412,-113.618790,"(53.440411912442535, -113.6187904861246)",1
General Contractor,FDF CONSTRUCTION & LANDSCAPING,,290330838-002,ISSUED,09/26/2020 12:00:00 AM,09/26/2021 12:00:00 AM,,6444,Laurel,Ward 12,,,,1
General Contractor,ALBERTA COVER ALL DRYWALL INC,,221583359-002,RENEWAL NOTICE,11/10/2019 12:00:00 AM,11/10/2020 12:00:00 AM,,2400,Kildare,Ward 7,,,,1
General Business,RESPACE INDUSTRIES INC,,231381386-002,ISSUED,09/26/2020 12:00:00 AM,09/26/2021 12:00:00 AM,,4230,Jasper Park,Ward 1,,,,1
Food Processing,AL TAIBAH,3214 - 82 STREET NW,231177798-002,ISSUED,09/26/2020 12:00:00 AM,09/29/2021 12:00:00 AM,,6750,Tipaskan,Ward 11,53.464426,-113.457432,"(53.464426296918305, -113.45743188337413)",1
General Business,SUPER GOOD CREATIVE,,342142018-002,ISSUED,09/26/2020 12:00:00 AM,09/26/2021 12:00:00 AM,,5454,Rutherford,Ward 9,,,,1
General Industrial,APEX CONCRETE PUMPING LTD,6203 - 30 STREET NW,255237932-002,RENEWAL NOTICE,11/04/2019 12:00:00 AM,11/10/2020 12:00:00 AM,,6690,Southeast Industrial,Ward 11,53.499875,-113.386297,"(53.49987507223464, -113.38629725589246)",1
Public Market Organizer,SCARS,11410 - KINGSWAY NW,344634301-002,ISSUED,10/14/2020 12:00:00 AM,11/13/2021 12:00:00 AM,Kingsway,1111,Blatchford Area,Ward 2,53.565558,-113.517426,"(53.565558412950296, -113.51742574332901)",1
General Business,SWEET LIFE PHOTOGRAPHY,,272148693-002,ISSUED,04/06/2020 12:00:00 AM,04/30/2021 12:00:00 AM,,5490,Sweet Grass,Ward 10,,,,1
General Business,3D PRINTERSAUR,,351501279-002,ISSUED,01/15/2020 12:00:00 AM,01/14/2021 12:00:00 AM,,6770,Weinlos,Ward 12,,,,1
General Contractor,RIGHT FIT RENOVATIONS LTD,,7375520-001,ISSUED,12/20/2019 12:00:00 AM,12/31/2020 12:00:00 AM,,3170,Dovercourt,Ward 2,,,,1
General Business,CONFIDY,,347030025-002,ISSUED,12/27/2019 12:00:00 AM,12/26/2020 12:00:00 AM,Downtown,1090,Downtown,Ward 6,,,,1
General Business,FORTIFICATION SECURITY SOLUTIONS,,166373348-002,ISSUED,01/03/2020 12:00:00 AM,01/09/2021 12:00:00 AM,,2020,Balwin,Ward 7,,,,1
General Business,REYBOTIC INC,,264683760-002,ISSUED,10/31/2020 12:00:00 AM,11/07/2021 12:00:00 AM,,5570,Windermere,Ward 9,,,,1
General Business,WASH 'N' SHINE,371 - 91 STREET SW,92758311-001,RENEWAL NOTICE,12/04/2019 12:00:00 AM,12/15/2020 12:00:00 AM,,6211,Ellerslie,Ward 12,53.430727,-113.468218,"(53.43072686538639, -113.46821830428954)",1
General Contractor,PROZONE,14217 - 130 AVENUE NW,346238015-002,RENEWAL NOTICE,12/16/2019 12:00:00 AM,12/15/2020 12:00:00 AM,,4050,Bonaventure Industrial,Ward 2,53.588061,-113.566952,"(53.58806094272907, -113.56695184534207)",1
Personal Service Shop,FRESH DRY CLEANERS,15144 - 127 STREET NW,156666603-003,RENEWAL NOTICE,12/12/2019 12:00:00 AM,12/15/2020 12:00:00 AM,,3150,Cumberland,Ward 2,53.614886,-113.542788,"(53.61488592157272, -113.54278803612188)",1
General Business,KINGSTON PHARMACY,10108 - 111 AVENUE NW,52902465-001,RENEWAL NOTICE,11/12/2019 12:00:00 AM,12/15/2020 12:00:00 AM,Kingsway,1230,Spruce Avenue,Ward 2,53.559305,-113.494246,"(53.55930459202974, -113.4942457971597)",1
General Business,CORETEX GOALTENDING,,261649509-002,ISSUED,10/31/2020 12:00:00 AM,10/31/2021 12:00:00 AM,,2330,Highlands,Ward 7,,,,1
General Contractor,7218061 MANITOBA LTD,,350089744-002,RENEWAL NOTICE,12/16/2019 12:00:00 AM,12/15/2020 12:00:00 AM,,6444,Laurel,Ward 12,,,,1
General Business,JENKINS CONSULTING,,36470004-002,RENEWAL NOTICE,11/06/2019 12:00:00 AM,12/15/2020 12:00:00 AM,,6680,Satoo,Ward 11,,,,1
Participant Recreation Services,EDMONTON SCOTTISH SOCIETY,3105 - 101 STREET SW,343012068-002,RENEWAL NOTICE,12/16/2019 12:00:00 AM,12/15/2020 12:00:00 AM,,6214,Ellerslie Industrial,Ward 12,53.404254,-113.489010,"(53.40425352700184, -113.48900976048958)",1
Minor Retail Store,STEVE MADDEN,"1313, 8882 - 170 STREET NW",164477715-001,RENEWAL NOTICE,11/26/2019 12:00:00 AM,12/15/2020 12:00:00 AM,,4520,Summerlea,Ward 1,53.522653,-113.621915,"(53.52265302089917, -113.62191533321305)",1
Delivery/Transportation Services,SPECIALLY MADE,,164386979-002,ISSUED,10/31/2020 12:00:00 AM,11/22/2021 12:00:00 AM,,4160,Gariepy,Ward 5,,,,1
Alcohol Sales (Consumption On Premises/Minors Allowed),THE BLACK BULL KITCHEN & BAR (VALOR PIZZA),16642 - 109 AVENUE NW,235746007-002,RENEWAL NOTICE,12/14/2018 12:00:00 AM,12/15/2020 12:00:00 AM,,4600,West Sheffield Industrial,Ward 1,53.556362,-113.607101,"(53.55636166243484, -113.60710145684074)",1
Restaurant or Food Service,TIM HORTONS,"138, 1 - EDMONTON CITY CENTRE NW",163274989-001,RENEWAL NOTICE,12/12/2019 12:00:00 AM,12/15/2020 12:00:00 AM,Downtown,1090,Downtown,Ward 6,53.543772,-113.492731,"(53.5437720297049, -113.49273062404305)",1
Public Market Vendor,CHARLETTE'S TREASURES,12011 - 111 AVENUE NW,350065521-001,RENEWAL NOTICE,12/16/2019 12:00:00 AM,12/15/2020 12:00:00 AM,Kingsway,1180,Queen Mary Park,Ward 6,53.558002,-113.529861,"(53.55800223935403, -113.52986130235065)",1
Exhibition Hall,EDMONTON SCOTTISH SOCIETY,3105 - 101 STREET SW,343012068-002,RENEWAL NOTICE,12/16/2019 12:00:00 AM,12/15/2020 12:00:00 AM,,6214,Ellerslie Industrial,Ward 12,53.404254,-113.489010,"(53.40425352700184, -113.48900976048958)",1
General Business,SHARP CUT PLASMA CUTTING,,262186553-002,ISSUED,10/31/2020 12:00:00 AM,11/14/2021 12:00:00 AM,,4720,Glastonbury,Ward 5,,,,1
General Contractor,LCR MECHANICAL CONTRACTORS,2903 - 121 AVENUE NE,341011772-002,RENEWAL NOTICE,12/16/2019 12:00:00 AM,12/15/2020 12:00:00 AM,,2160,Clover Bar Area,Ward 4,53.576101,-113.299838,"(53.57610148335565, -113.29983846463554)",1
General Business,BOREAL SERVICES GROUP,,135417842-003,RENEWAL NOTICE,12/15/2019 12:00:00 AM,12/15/2020 12:00:00 AM,,5480,Strathcona,Ward 8,,,,1
Vehicle Repair,MARL TECHNOLOGIES,5603 - 54 STREET NW,52872072-001,RENEWAL NOTICE,11/29/2019 12:00:00 AM,12/15/2020 12:00:00 AM,,6640,Roper Industrial,Ward 11,53.492999,-113.420308,"(53.492998534237316, -113.42030847125687)",1
General Business,PURRRFECT PET CARE,,349739653-002,RENEWAL NOTICE,12/16/2019 12:00:00 AM,12/15/2020 12:00:00 AM,,5505,Ambleside,Ward 9,,,,1
Rental Accommodation,GRAHAM & ALI PROF CORP & KEVIN J FOSTER PROF CORP,3003 - 113 AVENUE NW,7253770-002,RENEWAL NOTICE,11/26/2019 12:00:00 AM,12/15/2020 12:00:00 AM,,2660,Rundle Heights,Ward 7,53.565850,-113.388741,"(53.56584988489056, -113.38874110022765)",1
Alcohol Sales (Consumption On Premises/Minors Prohibited),ORIGINAL JOE'S RESTAURANT AND BAR,2512 - GUARDIAN ROAD NW,81574769-001,RENEWAL NOTICE,12/05/2019 12:00:00 AM,12/15/2020 12:00:00 AM,,4720,Glastonbury,Ward 5,53.509449,-113.675268,"(53.50944881463, -113.67526846074581)",1
General Contractor,WESTERN GENERAL MAINTENANCE,437 - PARSONS ROAD SW,343934509-002,RENEWAL NOTICE,12/16/2019 12:00:00 AM,12/15/2020 12:00:00 AM,,6214,Ellerslie Industrial,Ward 12,53.429954,-113.478747,"(53.42995444001368, -113.47874678774883)",1
Vehicle Repair,THRIFTY AUTO & EXHAUST,15605 - 116 AVENUE NW,142508396-001,RENEWAL NOTICE,11/20/2019 12:00:00 AM,12/15/2020 12:00:00 AM,,4010,Alberta Park Industrial,Ward 1,53.566321,-113.591344,"(53.56632080290058, -113.59134350626177)",1
Alcohol Sales (Consumption On Premises/Minors Allowed),EDMONTON SCOTTISH SOCIETY,3105 - 101 STREET SW,343012068-002,RENEWAL NOTICE,12/16/2019 12:00:00 AM,12/15/2020 12:00:00 AM,,6214,Ellerslie Industrial,Ward 12,53.404254,-113.489010,"(53.40425352700184, -113.48900976048958)",1
General Contractor,R & C GARCIA CLEANING,,349498679-002,RENEWAL NOTICE,12/16/2019 12:00:00 AM,12/15/2020 12:00:00 AM,,6662,Walker,Ward 12,,,,1
General Contractor,UCHLIN ENTERPRISES,,49697322-003,RENEWAL NOTICE,11/06/2019 12:00:00 AM,11/20/2020 12:00:00 AM,,6270,Gold Bar,Ward 8,,,,1
General Contractor,AYYAD CONSTRUCTION LTD,,116174759-002,ISSUED,05/07/2020 12:00:00 AM,05/07/2021 12:00:00 AM,,3180,Dunluce,Ward 3,,,,1
General Business,ROMY YOUNG PHOTOGRAPHY,,165190747-002,ISSUED,01/03/2020 12:00:00 AM,01/03/2021 12:00:00 AM,,5578,Glenridding Heights,Ward 9,,,,1
General Business,SPY NET INDUSTRIES INC,,83826838-002,ISSUED,01/22/2020 12:00:00 AM,01/22/2021 12:00:00 AM,,2290,Glengarry,Ward 7,,,,1
General Business,FAODAIL CREATION,,255313456-002,ISSUED,07/17/2020 12:00:00 AM,07/28/2021 12:00:00 AM,,4240,La Perle,Ward 1,,,,1
Alcohol Sales (Consumption On Premises/Minors Prohibited),TEDDY'S EATERY & LOUNGE,11361 - JASPER AVENUE NW,52006615-001,RENEWAL NOTICE,11/14/2019 12:00:00 AM,12/15/2020 12:00:00 AM,,1150,Oliver,Ward 6,53.540594,-113.517319,"(53.54059350838914, -113.51731918093434)",1
Personal Service Shop,THE HABITAT,12080 - JASPER AVENUE NW,344932192-002,RENEWAL NOTICE,12/16/2019 12:00:00 AM,12/15/2020 12:00:00 AM,,1150,Oliver,Ward 6,53.541450,-113.530165,"(53.54145015160365, -113.53016490515772)",1
General Business,DBW CORPORATION,11904 - 113 AVENUE NW,52835923-001,RENEWAL NOTICE,12/02/2019 12:00:00 AM,12/15/2020 12:00:00 AM,Kingsway,1170,Prince Rupert,Ward 2,53.562669,-113.527490,"(53.56266898442643, -113.5274903763917)",1
General Business,ZAG CREATIVE,"301, 10154 - 104 STREET NW",171255510-002,RENEWAL NOTICE,12/02/2019 12:00:00 AM,12/15/2020 12:00:00 AM,Downtown,1090,Downtown,Ward 6,53.542187,-113.499769,"(53.542187241162665, -113.4997692049522)",1
General Contractor,BROWN AND MARSHALL ELECTRIC LTD,2915 - PARSONS ROAD NW,96619130-002,RENEWAL NOTICE,11/14/2019 12:00:00 AM,12/15/2020 12:00:00 AM,,6570,Parsons Industrial,Ward 11,53.458970,-113.482241,"(53.45897007480408, -113.48224127698484)",1
Minor Retail Store,TRITON FIRE PROTECTION,"202, 10525 - JASPER AVENUE NW",340729982-002,RENEWAL NOTICE,12/16/2019 12:00:00 AM,12/15/2020 12:00:00 AM,Downtown,1090,Downtown,Ward 6,53.540589,-113.502001,"(53.54058850140491, -113.50200059783019)",1
General Contractor,ASIA PROFESSIONAL GARDENING AND LANDSCAPING,,27539580-002,ISSUED,05/02/2020 12:00:00 AM,05/11/2021 12:00:00 AM,,4180,Glenwood,Ward 1,,,,1
General Business,DEVICE MEDIA,,185500565-002,RENEWAL NOTICE,12/15/2019 12:00:00 AM,12/15/2020 12:00:00 AM,,4270,Lymburn,Ward 5,,,,1
Vehicle Repair,OK TIRE 132 AVENUE,10011 - 132 AVENUE NW,234128302-002,RENEWAL NOTICE,11/16/2019 12:00:00 AM,12/15/2020 12:00:00 AM,,3260,Lauderdale,Ward 2,53.591844,-113.493216,"(53.59184423168215, -113.49321554842327)",1
Minor Retail Store,LANDO GALLERY,"103, 10310 - 124 STREET NW",132611116-001,RENEWAL NOTICE,12/10/2019 12:00:00 AM,12/15/2020 12:00:00 AM,124 Street and Area,3440,Westmount,Ward 6,53.544857,-113.536404,"(53.544856789204495, -113.53640350292508)",1
General Business,REALISTIC BUSINESS SERVICES,,117646307-002,RENEWAL NOTICE,11/09/2019 12:00:00 AM,12/15/2020 12:00:00 AM,,5220,Greenfield,Ward 10,,,,1
Minor Retail Store,PHARMACY ON WHYTE,10050 - 82 AVENUE NW,346218126-002,RENEWAL NOTICE,12/16/2019 12:00:00 AM,12/15/2020 12:00:00 AM,Old Strathcona,5480,Strathcona,Ward 8,53.518381,-113.490717,"(53.51838084814871, -113.49071660516623)",1
Food Processing,KARIM MEATS,3328 - PARSONS ROAD NW,105200172-001,RENEWAL NOTICE,11/27/2019 12:00:00 AM,12/15/2020 12:00:00 AM,,6570,Parsons Industrial,Ward 11,53.466292,-113.486965,"(53.46629187258968, -113.48696479814016)",1
General Business,OVERSEAS CHINESE DREAM INC,,293392289-002,ISSUED,09/07/2020 12:00:00 AM,09/25/2021 12:00:00 AM,,5220,Greenfield,Ward 10,,,,1
General Business,NATURE ALBERTA,11759 - GROAT ROAD NW,235886440-002,RENEWAL NOTICE,11/29/2019 12:00:00 AM,12/15/2020 12:00:00 AM,The Crossroads,3240,Inglewood,Ward 2,53.569539,-113.548044,"(53.569539407857164, -113.54804403369528)",1
General Business,NGUYEN THANH,,7263078-002,RENEWAL NOTICE,11/18/2019 12:00:00 AM,12/15/2020 12:00:00 AM,,1210,Riverdale,Ward 6,,,,1
General Business,YAMUSZUDORS SERVICES INC.,,350083011-002,RENEWAL NOTICE,12/16/2019 12:00:00 AM,12/15/2020 12:00:00 AM,,4730,Suder Greens,Ward 1,,,,1
Restaurant or Food Service,TEDDY'S EATERY & LOUNGE,11361 - JASPER AVENUE NW,52006615-001,RENEWAL NOTICE,11/14/2019 12:00:00 AM,12/15/2020 12:00:00 AM,,1150,Oliver,Ward 6,53.540594,-113.517319,"(53.54059350838914, -113.51731918093434)",1
General Business,SIN KENT TEH AND SHAWN WILKIE,,184708874-002,RENEWAL NOTICE,12/09/2019 12:00:00 AM,12/15/2020 12:00:00 AM,French Quarter and Area,6040,Bonnie Doon,Ward 8,,,,1
General Business,GEMINI,4150 - 101 STREET NW,171162639-002,ISSUED,05/02/2020 12:00:00 AM,05/02/2021 12:00:00 AM,,6700,Strathcona Industrial Park,Ward 11,53.478468,-113.489563,"(53.47846827124134, -113.4895628062493)",1
General Business,1517582 ALBERTA INC.,,350078164-002,RENEWAL NOTICE,12/16/2019 12:00:00 AM,12/15/2020 12:00:00 AM,,2430,Kirkness,Ward 4,,,,1
General Contractor,ENCORE MASTER BUILDER,11344 - 119 STREET NW,260167952-002,ISSUED,10/14/2020 12:00:00 AM,11/14/2021 12:00:00 AM,Kingsway,1170,Prince Rupert,Ward 2,53.563463,-113.527491,"(53.56346335642319, -113.52749140607771)",1
General Contractor,PROLIFT CONCRETE LEVELLING INC,,282384347-002,ISSUED,05/02/2020 12:00:00 AM,05/14/2021 12:00:00 AM,,5630,Leger,Ward 9,,,,1
General Contractor,BETTER VIEW,,219129263-002,ISSUED,03/17/2020 12:00:00 AM,04/07/2021 12:00:00 AM,,3250,Kensington,Ward 2,,,,1
Vehicle Fueling Station,CIRCLE K CONVENIENCE STORE #22713,2304 - 23 AVENUE NW,166629496-002,ISSUED,05/02/2020 12:00:00 AM,05/16/2021 12:00:00 AM,,6442,Silver Berry,Ward 12,53.454785,-113.375940,"(53.454785145181525, -113.37593995909599)",1
General Contractor,ICE TECH MECHANICAL,,134891770-001,ISSUED,02/24/2020 12:00:00 AM,02/24/2021 12:00:00 AM,,3030,Baturyn,Ward 3,,,,1
Tobacco Sales,CIRCLE K CONVENIENCE STORE #22713,2304 - 23 AVENUE NW,166629496-002,ISSUED,05/02/2020 12:00:00 AM,05/16/2021 12:00:00 AM,,6442,Silver Berry,Ward 12,53.454785,-113.375940,"(53.454785145181525, -113.37593995909599)",1
Minor Retail Store,WICKED ALTERNATIVE BODY FASHION,"1838, 8882 - 170 STREET NW",160955040-001,ISSUED,08/17/2020 12:00:00 AM,09/30/2021 12:00:00 AM,,4520,Summerlea,Ward 1,53.522271,-113.618482,"(53.52227141812298, -113.61848168763852)",1
General Contractor,LAWN KING,,326605689-002,ISSUED,08/07/2020 12:00:00 AM,08/15/2021 12:00:00 AM,,5462,Chappelle Area,Ward 9,,,,1
Commercial Schools,KUMON MATH AND READING CENTRE OF WEST EDMONTON,17751 - 98A AVENUE NW,77357321-006,ISSUED,07/28/2020 12:00:00 AM,08/13/2021 12:00:00 AM,,4540,Terra Losa,Ward 1,53.533855,-113.627689,"(53.53385549787062, -113.62768880670882)",1
General Contractor,MONARCH FRAMING,,72377993-002,ISSUED,10/22/2020 12:00:00 AM,11/15/2021 12:00:00 AM,,2550,Montrose,Ward 7,,,,1
General Business,ERI CLEANING SERVICE,,156020495-002,ISSUED,07/28/2020 12:00:00 AM,07/28/2021 12:00:00 AM,,2410,Kilkenny,Ward 3,,,,1
General Business,DES ENGINEERING,8407A - CORONET ROAD NW,103298947-001,RENEWAL NOTICE,11/12/2019 12:00:00 AM,12/15/2020 12:00:00 AM,,6170,Davies Industrial West,Ward 11,53.501293,-113.453079,"(53.501292538149805, -113.45307852970495)",1
Alcohol Sales (Consumption On Premises/Minors Allowed),JAPANESE VILLAGE TEPPAN DINING,"1638, 8882 - 170 STREET NW",347061864-002,RENEWAL NOTICE,12/16/2019 12:00:00 AM,12/15/2020 12:00:00 AM,,4520,Summerlea,Ward 1,53.522271,-113.618482,"(53.52227141812298, -113.61848168763852)",1
Restaurant or Food Service,JAPANESE VILLAGE TEPPAN DINING,"1638, 8882 - 170 STREET NW",347061864-002,RENEWAL NOTICE,12/16/2019 12:00:00 AM,12/15/2020 12:00:00 AM,,4520,Summerlea,Ward 1,53.522271,-113.618482,"(53.52227141812298, -113.61848168763852)",1
Rental Accommodation,ARGYLL PLAZA HOTEL,9933 - 63 AVENUE NW,258031224-002,ISSUED,09/07/2020 12:00:00 AM,09/25/2021 12:00:00 AM,,6650,Rosedale Industrial,Ward 11,53.499071,-113.487660,"(53.49907115091207, -113.48765959870687)",1
Restaurant or Food Service,THE BLACK BULL KITCHEN & BAR (VALOR PIZZA),16642 - 109 AVENUE NW,235746007-002,RENEWAL NOTICE,12/14/2018 12:00:00 AM,12/15/2020 12:00:00 AM,,4600,West Sheffield Industrial,Ward 1,53.556362,-113.607101,"(53.55636166243484, -113.60710145684074)",1
General Business,ELEGANT & LUXURIOUS EVENTS,,342231875-002,RENEWAL NOTICE,12/16/2019 12:00:00 AM,12/15/2020 12:00:00 AM,,4013,Anthony Henday Terwillegar,Ward 9,,,,1
Restaurant or Food Service,ORIGINAL JOE'S RESTAURANT AND BAR,2512 - GUARDIAN ROAD NW,81574769-001,RENEWAL NOTICE,12/05/2019 12:00:00 AM,12/15/2020 12:00:00 AM,,4720,Glastonbury,Ward 5,53.509449,-113.675268,"(53.50944881463, -113.67526846074581)",1
General Business,SPECIALLY MADE,,164386979-002,ISSUED,10/31/2020 12:00:00 AM,11/22/2021 12:00:00 AM,,4160,Gariepy,Ward 5,,,,1
General Contractor,OLYMPIA PLUMBING & HEATING,,43736335-002,RENEWAL NOTICE,12/05/2019 12:00:00 AM,12/15/2020 12:00:00 AM,,6610,Ritchie,Ward 11,,,,1
Personal Service Shop,HOME BLISS,,181369658-002,RENEWAL NOTICE,11/13/2019 12:00:00 AM,12/15/2020 12:00:00 AM,,2463,Crystallina Nera West,Ward 3,,,,1
General Contractor,2227429 ALBERTA LTD.,,346090390-002,ISSUED,10/31/2020 12:00:00 AM,11/05/2021 12:00:00 AM,,2110,Brintnell,Ward 4,,,,1
General Contractor,DONI TILES & STONE LTD,,165762166-002,RENEWAL NOTICE,12/09/2019 12:00:00 AM,12/15/2020 12:00:00 AM,,5160,Duggan,Ward 10,,,,1
General Contractor,LEONARD ELECTRICAL CONTRACTORS LTD.,,347130541-002,ISSUED,10/31/2020 12:00:00 AM,11/18/2021 12:00:00 AM,,4270,Lymburn,Ward 5,,,,1
Personal Service Shop,FABULOUS BEAUTY STATION,12425 - 97 STREET NW,270251121-002,RENEWAL NOTICE,12/04/2019 12:00:00 AM,12/15/2020 12:00:00 AM,,1080,Delton,Ward 7,53.580112,-113.491519,"(53.5801121412036, -113.49151935639671)",1
Restaurant or Food Service,EDMONTON SCOTTISH SOCIETY,3105 - 101 STREET SW,343012068-002,RENEWAL NOTICE,12/16/2019 12:00:00 AM,12/15/2020 12:00:00 AM,,6214,Ellerslie Industrial,Ward 12,53.404254,-113.489010,"(53.40425352700184, -113.48900976048958)",1
General Contractor,PURE CARPET & UPHOLSTERY CLEANING,,173040290-002,ISSUED,09/07/2020 12:00:00 AM,09/07/2021 12:00:00 AM,,6480,Michaels Park,Ward 11,,,,1
General Contractor,BLACK MAGICIAN SEAL COATING & PAVING LTD.,,323978302-002,ISSUED,06/26/2020 12:00:00 AM,06/27/2021 12:00:00 AM,Stony Plain Road and Area,4060,Britannia Youngstown,Ward 1,,,,1
Tobacco Sales,RITCHIE FOODS 2009,9606 - 76 AVENUE NW,87564902-001,ISSUED,06/26/2020 12:00:00 AM,07/08/2021 12:00:00 AM,,6610,Ritchie,Ward 11,53.512555,-113.477348,"(53.51255463388901, -113.4773483925637)",1
Restaurant or Food Service,FUSS CUPCAKES,9637 - 167 AVENUE NW,188665543-007,RENEWAL NOTICE,11/18/2019 12:00:00 AM,11/20/2020 12:00:00 AM,,2241,Eaux Claires,Ward 3,53.628284,-113.490429,"(53.62828423563675, -113.49042859654148)",1
General Contractor,"HANDY ANDY PLUMBING, HEATING & GASFITTING",,255350518-002,ISSUED,06/26/2020 12:00:00 AM,07/04/2021 12:00:00 AM,,6443,Tamarack,Ward 12,,,,1
General Business,ROGOZINSKY LISA,,270487452-002,ISSUED,01/15/2020 12:00:00 AM,01/29/2021 12:00:00 AM,,3170,Dovercourt,Ward 2,,,,1
