APCASEINSPKEY,INSPTYPE,CASENO,SCHEDDTTM,COMPDTTM,RESULTDTTM,RESULT,INSPBY,COMMENTS,ADDRESS NUMBER,STREET NAME,ADDRESS,CITY,STATE,ZIP,SBL,LATITUDE,LONGITUDE,LOCATION,COUNCIL DISTRICT,POLICE DISTRICT,CENSUS TRACT,CENSUS BLOCK GROUP,CENSUS BLOCK,NEIGHBORHOOD
10201803,INITIAL,GEN19-9474982,12/27/2019 12:00:00 AM +0000,12/27/2019 12:00:00 AM +0000,12/31/2019 12:00:00 AM +0000,VIOLATION,ANGELA   WHITE,sewage at sidewalk,57,DORCHESTER,57 DORCHESTER,BUFFALO,NY,14213,0896900005011000,,,,,,,,,
10217296,INITIAL,GEN20-9482128,,07/06/2020 12:00:00 AM +0000,07/06/2020 12:00:00 AM +0000,VIOLATION,Monique Bates,311,71,KRUPP,71 KRUPP,BUFFALO,NY,14212,1123100009037000,42.89313879528166,-78.82357213522943,POINT (-78.823572135229 42.893138795282),FILLMORE,District C,24,1,1011,Lovejoy
10217303,INITIAL,GEN20-9482130,08/10/2020 12:00:00 AM +0000,07/13/2020 12:00:00 AM +0000,07/13/2020 12:00:00 AM +0000,VIOLATION,BRIAN HIGGINS,,342,SCAJAQUADA ST,342 SCAJAQUADA ST,BUFFALO,NY,14215,1012400001007000,42.91704983689375,-78.81621670694753,POINT (-78.816216706948 42.917049836894),LOVEJOY,District E,36,1,1002,Genesee-Moselle
10217316,INITIAL,GEN20-9482134,07/02/2020 12:00:00 AM +0000,07/09/2020 12:00:00 AM +0000,07/09/2020 12:00:00 AM +0000,VIOLATION,Michael J Kelly,311/tree/brush,102,BARTHEL,102 BARTHEL,BUFFALO,NY,14211,1016200004010000,42.906497828643225,-78.82737699690415,POINT (-78.827376996904 42.906497828643),FILLMORE,District C,29,4,4004,Genesee-Moselle
10217320,INITIAL,GEN20-9482135,,07/07/2020 12:00:00 AM +0000,07/07/2020 12:00:00 AM +0000,VIOLATION,Monique Bates,311,420,GOLD,420 GOLD,BUFFALO,NY,14206,1122600004014000,42.89597145446055,-78.804906095596,POINT (-78.804906095596 42.895971454461),LOVEJOY,District C,24,4,4000,Lovejoy
10217326,INITIAL,GEN20-9482137,06/30/2020 12:00:00 AM +0000,06/30/2020 12:00:00 AM +0000,06/30/2020 12:00:00 AM +0000,VIOLATION,Robert Roman,permit required for new roof,222,PINE ST,222 PINE ST,BUFFALO,NY,14204,1115600001013000,42.88583998380851,-78.86380181651701,POINT (-78.863801816517 42.885839983809),ELLICOTT,District B,14.02,4,4010,Pratt-Willert
10217336,INITIAL,GEN20-9482142,,07/13/2020 12:00:00 AM +0000,07/13/2020 12:00:00 AM +0000,VIOLATION,JOSE   SANCHEZ,,142,FARMER,142 FARMER,BUFFALO,NY,14207,0882500002012000,42.94102070146157,-78.90082764439255,POINT (-78.900827644393 42.941020701462),NORTH,District D,59,2,2003,Black Rock
10217345,INITIAL,GEN20-9482143,07/09/2020 12:00:00 AM +0000,07/13/2020 12:00:00 AM +0000,07/13/2020 12:00:00 AM +0000,VIOLATION,Robert Kendall,"7/9/20 - concrete poured no permit paid for just an application, called contractor advised to mail in payment",40,HODGE,40 HODGE,BUFFALO,NY,14222,1004600002013000,42.9098068272835,-78.87234975171434,POINT (-78.872349751714 42.909806827284),NIAGARA,District B,67.02,3,3001,Elmwood Bryant
10217374,PROGRESS,GEN20-9480815,06/02/2020 12:00:00 AM +0000,06/02/2020 12:00:00 AM +0000,07/14/2020 12:00:00 AM +0000,PROGRESS,Christopher Curtin,footer poured no permit had trouble with the online system.,136,DOWNING,136 DOWNING,BUFFALO,NY,14220,1337200004052000,42.834796521835464,-78.81873465280674,POINT (-78.818734652807 42.834796521835),SOUTH,District A,6,3,3004,South Park
10217375,PROGRESS,GEN20-9480815,06/03/2020 12:00:00 AM +0000,06/03/2020 12:00:00 AM +0000,07/14/2020 12:00:00 AM +0000,PASSED,Christopher Curtin,<P>Basement wall caved in due to rain and basement floor . main support still intact added extra support column.</P><P>CLOSING THIS GENERAL FILE TO GO TO PERMIT <FONT size=5>GC20-9509415</FONT></P>,136,DOWNING,136 DOWNING,BUFFALO,NY,14220,1337200004052000,42.834796521835464,-78.81873465280674,POINT (-78.818734652807 42.834796521835),SOUTH,District A,6,3,3004,South Park
10217391,INITIAL,GEN20-9482160,07/14/2020 12:00:00 AM +0000,07/14/2020 12:00:00 AM +0000,07/14/2020 12:00:00 AM +0000,VIOLATION,Phillip Mazzone,INITIAL LOV,71,FENNIMORE,71 FENNIMORE,BUFFALO,NY,14215,0903400006005000,42.93803878537689,-78.80937045617068,POINT (-78.809370456171 42.938038785377),UNIVERSITY,District E,44.01,1,1003,Kensington-Bailey
10201684,INITIAL,GEN19-9474950,,12/30/2019 12:00:00 AM +0000,12/30/2019 12:00:00 AM +0000,VIOLATION,RICHARD BALESTERI,,232,CARL,232 CARL,BUFFALO,NY,14215,0907800001016000,42.920696044092395,-78.82790376915544,POINT (-78.827903769155 42.920696044092),MASTEN,District E,34,2,2001,Delavan Grider
10201686,INITIAL,GEN19-9474951,,12/30/2019 12:00:00 AM +0000,12/30/2019 12:00:00 AM +0000,VIOLATION,RICHARD BALESTERI,,22,SCHUELE,22 SCHUELE,BUFFALO,NY,14215,1013000002016000,42.9150911664363,-78.82656882138626,POINT (-78.826568821386 42.915091166436),MASTEN,District E,34,2,2004,Delavan Grider
10201688,INITIAL,GEN19-9474952,,12/30/2019 12:00:00 AM +0000,12/30/2019 12:00:00 AM +0000,VIOLATION,RICHARD BALESTERI,,34,SCHUELE,34 SCHUELE,BUFFALO,NY,14215,1013000002012000,42.9154270770538,-78.8265721400608,POINT (-78.826572140061 42.915427077054),MASTEN,District E,34,2,2004,Delavan Grider
10201700,INITIAL,GEN19-9474953,,12/30/2019 12:00:00 AM +0000,12/30/2019 12:00:00 AM +0000,VIOLATION,RICHARD BALESTERI,,90,SCHUELE,90 SCHUELE,BUFFALO,NY,14215,1012200002029000,42.9170120905165,-78.82658682111636,POINT (-78.826586821116 42.917012090517),MASTEN,District E,34,2,2003,Delavan Grider
10201702,INITIAL,GEN19-9474954,,12/30/2019 12:00:00 AM +0000,12/30/2019 12:00:00 AM +0000,VIOLATION,RICHARD BALESTERI,,230,SCHUELE,230 SCHUELE,BUFFALO,NY,14215,0907800002024000,42.919897194672274,-78.82660166111822,POINT (-78.826601661118 42.919897194672),MASTEN,District E,34,2,2000,Delavan Grider
10201704,INITIAL,GEN19-9474955,,,12/28/2019 12:00:00 AM +0000,VIOLATION,Jeorge Dawkins,,184,GOODELL,184 GOODELL,BUFFALO,NY,14204,1113200001001110,,,,,,,,,
10201707,INITIAL,GEN19-9474957,,12/30/2019 12:00:00 AM +0000,12/30/2019 12:00:00 AM +0000,VIOLATION,RICHARD BALESTERI,,266,SCHUELE,266 SCHUELE,BUFFALO,NY,14215,0907800002012000,42.9204018391493,-78.82661337251055,POINT (-78.826613372511 42.920401839149),MASTEN,District E,34,2,2000,Delavan Grider
10201710,INITIAL,GEN19-9474958,,12/30/2019 12:00:00 AM +0000,12/30/2019 12:00:00 AM +0000,VIOLATION,RICHARD BALESTERI,,272,SCHUELE,272 SCHUELE,BUFFALO,NY,14215,0907800002010000,42.92048611968981,-78.82661556875348,POINT (-78.826615568753 42.92048611969),MASTEN,District E,34,2,2000,Delavan Grider
10201712,INITIAL,GEN19-9474959,,,12/09/2019 12:00:00 AM +0000,VIOLATION,Trent Muggleton,,738,NIAGARA,738 NIAGARA,BUFFALO,NY,14213,0997400002001000,42.903078405597064,-78.89393760610002,POINT (-78.8939376061 42.903078405597),NIAGARA,District B,70,3,3007,West Side
10201718,INITIAL,GEN19-9474960,,,12/27/2019 12:00:00 AM +0000,VIOLATION,Mike Dillon,,21,GEARY,21 GEARY,BUFFALO,NY,14210,1238100009006000,42.85509621236494,-78.81234001577735,POINT (-78.812340015777 42.855096212365),SOUTH,District A,10,4,4005,Seneca-Cazenovia
10201720,INITIAL,GEN19-9474961,,,12/27/2019 12:00:00 AM +0000,VIOLATION,Mike Dillon,,40,GEARY,40 GEARY,BUFFALO,NY,14210,1238100010026000,42.855607797763106,-78.81174063899314,POINT (-78.811740638993 42.855607797763),SOUTH,District A,10,4,4004,Seneca-Cazenovia
10217451,INITIAL,GEN20-9482178,07/14/2020 12:00:00 AM +0000,07/14/2020 12:00:00 AM +0000,07/14/2020 12:00:00 AM +0000,PASSED,Gerald Williams,311 call,135,RHODE ISLAND,135 RHODE ISLAND,BUFFALO,NY,14213,0995800005010000,42.906800229043924,-78.89485799629364,POINT (-78.894857996294 42.906800229044),NIAGARA,District B,70,3,3000,West Side
