RecordNum,RecordType,RecordTypeMapped,RecordTypeDesc,Description,OpenDate,LastInspDate,LastInspResult,StatusCurrent,OriginalAddress1,OriginalCity,OriginalState,OriginalZip,Link,Latitude,Longitude,Location1
004483-04CP,Complaint,Request,,,2004-10-21,,,Completed,1954 5TH AVE W,SEATTLE,WA,98119,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=004483-04CP,47.63755597,-122.3633484,"1954 5TH AVE W
SEATTLE, WA 98119
(47.63755597, -122.3633484)"
003587-06CP,Complaint,Request,,,2006-07-26,,,Completed,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=003587-06CP,,,
1039424-VI,Notice of Violation,Case,,,2017-02-03,,,Completed,1410 S COLUMBIAN WAY,SEATTLE,WA,98144,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1039424-VI,47.57231976,-122.3143705,"1410 S COLUMBIAN WAY
SEATTLE, WA 98144
(47.57231976, -122.3143705)"
1040073-VI,Notice of Violation,Case,,,2017-04-30,,,Warning,8006 16TH AVE NE,SEATTLE,WA,98115,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1040073-VI,47.68695841,-122.31082527,"8006 16TH AVE NE
SEATTLE, WA 98115
(47.68695841, -122.31082527)"
1018968-VI,Notice of Violation,Case,,,2009-04-13,,,Completed,126 27TH AVE E,SEATTLE,WA,98112,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1018968-VI,47.61971654,-122.29698511,"126 27TH AVE E
SEATTLE, WA 98112
(47.61971654, -122.29698511)"
007454-16CP,Complaint,Request,,,2016-11-04,,,Closed,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=007454-16CP,,,
1036086-VI,Notice of Violation,Case,,,2015-11-06,,,Initiated,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1036086-VI,,,
1038989-VI,Notice of Violation,Case,,,2016-11-29,,,Completed,3963 PHINNEY AVE N,SEATTLE,WA,98103,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1038989-VI,47.65509059,-122.35476516,"3963 PHINNEY AVE N
SEATTLE, WA 98103
(47.65509059, -122.35476516)"
1027718-CT,Citation,Case,,,2012-06-28,,,Initiated,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1027718-CT,,,
1036089-VI,Notice of Violation,Case,,,2015-11-06,,,Initiated,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1036089-VI,,,
1014520-VI,Notice of Violation,Case,,,2007-12-28,,,NOV Issued,500 S RIVER ST,SEATTLE,WA,98108,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1014520-VI,47.54414089,-122.32804199,"500 S RIVER ST
SEATTLE, WA 98108
(47.54414089, -122.32804199)"
1045323-UB,Unfit Building,Case,,,2018-10-30,,,Closed,1219 S cloverdale ST,SEATTLE,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1045323-UB,47.52627875,-122.31668727,"1219 S cloverdale ST
SEATTLE
(47.52627875, -122.31668727)"
1045072-TR,Tenant Relocation,Request,,,2018-09-25,,,Issued,8823 9TH AVE SW,SEATTLE,WA,98106,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1045072-TR,47.52396445,-122.34709832,"8823 9TH AVE SW
SEATTLE, WA 98106
(47.52396445, -122.34709832)"
1037443-VI,Notice of Violation,Case,,,2016-05-12,,,Completed,1005 NE 72ND ST,SEATTLE,WA,98115,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1037443-VI,47.68065322,-122.31706206,"1005 NE 72ND ST
SEATTLE, WA 98115
(47.68065322, -122.31706206)"
1046969-TR,Tenant Relocation,Request,,,2019-06-28,,,Closed,8533 INTERLAKE AVE N,SEATTLE,WA,98103,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1046969-TR,47.69146500,-122.34052222,"8533 INTERLAKE AVE N
SEATTLE, WA 98103
(47.691465, -122.34052222)"
1040965-VI,Notice of Violation,Case,,,2017-08-16,,,Completed,3046 NE 143RD ST,SEATTLE,WA,98125,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1040965-VI,47.73222132,-122.29448949,"3046 NE 143RD ST
SEATTLE, WA 98125
(47.73222132, -122.29448949)"
1038884-VI,Notice of Violation,Case,,,2016-11-10,,,NOV Issued,5647 DELRIDGE WAY SW,SEATTLE,WA,98106,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1038884-VI,47.55047745,-122.36349947,"5647 DELRIDGE WAY SW
SEATTLE, WA 98106
(47.55047745, -122.36349947)"
1036207-VI,Notice of Violation,Case,,,2015-11-24,,,Completed,424 QUEEN ANNE AVE N,SEATTLE,WA,98109,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1036207-VI,47.62290051,-122.35642435,"424 QUEEN ANNE AVE N
SEATTLE, WA 98109
(47.62290051, -122.35642435)"
1001712-VI,Notice of Violation,Case,,,2004-03-10,,,Under Investigation,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1001712-VI,,,
1040877-VI,Notice of Violation,Case,,,2017-08-02,,,Completed,5236 CALIFORNIA AVE SW,SEATTLE,WA,98136,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1040877-VI,47.55459515,-122.38660117,"5236 CALIFORNIA AVE SW
SEATTLE, WA 98136
(47.55459515, -122.38660117)"
1041570-VI,Notice of Violation,Case,,,2017-10-12,,,Completed,4626 33RD AVE W,SEATTLE,WA,98199,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1041570-VI,47.66387196,-122.39924433,"4626 33RD AVE W
SEATTLE, WA 98199
(47.66387196, -122.39924433)"
1036088-VI,Notice of Violation,Case,,,2015-11-06,,,Initiated,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1036088-VI,,,
1031710-VI,Notice of Violation,Case,,,2014-04-07,,,Completed,3078 SW AVALON WAY,SEATTLE,WA,98126,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1031710-VI,47.56560660,-122.3725662,"3078 SW AVALON WAY
SEATTLE, WA 98126
(47.5656066, -122.3725662)"
1007577-VI,Notice of Violation,Case,,,2006-02-22,,,Completed,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1007577-VI,,,
1025927-VI,Notice of Violation,Case,,,2011-08-12,,,NOV Issued,4754 19TH AVE NE,SEATTLE,WA,98105,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1025927-VI,47.66462445,-122.30696217,"4754 19TH AVE NE
SEATTLE, WA 98105
(47.66462445, -122.30696217)"
1029610-VI,Notice of Violation,Case,,,2013-05-16,,,NOV Issued,513 31ST AVE,SEATTLE,WA,98122,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1029610-VI,47.60659008,-122.29292087,"513 31ST AVE
SEATTLE, WA 98122
(47.60659008, -122.29292087)"
1049262-UB,Unfit Building,Case,,,2019-12-12,,,Closed,1231 E Spruce ST,SEATTLE,WA,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1049262-UB,47.60332364,-122.31529077,"1231 E Spruce ST
SEATTLE, WA
(47.60332364, -122.31529077)"
1030761-VI,Notice of Violation,Case,,,2013-10-23,,,Completed,5700 M L KING JR WAY S,SEATTLE,WA,98118,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1030761-VI,47.55103454,-122.28732606,"5700 M L KING JR WAY S
SEATTLE, WA 98118
(47.55103454, -122.28732606)"
1018642-VI,Notice of Violation,Case,,,2009-03-03,,,Completed,5400 23RD AVE S,SEATTLE,WA,98108,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1018642-VI,47.55369092,-122.30383566,"5400 23RD AVE S
SEATTLE, WA 98108
(47.55369092, -122.30383566)"
006537-17CP,Complaint,Request,,,2017-09-08,,,Closed,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=006537-17CP,,,
1008208-VI,Notice of Violation,Case,,,2006-04-21,,,Initiated,104 1ST AVE N,SEATTLE,WA,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1008208-VI,47.61918510,-122.35544826,"104 1ST AVE N
SEATTLE, WA
(47.6191851, -122.35544826)"
1024748-VI,Notice of Violation,Case,,,2011-01-21,,,Completed,13040 31ST AVE NE,SEATTLE,WA,98125,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1024748-VI,47.72414051,-122.29436817,"13040 31ST AVE NE
SEATTLE, WA 98125
(47.72414051, -122.29436817)"
1010140-VI,Notice of Violation,Case,,,2006-10-23,,,Completed,600 SW KENYON ST,SEATTLE,WA,98106,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1010140-VI,47.53212969,-122.34510784,"600 SW KENYON ST
SEATTLE, WA 98106
(47.53212969, -122.34510784)"
003547-15CP,Complaint,Request,,,2015-05-29,,,Completed,8143 10TH AVE SW,SEATTLE,WA,98106,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=003547-15CP,47.52885563,-122.3485932,"8143 10TH AVE SW
SEATTLE, WA 98106
(47.52885563, -122.3485932)"
1025944-VI,Notice of Violation,Case,,,2011-08-17,,,NOV Issued,4754 19TH AVE NE,SEATTLE,WA,98105,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1025944-VI,47.66462445,-122.30696217,"4754 19TH AVE NE
SEATTLE, WA 98105
(47.66462445, -122.30696217)"
003581-06CP,Complaint,Request,,,2006-07-26,,,Completed,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=003581-06CP,,,
1041451-VI,Notice of Violation,Case,,,2017-10-02,,,NOV Issued,5818 15TH AVE S,SEATTLE,WA,98108,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1041451-VI,47.55061995,-122.31317447,"5818 15TH AVE S
SEATTLE, WA 98108
(47.55061995, -122.31317447)"
1011446-VI,Notice of Violation,Case,,,2007-03-23,,,Completed,8015 MERIDIAN AVE N,SEATTLE,WA,98103,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1011446-VI,47.68729345,-122.33343855,"8015 MERIDIAN AVE N
SEATTLE, WA 98103
(47.68729345, -122.33343855)"
1045416-TR,Tenant Relocation,Request,,,2018-11-08,,,Completed,3838 36th AVE W,SEATTLE,WA,98199,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1045416-TR,47.65529018,-122.40331146,"3838 36th AVE W
SEATTLE, WA 98199
(47.65529018, -122.40331146)"
1023066-VI,Notice of Violation,Case,,,2010-07-07,,,Completed,3716 S OREGON ST,SEATTLE,WA,98118,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1023066-VI,47.56303640,-122.2852997,"3716 S OREGON ST
SEATTLE, WA 98118
(47.5630364, -122.2852997)"
1036083-VI,Notice of Violation,Case,,,2015-11-06,,,Initiated,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1036083-VI,,,
1004887-VI,Notice of Violation,Case,,,2005-04-04,,,Completed,225 27TH AVE E,SEATTLE,WA,98112,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1004887-VI,47.62099767,-122.29753098,"225 27TH AVE E
SEATTLE, WA 98112
(47.62099767, -122.29753098)"
1046148-TR,Tenant Relocation,Request,,,2019-03-29,,,Completed,5808 17TH AVE NW,SEATTLE,WA,98107,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1046148-TR,47.67121201,-122.37862272,"5808 17TH AVE NW
SEATTLE, WA 98107
(47.67121201, -122.37862272)"
1037713-VI,Notice of Violation,Case,,,2016-06-20,,,Initiated,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1037713-VI,,,
1001437-VI,Notice of Violation,Case,,,2004-02-05,,,Completed,6750 15TH AVE NW,SEATTLE,WA,98117,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1001437-VI,47.67928104,-122.37650339,"6750 15TH AVE NW
SEATTLE, WA 98117
(47.67928104, -122.37650339)"
1026886-VI,Notice of Violation,Case,,,2012-02-07,,,Completed,9327 55TH AVE S,SEATTLE,WA,98118,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1026886-VI,47.51818949,-122.2642495,"9327 55TH AVE S
SEATTLE, WA 98118
(47.51818949, -122.2642495)"
1001421-VI,Notice of Violation,Case,,,2004-02-05,,,Completed,1033 S DIRECTOR ST,SEATTLE,WA,98108,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1001421-VI,47.52169270,-122.31861492,"1033 S DIRECTOR ST
SEATTLE, WA 98108
(47.5216927, -122.31861492)"
1002962-VI,Notice of Violation,Case,,,2004-07-27,,,Completed,2416 W DRAVUS ST,SEATTLE,WA,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1002962-VI,47.64849133,-122.388016,"2416 W DRAVUS ST
SEATTLE, WA
(47.64849133, -122.388016)"
003589-06CP,Complaint,Request,,,2006-07-26,,,Completed,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=003589-06CP,,,
1006612-VI,Notice of Violation,Case,,,2005-10-17,,,Completed,3033 20TH AVE S,SEATTLE,WA,98144,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1006612-VI,47.57597161,-122.3069789,"3033 20TH AVE S
SEATTLE, WA 98144
(47.57597161, -122.3069789)"
1021958-VI,Notice of Violation,Case,,,2010-03-09,,,Completed,4801 23RD AVE SW,SEATTLE,WA,98106,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1021958-VI,47.55912245,-122.36187645,"4801 23RD AVE SW
SEATTLE, WA 98106
(47.55912245, -122.36187645)"
1041110-VI,Notice of Violation,Case,,,2017-08-30,,,Warning,106 BELLEVUE AVE E,SEATTLE,WA,98102,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1041110-VI,47.61879775,-122.32651557,"106 BELLEVUE AVE E
SEATTLE, WA 98102
(47.61879775, -122.32651557)"
1012396-VI,Notice of Violation,Case,,,2007-06-12,,,Completed,723 S SOUTHERN ST,SEATTLE,WA,98108,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1012396-VI,47.52965672,-122.32445482,"723 S SOUTHERN ST
SEATTLE, WA 98108
(47.52965672, -122.32445482)"
1002235-VI,Notice of Violation,Case,,,2004-05-11,,,Completed,9757 3RD AVE NW,SEATTLE,WA,98117,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1002235-VI,47.70123703,-122.36101614,"9757 3RD AVE NW
SEATTLE, WA 98117
(47.70123703, -122.36101614)"
1025408-VI,Notice of Violation,Case,,,2011-05-20,,,Completed,85 PIKE ST,SEATTLE,WA,98101,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1025408-VI,47.60833336,-122.34082918,"85 PIKE ST
SEATTLE, WA 98101
(47.60833336, -122.34082918)"
1028572-VI,Notice of Violation,Case,,,2012-11-05,,,Completed,308 4TH AVE S,SEATTLE,WA,98104,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1028572-VI,47.59982559,-122.32851868,"308 4TH AVE S
SEATTLE, WA 98104
(47.59982559, -122.32851868)"
1003089-VI,Notice of Violation,Case,,,2004-08-06,,,Completed,10209 31ST AVE SW,SEATTLE,WA,98146,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1003089-VI,47.51163541,-122.37201299,"10209 31ST AVE SW
SEATTLE, WA 98146
(47.51163541, -122.37201299)"
1037490-VI,Notice of Violation,Case,,,2016-05-20,,,Warning,9007 A 46TH AVE S,SEATTLE,WA,98118,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1037490-VI,47.52300743,-122.27450745,"9007 A 46TH AVE S
SEATTLE, WA 98118
(47.52300743, -122.27450745)"
001484-04CP,Complaint,Request,,,2004-02-19,,,Completed,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001484-04CP,,,
1002312-VI,Notice of Violation,Case,,,2004-05-14,,,Completed,5206 DELRIDGE WAY SW,SEATTLE,WA,98106,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1002312-VI,47.55472572,-122.36274557,"5206 DELRIDGE WAY SW
SEATTLE, WA 98106
(47.55472572, -122.36274557)"
003343-04CP,Complaint,Request,,,2004-07-19,,,Completed,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=003343-04CP,,,
1036080-VI,Notice of Violation,Case,,,2015-11-06,,,Initiated,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1036080-VI,,,
1001120-VI,Notice of Violation,Case,,,2003-12-11,,,Completed,2201 14TH AVE S,SEATTLE,WA,98144,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1001120-VI,47.58356650,-122.3150193,"2201 14TH AVE S
SEATTLE, WA 98144
(47.5835665, -122.3150193)"
1021297-VI,Notice of Violation,Case,,,2009-12-09,,,Completed,6526 15TH AVE NE,SEATTLE,WA,98115,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1021297-VI,47.67662861,-122.31168826,"6526 15TH AVE NE
SEATTLE, WA 98115
(47.67662861, -122.31168826)"
1045262-TR,Tenant Relocation,Request,,,2018-10-19,,,Completed,621 W NICKERSON ST,SEATTLE,WA,98119,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1045262-TR,47.65163544,-122.36557243,"621 W NICKERSON ST
SEATTLE, WA 98119
(47.65163544, -122.36557243)"
1035803-VI,Notice of Violation,Case,,,2015-10-05,,,Completed,1517 BOYLSTON AVE,SEATTLE,WA,98122,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1035803-VI,47.61466931,-122.32365686,"1517 BOYLSTON AVE
SEATTLE, WA 98122
(47.61466931, -122.32365686)"
1046139-TR,Tenant Relocation,Request,,,2019-03-29,,,Reviews Completed,1710 NW 89TH ST,SEATTLE,WA,98117,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1046139-TR,47.69413903,-122.37957444,"1710 NW 89TH ST
SEATTLE, WA 98117
(47.69413903, -122.37957444)"
1003973-VI,Notice of Violation,Case,,,2004-11-18,,,Completed,2501 CANTERBURY LN E,SEATTLE,WA,98112,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1003973-VI,47.64202490,-122.28040421,"2501 CANTERBURY LN E
SEATTLE, WA 98112
(47.6420249, -122.28040421)"
006935-15CP,Complaint,Request,,,2015-10-29,,,Completed,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=006935-15CP,,,
1004828-VI,Notice of Violation,Case,,,2005-03-29,,,Completed,1403 NE 65TH ST,SEATTLE,WA,98115,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1004828-VI,47.67559628,-122.31291387,"1403 NE 65TH ST
SEATTLE, WA 98115
(47.67559628, -122.31291387)"
1024679-VI,Notice of Violation,Case,,,2011-01-06,,,Completed,700 S DEARBORN ST,SEATTLE,WA,98134,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1024679-VI,47.59603153,-122.32350826,"700 S DEARBORN ST
SEATTLE, WA 98134
(47.59603153, -122.32350826)"
1004513-CT,Citation,Case,,,2005-02-16,,,Completed,6027 8TH AVE NE,SEATTLE,WA,98115,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1004513-CT,47.67300438,-122.32027732,"6027 8TH AVE NE
SEATTLE, WA 98115
(47.67300438, -122.32027732)"
1041613-VI,Notice of Violation,Case,,,2017-10-18,,,Completed,6188 4TH AVE S,SEATTLE,WA,98108,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1041613-VI,47.54565208,-122.32903879,"6188 4TH AVE S
SEATTLE, WA 98108
(47.54565208, -122.32903879)"
1026038-VI,Notice of Violation,Case,,,2011-08-31,,,NOV Issued,1737 BELMONT AVE,SEATTLE,WA,98122,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1026038-VI,47.61744667,-122.32483409,"1737 BELMONT AVE
SEATTLE, WA 98122
(47.61744667, -122.32483409)"
1047875-UB,Unfit Building,Case,,,2019-08-15,,,Initiated,640 NE Banner PL,SEATTLE,WA,98115,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1047875-UB,47.68265427,-122.31922158,"640 NE Banner PL
SEATTLE, WA 98115
(47.68265427, -122.31922158)"
1011443-VI,Notice of Violation,Case,,,2007-03-23,,,Completed,800 POPLAR PL S,SEATTLE,WA,98144,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1011443-VI,47.59539323,-122.31211757,"800 POPLAR PL S
SEATTLE, WA 98144
(47.59539323, -122.31211757)"
1001851-VI,Notice of Violation,Case,,,2004-03-24,,,Completed,9012 25TH AVE NE,SEATTLE,WA,98115,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1001851-VI,47.69438808,-122.30107148,"9012 25TH AVE NE
SEATTLE, WA 98115
(47.69438808, -122.30107148)"
1036085-VI,Notice of Violation,Case,,,2015-11-06,,,Initiated,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1036085-VI,,,
001834-08CP,Complaint,Request,,,2008-03-12,,,Completed,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001834-08CP,,,
1026169-VI,Notice of Violation,Case,,,2011-09-21,,,Warning,420 BLANCHARD ST,SEATTLE,WA,98121,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1026169-VI,47.61513867,-122.34224721,"420 BLANCHARD ST
SEATTLE, WA 98121
(47.61513867, -122.34224721)"
1034639-VI,Notice of Violation,Case,,,2015-05-11,,,Completed,739 N 73RD ST,SEATTLE,WA,98103,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1034639-VI,47.68159288,-122.34816382,"739 N 73RD ST
SEATTLE, WA 98103
(47.68159288, -122.34816382)"
1030609-VI,Notice of Violation,Case,,,2013-09-27,,,Completed,4200 RAINIER AVE S,SEATTLE,WA,98118,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1030609-VI,47.56551434,-122.28828656,"4200 RAINIER AVE S
SEATTLE, WA 98118
(47.56551434, -122.28828656)"
