county,incident,direction,lanes,link,created,lat,long,updated,location
Washington County,I-70 WEST BETWEEN MD 632 AND DUAL HWY,West,1 of 2 Westbound shoulders closed.,https://www.chart.maryland.gov/?id=23,Created:  8/25/2020 4:18:09 AM by SOC.,"{""x"":-77.754197,""y"":39.606587,""spatialReference"":{""wkid"":4326}}","{""x"":-77.754197,""y"":39.606587,""spatialReference"":{""wkid"":4326}}","Thu, 17 Dec 2020 05:59:57 GMT",
Washington County,I-81 NORTH/SOUTH BETWEEN CTY MP 1.13 AND CTY MP 0.06,North/South,1 of 2 Southbound shoulders closed.1 of 2 Northbound shoulders closed.,https://www.chart.maryland.gov/?id=24,Created:  5/13/2020 8:13:08 AM by SOC.,"{""x"":-77.737229,""y"":39.697963,""spatialReference"":{""wkid"":4326}}","{""x"":-77.737229,""y"":39.697963,""spatialReference"":{""wkid"":4326}}","Thu, 17 Dec 2020 05:59:57 GMT",
Montgomery County,MD 190 EAST/WEST BETWEEN ORKNEY PKWY AND WHITTIER BLVD,East/West,1 of 2 Westbound shoulders closed.1 of 2 Eastbound shoulders closed.,https://www.chart.maryland.gov/?id=11,Created:  11/6/2020 9:40:48 AM by SOC.,"{""x"":-77.1369,""y"":38.982643,""spatialReference"":{""wkid"":4326}}","{""x"":-77.1369,""y"":38.982643,""spatialReference"":{""wkid"":4326}}","Thu, 17 Dec 2020 05:59:57 GMT",
Montgomery County,I-270 NORTH AT EXIT 18 MD 121 CLARKSBURG RD (NB),North,1 of 3 Northbound shoulders closed.,https://www.chart.maryland.gov/?id=13,Created:  4/10/2020 5:49:49 AM by SOC.,"{""x"":-77.278177,""y"":39.218331,""spatialReference"":{""wkid"":4326}}","{""x"":-77.278177,""y"":39.218331,""spatialReference"":{""wkid"":4326}}","Thu, 17 Dec 2020 05:59:57 GMT",
Montgomery County,I-270 SOUTH FROM EXIT 22 MD 109 OLD HUNDRED RD (NB) TO EXIT 18 MD 121 CLARKSBURG RD (NB),South,1 of 2 Southbound shoulders closed.,https://www.chart.maryland.gov/?id=10,Created:  11/5/2020 10:24:29 AM by SOC.,"{""x"":-77.32362,""y"":39.27808,""spatialReference"":{""wkid"":4326}}","{""x"":-77.32362,""y"":39.27808,""spatialReference"":{""wkid"":4326}}","Thu, 17 Dec 2020 05:59:57 GMT",
Baltimore County,MD 151 SOUTH BETWEEN MD 158 AND SPARROWS POINT BLVD,South,1 of 1 Southbound traffic lanes closed.1 of 1 Southbound shoulders closed.,https://www.chart.maryland.gov/?id=4,Created:  11/19/2020 2:36:09 PM by SOC.,"{""x"":-76.465384,""y"":39.237622,""spatialReference"":{""wkid"":4326}}","{""x"":-76.465384,""y"":39.237622,""spatialReference"":{""wkid"":4326}}","Thu, 17 Dec 2020 05:59:57 GMT",
Cecil County,MD 272 SOUTH BETWEEN ROGERS RD AND E CECIL AVE,South,1 of 1 Southbound traffic lanes closed.1 of 2 Southbound shoulders closed.,https://www.chart.maryland.gov/?id=5,Created:  9/24/2020 9:31:32 AM by SOC.,"{""x"":-75.947758,""y"":39.610893,""spatialReference"":{""wkid"":4326}}","{""x"":-75.947758,""y"":39.610893,""spatialReference"":{""wkid"":4326}}","Thu, 17 Dec 2020 05:59:57 GMT",
Garrett County,US 219 NORTH PRIOR TO I-68,North,1 of 1 Northbound shoulders closed.,https://www.chart.maryland.gov/?id=6,Created:  5/11/2020 11:50:47 AM by SOC.,"{""x"":-79.249673,""y"":39.689597,""spatialReference"":{""wkid"":4326}}","{""x"":-79.249673,""y"":39.689597,""spatialReference"":{""wkid"":4326}}","Thu, 17 Dec 2020 05:59:57 GMT",
Garrett County,MD 39 EAST FROM CTY MP 2.23 TO CTY MP 2.72,East,1 of 1 Eastbound shoulders closed.,https://www.chart.maryland.gov/?id=7,Created:  11/19/2020 10:48:23 AM by SOC.,"{""x"":-79.48355,""y"":39.41909,""spatialReference"":{""wkid"":4326}}","{""x"":-79.48355,""y"":39.41909,""spatialReference"":{""wkid"":4326}}","Thu, 17 Dec 2020 05:59:57 GMT",
Baltimore City,I-895 NORTH  PAST EXIT 8 SHELL ROAD  8.2 TO  8.8 (LONG TERM CONTINUOUS),North,1 of 2 Northbound traffic lanes closed.1 of 2 Northbound shoulders closed.,https://www.chart.maryland.gov/?id=3,Created:  9/21/2020 5:21:09 PM by AOC Central.,"{""x"":-76.587872,""y"":39.240668,""spatialReference"":{""wkid"":4326}}","{""x"":-76.587872,""y"":39.240668,""spatialReference"":{""wkid"":4326}}","Thu, 17 Dec 2020 05:59:57 GMT",
Allegany County,MD 831 EAST/WEST FROM MT SAVAGE RD TO BEACHVIEW DR,East/West,1 of 1 Westbound traffic lanes closed.1 of 1 Westbound shoulders closed.1 of 1 Eastbound traffic lanes closed.1 of 1 Eastbound shoulders closed.,https://www.chart.maryland.gov/?id=0,Created:  10/6/2020 1:30:46 PM by SOC.,"{""x"":-78.803488,""y"":39.691779,""spatialReference"":{""wkid"":4326}}","{""x"":-78.803488,""y"":39.691779,""spatialReference"":{""wkid"":4326}}","Thu, 17 Dec 2020 05:59:57 GMT",
Anne Arundel County,I-895 NORTH PAST EXIT 3B I 695 BALTO BELTWAY (NB)MM A 0.1 - MM A 0.5,North,1 of 2 Northbound shoulders closed.,https://www.chart.maryland.gov/?id=1,Created:  11/18/2020 8:51:02 PM by AOC Central.,"{""x"":-76.630736,""y"":39.203952,""spatialReference"":{""wkid"":4326}}","{""x"":-76.630736,""y"":39.203952,""spatialReference"":{""wkid"":4326}}","Thu, 17 Dec 2020 05:59:57 GMT",
Harford County,I-95 NORTH PRIOR TO EXIT 77A MD 24 VIETNAM VETERANS MEMORIAL HWY (NB),North,3 of 3 Northbound traffic lanes unknown.2 of 2 Northbound shoulders unknown.,https://www.chart.maryland.gov/?id=8,Created:  7/28/2020 11:25:14 AM by AOC Central.,"{""x"":-76.315136,""y"":39.45416,""spatialReference"":{""wkid"":4326}}","{""x"":-76.315136,""y"":39.45416,""spatialReference"":{""wkid"":4326}}","Thu, 17 Dec 2020 05:59:57 GMT",
Montgomery County,MD 355 SOUTH FROM COMMERCE LA TO MIDDLETON LA,South,1 of 3 Southbound traffic lanes closed.1 of 2 Southbound shoulders closed.,https://www.chart.maryland.gov/?id=9,Created:  10/2/2020 5:25:22 AM by SOC.,"{""x"":-77.158581,""y"":39.106581,""spatialReference"":{""wkid"":4326}}","{""x"":-77.158581,""y"":39.106581,""spatialReference"":{""wkid"":4326}}","Thu, 17 Dec 2020 05:59:57 GMT",
Montgomery County,MD 190 EAST/WEST BETWEEN BRAEBURN PKWY AND WHITTIER BLVD,East/West,1 of 2 Westbound shoulders closed.1 of 2 Eastbound shoulders closed.,https://www.chart.maryland.gov/?id=12,Created:  10/13/2020 9:18:13 AM by SOC.,"{""x"":-77.133503,""y"":38.980361,""spatialReference"":{""wkid"":4326}}","{""x"":-77.133503,""y"":38.980361,""spatialReference"":{""wkid"":4326}}","Thu, 17 Dec 2020 05:59:57 GMT",
