SUMMONS NUMBER,SUMMONS DATE,VIOLATION TIME,VIOLATION DESCRIPTION,ORIGINAL FINE,VIOLATION ADDRESS NUMBER,VIOLATION STREET,VIOLATION FULL ADDRESS,CITY,STATE,LATITUDE,LONGITUDE,LOCATION,COUNCIL DISTRICT,POLICE DISTRICT,CENSUS TRACT,CENSUS BLOCK GROUP,CENSUS BLOCK
A5581590,04/06/2007,1150A,NO STANDING,35,26,INDIAN CHU,26 INDIAN CHU,Buffalo,NY,,,,,,,,
38704047,01/18/2008,1126A,PARKED LESS THAN 15 FT - FIRE HYDRANT,50,,108LPSEVENTH,108LPSEVENTH,Buffalo,NY,,,,,,,,
38704185,01/22/2008,1249P,NO PARKING,35,,175LPSEVENTH,175LPSEVENTH,Buffalo,NY,,,,,,,,
38704206,01/23/2008,0956A,NO PARKING,35,,139LPEAGLE WEST,139LPEAGLE WEST,Buffalo,NY,,,,,,,,
38704284,01/25/2008,0800A,NO STANDING,35,,180LPHIGH,180LPHIGH,Buffalo,NY,,,,,,,,
38704358,01/28/2008,0819A,VEHICLE BLOCKING HANDICAP CURB CUT,35,,LP9  MARINE,LP9  MARINE,Buffalo,NY,,,,,,,,
58604114,04/20/2007,0142P,NO PARKING,35,399,LITCHFIELD,399 LITCHFIELD,Buffalo,NY,,,,,,,,
38710033,02/20/2008,1048A,PARKED MORE THAN 72 HRS. SAME SPOT,35,,237LPSWAN,237LPSWAN,Buffalo,NY,,,,,,,,
38710270,02/27/2008,0150P,METHOD OF PARKING(ALL),35,6,8  SENECA,6 8  SENECA,Buffalo,NY,,,,,,,,
38717518,03/10/2008,0720A,PARKED LESS THAN 15 FT - FIRE HYDRANT,50,,246LPASHLAND,246LPASHLAND,Buffalo,NY,,,,,,,,
38717702,03/17/2008,0720A,PARKED LESS THAN 15 FT - FIRE HYDRANT,50,,188LPHIGHLAND,188LPHIGHLAND,Buffalo,NY,,,,,,,,
38717810,03/19/2008,0803A,ALTERNATE PARKING,30,12,ANTHONY TAURIEL,12 ANTHONY TAURIEL,Buffalo,NY,,,,,,,,
38717848,03/20/2008,0745A,LESS THAN 20 FT FROM CROSSWALK,30,,488LPVERMONT,488LPVERMONT,Buffalo,NY,,,,,,,,
38717901,03/24/2008,0819A,PARKED MORE THAN 72 HRS. SAME SPOT,35,,MARINE,MARINE,Buffalo,NY,,,,,,,,
38721674,04/01/2008,1052A,EXPIRED REGISTRATION STICKER,35,,188LPPEARL,188LPPEARL,Buffalo,NY,,,,,,,,
38627623,06/05/2007,0814A,NO STANDING,35,,864LPMICHIGAN,864LPMICHIGAN,Buffalo,NY,,,,,,,,
B8633524,06/21/2007,0711P,ALTERNATE PARKING,30,,843LPAUBURN,843LPAUBURN,Buffalo,NY,,,,,,,,
38744586,06/06/2008,0152P,METHOD OF PARKING(ALL),35,0,PEARL,PEARL,Buffalo,NY,,,,,,,,
38744761,06/16/2008,0737A,PARKED LESS THAN 15 FT - FIRE HYDRANT,50,94,RVING,94 RVING,Buffalo,NY,,,,,,,,
38755632,07/17/2008,0829A,PARKED IN HANDICAPPED AREA,100,0,MARINE,MARINE,Buffalo,NY,,,,,,,,
38761079,08/11/2008,0122P,PARKED IN HANDICAPPED AREA,100,0,MARINE,MARINE,Buffalo,NY,,,,,,,,
38761097,08/12/2008,0900A,PARKED IN HANDICAPPED AREA,100,0,MARINE,MARINE,Buffalo,NY,,,,,,,,
38761370,08/20/2008,0850A,PARKED IN HANDICAPPED AREA,100,0,MARINE,MARINE,Buffalo,NY,,,,,,,,
38761408,08/21/2008,0814A,PARKED IN HANDICAPPED AREA,100,0,MARINE,MARINE,Buffalo,NY,,,,,,,,
38768617,09/02/2008,0846A,PARKED IN HANDICAPPED AREA,100,0,MARINE,MARINE,Buffalo,NY,,,,,,,,
38774425,09/22/2008,0855A,METHOD OF PARKING(ALL),35,0,CHIPPEWA WEST,CHIPPEWA WEST,Buffalo,NY,,,,,,,,
38778717,09/30/2008,0922A,METHOD OF PARKING(ALL),35,70,72NIAGARA,70 72NIAGARA,Buffalo,NY,,,,,,,,
38778732,10/02/2008,0834A,PARKED IN HANDICAPPED AREA,100,0,MARINE,MARINE,Buffalo,NY,,,,,,,,
38778787,10/03/2008,0845A,PARKED ON SIDEWALK (ALL),35,0,MAIN,MAIN,Buffalo,NY,,,,,,,,
38778987,10/09/2008,0946A,METHOD OF PARKING(ALL),35,0,HURON WEST,HURON WEST,Buffalo,NY,,,,,,,,
38783065,10/16/2008,0840A,PARKED IN HANDICAPPED AREA,100,0,MARINE,MARINE,Buffalo,NY,,,,,,,,
38789166,11/21/2008,1000A,METER OVERTIME,30,0,PEARL,PEARL,Buffalo,NY,,,,,,,,
A5750043,10/21/2007,0114A,NO STANDING,35,,452,452,Buffalo,NY,,,,,,,,
B8673888,10/25/2007,0650P,ALTERNATE PARKING,30,,174LPLEXINGTON,174LPLEXINGTON,Buffalo,NY,,,,,,,,
38806287,12/29/2008,0739A,PARKED LESS THAN 15 FT - FIRE HYDRANT,50,94,RVING,94 RVING,Buffalo,NY,,,,,,,,
38815796,01/21/2009,0113P,PARKED IN HANDICAPPED AREA,100,0,MARINE,MARINE,Buffalo,NY,,,,,,,,
38663988,11/30/2007,1026A,METHOD OF PARKING(ALL),35,,PEARL,PEARL,Buffalo,NY,,,,,,,,
38839422,08/27/2009,0902A,LESS THAN 20 FT FROM CROSSWALK,30,96,SBIDWELL,96 SBIDWELL,Buffalo,NY,,,,,,,,
32374993,12/26/2019,1115A,ALTERNATE PARKING,40,191,NORMAL,191 NORMAL,Buffalo,NY,42.90555827687674,-78.88758133001706,"(42.90555827687674, -78.88758133001706)",NIAGARA,District B,69.02,1,1003
38842735,10/21/2009,0115P,METER OVERTIME,30,100,PDM29333 EX12 3,100 PDM29333 EX12 3,Buffalo,NY,,,,,,,,
A5783713,12/14/2007,0948P,EXPIRED INSPECTION STICKER (ALL),35,,ARDEN,ARDEN,Buffalo,NY,,,,,,,,
38847747,04/23/2009,0737A,NO STANDING,35,0,2000LMAIN,2000LMAIN,Buffalo,NY,,,,,,,,
38855252,05/14/2009,1110A,METHOD OF PARKING(ALL),35,89,97PEARL,89 97PEARL,Buffalo,NY,,,,,,,,
38860777,06/11/2009,0314P,PARKED IN HANDICAPPED AREA,100,0,MARINE,MARINE,Buffalo,NY,,,,,,,,
38864796,06/30/2009,1228P,PARKING WITHOUT CONSENT (ALL),50,150,BINGHAM,150 BINGHAM,Buffalo,NY,,,,,,,,
38871762,07/14/2009,0312P,METHOD OF PARKING(ALL),35,46,48PEARL,46 48PEARL,Buffalo,NY,,,,,,,,
38886587,08/10/2009,0302P,PARKED IN HANDICAPPED AREA,100,0,MARINE,MARINE,Buffalo,NY,,,,,,,,
38888963,09/10/2009,1204P,PARKED IN HANDICAPPED AREA,100,0,MARINE,MARINE,Buffalo,NY,,,,,,,,
38894089,08/20/2009,1231P,PARKED IN HANDICAPPED AREA,100,0,MARINE,MARINE,Buffalo,NY,,,,,,,,
U8691925,01/08/2008,1033A,EXPIRED REGISTRATION STICKER,35,,BRYANT ST LOT,BRYANT ST LOT,Buffalo,NY,,,,,,,,
38696337,01/09/2008,0809A,NO STANDING,35,,180LPHIGH,180LPHIGH,Buffalo,NY,,,,,,,,
39001087,12/21/2009,0309P,METER OVERTIME,30,0,GOODRICH,GOODRICH,Buffalo,NY,,,,,,,,
39001150,12/22/2009,0311P,METER OVERTIME,30,0,ELLICOTT,ELLICOTT,Buffalo,NY,,,,,,,,
39001193,12/28/2009,0827A,METER OVERTIME,30,0,ELMWOOD,ELMWOOD,Buffalo,NY,,,,,,,,
39007669,12/30/2009,0957A,ALTERNATE PARKING,30,470,NORWALK,470 NORWALK,Buffalo,NY,,,,,,,,
39011683,01/12/2010,1127A,METER OVERTIME,30,0,ELLICOTT,ELLICOTT,Buffalo,NY,,,,,,,,
39018291,01/25/2010,0238P,METHOD OF PARKING(ALL),35,0,CLINTON,CLINTON,Buffalo,NY,,,,,,,,
39018358,01/26/2010,0307P,PARKED IN HANDICAPPED AREA,100,0,DELAWARE,DELAWARE,Buffalo,NY,,,,,,,,
39042248,03/17/2010,1230P,PARKED IN HANDICAPPED AREA,100,0,MARINE,MARINE,Buffalo,NY,,,,,,,,
39042313,03/18/2010,1007A,ALTERNATE PARKING,30,452,BIDWELL,452 BIDWELL,Buffalo,NY,,,,,,,,
39046148,03/26/2010,1248P,PARKED IN HANDICAPPED AREA,100,0,MARINE,MARINE,Buffalo,NY,,,,,,,,
A5689294,01/23/2008,0635P,NO STANDING,35,109,SOUTH DIVI,109 SOUTH DIVI,Buffalo,NY,,,,,,,,
39050924,04/08/2010,0104P,METHOD OF PARKING(ALL),35,0,HURON EAST,HURON EAST,Buffalo,NY,,,,,,,,
39053211,04/14/2010,1006A,ALTERNATE PARKING,30,762,GARNER,762 GARNER,Buffalo,NY,,,,,,,,
39055859,04/21/2010,1215P,METHOD OF PARKING(ALL),35,0,OAK,OAK,Buffalo,NY,,,,,,,,
39059349,04/29/2010,1232P,PARKED IN HANDICAPPED AREA,100,0,MARINE,MARINE,Buffalo,NY,,,,,,,,
38704464,01/29/2008,0720A,NO STANDING,35,,125LPHODGE,125LPHODGE,Buffalo,NY,,,,,,,,
39071173,05/26/2010,1231P,PARKED IN HANDICAPPED AREA,100,0,MARINE,MARINE,Buffalo,NY,,,,,,,,
39071189,06/01/2010,0820A,METHOD OF PARKING(ALL),35,0,ELMWOOD,ELMWOOD,Buffalo,NY,,,,,,,,
39071757,06/01/2010,1245P,PARKED IN HANDICAPPED AREA,100,0,MARINE,MARINE,Buffalo,NY,,,,,,,,
39076400,07/01/2010,0255P,LESS THAN 20 FT FROM CROSSWALK,30,0,MARINE,MARINE,Buffalo,NY,,,,,,,,
I8694279,02/01/2008,0922A,ALTERNATE PARKING,30,,IS159BIDWELL,IS159BIDWELL,Buffalo,NY,,,,,,,,
39084216,06/28/2010,1231P,METHOD OF PARKING(ALL),35,0,HIGH,HIGH,Buffalo,NY,,,,,,,,
39089744,07/13/2010,0257P,EXPIRED INSPECTION STICKER (ALL),35,296,UTICA STREET LO,296 UTICA STREET LO,Buffalo,NY,,,,,,,,
39091398,07/19/2010,1232P,EXPIRED INSPECTION STICKER (ALL),35,0,MARINE,MARINE,Buffalo,NY,,,,,,,,
48708519,02/05/2008,0129P,METHOD OF PARKING(ALL),35,,GRANT,GRANT,Buffalo,NY,,,,,,,,
39100995,08/13/2010,0839A,METHOD OF PARKING(ALL),35,0,ELMWOOD,ELMWOOD,Buffalo,NY,,,,,,,,
39103686,08/20/2010,0823A,METER OVERTIME,30,1004,BIRD,1004 BIRD,Buffalo,NY,,,,,,,,
39104822,08/23/2010,1246P,PARKED IN HANDICAPPED AREA,100,0,MARINE,MARINE,Buffalo,NY,,,,,,,,
39107988,08/31/2010,0310P,PARKED IN HANDICAPPED AREA,100,0,MARINE,MARINE,Buffalo,NY,,,,,,,,
I8694434,02/07/2008,0845A,NO STANDING,35,,LP203HUMBOLDT,LP203HUMBOLDT,Buffalo,NY,,,,,,,,
39109329,09/02/2010,1240P,PARKED IN HANDICAPPED AREA,100,0,MARINE,MARINE,Buffalo,NY,,,,,,,,
38707815,02/08/2008,0740A,NO STANDING,35,,180LPHIGH,180LPHIGH,Buffalo,NY,,,,,,,,
39114237,09/13/2010,0234P,PARKED IN HANDICAPPED AREA,100,0,MARINE,MARINE,Buffalo,NY,,,,,,,,
39117621,09/21/2010,1242P,METHOD OF PARKING(ALL),35,0,ELMWOOD,ELMWOOD,Buffalo,NY,,,,,,,,
39119091,09/23/2010,1157A,NO STANDING,35,0,COBB ALLEY,COBB ALLEY,Buffalo,NY,,,,,,,,
39123486,10/04/2010,0836A,METHOD OF PARKING(ALL),35,0,ELMWOOD,ELMWOOD,Buffalo,NY,,,,,,,,
39126325,10/07/2010,0943A,ALTERNATE PARKING,30,751,CLAREMONT,751 CLAREMONT,Buffalo,NY,,,,,,,,
39129987,10/15/2010,1011A,ALTERNATE PARKING,30,936,POTOMAC,936 POTOMAC,Buffalo,NY,,,,,,,,
39130577,10/18/2010,0206P,METHOD OF PARKING(ALL),35,0,CLINTON,CLINTON,Buffalo,NY,,,,,,,,
B8711049,02/14/2008,0649P,ALTERNATE PARKING,30,905,BRYANT,905 BRYANT,Buffalo,NY,,,,,,,,
39138364,11/03/2010,0829A,METHOD OF PARKING(ALL),35,0,ELMWOOD,ELMWOOD,Buffalo,NY,,,,,,,,
39142221,11/09/2010,1239P,PARKED IN HANDICAPPED AREA,100,0,MARINE,MARINE,Buffalo,NY,,,,,,,,
39167531,01/06/2011,1232P,NO STANDING,35,901,LINWOOD AVE,901 LINWOOD AVE,Buffalo,NY,,,,,,,,
39177106,01/27/2011,0218P,METHOD OF PARKING(ALL),35,0,WASHINGTON,WASHINGTON,Buffalo,NY,,,,,,,,
39178538,01/31/2011,0249P,NO STANDING,35,0,MARINE,MARINE,Buffalo,NY,,,,,,,,
39189725,02/22/2011,1245P,PARKED IN HANDICAPPED AREA,100,0,MARINE,MARINE,Buffalo,NY,,,,,,,,
39207382,03/25/2011,0259P,METHOD OF PARKING(ALL),35,0,MOHAWK EAST,MOHAWK EAST,Buffalo,NY,,,,,,,,
39207408,03/28/2011,1000A,ALTERNATE PARKING,30,608,NORWOOD,608 NORWOOD,Buffalo,NY,,,,,,,,
39221946,04/26/2011,1127A,METHOD OF PARKING(ALL),35,0,LAFAYETTE,LAFAYETTE,Buffalo,NY,,,,,,,,
39226638,05/09/2011,1245P,METHOD OF PARKING(ALL),35,0,EAGLE EAST,EAGLE EAST,Buffalo,NY,,,,,,,,
39231643,05/18/2011,1218P,METHOD OF PARKING(ALL),35,0,LAFAYETTE,LAFAYETTE,Buffalo,NY,,,,,,,,
39236616,05/31/2011,0308P,PARKED IN HANDICAPPED AREA,100,0,MARINE,MARINE,Buffalo,NY,,,,,,,,
38721528,03/27/2008,0748A,NO STANDING,35,,173LPCARLTON,173LPCARLTON,Buffalo,NY,,,,,,,,
39273905,08/29/2011,0820A,METHOD OF PARKING(ALL),35,0,ELMWOOD,ELMWOOD,Buffalo,NY,,,,,,,,
39276793,08/31/2011,1205P,METHOD OF PARKING(ALL),35,0,EAGLE,EAGLE,Buffalo,NY,,,,,,,,
39276798,08/31/2011,1257P,PARKED IN HANDICAPPED AREA,100,0,MARINE,MARINE,Buffalo,NY,,,,,,,,
38721673,04/01/2008,1052A,NO STANDING,35,,188LPPEARL,188LPPEARL,Buffalo,NY,,,,,,,,
39285417,09/22/2011,1140A,ALTERNATE PARKING,30,1965,WEST,1965 WEST,Buffalo,NY,,,,,,,,
39299250,10/24/2011,0818A,METHOD OF PARKING(ALL),35,0,ELMWOOD,ELMWOOD,Buffalo,NY,,,,,,,,
39303737,11/03/2011,0828A,METHOD OF PARKING(ALL),35,0,ELMWOOD,ELMWOOD,Buffalo,NY,,,,,,,,
39317404,11/30/2011,1140A,METHOD OF PARKING(ALL),35,0,FRANKLIN,FRANKLIN,Buffalo,NY,,,,,,,,
39317964,12/02/2011,1237P,METHOD OF PARKING(ALL),35,0,EAGLE,EAGLE,Buffalo,NY,,,,,,,,
39319664,12/05/2011,0305P,METHOD OF PARKING(ALL),35,0,WASHINGTON,WASHINGTON,Buffalo,NY,,,,,,,,
S2306339,07/30/2019,0920A,ALTERNATE PARKING,40,125,POMONA,125 POMONA,Buffalo,NY,42.86263630290768,-78.81269948829505,"(42.86263630290768, -78.81269948829505)",SOUTH,District A,11,1,1010
39325447,12/14/2011,0227P,METHOD OF PARKING(ALL),35,0,EAGLE WEST,EAGLE WEST,Buffalo,NY,,,,,,,,
38728363,04/18/2008,0158P,PARKED IN HANDICAPPED AREA,100,0,MARINE,MARINE,Buffalo,NY,,,,,,,,
39345273,02/01/2012,0148P,METHOD OF PARKING(ALL),35,0,GENESEE,GENESEE,Buffalo,NY,,,,,,,,
39362192,03/12/2012,0120P,METHOD OF PARKING(ALL),35,0,WILLIAM,WILLIAM,Buffalo,NY,,,,,,,,
39377288,04/17/2012,1141A,NO STANDING,35,0,MARINE,MARINE,Buffalo,NY,,,,,,,,
39397749,06/04/2012,1203P,METHOD OF PARKING(ALL),35,0,WILLIAM,WILLIAM,Buffalo,NY,,,,,,,,
39404036,06/21/2012,0205P,PARKED IN HANDICAPPED AREA,100,0,MARINE,MARINE,Buffalo,NY,,,,,,,,
39405969,06/26/2012,0109P,PARKING WITHOUT CONSENT (ALL),50,296,UTICA STREET LO,296 UTICA STREET LO,Buffalo,NY,,,,,,,,
39412471,07/12/2012,0209P,METHOD OF PARKING(ALL),35,0,PEARL,PEARL,Buffalo,NY,,,,,,,,
39424428,08/13/2012,0214P,NO STANDING,35,0,MARINE,MARINE,Buffalo,NY,,,,,,,,
A5908044,05/15/2008,0120P,NO STANDING,35,178,VAN RENSSE,178 VAN RENSSE,Buffalo,NY,,,,,,,,
39435114,09/11/2012,1141A,METHOD OF PARKING(ALL),35,0,CLINTON,CLINTON,Buffalo,NY,,,,,,,,
39446164,10/09/2012,0112P,METHOD OF PARKING(ALL),35,0,WILLIAM,WILLIAM,Buffalo,NY,,,,,,,,
39459343,11/08/2012,0121P,METHOD OF PARKING(ALL),35,0,EAGLE,EAGLE,Buffalo,NY,,,,,,,,
39511561,03/11/2013,0154P,METHOD OF PARKING(ALL),35,0,WASHINGTON,WASHINGTON,Buffalo,NY,,,,,,,,
39513921,03/15/2013,0207P,METHOD OF PARKING(ALL),35,0,TRACY,TRACY,Buffalo,NY,,,,,,,,
39525416,04/15/2013,0112P,METHOD OF PARKING(ALL),35,0,OAK,OAK,Buffalo,NY,,,,,,,,
39552809,06/19/2013,1119A,PARKED IN HANDICAPPED AREA,100,0,MARINE,MARINE,Buffalo,NY,,,,,,,,
39555238,06/24/2013,0201P,METHOD OF PARKING(ALL),35,0,FRANKLIN,FRANKLIN,Buffalo,NY,,,,,,,,
39560654,07/05/2013,0107P,METHOD OF PARKING(ALL),35,0,WILLIAM,WILLIAM,Buffalo,NY,,,,,,,,
39561644,07/10/2013,0148P,METHOD OF PARKING(ALL),35,0,EAGLE,EAGLE,Buffalo,NY,,,,,,,,
39562262,07/11/2013,0202P,METHOD OF PARKING(ALL),35,0,EXCHANGE,EXCHANGE,Buffalo,NY,,,,,,,,
38735450,06/23/2008,0215P,PARKED IN HANDICAPPED AREA,100,0,MARINE,MARINE,Buffalo,NY,,,,,,,,
39585101,09/04/2013,0154P,METHOD OF PARKING(ALL),35,0,FOURTH,FOURTH,Buffalo,NY,,,,,,,,
39603242,10/21/2013,0943A,ALTERNATE PARKING,30,842,RICH,842 RICH,Buffalo,NY,,,,,,,,
48557322,01/05/2007,0832A,METHOD OF PARKING(ALL),35,,ALLEN,ALLEN,Buffalo,NY,,,,,,,,
48560716,03/24/2009,0845A,METER OVERTIME,30,296,UTICA STREET LO,296 UTICA STREET LO,Buffalo,NY,,,,,,,,
48583261,02/23/2007,1015A,ALTERNATE PARKING,30,821,CLAREMONT,821 CLAREMONT,Buffalo,NY,,,,,,,,
48699058,03/12/2009,0258P,METER OVERTIME,30,296,UTICA STREET LO,296 UTICA STREET LO,Buffalo,NY,,,,,,,,
48699467,04/23/2009,0845A,METER OVERTIME,30,296,UTICA STREET LO,296 UTICA STREET LO,Buffalo,NY,,,,,,,,
L8754213,07/17/2008,0806P,NO PARKING,35,0,HERTEL ALLEY,HERTEL ALLEY,Buffalo,NY,,,,,,,,
A5969224,08/02/2008,1123A,NO STANDING,35,111,SOUTH DIVI,111 SOUTH DIVI,Buffalo,NY,,,,,,,,
48751914,07/02/2008,0117P,METHOD OF PARKING(ALL),35,0,FERRY WEST,FERRY WEST,Buffalo,NY,,,,,,,,
48758888,07/25/2008,0953A,NO STANDING,35,0,GILL,GILL,Buffalo,NY,,,,,,,,
48770405,09/17/2008,0840A,METHOD OF PARKING(ALL),35,0,ELMWOOD,ELMWOOD,Buffalo,NY,,,,,,,,
48773822,08/21/2009,0842A,METER OVERTIME,30,296,UTICA STREET LO,296 UTICA STREET LO,Buffalo,NY,,,,,,,,
48780310,10/22/2008,1048A,METHOD OF PARKING(ALL),35,0,FERRY WEST,FERRY WEST,Buffalo,NY,,,,,,,,
48789655,10/29/2008,0841A,METER OVERTIME,30,296,UTICA STREET LO,296 UTICA STREET LO,Buffalo,NY,,,,,,,,
48789711,10/29/2008,0115P,METHOD OF PARKING(ALL),35,0,ELMWOOD,ELMWOOD,Buffalo,NY,,,,,,,,
48789811,10/30/2008,0115P,METHOD OF PARKING(ALL),35,0,UTICA WEST,UTICA WEST,Buffalo,NY,,,,,,,,
48792041,03/26/2009,0836A,METER OVERTIME,30,296,UTICA STREET LO,296 UTICA STREET LO,Buffalo,NY,,,,,,,,
48792100,03/26/2009,0127P,METER OVERTIME,30,296,UTICA STREET LO,296 UTICA STREET LO,Buffalo,NY,,,,,,,,
48792315,04/01/2009,0857A,METER OVERTIME,30,296,UTICA STREET LO,296 UTICA STREET LO,Buffalo,NY,,,,,,,,
48792437,04/03/2009,0146P,METER OVERTIME,30,296,UTICA STREET LO,296 UTICA STREET LO,Buffalo,NY,,,,,,,,
48792498,04/06/2009,0311P,METHOD OF PARKING(ALL),35,0,ELMWOOD,ELMWOOD,Buffalo,NY,,,,,,,,
48794307,11/10/2008,0249P,NO STANDING,35,0,LINCOLN PKWY,LINCOLN PKWY,Buffalo,NY,,,,,,,,
48796445,12/01/2008,0110P,METHOD OF PARKING(ALL),35,0,BRYANT,BRYANT,Buffalo,NY,,,,,,,,
48798621,12/04/2008,1010A,ALTERNATE PARKING,30,295,HUMASON,295 HUMASON,Buffalo,NY,,,,,,,,
48798650,12/04/2008,0131P,PARKED IN HANDICAPPED AREA,100,0,ALLEN ST LOT,ALLEN ST,Buffalo,NY,,,,,,,,
48798928,12/12/2008,0905A,NO STANDING,35,0,ALLEN ST LOT,ALLEN ST,Buffalo,NY,,,,,,,,
48798976,12/16/2008,0845A,PARKED IN HANDICAPPED AREA,100,0,ALLEN ST LOT,ALLEN ST,Buffalo,NY,,,,,,,,
48807650,01/05/2009,0902A,PARKED IN HANDICAPPED AREA,100,0,ALLEN ST LOT,ALLEN ST,Buffalo,NY,,,,,,,,
48817046,02/02/2009,0837A,EXPIRED REGISTRATION STICKER,35,296,UTICA STREET LO,296 UTICA STREET LO,Buffalo,NY,,,,,,,,
48817189,02/04/2009,0938A,ALTERNATE PARKING,30,782,VERMONT,782 VERMONT,Buffalo,NY,,,,,,,,
48817271,02/05/2009,1059A,METER OVERTIME,30,296,UTICA STREET LO,296 UTICA STREET LO,Buffalo,NY,,,,,,,,
48817358,02/09/2009,0843A,METER OVERTIME,30,296,UTICA STREET LO,296 UTICA STREET LO,Buffalo,NY,,,,,,,,
48817432,02/10/2009,0855A,METER OVERTIME,30,296,UTICA STREET LO,296 UTICA STREET LO,Buffalo,NY,,,,,,,,
48822326,02/23/2009,0846A,METER OVERTIME,30,296,UTICA STREET LO,296 UTICA STREET LO,Buffalo,NY,,,,,,,,
48827053,02/26/2009,0847A,METER OVERTIME,30,296,UTICA STREET LO,296 UTICA STREET LO,Buffalo,NY,,,,,,,,
48827444,03/05/2009,0149P,EXPIRED INSPECTION STICKER (ALL),35,296,UTICA STREET LO,296 UTICA STREET LO,Buffalo,NY,,,,,,,,
48831186,03/10/2009,0149P,METER OVERTIME,30,296,UTICA STREET LO,296 UTICA STREET LO,Buffalo,NY,,,,,,,,
48836607,04/27/2009,0858A,METER OVERTIME,30,296,UTICA STREET LO,296 UTICA STREET LO,Buffalo,NY,,,,,,,,
48836708,04/28/2009,0149P,METER OVERTIME,30,296,UTICA STREET LO,296 UTICA STREET LO,Buffalo,NY,,,,,,,,
48836766,04/30/2009,0844A,METER OVERTIME,30,296,UTICA STREET LO,296 UTICA STREET LO,Buffalo,NY,,,,,,,,
48836914,05/01/2009,0248P,METER OVERTIME,30,296,UTICA STREET LO,296 UTICA STREET LO,Buffalo,NY,,,,,,,,
48837340,06/02/2009,0250P,METHOD OF PARKING(ALL),35,0,GOODRICH,GOODRICH,Buffalo,NY,,,,,,,,
48837479,06/08/2009,0840A,METER OVERTIME,30,296,UTICA STREET LO,296 UTICA STREET LO,Buffalo,NY,,,,,,,,
48841826,04/15/2009,0122P,METHOD OF PARKING(ALL),35,0,GOODRICH,GOODRICH,Buffalo,NY,,,,,,,,
48851136,05/08/2009,0827A,METER OVERTIME,30,296,UTICA STREET LO,296 UTICA STREET LO,Buffalo,NY,,,,,,,,
48851863,08/12/2009,0835A,METER OVERTIME,30,296,UTICA STREET LO,296 UTICA STREET LO,Buffalo,NY,,,,,,,,
