BusinessName,Address,Suite,City,State,Zip,PermitType,OwnerName,Location
POOR BOYS,1328 SAINT BERNARD AVE,,NEW ORLEANS,LA,70116,"8440 - Music for Entertainment,Dancing/Admission Charged","POOR BOYS ST BERNARD,LLC","(29.9697997604862, -90.0640591855899)"
BROUSSARD'S RESTAURANT,819 CONTI ST,,NEW ORLEANS,LA,70112,8405 - Orchestras in Businesses/No Admission Charged,BROUSSARD'S RESTAURANT LLC,"(29.9567646392493, -90.0680040706567)"
THE RUSTY NAIL,1102 CONSTANCE ST,,NEW ORLEANS,LA,70130,"8440 - Music for Entertainment,Dancing/Admission Charged","SAKE, LLC","(29.9407828503641, -90.069170475168)"
30 90,520 FRENCHMEN ST,,NEW ORLEANS,LA,70116,"8440 - Music for Entertainment,Dancing/Admission Charged",FRENCHMEN STREET ENTERTAINMENT LLC,"(29.963026530677, -90.0578251792975)"
THE WELL,1600 BASIN ST,,NEW ORLEANS,LA,70116,"8255 - Music for Entertainment,Dancing/No Admission Charged","JUS US ENTERTAINMENT,LLC","(29.9635952470061, -90.0724424266745)"
BOOT SCOOTIN RODEO,522 BOURBON ST,,NEW ORLEANS,LA,70130,8593 - Adult Entertainment/No Admission Charged,RS 522 ENTERTAINMENT LLC,"(29.9573914807076, -90.0666233064585)"
RAZZOO,511 BOURBON ST,,NEW ORLEANS,LA,70130,"8255 - Music for Entertainment,Dancing/No Admission Charged",BOURBON NITE-LIFE LLC,"(29.957344822708, -90.0669082502264)"
CAMBRIA NEW ORLEANS DOWNTOWN,632 TCHOUPITOULAS ST,,NEW ORLEANS,LA,70130,"8255 - Music for Entertainment,Dancing/No Admission Charged",FH TCH LLC,"(29.9468191087104, -90.0671848212897)"
SANTOS,1135 DECATUR ST,,NEW ORLEANS,LA,70116,"8440 - Music for Entertainment,Dancing/Admission Charged",1135 SAINT FQ,"(29.9605929861294, -90.0594664604673)"
FAVELA CHIC,525 FRENCHMEN ST,,NEW ORLEANS,LA,70116,"8255 - Music for Entertainment,Dancing/No Admission Charged",FAVELA CHIC LLC,"(29.9632491816783, -90.0576226484738)"
BLUE NILE,532 FRENCHMEN ST,,NEW ORLEANS,LA,70116,"8440 - Music for Entertainment,Dancing/Admission Charged","MILA, LLC","(29.9631835257189, -90.057828458317)"
IGOR'S CHECK POINT CHARLIE,501 ESPLANADE AVE,,NEW ORLEANS,LA,70116,"8255 - Music for Entertainment,Dancing/No Admission Charged","CHECK POINT CHARLIE, LLC","(29.9622761859515, -90.0580249820125)"
MID CITY RESTAURANT & LANES,8126 EARHART BLVD,,NEW ORLEANS,LA,70118,"8440 - Music for Entertainment,Dancing/Admission Charged","YE OLDE MEMORIES , LLC","(29.96136452369, -90.1157920977638)"
BIG DADDY'S,508 BOURBON ST,,NEW ORLEANS,LA,70130,8593 - Adult Entertainment/No Admission Charged,508 BOURBON LLC,"(29.9571929568538, -90.0668079583813)"
MAISON BOURBON JAZZ CLUB,641 BOURBON ST,,NEW ORLEANS,LA,70130,"8255 - Music for Entertainment,Dancing/No Admission Charged",MAISON BOURBON JAZZ CLUBLLC,"(29.958564460036, -90.0658036896219)"
KAMA SUTRA CABARET,433 BOURBON ST,,NEW ORLEANS,LA,70130,8594 - Adult Entertainment/Admission Charged,429 BOURBON HOSPITALITY LLC,"(29.9568714729868, -90.0673197029905)"
NEW ORLEANS YACHT CLUB,403 N ROADWAY ST,,NEW ORLEANS,LA,70124,8405 - Orchestras in Businesses/No Admission Charged,NEW ORLEANS YACHT CLUB,"(30.0253062545343, -90.1190962542857)"
HUGE ASS BEER BAR & GRILL,333 BOURBON ST,,NEW ORLEANS,LA,70116,"8440 - Music for Entertainment,Dancing/Admission Charged","BVK ENTERPRISES, LLC","(29.9561208337169, -90.0680135056824)"
DRAGON'S DEN,435 ESPLANADE AVE,,NEW ORLEANS,LA,70116,"8440 - Music for Entertainment,Dancing/Admission Charged","435 ESPLANADE, LLC","(29.9618833375813, -90.0574078866845)"
HOUSTON'S RESTAURANT,1755 ST CHARLES AVE,,NEW ORLEANS,LA,70130,"8255 - Music for Entertainment,Dancing/No Admission Charged","HILLSTONE RESTAUTRANT GROUP, INC.","(29.9365419876895, -90.0776648990673)"
CAFE BEIGNET IV,311 BOURBON ST,,NEW ORLEANS,LA,70130,"8255 - Music for Entertainment,Dancing/No Admission Charged","CAFE BEIGNET, LLC","(29.955753238328, -90.068319692168)"
ROYAL SONESTA HOTEL,300 BOURBON ST,,NEW ORLEANS,LA,70130,"8440 - Music for Entertainment,Dancing/Admission Charged",SONESTA INTERNATIONAL HOTELS CORPORATION,"(29.9556490451257, -90.0679949678944)"
RB CABARET,327 BOURBON ST,,NEW ORLEANS,LA,70130,8594 - Adult Entertainment/Admission Charged,"RB BOURBON,LLC","(29.9560578963461, -90.0680846655496)"
PAT O BRIENS BAR,718 ST PETER ST,,NEW ORLEANS,LA,70116,"8255 - Music for Entertainment,Dancing/No Admission Charged",PAT OBRIEN'S BAR        INC.,"(29.9582171980124, -90.0653058032232)"
FAT CATZ MUSIC CLUB,440 BOURBON ST,,NEW ORLEANS,LA,70130,"8255 - Music for Entertainment,Dancing/No Admission Charged",FAT CATZ MUSIC CLUB INC,"(29.9569233361028, -90.0670572104822)"
THE SPOTTED CAT MUSIC CLUB,623 FRENCHMEN ST,,NEW ORLEANS,LA,70116,"8440 - Music for Entertainment,Dancing/Admission Charged",621-623 PROPERTIES LLC,"(29.9640847457476, -90.0577042828926)"
PAT O'S,624 BOURBON ST,,NEW ORLEANS,LA,70130-2108,"8255 - Music for Entertainment,Dancing/No Admission Charged",PAT O'S INC,"(29.9581965742151, -90.0659100224899)"
BANKS ST. BAR,4401 BANKS ST,,NEW ORLEANS,LA,70119,"8255 - Music for Entertainment,Dancing/No Admission Charged",GROBAR LLC,"(29.9744821083513, -90.1064477844212)"
SNUG HARBOR JAZZ BISTRO OF LA,626 FRENCHMEN ST,,NEW ORLEANS,LA,70116,"8440 - Music for Entertainment,Dancing/Admission Charged",SNUG HARBOR JAZZ BISTRO OF LA LLC,"(29.9641188617836, -90.057885977546)"
MAPLE LEAF BAR,8316 OAK ST,,NEW ORLEANS,LA,70118,"8440 - Music for Entertainment,Dancing/Admission Charged",ROSAX CORP,"(29.9489911971201, -90.1319899749642)"
VASO,1407 DECATUR ST,,NEW ORLEANS,LA,70116,"8440 - Music for Entertainment,Dancing/Admission Charged",VASO LLC,"(29.9623999494402, -90.0578297251633)"
CLUB CARIBBEAN,2441 BAYOU RD,,NEW ORLEANS,LA,70119,"8440 - Music for Entertainment,Dancing/Admission Charged","CLUB CARIBBEAN, LLC","(29.9755452874784, -90.0757225262631)"
TREME MARKET BRANCH,800 N CLAIBORNE AVE,,NEW ORLEANS,LA,70116,"8440 - Music for Entertainment,Dancing/Admission Charged",TREME MARKET BRANCH,"(29.964687736085, -90.072399462676)"
MAHOGANY JAZZ HALL,125 CHARTRES ST,,NEW ORLEANS,LA,70130,8593 - Adult Entertainment/No Admission Charged,THE HAREM INC,"(29.9532396406824, -90.0676925632817)"
SEVEN,7140 DOWNMAN RD,,NEW ORLEANS,LA,70126,"8255 - Music for Entertainment,Dancing/No Admission Charged",BUNDEE'S INC,"(30.0245486789724, -90.0244635324979)"
KRAZY KORNER,640 BOURBON ST,,NEW ORLEANS,LA,70130,"8255 - Music for Entertainment,Dancing/No Admission Charged",NICHOLAS S KARNO INC,"(29.958456535304, -90.0656654609615)"
LITTLE TROPICAL ISLE,435 BOURBON ST,,NEW ORLEANS,LA,70130,8405 - Orchestras in Businesses/No Admission Charged,P & E LLC,"(29.9569259685536, -90.0672685998907)"
D.B.A. N O LA,618 FRENCHMEN ST,,NEW ORLEANS,LA,70116,"8440 - Music for Entertainment,Dancing/Admission Charged",FRENCHMEN STREET BAR LLC,"(29.9639747623203, -90.057891311682)"
CHICKIE WAHWAH,2828 CANAL ST,,NEW ORLEANS,LA,70119,"8440 - Music for Entertainment,Dancing/Admission Charged",2828 CANAL LLC,"(29.9667354141889, -90.0896011607729)"
TWINS STOP,8600 CHEF MENTEUR HWY,,NEW ORLEANS,LA,70127,"8255 - Music for Entertainment,Dancing/No Admission Charged","JACKSON, LILLIE T","(30.0142583050226, -89.9860725646813)"
BACCHANAL,600  POLAND AVE,,NEW ORLEANS,LA,70117,"8255 - Music for Entertainment,Dancing/No Admission Charged","BACCHANAL,LLC","(29.9597787897614, -90.0331770045714)"
TROP ISLE'S ORIG PAPA JOE'S   LOUNGE,610 BOURBON ST,,NEW ORLEANS,LA,70112,8405 - Orchestras in Businesses/No Admission Charged,TROP ISLE'S ORIG PAPA JO INC,"(29.9579716888964, -90.0661020044343)"
TICKLER'S AT MY BAR 635 BOURBON,635 BOURBON ST,,NEW ORLEANS,LA,70116,"8255 - Music for Entertainment,Dancing/No Admission Charged",635 BOURBON ST LLC,"(29.9584960128283, -90.0658575330854)"
LIVE OAK CAFE,8140 OAK ST,,NEW ORLEANS,LA,70118,"8255 - Music for Entertainment,Dancing/No Admission Charged","GOOD FOOD,GOOD TIMES,LLC","(29.9479440289265, -90.1306754206329)"
SAINTS AND SINNERS,627 BOURBON ST,,NEW ORLEANS,LA,70116,"8440 - Music for Entertainment,Dancing/Admission Charged",SAINTS AND SINNERS LLC,"(29.9583593465218, -90.0660076607129)"
BOURBON PUB & PARADE DISCO,801 BOURBON ST,,NEW ORLEANS,LA,70116,"8440 - Music for Entertainment,Dancing/Admission Charged",SCORPIO RISING INC,"(29.9595863963744, -90.0648887563724)"
LE BON TEMP ROULE,4801 MAGAZINE ST,,NEW ORLEANS,LA,70115,"8255 - Music for Entertainment,Dancing/No Admission Charged","LBTR, LLC","(29.9205791672037, -90.1062586281238)"
THE FRENCHMEN HOTEL,417 FRENCHMEN ST,,NEW ORLEANS,LA,70116,"8255 - Music for Entertainment,Dancing/No Admission Charged","FRENCHMEN OWNER, LLC","(29.9623187526419, -90.0575498676484)"
CIVIC THEATRE,533 BARONNE ST,,NEW ORLEANS,LA,70113,"8440 - Music for Entertainment,Dancing/Admission Charged",CIVIC THEATRE OPERATING COMPANY LLC,"(29.9493739076179, -90.0734453911759)"
KAJUN VIEUX CARRE PUB,2256 ST CLAUDE AVE,,NEW ORLEANS,LA,70117,"8255 - Music for Entertainment,Dancing/No Admission Charged",KAJUN VIEUX CARRE PUB   LLC,"(29.9685616301183, -90.0550742235459)"
MAG'S 940,940 ELYSIAN FIELDS AVE,,NEW ORLEANS,LA,70117,"8255 - Music for Entertainment,Dancing/No Admission Charged","MAGGIE'S 940, LLC","(29.9673460577536, -90.0569972670647)"
PALM COURT JAZZ CAFE,1204 DECATUR ST,,NEW ORLEANS,LA,70116,"8255 - Music for Entertainment,Dancing/No Admission Charged","PALM COURT JAZZ CAFE, INC","(29.9607628977302, -90.0590382250079)"
VAUGHANS LOUNGE,800 LESSEPS ST,,NEW ORLEANS,LA,70117,"8440 - Music for Entertainment,Dancing/Admission Charged","WOOD, LAURA B","(29.9619038702819, -90.0336015486562)"
CAT'S MEOW,701 BOURBON ST,,NEW ORLEANS,LA,70116,"8255 - Music for Entertainment,Dancing/No Admission Charged","CAT'S 701 BOURBON, LLC","(29.9587933970934, -90.065688014562)"
LAFITTE'S BLACKSMITH SHOP,941 BOURBON ST,,NEW ORLEANS,LA,70116,"8255 - Music for Entertainment,Dancing/No Admission Charged","BLACKSMITH MANAGEMENT, INC.","(29.9610507746953, -90.0635753862773)"
CHRIS OWENS,500 BOURBON ST,,NEW ORLEANS,LA,70130,8594 - Adult Entertainment/Admission Charged,"CHRIS OWENS INC; OWENS, SAL","(29.9570707588149, -90.0669317757122)"
