PermitNum,PermitClass,PermitClassMapped,PermitType,PermitTypeMapped,Description,EstProjectCost,AppliedDate,IssuedDate,ExpiresDate,CompletedDate,StatusCurrent,OriginalAddress1,OriginalCity,OriginalState,OriginalZip,ContractorCompanyName,Link,Latitude,Longitude,Location1
6649547-BP,N/A,N/A,Boiler-Pressure Vessel,Trade,,,,,,,Initiated,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6649547-BP,,,
6633030-RF,N/A,N/A,Refrigeration,Trade,,,,,,,Initiated,1725 M L KING JR WAY,SEATTLE,WA,98122,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6633030-RF,47.61731959,-122.29648629,"1725 M L KING JR WAY
SEATTLE, WA 98122
(47.61731959, -122.29648629)"
6429861-RF,N/A,N/A,Refrigeration,Trade,,,,,,,Closed,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6429861-RF,,,
6678709-ME,N/A,N/A,Mechanical,Trade,,,,,,,Additional Info Requested,2004 E Galer ST,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6678709-ME,47.63253155,-122.30570246,"2004 E Galer ST
(47.63253155, -122.30570246)"
6670422-ME,N/A,N/A,Mechanical,Trade,,,,,,,Initiated,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6670422-ME,,,
6676157-ME,N/A,N/A,Mechanical,Trade,,,,,,,Initiated,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6676157-ME,,,
6455396-SS,N/A,N/A,Side Sewer,Trade,,,,,,,Closed,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6455396-SS,,,
6067784-ME,N/A,N/A,Mechanical,Trade,,,,,,,Closed,801 DEXTER AVE N,SEATTLE,WA,98109,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6067784-ME,47.62666404,-122.34266568,"801 DEXTER AVE N
SEATTLE, WA 98109
(47.62666404, -122.34266568)"
6519365-RF,N/A,N/A,Refrigeration,Trade,,,,,,,Closed,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6519365-RF,,,
6670425-ME,N/A,N/A,Mechanical,Trade,,,,,,,Initiated,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6670425-ME,,,
6221277-SS,N/A,N/A,Side Sewer,Trade,,,,,,,Closed,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6221277-SS,,,
6671617-ME,N/A,N/A,Mechanical,Trade,,,,,,,Initiated,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6671617-ME,,,
6615919-RF,N/A,N/A,Refrigeration,Trade,,,,,,,Initiated,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6615919-RF,,,
6248131-ME,N/A,N/A,Mechanical,Trade,,,,,,,Closed,3545 SW MONROE ST,SEATTLE,WA,98126,WASHINGTON ENERGY SERVICES CO,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6248131-ME,47.53103232,-122.37876867,"3545 SW MONROE ST
SEATTLE, WA 98126
(47.53103232, -122.37876867)"
6645586-RF,N/A,N/A,Refrigeration,Trade,,,,,,,Initiated,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6645586-RF,,,
6617634-RF,N/A,N/A,Refrigeration,Trade,,,,,,,Initiated,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6617634-RF,,,
6490007-RF,N/A,N/A,Refrigeration,Trade,,,,,,,Closed,11722 40TH AVE NE,SEATTLE,WA,98125,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6490007-RF,47.71445605,-122.2849537,"11722 40TH AVE NE
SEATTLE, WA 98125
(47.71445605, -122.2849537)"
6670421-ME,N/A,N/A,Mechanical,Trade,,,,,,,Initiated,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6670421-ME,,,
6324383-CY,N/A,N/A,Conveyance,Trade,,,,,,,Completed,2004 DEXTER AVE N,SEATTLE,WA,98109,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6324383-CY,47.63701524,-122.34219377,"2004 DEXTER AVE N
SEATTLE, WA 98109
(47.63701524, -122.34219377)"
6642874-BP,N/A,N/A,Boiler-Pressure Vessel,Trade,,,,,,,Initiated,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6642874-BP,,,
6161523-CY,N/A,N/A,Conveyance,Trade,,,,,,,Completed,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6161523-CY,,,
6245082-SS,N/A,N/A,Side Sewer,Trade,,,,,,,Closed,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6245082-SS,,,
6321033-BP,N/A,N/A,Boiler-Pressure Vessel,Trade,,,,,,,Closed,,,,,CARDINAL HEATING & A/C INC,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6321033-BP,,,
6135792-SS,N/A,N/A,Side Sewer,Trade,,,,,,,Closed,7319 EAST MARGINAL WAY S,SEATTLE,WA,98108,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6135792-SS,47.53660964,-122.31786167,"7319 EAST MARGINAL WAY S
SEATTLE, WA 98108
(47.53660964, -122.31786167)"
6693970-ME,N/A,N/A,Mechanical,Trade,,,,,,,Initiated,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6693970-ME,,,
6272230-CY,N/A,N/A,Conveyance,Trade,,,,,,,Completed,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6272230-CY,,,
6137520-BP,N/A,N/A,Boiler-Pressure Vessel,Trade,,,,,,,Closed,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6137520-BP,,,
6110079-CY,N/A,N/A,Conveyance,Trade,,,,,,,Completed,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6110079-CY,,,
6108763-SS,N/A,N/A,Side Sewer,Trade,,,,,,,Closed,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6108763-SS,,,
6205850-ME,N/A,N/A,Mechanical,Trade,,,,,,,Closed,7000 HIGHLAND PARK WAY SW,SEATTLE,WA,98106,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6205850-ME,47.53935745,-122.3440371,"7000 HIGHLAND PARK WAY SW
SEATTLE, WA 98106
(47.53935745, -122.3440371)"
6106549-ME,N/A,N/A,Mechanical,Trade,,,,,,,Closed,999 3RD AVE,SEATTLE,WA,98104,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6106549-ME,47.60505198,-122.33428775,"999 3RD AVE
SEATTLE, WA 98104
(47.60505198, -122.33428775)"
6693968-ME,N/A,N/A,Mechanical,Trade,,,,,,,Initiated,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6693968-ME,,,
6204014-CY,N/A,N/A,Conveyance,Trade,,,,,,,Completed,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6204014-CY,,,
6126165-CY,N/A,N/A,Conveyance,Trade,,,,,,,Completed,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6126165-CY,,,
6137522-BP,N/A,N/A,Boiler-Pressure Vessel,Trade,,,,,,,Closed,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6137522-BP,,,
6116958-SS,N/A,N/A,Side Sewer,Trade,,,,,,,Closed,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6116958-SS,,,
6490464-CY,N/A,N/A,Conveyance,Trade,,,,,,,Withdrawn,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6490464-CY,,,
6117638-CY,N/A,N/A,Conveyance,Trade,,,,,,,Completed,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6117638-CY,,,
6143632-ME,N/A,N/A,Mechanical,Trade,,,,,,,Closed,1825 QUEEN ANNE AVE N,SEATTLE,WA,98109,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6143632-ME,47.63556461,-122.35733085,"1825 QUEEN ANNE AVE N
SEATTLE, WA 98109
(47.63556461, -122.35733085)"
6106938-ME,N/A,N/A,Mechanical,Trade,,,,,,,Closed,4000 15TH AVE NE,SEATTLE,WA,98105,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6106938-ME,47.65644621,-122.31042426,"4000 15TH AVE NE
SEATTLE, WA 98105
(47.65644621, -122.31042426)"
6713975-ME,N/A,N/A,Mechanical,Trade,,,,,,,Closed,10306 14TH AVE NW,SEATTLE,WA,98177,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6713975-ME,47.70368847,-122.37380934,"10306 14TH AVE NW
SEATTLE, WA 98177
(47.70368847, -122.37380934)"
6148198-CY,N/A,N/A,Conveyance,Trade,,,,,,,Completed,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6148198-CY,,,
6121547-BP,N/A,N/A,Boiler-Pressure Vessel,Trade,,,,,,,Closed,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6121547-BP,,,
6194926-ME,N/A,N/A,Mechanical,Trade,,,,,,,Closed,2331 2ND AVE,SEATTLE,WA,98121,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6194926-ME,47.61453049,-122.3470492,"2331 2ND AVE
SEATTLE, WA 98121
(47.61453049, -122.3470492)"
6643910-CY,N/A,N/A,Conveyance,Trade,,,,,,,Completed,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6643910-CY,,,
6137519-BP,N/A,N/A,Boiler-Pressure Vessel,Trade,,,,,,,Closed,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6137519-BP,,,
6154595-ME,N/A,N/A,Mechanical,Trade,,,,,,,Closed,500 5TH AVE,SEATTLE,WA,98104,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6154595-ME,47.6037832,-122.32843656,"500 5TH AVE
SEATTLE, WA 98104
(47.6037832, -122.32843656)"
6414025-RF,N/A,N/A,Refrigeration,Trade,,,,,,,Closed,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6414025-RF,,,
6109907-CY,N/A,N/A,Conveyance,Trade,,,,,,,Completed,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6109907-CY,,,
6187044-RF,N/A,N/A,Refrigeration,Trade,,,,,,,Closed,,,,,WASHINGTON ENERGY SERVICES CO,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6187044-RF,,,
6222498-SS,N/A,N/A,Side Sewer,Trade,,,,,,,Closed,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6222498-SS,,,
6681374-ME,N/A,N/A,Mechanical,Trade,,,,,,,Additional Info Requested,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6681374-ME,,,
6429863-RF,N/A,N/A,Refrigeration,Trade,,,,,,,Closed,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6429863-RF,,,
6395014-CY,N/A,N/A,Conveyance,Trade,,,,,,,Completed,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6395014-CY,,,
6650530-RF,N/A,N/A,Refrigeration,Trade,,,,,,,Initiated,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6650530-RF,,,
6256644-RF,N/A,N/A,Refrigeration,Trade,,,,,,,Closed,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6256644-RF,,,
6070102-ME,N/A,N/A,Mechanical,Trade,,,,,,,Closed,7419 25TH AVE NE,SEATTLE,WA,98115,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6070102-ME,47.68224575,-122.30033079,"7419 25TH AVE NE
SEATTLE, WA 98115
(47.68224575, -122.30033079)"
6655994-RF,N/A,N/A,Refrigeration,Trade,,,,,,,Initiated,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6655994-RF,,,
6729619-SS,N/A,N/A,Side Sewer,Trade,,,,,,,Withdrawn,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6729619-SS,,,
6429864-RF,N/A,N/A,Refrigeration,Trade,,,,,,,Closed,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6429864-RF,,,
6137521-BP,N/A,N/A,Boiler-Pressure Vessel,Trade,,,,,,,Closed,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6137521-BP,,,
6127548-CY,N/A,N/A,Conveyance,Trade,,,,,,,Completed,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6127548-CY,,,
6076403-ME,N/A,N/A,Mechanical,Trade,,,,,,,Closed,4401 EAST MARGINAL WAY S,SEATTLE,WA,98134,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6076403-ME,47.56419557,-122.34263419,"4401 EAST MARGINAL WAY S
SEATTLE, WA 98134
(47.56419557, -122.34263419)"
6480116-CY,N/A,N/A,Conveyance,Trade,,,,,,,Completed,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6480116-CY,,,
6676158-ME,N/A,N/A,Mechanical,Trade,,,,,,,Initiated,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6676158-ME,,,
6454861-SS,N/A,N/A,Side Sewer,Trade,,,,,,,Closed,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6454861-SS,,,
6658956-RF,N/A,N/A,Refrigeration,Trade,,,,,,,Completed,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6658956-RF,,,
6086759-ME,N/A,N/A,Mechanical,Trade,,,,,,,Closed,1607 QUEEN ANNE AVE N,SEATTLE,WA,98109,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6086759-ME,47.63389569,-122.35735834,"1607 QUEEN ANNE AVE N
SEATTLE, WA 98109
(47.63389569, -122.35735834)"
6429862-RF,N/A,N/A,Refrigeration,Trade,,,,,,,Closed,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6429862-RF,,,
6670430-ME,N/A,N/A,Mechanical,Trade,,,,,,,Initiated,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6670430-ME,,,
6110875-BP,N/A,N/A,Boiler-Pressure Vessel,Trade,,,,,,,Closed,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6110875-BP,,,
6685848-FS,N/A,N/A,Fire Sprinkler,Trade,,,,,,,Additional Info Requested,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6685848-FS,,,
6687243-ME,N/A,N/A,Mechanical,Trade,,,,,,,Initiated,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6687243-ME,,,
6125785-SS,N/A,N/A,Side Sewer,Trade,,,,,,,Closed,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6125785-SS,,,
6419558-SS,N/A,N/A,Side Sewer,Trade,,,,,,,Closed,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6419558-SS,,,
6510932-RF,N/A,N/A,Refrigeration,Trade,,,,,,,Closed,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6510932-RF,,,
6644019-BP,N/A,N/A,Boiler-Pressure Vessel,Trade,,,,,,,Initiated,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6644019-BP,,,
6574215-SB,N/A,N/A,"Sign, Awning and Canopy",Trade,,,,,,,Completed,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6574215-SB,,,
6126138-CY,N/A,N/A,Conveyance,Trade,,,,,,,Completed,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6126138-CY,,,
6633032-RF,N/A,N/A,Refrigeration,Trade,,,,,,,Initiated,1725 M L KING JR WAY,SEATTLE,WA,98122,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6633032-RF,47.61731959,-122.29648629,"1725 M L KING JR WAY
SEATTLE, WA 98122
(47.61731959, -122.29648629)"
6494201-BP,N/A,N/A,Boiler-Pressure Vessel,Trade,,,,,,,Closed,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6494201-BP,,,
6649577-CY,N/A,N/A,Conveyance,Trade,,,,,,,Completed,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6649577-CY,,,
6454271-ME,N/A,N/A,Mechanical,Trade,,,,,,,Closed,7004 BEACH DR SW,SEATTLE,WA,98136,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6454271-ME,47.54034904,-122.39625397,"7004 BEACH DR SW
SEATTLE, WA 98136
(47.54034904, -122.39625397)"
6096651-CY,N/A,N/A,Conveyance,Trade,,,,,,,Completed,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6096651-CY,,,
6084664-ME,N/A,N/A,Mechanical,Trade,,,,,,,Closed,2106 2ND AVE,SEATTLE,WA,98121,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6084664-ME,47.61297688,-122.34325395,"2106 2ND AVE
SEATTLE, WA 98121
(47.61297688, -122.34325395)"
6638421-RF,N/A,N/A,Refrigeration,Trade,,,,,,,Initiated,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6638421-RF,,,
6476122-RF,N/A,N/A,Refrigeration,Trade,,,,,,,Closed,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6476122-RF,,,
6354666-ME,N/A,N/A,Mechanical,Trade,,,,,,,Closed,5707 AIRPORT WAY S,SEATTLE,WA,98108,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6354666-ME,47.55096444,-122.31907665,"5707 AIRPORT WAY S
SEATTLE, WA 98108
(47.55096444, -122.31907665)"
6634815-RF,N/A,N/A,Refrigeration,Trade,,,,,,,Initiated,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6634815-RF,,,
6109906-CY,N/A,N/A,Conveyance,Trade,,,,,,,Completed,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6109906-CY,,,
6118233-SS,N/A,N/A,Side Sewer,Trade,,,,,,,Closed,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6118233-SS,,,
6342204-SS,N/A,N/A,Side Sewer,Trade,,,,,,,Closed,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6342204-SS,,,
6463321-ME,N/A,N/A,Mechanical,Trade,,,,,,,Closed,1620 12TH AVE,SEATTLE,WA,98122,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6463321-ME,47.61604972,-122.31651347,"1620 12TH AVE
SEATTLE, WA 98122
(47.61604972, -122.31651347)"
6319606-SS,N/A,N/A,Side Sewer,Trade,,,,,,,Closed,1200 N 96TH ST,SEATTLE,WA,98103,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6319606-SS,47.69872284,-122.34277544,"1200 N 96TH ST
SEATTLE, WA 98103
(47.69872284, -122.34277544)"
6771119-SS,N/A,N/A,Side Sewer,Trade,,,,,,,Withdrawn,7802 MERIDIAN AVE N,SEATTLE,WA,98103,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6771119-SS,47.68616959,-122.33275433,"7802 MERIDIAN AVE N
SEATTLE, WA 98103
(47.68616959, -122.33275433)"
6774709-SS,N/A,N/A,Side Sewer,Trade,,,,,,,Withdrawn,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6774709-SS,,,
6749181-FR,Single Family/Duplex,Residential,Single-Family/Duplex Furnace,Trade,Installing new ducted air conditioning system.,25300.0000,2019-09-20,2019-09-20,2021-03-20,2020-09-15,Completed,4114 DENSMORE AVE N,SEATTLE,WA,98103,Premier Mechanical & Electric,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6749181-FR,47.65730894,-122.33714177,"4114 DENSMORE AVE N
SEATTLE, WA 98103
(47.65730894, -122.33714177)"
6800706-BP,Single Family/Duplex,Residential,Boiler-Pressure Vessel,Trade,Replace gas boiler,6200.0000,,2020-09-15,2022-03-15,,Issued,4116 WOODLAND PARK AVE N,SEATTLE,WA,98103,BRENNAN HEATING & AIR CONDITIONING,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6800706-BP,47.65721103,-122.34439814,"4116 WOODLAND PARK AVE N
SEATTLE, WA 98103
(47.65721103, -122.34439814)"
6799846-SS,Single Family/Duplex,Residential,Side Sewer,Trade,Side sewer repair + liner over 20' feet. Onsite work only.,0.0000,2020-09-10,2020-09-15,2022-03-15,,Issued,6827 18TH AVE NE,SEATTLE,WA,98115,"Pipe Right Plumbing and Sewer, LLC",https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6799846-SS,47.6784489,-122.30909425,"6827 18TH AVE NE
SEATTLE, WA 98115
(47.6784489, -122.30909425)"
6798716-RF,Single Family/Duplex,Residential,Refrigeration,Trade,"New 24,000 BTU Heat Pump",3000.0000,2020-09-01,2020-09-01,2022-03-01,2020-09-15,Completed,3254 PORTAGE BAY PL E,SEATTLE,WA,98102,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6798716-RF,47.65171307,-122.32053171,"3254 PORTAGE BAY PL E
SEATTLE, WA 98102
(47.65171307, -122.32053171)"
6800513-RF,Single Family/Duplex,Residential,Refrigeration,Trade,install heat pump,4000.0000,2020-09-15,2020-09-15,2022-03-15,,Issued,1420 N 51ST ST,SEATTLE,WA,98103,Evergreen Home Heating & Energy,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6800513-RF,47.66595196,-122.3390703,"1420 N 51ST ST
SEATTLE, WA 98103
(47.66595196, -122.3390703)"
6751224-SS,Single Family/Duplex,Residential,Side Sewer,Trade,NSFR + DADU: storm to new shared Service Drain connection to storm drain main and sanitary to existing Side Sewer to sanitary main per approved plans under 6651469-CN. PE Eval. required. Separate SS permit required for the ROW work. 2 capping included.,1500000.0000,2019-10-07,2019-10-07,2021-04-07,2020-09-15,Completed,7700 37th AVE SW,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6751224-SS,47.53328204,-122.37894281,"7700 37th AVE SW
(47.53328204, -122.37894281)"
6799756-RF,Single Family/Duplex,Residential,Refrigeration,Trade,installing an air conditioner,7000.0000,2020-09-09,2020-09-09,2022-03-09,2020-09-15,Completed,4201 S SPENCER ST,SEATTLE,WA,98118,Greenwood Heating & AC,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6799756-RF,47.54728185,-122.28059906,"4201 S SPENCER ST
SEATTLE, WA 98118
(47.54728185, -122.28059906)"
6800537-FR,Single Family/Duplex,Residential,Single-Family/Duplex Furnace,Trade,install heat pump,5000.0000,2020-09-15,2020-09-15,2022-03-15,,Issued,640 NW 75TH ST,SEATTLE,WA,98117,Evergreen Home Heating & Energy,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6800537-FR,47.6834663,-122.36508571,"640 NW 75TH ST
SEATTLE, WA 98117
(47.6834663, -122.36508571)"
6707959-SB,Commercial,Non-Residential,"Sign, Awning and Canopy",Trade,"Adding exterior signage to existing areas as well and the storefront. 1/17/18 SS; Additional information requested; valid contractors license information required. 3/14/19 SS; Contractors license provided, revised plans also submitted.",4622.0000,2019-03-14,2019-03-14,2020-09-14,,Expired,101 N 85th ST,,,,Fortysixc,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6707959-SB,47.69038407,-122.35772347,"101 N 85th ST
(47.69038407, -122.35772347)"
