Ticket Issue Date,Issue Time,Meter,Violation Description,Location,Department
09/12/2018,1899-12-31T17:50:00.000,,LOADING ZN,,Traffic & Parking
09/10/2018,1899-12-31T10:00:00.000,FRST-0209,METER EXP,,Traffic & Parking
02/07/2019,1899-12-31T14:22:00.000,SEC-0221,METER EXP,,Traffic & Parking
09/29/2018,1899-12-31T14:16:00.000,ROG-0003,METER EXP,,Traffic & Parking
09/25/2018,1899-12-31T16:02:00.000,CAMB-0113,METER EXP,,Traffic & Parking
09/04/2018,1899-12-31T13:27:00.000,LOT2-003,METER EXP,,Traffic & Parking
10/17/2018,1899-12-31T08:06:00.000,,STREET CLE,,
09/11/2018,1899-12-31T11:19:00.000,,RESIDENT P,,Traffic & Parking
09/20/2018,1899-12-31T09:52:00.000,,LOADING ZN,,Traffic & Parking
08/28/2018,1899-12-31T09:23:00.000,GRE-0053,METER EXP,,Traffic & Parking
09/27/2018,1899-12-31T11:37:00.000,,STORAGE,,Traffic & Parking
09/10/2018,1899-12-31T14:35:00.000,MAIN-0525,METER EXP,,Traffic & Parking
09/05/2018,1899-12-31T08:05:00.000,,STREET CLE,,Police
03/21/2019,1899-12-31T13:21:00.000,LINS-0066,METER EXP,,Traffic & Parking
04/06/2019,1899-12-31T13:15:00.000,,RESIDENT P,,
08/30/2018,1899-12-31T13:29:00.000,MRKT-0003,METER EXP,,Traffic & Parking
10/08/2018,1899-12-31T11:46:00.000,,RESIDENT P,,
09/28/2018,1899-12-31T16:10:00.000,SEC-0194,METER EXP,,Traffic & Parking
09/10/2018,1899-12-31T12:46:00.000,,RESIDENT P,,Traffic & Parking
09/24/2018,1899-12-31T10:14:00.000,THRD-0320,METER EXP,,Traffic & Parking
09/04/2018,1899-12-31T09:09:00.000,,STREET CLE,,Police
10/07/2018,1899-12-31T20:42:00.000,,WRNG DIRCT,,Police
10/31/2018,1899-12-31T09:05:00.000,,O/T TIME,,Traffic & Parking
09/14/2018,1899-12-31T08:48:00.000,,STREET CLE,,Police
10/04/2018,1899-12-31T17:47:00.000,BOW-0025,METER EXP,,Traffic & Parking
01/10/2019,1899-12-31T08:25:00.000,LINE-0004,METER EXP,,Traffic & Parking
09/21/2018,1899-12-31T14:42:00.000,,LOADING ZN,,Traffic & Parking
10/24/2018,1899-12-31T13:08:00.000,BRAT-0212,O/T TIME,,Traffic & Parking
09/06/2018,1899-12-31T15:49:00.000,BNTT-0004,METER EXP,,Traffic & Parking
12/05/2018,1899-12-31T11:53:00.000,GARD-0013,METER EXP,,Traffic & Parking
10/18/2018,1899-12-31T08:38:00.000,,RESIDENT P,,Traffic & Parking
10/16/2018,1899-12-31T10:29:00.000,,RESIDENT P,,Traffic & Parking
09/14/2018,1899-12-31T08:10:00.000,LOT8-0000,METER EXP,,Traffic & Parking
12/08/2018,1899-12-31T17:15:00.000,FRST-0207,METER EXP,,Traffic & Parking
11/15/2018,1899-12-31T09:54:00.000,,STREET CLE,,Police
01/02/2019,1899-12-31T12:26:00.000,,RESIDENT P,,Traffic & Parking
08/16/2018,1899-12-31T13:00:00.000,,RESIDENT P,,Traffic & Parking
09/21/2018,1899-12-31T09:53:00.000,,STREET CLE,,
11/19/2018,1899-12-31T08:12:00.000,,STREET CLE,,
09/27/2018,1899-12-31T11:39:00.000,,RESIDENT P,,Traffic & Parking
09/10/2018,1899-12-31T19:07:00.000,MAIN-0460,METER EXP,,Traffic & Parking
11/16/2018,1899-12-31T19:02:00.000,,NO STOPPIN,,Traffic & Parking
08/21/2018,1899-12-31T19:09:00.000,BRK-0034,METER EXP,,Traffic & Parking
09/27/2018,1899-12-31T09:22:00.000,,STREET CLE,,
10/19/2018,1899-12-31T11:40:00.000,,NO STOPPIN,,Traffic & Parking
09/15/2018,1899-12-31T16:55:00.000,FRAN-0300,METER EXP,,Traffic & Parking
09/04/2018,1899-12-31T14:09:00.000,,NO PARKING,,Traffic & Parking
09/04/2018,1899-12-31T16:55:00.000,,HP RAMP,"WASHINGTON
Cambridge, MA",Police
08/20/2018,1899-12-31T12:04:00.000,HARV-0389,METER EXP,,Traffic & Parking
11/08/2018,1899-12-31T08:54:00.000,,STREET CLE,,
09/14/2018,1899-12-31T14:05:00.000,,RESIDENT P,,Traffic & Parking
10/24/2018,1899-12-31T11:56:00.000,CAMB-0117,O/T TIME,,Traffic & Parking
10/23/2018,1899-12-31T13:35:00.000,MAIN-0460,METER EXP,,Traffic & Parking
01/17/2019,1899-12-31T16:59:00.000,CAMB-0113,METER EXP,,Traffic & Parking
09/07/2018,1899-12-31T18:36:00.000,LOT2-008,METER EXP,,Traffic & Parking
02/15/2019,1899-12-31T13:24:00.000,OSB-0033,METER EXP,,Traffic & Parking
10/03/2018,1899-12-31T12:31:00.000,,STREET CLE,,
08/21/2018,1899-12-31T09:56:00.000,ATH-0015,METER EXP,,Traffic & Parking
09/10/2018,1899-12-31T14:14:00.000,,NO PARKING,,Traffic & Parking
08/31/2018,1899-12-31T18:39:00.000,LOT2-018,METER EXP,,Traffic & Parking
09/20/2018,1899-12-31T12:57:00.000,,NO PARKING,,Traffic & Parking
11/01/2018,1899-12-31T16:52:00.000,BNTT-0002,METER EXP,,Traffic & Parking
09/27/2018,1899-12-31T16:55:00.000,HAMP-0019,METER EXP,"ONE KENDALL S
Cambridge, MA",Traffic & Parking
01/16/2019,1899-12-31T08:40:00.000,,RESIDENT P,,
08/18/2018,1899-12-31T17:10:00.000,,RESIDENT P,,Traffic & Parking
09/02/2018,1899-12-31T17:23:00.000,,NO PARKING,,
08/16/2018,1899-12-31T08:14:00.000,,RESIDENT P,,Traffic & Parking
09/11/2018,1899-12-31T14:20:00.000,,RESIDENT P,,Traffic & Parking
09/26/2018,1899-12-31T09:57:00.000,ESS-0001,O/T TIME,,Traffic & Parking
01/23/2019,1899-12-31T11:15:00.000,CHU-0000,METER EXP,,Traffic & Parking
08/22/2018,1899-12-31T10:10:00.000,ATH-0005,METER EXP,,Traffic & Parking
10/01/2018,1899-12-31T16:18:00.000,PLY-0000,METER EXP,,Traffic & Parking
10/01/2018,1899-12-31T08:11:00.000,,STREET CLE,,Police
09/25/2018,1899-12-31T14:00:00.000,HAMP-0021,METER EXP,"ONE KENDALL S
Cambridge, MA",Traffic & Parking
10/20/2018,1899-12-31T16:12:00.000,BRAT-0208,METER EXP,,Traffic & Parking
09/10/2018,1899-12-31T13:51:00.000,FELT-0022,METER EXP,,Traffic & Parking
09/20/2018,1899-12-31T10:09:00.000,BOW-0025,METER EXP,,Traffic & Parking
11/13/2018,1899-12-31T13:48:00.000,LOT2-015,METER EXP,,Traffic & Parking
10/04/2018,1899-12-31T14:55:00.000,,RESIDENT P,,Traffic & Parking
11/04/2018,1899-12-31T16:33:00.000,,RESIDENT P,,
08/17/2018,1899-12-31T13:25:00.000,LEE-0004,O/T TIME,,Traffic & Parking
09/05/2018,1899-12-31T13:44:00.000,CAMB-0113,METER EXP,,Traffic & Parking
09/21/2018,1899-12-31T13:40:00.000,,RESIDENT P,,Traffic & Parking
11/16/2018,1899-12-31T16:17:00.000,MASS-1512,METER EXP,,Traffic & Parking
02/16/2019,1899-12-31T18:03:00.000,BRAT-0208,METER EXP,,Traffic & Parking
11/15/2018,1899-12-31T16:50:00.000,PLY-0000,METER EXP,,Traffic & Parking
09/18/2018,1899-12-31T19:17:00.000,LOT9-0000,METER EXP,,Traffic & Parking
10/01/2018,1899-12-31T09:51:00.000,,NO STOPPIN,,Traffic & Parking
10/04/2018,1899-12-31T17:51:00.000,WIND-0036,METER EXP,,Traffic & Parking
08/30/2018,1899-12-31T12:53:00.000,LIND-0000,O/T TIME,"6900 LINDEN ST
Cambridge, MA",Traffic & Parking
09/05/2018,1899-12-31T13:09:00.000,FAR-0010,METER EXP,,Traffic & Parking
03/08/2019,1899-12-31T13:10:00.000,GARD-0029,METER EXP,,Traffic & Parking
09/11/2018,1899-12-31T13:29:00.000,,NO PARKING,,Traffic & Parking
08/17/2018,1899-12-31T12:28:00.000,,O/T TIME,,Traffic & Parking
09/25/2018,1899-12-31T11:14:00.000,,NO PARKING,,Traffic & Parking
02/21/2019,1899-12-31T14:07:00.000,MASS-1518,METER EXP,,Traffic & Parking
10/15/2018,1899-12-31T14:48:00.000,,RESIDENT P,,Traffic & Parking
10/03/2018,1899-12-31T08:05:00.000,DOUG-0004,METER EXP,,Traffic & Parking
01/03/2019,1899-12-31T19:15:00.000,LOT5-0000,METER EXP,"1586 LOT 5 CENTRAL SQUARE
Cambridge, MA",Traffic & Parking
08/18/2018,1899-12-31T16:54:00.000,FRAN-0306,METER EXP,,Traffic & Parking
08/22/2018,1899-12-31T10:18:00.000,SEC-0219,METER EXP,,Traffic & Parking
08/25/2018,1899-12-31T17:13:00.000,MRKT-0001,METER EXP,,Traffic & Parking
10/18/2018,1899-12-31T11:15:00.000,HAMP-0028,METER EXP,"ONE KENDALL
Cambridge, MA",Traffic & Parking
08/29/2018,1899-12-31T13:14:00.000,,LOADING ZN,,Traffic & Parking
10/17/2018,1899-12-31T18:13:00.000,GARD-0029,METER EXP,,Traffic & Parking
09/20/2018,1899-12-31T17:40:00.000,MASS-1590,METER EXP,"1580 MASS AVE
Cambridge, MA",Traffic & Parking
10/22/2018,1899-12-31T08:15:00.000,,O/T TIME,,Traffic & Parking
09/01/2018,1899-12-31T12:26:00.000,LOT2-004,METER EXP,,Traffic & Parking
09/11/2018,1899-12-31T12:19:00.000,,O/T TIME,,Traffic & Parking
08/17/2018,1899-12-31T08:22:00.000,,STREET CLE,,
09/25/2018,1899-12-31T16:18:00.000,LOT2-021,METER EXP,,Traffic & Parking
08/16/2018,1899-12-31T17:23:00.000,,RESIDENT P,,Traffic & Parking
10/22/2018,1899-12-31T13:20:00.000,,RESIDENT P,,Traffic & Parking
12/01/2018,1899-12-31T18:25:00.000,,RESIDENT P,,Traffic & Parking
08/19/2018,1899-12-31T11:37:00.000,,RESIDENT P,,
11/17/2018,1899-12-31T13:13:00.000,,METER EXP,,Traffic & Parking
10/16/2018,1899-12-31T14:01:00.000,,NO STOPPIN,,Traffic & Parking
11/24/2018,1899-12-31T14:50:00.000,ATH-0027,METER EXP,,Traffic & Parking
09/11/2018,1899-12-31T13:16:00.000,,RESIDENT P,,Traffic & Parking
09/27/2018,1899-12-31T08:37:00.000,,STREET CLE,,Police
08/20/2018,1899-12-31T12:47:00.000,,RESIDENT P,,Traffic & Parking
09/04/2018,1899-12-31T11:14:00.000,THDK-0062,METER EXP,,Traffic & Parking
08/28/2018,1899-12-31T10:49:00.000,GARD-0015,METER EXP,,Traffic & Parking
12/03/2018,1899-12-31T13:04:00.000,,O/T TIME,"1570 BISHOP ALLEN DR
Cambridge, MA",Traffic & Parking
08/24/2018,1899-12-31T08:37:00.000,,NO STOPPIN,,Traffic & Parking
08/20/2018,1899-12-31T12:07:00.000,MASS-1225,METER EXP,,Traffic & Parking
09/27/2018,1899-12-31T10:37:00.000,,HYDRANT WI,,Traffic & Parking
08/17/2018,1899-12-31T09:50:00.000,MAIN-0515,METER EXP,,Traffic & Parking
08/22/2018,1899-12-31T08:22:00.000,,STREET CLE,,Police
11/05/2018,1899-12-31T13:49:00.000,LOT8-0000,METER EXP,,Traffic & Parking
09/10/2018,1899-12-31T18:58:00.000,GARD-0011,METER EXP,,Traffic & Parking
11/09/2018,1899-12-31T16:29:00.000,DEW-0004,METER EXP,,Traffic & Parking
10/01/2018,1899-12-31T14:05:00.000,,LOADING ZN,,Traffic & Parking
09/14/2018,1899-12-31T16:29:00.000,MAIN-0401,O/T TIME,,Traffic & Parking
09/12/2018,1899-12-31T15:28:00.000,GRE-0057,METER EXP,,Traffic & Parking
09/04/2018,1899-12-31T09:03:00.000,,STREET CLE,,Police
10/03/2018,1899-12-31T10:39:00.000,SPR-0019,METER EXP,,Traffic & Parking
11/09/2018,1899-12-31T08:15:00.000,ATH-0015,METER EXP,,Traffic & Parking
09/17/2018,1899-12-31T14:40:00.000,NOR-0017,METER EXP,,Traffic & Parking
10/06/2018,1899-12-31T14:40:00.000,SPR-0029,METER EXP,,Traffic & Parking
10/20/2018,1899-12-31T18:06:00.000,APP-0036,METER EXP,,Traffic & Parking
10/31/2018,1899-12-31T09:30:00.000,,RESIDENT P,,Traffic & Parking
09/19/2018,1899-12-31T09:06:00.000,MAIN-0391,METER EXP,,Traffic & Parking
10/05/2018,1899-12-31T08:20:00.000,MAIN-0539,METER EXP,,Traffic & Parking
08/29/2018,1899-12-31T13:10:00.000,,LOADING ZN,,Traffic & Parking
09/10/2018,1899-12-31T15:39:00.000,JMS-0005,METER EXP,,Traffic & Parking
09/11/2018,1899-12-31T09:18:00.000,,O/T TIME,,Traffic & Parking
09/20/2018,1899-12-31T09:27:00.000,,O/T TIME,,Traffic & Parking
11/10/2018,1899-12-31T10:58:00.000,,O/T TIME,"6780 JFK ST
Cambridge, MA",Traffic & Parking
11/30/2018,1899-12-31T13:29:00.000,FAR-0010,METER EXP,,Traffic & Parking
09/21/2018,1899-12-31T08:39:00.000,,NO PARKING,"FIRST
Cambridge, MA",
09/25/2018,1899-12-31T09:56:00.000,MAIN-0391,METER EXP,,Traffic & Parking
10/01/2018,1899-12-31T08:33:00.000,MAIN-0511,METER EXP,,Traffic & Parking
10/02/2018,1899-12-31T16:23:00.000,NOR-0017,METER EXP,,Traffic & Parking
08/24/2018,1899-12-31T09:12:00.000,LOT2-029,METER EXP,,Traffic & Parking
08/24/2018,1899-12-31T15:16:00.000,HARV-0395,METER EXP,,Traffic & Parking
10/06/2018,1899-12-31T15:26:00.000,BNTT-0002,METER EXP,,Traffic & Parking
10/18/2018,1899-12-31T13:37:00.000,,NO STOPPIN,,Traffic & Parking
09/13/2018,1899-12-31T08:35:00.000,JMS-0003,METER EXP,,Traffic & Parking
12/06/2018,1899-12-31T08:37:00.000,ATH-0029,METER EXP,,Traffic & Parking
09/14/2018,1899-12-31T09:34:00.000,CHU-0000,O/T TIME,"6920 CHURCH ST
Cambridge, MA",Traffic & Parking
09/06/2018,1899-12-31T11:07:00.000,,NO STAND,,Traffic & Parking
10/19/2018,1899-12-31T08:23:00.000,,STREET CLE,,Police
09/24/2018,1899-12-31T13:41:00.000,FRAN-0302,METER EXP,,Traffic & Parking
12/08/2018,1899-12-31T14:48:00.000,,HYDRANT WI,,Traffic & Parking
09/13/2018,1899-12-31T08:38:00.000,,NO STOPPIN,,Traffic & Parking
10/31/2018,1899-12-31T09:05:00.000,,O/T TIME,,Traffic & Parking
10/01/2018,1899-12-31T13:08:00.000,LOT8-0000,METER EXP,,Traffic & Parking
09/08/2018,1899-12-31T11:55:00.000,MAIN-0395,O/T TIME,,Traffic & Parking
09/08/2018,1899-12-31T15:32:00.000,NOR-0019,METER EXP,,Traffic & Parking
08/22/2018,1899-12-31T11:23:00.000,MAIN-0462,METER EXP,,Traffic & Parking
01/17/2019,1899-12-31T13:25:00.000,,NO STOPPIN,,Traffic & Parking
08/28/2018,1899-12-31T10:24:00.000,DEW-0032,METER EXP,,Traffic & Parking
09/20/2018,1899-12-31T08:24:00.000,,STREET CLE,,Police
09/10/2018,1899-12-31T09:24:00.000,,FT FM CB,,Police
09/04/2018,1899-12-31T19:19:00.000,JMS-0009,METER EXP,,Traffic & Parking
08/28/2018,1899-12-31T10:48:00.000,,STREET CLE,,Police
10/06/2018,1899-12-31T15:14:00.000,,NO STOPPIN,,Traffic & Parking
09/19/2018,1899-12-31T09:58:00.000,WIND-0042,O/T TIME,,Traffic & Parking
10/22/2018,1899-12-31T11:32:00.000,SEC-0221,METER EXP,,Traffic & Parking
09/12/2018,1899-12-31T14:33:00.000,CMRN-0001,METER EXP,,Traffic & Parking
09/10/2018,1899-12-31T15:31:00.000,,LOADING ZN,,Traffic & Parking
12/13/2018,1899-12-31T11:04:00.000,,NO PARKING,,Traffic & Parking
08/24/2018,1899-12-31T10:11:00.000,CAMB-0115,METER EXP,,Traffic & Parking
09/11/2018,1899-12-31T09:23:00.000,,RESIDENT P,,Traffic & Parking
09/10/2018,1899-12-31T12:01:00.000,BENT-0023,METER EXP,,Traffic & Parking
09/27/2018,1899-12-31T18:46:00.000,GARD-0003,METER EXP,,Traffic & Parking
08/23/2018,1899-12-31T19:17:00.000,INM-0003,METER EXP,,Traffic & Parking
09/14/2018,1899-12-31T08:51:00.000,MAIN-0389,METER EXP,,Traffic & Parking
11/29/2018,1899-12-31T08:49:00.000,,NO STOPPIN,,Traffic & Parking
08/30/2018,1899-12-31T13:01:00.000,AMES-0121,METER EXP,,Traffic & Parking
09/17/2018,1899-12-31T15:02:00.000,,NO STOPPIN,,Traffic & Parking
10/22/2018,1899-12-31T11:47:00.000,,HHP/VETS,,Traffic & Parking
10/31/2018,1899-12-31T11:14:00.000,,WRNG DIRCT,,Traffic & Parking
01/31/2019,1899-12-31T11:46:00.000,MAIN-0526,METER EXP,,Traffic & Parking
08/18/2018,1899-12-31T23:45:00.000,,NO STOPPIN,,
10/15/2018,1899-12-31T13:46:00.000,MTA-0338,METER EXP,,Traffic & Parking
09/08/2018,1899-12-31T17:33:00.000,,NO STOPPIN,,Traffic & Parking
01/11/2019,1899-12-31T13:28:00.000,,O/T TIME,,Traffic & Parking
01/02/2019,1899-12-31T19:18:00.000,LOT5-0000,METER EXP,"1586 LOT 5 CENTRAL SQUARE
Cambridge, MA",Traffic & Parking
09/07/2018,1899-12-31T09:00:00.000,BNTT-0002,METER EXP,,Traffic & Parking
10/05/2018,1899-12-31T15:48:00.000,LOT14-0000,METER EXP,,Traffic & Parking
08/21/2018,1899-12-31T10:01:00.000,BINY-0354,METER EXP,,Traffic & Parking
08/30/2018,1899-12-31T10:35:00.000,LOT5-0000,METER EXP,"1586 LOT 5 CENTRAL SQUARE
Cambridge, MA",Traffic & Parking
10/04/2018,1899-12-31T08:45:00.000,,NO STOPPIN,,Traffic & Parking
02/13/2019,1899-12-31T08:34:00.000,LOT2-034,METER EXP,,Traffic & Parking
09/11/2018,1899-12-31T15:37:00.000,GRE-0324,METER EXP,,Traffic & Parking
10/10/2018,1899-12-31T19:16:00.000,BIG-0006,METER EXP,,Traffic & Parking
09/02/2018,1899-12-31T16:00:00.000,,NO PARKING,,
06/28/2019,13:27,,STORAGE,,Traffic & Parking
09/25/2018,1899-12-31T12:15:00.000,,BIKE LANE,,Police
06/28/2019,14:09,,NO STOPPIN,,Traffic & Parking
10/05/2018,1899-12-31T11:29:00.000,DOUG-0002,O/T TIME,,Traffic & Parking
08/29/2018,1899-12-31T15:51:00.000,LOT2-033,METER EXP,,Traffic & Parking
10/25/2018,1899-12-31T08:18:00.000,MUN-0010,METER EXP,,Traffic & Parking
06/28/2019,19:08,,RESIDENT P,,Traffic & Parking
10/20/2018,1899-12-31T13:34:00.000,LOT2-014,METER EXP,,Traffic & Parking
06/29/2019,11:44,,TAXI STAND,,Traffic & Parking
09/06/2018,1899-12-31T11:58:00.000,,STREET CLE,,Police
06/29/2019,17:42,,RESIDENT P,,Traffic & Parking
11/03/2018,1899-12-31T11:15:00.000,CAMB-1493,METER EXP,,Traffic & Parking
10/16/2018,1899-12-31T15:03:00.000,,O/T TIME,,Traffic & Parking
10/10/2018,1899-12-31T19:19:00.000,BIG-0006,METER EXP,,Traffic & Parking
07/01/2019,12:04,,NO STOPPIN,,Traffic & Parking
09/20/2018,1899-12-31T15:22:00.000,GARD-0043,METER EXP,,Traffic & Parking
09/07/2018,1899-12-31T09:01:00.000,,STREET CLE,,Police
01/19/2019,1899-12-31T12:49:00.000,LOT2-026,METER EXP,,Traffic & Parking
12/04/2018,1899-12-31T13:58:00.000,,RESIDENT P,,Traffic & Parking
07/01/2019,19:06,,RESIDENT P,,Traffic & Parking
07/02/2019,08:25,,NO PARKING,,Police
07/02/2019,10:19,,SIDEWALK,,Traffic & Parking
11/02/2018,1899-12-31T09:37:00.000,,NO STOPPIN,,Traffic & Parking
07/02/2019,10:46,,RESIDENT P,,Traffic & Parking
10/02/2018,1899-12-31T19:09:00.000,LOT9-0000,METER EXP,,Traffic & Parking
07/02/2019,13:34,,LOADING ZN,,Traffic & Parking
07/02/2019,21:48,,TAXI STAND,,Police
07/03/2019,08:06,,RESIDENT P,,Traffic & Parking
08/18/2018,1899-12-31T11:06:00.000,,RESIDENT P,,
08/31/2018,1899-12-31T12:57:00.000,GARD-0053,O/T TIME,,Traffic & Parking
07/03/2019,10:49,,RESIDENT P,,Traffic & Parking
07/03/2019,13:16,,RESIDENT P,,Traffic & Parking
09/17/2018,1899-12-31T10:11:00.000,WIND-0040,O/T TIME,,Traffic & Parking
12/03/2018,1899-12-31T11:41:00.000,,SAFETY ZON,,Traffic & Parking
07/03/2019,14:50,,STORAGE,,Traffic & Parking
11/09/2018,1899-12-31T13:29:00.000,,NO STOPPIN,,Traffic & Parking
07/03/2019,15:58,,HYDRANT WI,,Police
07/03/2019,17:27,,RESIDENT P,,Traffic & Parking
09/04/2018,1899-12-31T09:40:00.000,,STREET CLE,,Police
07/05/2019,15:26,,RESIDENT P,,Traffic & Parking
08/28/2018,1899-12-31T15:56:00.000,CHA-0017,METER EXP,,Traffic & Parking
07/05/2019,23:47,,RESIDENT P,,Police
09/11/2018,1899-12-31T12:45:00.000,,O/T TIME,"1580 MASS AVE
Cambridge, MA",Traffic & Parking
07/06/2019,15:14,,HHP/VETS,,Traffic & Parking
12/13/2018,1899-12-31T13:53:00.000,ALB-0110,O/T TIME,,Traffic & Parking
11/20/2018,1899-12-31T09:56:00.000,LOT5-0000,METER EXP,"1586 LOT 5 CENTRAL SQUARE
Cambridge, MA",Traffic & Parking
07/08/2019,08:45,,STREET CLE,,Police
07/08/2019,09:09,,RESIDENT P,,Traffic & Parking
09/25/2018,1899-12-31T11:45:00.000,,NO STOPPIN,,Traffic & Parking
10/03/2018,1899-12-31T10:26:00.000,BENT-0006,METER EXP,,Traffic & Parking
11/05/2018,1899-12-31T16:41:00.000,BNTT-0004,METER EXP,,Traffic & Parking
07/09/2019,08:29,,RESIDENT P,,Traffic & Parking
10/06/2018,1899-12-31T16:21:00.000,,NO STOPPIN,,Traffic & Parking
07/09/2019,10:07,,O/T TIME,,Traffic & Parking
07/09/2019,11:24,,NO PARKING,,Police
07/09/2019,11:45,,NO PARKING,,Police
09/02/2018,1899-12-31T16:00:00.000,,NO PARKING,"GREEN
Cambridge, MA",
07/09/2019,13:10,,RESIDENT P,,Traffic & Parking
09/08/2018,1899-12-31T11:41:00.000,,RESIDENT P,,
09/18/2018,1899-12-31T13:14:00.000,MTA-0324,METER EXP,,Traffic & Parking
08/16/2018,1899-12-31T13:59:00.000,HAMP-0020,METER EXP,"ONE KENDALL
Cambridge, MA",Traffic & Parking
07/10/2019,08:10,,STREET CLE,,Police
07/10/2019,08:30,,RESIDENT P,,Traffic & Parking
08/30/2018,1899-12-31T13:57:00.000,LOT2-019,METER EXP,,Traffic & Parking
07/10/2019,10:28,CAMB-0358,METER EXP,,Traffic & Parking
07/10/2019,23:30,,NO PARKING,,Police
10/11/2018,1899-12-31T19:17:00.000,LOT14-0000,METER EXP,,Traffic & Parking
07/11/2019,08:11,,STREET CLE,,Police
12/08/2018,1899-12-31T11:10:00.000,HAMP-0020,METER EXP,"ONE KENDALL
Cambridge, MA",Traffic & Parking
10/30/2018,1899-12-31T11:51:00.000,,RESIDENT P,,Traffic & Parking
10/12/2018,1899-12-31T14:50:00.000,MASS-1516,METER EXP,,Traffic & Parking
10/29/2018,1899-12-31T09:18:00.000,,STREET CLE,,Police
07/11/2019,12:37,,RESIDENT P,,Traffic & Parking
12/08/2018,1899-12-31T15:44:00.000,,NO STOPPIN,,Traffic & Parking
07/11/2019,13:57,,RESIDENT P,,Traffic & Parking
10/06/2018,1899-12-31T17:33:00.000,HARV-0389,METER EXP,,Traffic & Parking
08/21/2018,1899-12-31T12:42:00.000,GRE-0057,METER EXP,,Traffic & Parking
07/11/2019,17:39,,RESIDENT P,,Traffic & Parking
11/29/2018,1899-12-31T08:40:00.000,,O/T TIME,,Traffic & Parking
07/12/2019,08:14,,STREET CLE,,Police
10/27/2018,1899-12-31T15:22:00.000,CHA-0011,METER EXP,,Traffic & Parking
10/09/2018,1899-12-31T09:02:00.000,,STREET CLE,,Police
10/01/2018,1899-12-31T11:15:00.000,,O/T TIME,,Traffic & Parking
08/16/2018,1899-12-31T13:36:00.000,MAIN-0517,METER EXP,,Traffic & Parking
