UNIQUE KEY,TOW DATE,AGENCY,VEHICLE YEAR,VEHICLE MAKE,LICENSE PLATE,LICENSE STATE,TOW LOCATION,CITY,STATE,ZIP,TOW REASON,TOW DESCRIPTION,LOCATION,LATITUDE,LONGITUDE,COUNCIL DISTRICT,POLICE DISTRICT,CENSUS TRACT,CENSUS BLOCK GROUP,CENSUS BLOCK,NEIGHBORHOOD
200701033DPE,01/03/2007,DPE,1997,HOND,,NY,207 SMITH,Buffalo,NY,14210,IL,ILLEGAL VEHICLE,"(42.867432069475, -78.846242934659)",42.86743206947451,-78.84624293465929,FILLMORE,District A,163,3,3019,UNKNOWN
200701034DPE,01/03/2007,DPE,1995,OLDS,,NY,MINNESOTA/PARKRIDGE,Buffalo,NY,14215,ST,STOLEN VEHICLE,"(42.946610021461, -78.821653043594)",42.94661002146077,-78.82165304359391,UNIVERSITY,District E,47,4,4005,UNKNOWN
2007010350MNM,01/03/2007,MNM,,CADI,,,952 GLENWOOD,Buffalo,NY,14211,AB,ABANDONED VEHICLE,"(42.912128109621, -78.830667055855)",42.912128109621044,-78.83066705585497,MASTEN,District C,34,4,4000,UNKNOWN
2007010351MNM,01/03/2007,MNM,,VOLV,,,335 MOSELLE,Buffalo,NY,14211,AB,ABANDONED VEHICLE,"(42.912798723148, -78.824209400783)",42.91279872314787,-78.82420940078275,FILLMORE,District C,36,3,3007,UNKNOWN
2007010352MNM,01/03/2007,MNM,,GMC,,,443 PLYMOUTH,Buffalo,NY,14213,AB,ABANDONED VEHICLE,"(42.908976908953, -78.892462313586)",42.90897690895257,-78.89246231358649,NIAGARA,District B,69.01,4,4000,UNKNOWN
200701035RON,01/03/2007,RON,1997,PONT,,NY,393 PLYMOUTH,Buffalo,NY,14213,IP,ILLEGALLY PARKED,"(42.90784669813, -78.891394184663)",42.907846698130406,-78.89139418466317,NIAGARA,District B,69.01,2,2005,UNKNOWN
200701036RIV,01/03/2007,RIV,1996,FORD,,NY,11 LIVINGSTON,Buffalo,NY,14213,IL,ILLEGAL VEHICLE,"(42.915774542732, -78.883341075621)",42.915774542731874,-78.8833410756214,NIAGARA,District D,65.01,2,2007,UNKNOWN
2017052212DPE,05/22/2017,DPE,,MINI,,,74 MIDWAY,Buffalo,NY,14215,IL,ILLEGAL VEHICLE,"(42.93867759970905, -78.81455632265252)",42.93867759970905,-78.81455632265252,MASTEN,District E,42,1,1002,UNKNOWN
20150129600SBA,01/29/2015,SBA,0,FORD,,NY,ECMC RAMP,Buffalo,NY,,IM,IMPOUNDED,,,,,,,,,UNKNOWN
200701037JMA,01/03/2007,JMA,1993,ACUR,,NY,393 PLYMOUTH,Buffalo,NY,14213,IL,ILLEGAL VEHICLE,"(42.90784669813, -78.891394184663)",42.907846698130406,-78.89139418466317,NIAGARA,District B,69.01,2,2005,UNKNOWN
200701038DPE,01/03/2007,DPE,1996,SAAB,,NY,456 WEST FERRY,Buffalo,NY,14213,IL,ILLEGAL VEHICLE,"(42.904276752491, -78.889864863772)",42.90427675249123,-78.88986486377215,NIAGARA,District B,69.02,3,3003,UNKNOWN
200701039RIV,01/03/2007,RIV,1988,VOLV,,NY,163 BIDWELL,Buffalo,NY,14222,AB,ABANDONED VEHICLE,"(42.923624532563, -78.876315030464)",42.92362453256281,-78.87631503046384,DELAWARE,District D,63.02,2,2003,UNKNOWN
2007010410RON,01/04/2007,RON,2005,MAZD,,NY,749 ASHLAND,Buffalo,NY,14222,IP,ILLEGALLY PARKED,"(42.92547147362, -78.878254022461)",42.92547147362011,-78.87825402246088,DELAWARE,District D,63.01,1,1003,UNKNOWN
2007010411RIV,01/04/2007,RIV,2000,SATU,,NY,36 LIVINGSTON,Buffalo,NY,14213,IP,ILLEGALLY PARKED,"(42.916484969228, -78.883513728877)",42.916484969228165,-78.88351372887719,NIAGARA,District D,65.01,3,3004,UNKNOWN
2007010412RIV,01/04/2007,RIV,2005,FORD,,NY,156 KENMORE,Buffalo,NY,14214,ST,STOLEN VEHICLE,"(42.958017557058, -78.823526526047)",42.95801755705781,-78.82352652604737,UNIVERSITY,District E,46.01,3,3003,UNKNOWN
2007010414RIV,01/04/2007,RIV,2005,CHEV,,NY,MAIN/UTICA,Buffalo,NY,14209,AI,ACCIDENT,"(42.9112489537, -78.865913038943)",42.91124895370046,-78.86591303894288,ELLICOTT,District E,66.02,3,3000,UNKNOWN
2007010415DPE,01/04/2007,DPE,1987,MERC,,NY,MAY/DOAT,Buffalo,NY,14211,IL,ILLEGAL VEHICLE,"(42.909757973484, -78.816807985626)",42.90975797348381,-78.81680798562563,FILLMORE,District C,36,3,3008,UNKNOWN
2007010416DPE,01/04/2007,DPE,1997,CHRY,,NY,1225 BROADWAY,Buffalo,NY,14212,IL,ILLEGAL VEHICLE,"(42.894700510741, -78.829574533861)",42.8947005107406,-78.82957453386118,FILLMORE,District C,16,2,2012,UNKNOWN
2007010417DPE,01/04/2007,DPE,1995,CADI,,NY,HERTEL/COLVIN,Buffalo,NY,14216,IL,ILLEGAL VEHICLE,"(42.947729013746, -78.858969022194)",42.94772901374583,-78.85896902219352,DELAWARE,District D,49,2,2003,UNKNOWN
200701041DPE,01/04/2007,DPE,1997,GMC,,NY,ONTARIO/COPELAND,Buffalo,NY,14207,IL,ILLEGAL VEHICLE,"(42.950260964506, -78.903261958238)",42.95026096450637,-78.90326195823796,NORTH,District D,57,3,3010,UNKNOWN
200701042DPE,01/04/2007,DPE,1994,DODG,,NY,593 TONAWANDA ST,Buffalo,NY,14207,IL,ILLEGAL VEHICLE,"(42.945035474088, -78.901317268564)",42.945035474087554,-78.90131726856362,NORTH,District D,57,1,1011,UNKNOWN
200701043DPE,01/04/2007,DPE,1997,FORD,,NY,DEER/HERTEL,Buffalo,NY,14207,IL,ILLEGAL VEHICLE,"(42.945492011935, -78.893459979727)",42.94549201193542,-78.8934599797266,NORTH,District D,56,4,4006,UNKNOWN
200701044DPE,01/04/2007,DPE,1996,CHRY,,NY,CLINTON/MADISON,Buffalo,NY,14206,IL,ILLEGAL VEHICLE,"(42.881674033103, -78.85288500423)",42.881674033102726,-78.85288500422966,ELLICOTT,District C,15,1,1012,UNKNOWN
200701045GAR,01/04/2007,GAR,1998,NISS,,NY,419 CRESCENT,Buffalo,NY,14214,IP,ILLEGALLY PARKED,"(42.93877470779, -78.845565011397)",42.938774707790074,-78.84556501139664,DELAWARE,District D,52.01,2,2001,UNKNOWN
200701046GAR,01/04/2007,GAR,1998,PLYM,,NY,49 POTOMAC,Buffalo,NY,14213,IP,ILLEGALLY PARKED,"(42.924067904373, -78.897223747198)",42.9240679043726,-78.8972237471978,NIAGARA,District D,171,1,1019,UNKNOWN
200701047GAR,01/04/2007,GAR,1996,PONT,,NY,81 ARDMORE,Buffalo,NY,14213,IP,ILLEGALLY PARKED,"(42.921196724866, -78.882317198672)",42.92119672486625,-78.88231719867244,NIAGARA,District D,63.01,3,3003,UNKNOWN
200701048RIV,01/04/2007,RIV,2006,CHEV,,NY,558 BIRD,Buffalo,NY,14222,IP,ILLEGALLY PARKED,"(42.926091968865, -78.878207048936)",42.926091968864554,-78.87820704893619,DELAWARE,District D,63.01,1,1000,UNKNOWN
200701049RIV,01/04/2007,RIV,1996,JEEP,,NY,168 WALDEN,Buffalo,NY,14211,ST,STOLEN VEHICLE,"(42.903600158396, -78.829966738688)",42.903600158395705,-78.82996673868757,FILLMORE,District C,35,1,1007,UNKNOWN
200701051DPE,01/05/2007,DPE,1992,MAZD,,NY,140 RICHMOND,Buffalo,NY,14213,IL,ILLEGAL VEHICLE,"(42.906124044751, -78.881989759119)",42.906124044750804,-78.88198975911894,NIAGARA,District B,67.01,2,2007,UNKNOWN
200701053RIV,01/05/2007,RIV,1987,GMC,,NY,100 BRADLEY,Buffalo,NY,14213,IL,ILLEGAL VEHICLE,"(42.930034648689, -78.890206263593)",42.930034648689244,-78.89020626359277,NORTH,District D,171,5,5002,UNKNOWN
200701054DPE,01/05/2007,DPE,1999,DODG,,NY,FILLMORE/SYCAMORE,Buffalo,NY,14212,IL,ILLEGAL VEHICLE,"(42.897626964556, -78.839285011127)",42.89762696455607,-78.83928501112659,FILLMORE,District C,27.02,4,4002,UNKNOWN
200701055JMA,01/05/2007,JMA,91,ACUR,,NY,285 NIAGARA,Buffalo,NY,14201,AB,ABANDONED VEHICLE,"(42.892142493238, -78.883513447176)",42.89214249323782,-78.88351344717614,FILLMORE,District B,71.02,3,3006,UNKNOWN
2007010610DPE,01/06/2007,DPE,2005,FORD,,NY,10 AUCHINVOLE,Buffalo,NY,14213,AB,ABANDONED VEHICLE,"(42.917770077599, -78.892566276257)",42.91777007759946,-78.89256627625657,NIAGARA,District D,61,4,4005,UNKNOWN
2007010611DPE,01/06/2007,DPE,1994,HOND,,NY,DELAWARE/SANDERS,Buffalo,NY,14216,IL,ILLEGAL VEHICLE,"(42.956958960163, -78.869429949224)",42.956958960163064,-78.86942994922434,NORTH,District D,50,3,3006,UNKNOWN
2007010611RIV,01/06/2007,RIV,1998,FORD,,NY,STANNARD/ALABAMA,Buffalo,NY,14204,AB,ABANDONED VEHICLE,"(42.872553043548, -78.860206027659)",42.87255304354756,-78.86020602765947,FILLMORE,District A,164,2,2009,UNKNOWN
2007010612DPE,01/06/2007,DPE,1987,CHEV,,NY,158 CLARK,Buffalo,NY,14212,ST,STOLEN VEHICLE,"(42.890698183062, -78.836231033808)",42.890698183062376,-78.83623103380837,FILLMORE,District C,16,4,4006,UNKNOWN
2007010613DPE,01/06/2007,DPE,2001,PONT,,NY,172 HERKIMER,Buffalo,NY,14213,IL,ILLEGAL VEHICLE,"(42.917454572013, -78.89304839256)",42.91745457201302,-78.8930483925605,NIAGARA,District D,61,5,5003,UNKNOWN
2007010615DPE,01/06/2007,DPE,1996,FORD,,NY,457 PEARL,Buffalo,NY,14202,AI,ACCIDENT,"(42.891719992379, -78.873549825966)",42.891719992379336,-78.8735498259656,ELLICOTT,District B,165,1,1020,UNKNOWN
2007010616DPE,01/06/2007,DPE,1997,MERC,,NY,450 ELMWOOD,Buffalo,NY,14201,IL,ILLEGAL VEHICLE,"(42.896476253119, -78.876891380863)",42.89647625311912,-78.8768913808627,FILLMORE,District B,68,3,3009,UNKNOWN
2007010617RIV,01/06/2007,RIV,,,,,10 17TH,Buffalo,NY,14213,IM,IMPOUNDED,"(42.906749153341, -78.882262860714)",42.906749153341465,-78.88226286071365,NIAGARA,District B,67.01,2,2005,UNKNOWN
2007010618DPE,01/06/2007,DPE,2001,SATU,,NY,NIAGARA/VIRGINIA,Buffalo,NY,14201,IL,ILLEGAL VEHICLE,"(42.893412027617, -78.884782989032)",42.89341202761697,-78.88478298903235,ELLICOTT,District B,71.01,3,3009,UNKNOWN
2007010619RIV,01/06/2007,RIV,1999,JEEP,,NY,1365 BAILEY AVE,Buffalo,NY,14206,IL,ILLEGAL VEHICLE,"(42.891458119863, -78.814055783365)",42.89145811986313,-78.81405578336471,LOVEJOY,District C,24,5,5012,UNKNOWN
2007010620DPE,01/06/2007,DPE,1995,FORD,,NY,923 SYCAMORE,Buffalo,NY,14212,IL,ILLEGAL VEHICLE,"(42.898244867911, -78.837152084887)",42.89824486791057,-78.83715208488714,FILLMORE,District C,27.02,4,4002,UNKNOWN
2007010621DPE,01/06/2007,DPE,2000,HOND,,NY,63 CONDON,Buffalo,NY,14207,AI,ACCIDENT,"(42.9559117825, -78.904651928206)",42.95591178249997,-78.90465192820606,NORTH,District D,58.02,3,3000,UNKNOWN
2007010622DPE,01/06/2007,DPE,1997,LINC,,NY,NEWMAN/SENECA,Buffalo,NY,14210,IL,ILLEGAL VEHICLE,"(42.849508953486, -78.80291205538)",42.849508953485696,-78.80291205537989,SOUTH,District A,10,1,1007,UNKNOWN
200701066DPE,01/06/2007,DPE,1996,CHEV,,NY,165 GIBSON,Buffalo,NY,14212,IL,ILLEGAL VEHICLE,"(42.89012510341, -78.838020796447)",42.890125103409964,-78.83802079644721,FILLMORE,District C,16,4,4014,UNKNOWN
200701067DPE,01/06/2007,DPE,2001,MERC,,NY,314 DAVIDSON,Buffalo,NY,14215,AI,ACCIDENT,"(42.93739252887, -78.801775650025)",42.93739252887022,-78.80177565002454,UNIVERSITY,District E,44.01,4,4003,UNKNOWN
200701068DPE,01/06/2007,DPE,1997,BUIC,,NY,693 EAST FERRY,Buffalo,NY,14211,IL,ILLEGAL VEHICLE,"(42.914534429307, -78.836284156378)",42.91453442930668,-78.83628415637776,MASTEN,District C,34,4,4001,UNKNOWN
200701069JMA,01/06/2007,JMA,1996,FORD,,NY,DESCHLER/BROADWAY,Buffalo,NY,14212,AI,ACCIDENT,"(42.896286984032, -78.818965004797)",42.8962869840315,-78.81896500479662,FILLMORE,District C,24,2,2000,UNKNOWN
200701069RIV,01/06/2007,RIV,1995,IZUZ,,NY,514 E FERRY,Buffalo,NY,14208,IL,ILLEGAL VEHICLE,"(42.914740226368, -78.845218087071)",42.9147402263675,-78.84521808707116,MASTEN,District E,33.01,3,3007,UNKNOWN
200701072DPE,01/07/2007,DPE,2003,PONT,,NY,490 PEARL,Buffalo,NY,14202,IL,ILLEGAL VEHICLE,"(42.892651767424, -78.873401262251)",42.89265176742405,-78.87340126225084,ELLICOTT,District B,165,1,1008,UNKNOWN
200701073DPE,01/07/2007,DPE,1994,PONT,,NY,56 MANCHESTER,Buffalo,NY,14213,IP,ILLEGALLY PARKED,"(42.924993426166, -78.883137793299)",42.924993426165656,-78.88313779329927,NIAGARA,District D,63.01,4,4007,UNKNOWN
200701076RIV,01/07/2007,RIV,1997,GMC,,NY,1005 TIFFT,Buffalo,NY,14220,IL,ILLEGAL VEHICLE,"(42.846881129147, -78.822123878343)",42.84688112914727,-78.82212387834336,SOUTH,District A,8,1,1001,UNKNOWN
200701077DPE,01/07/2007,DPE,2000,FORD,,NY,454 PLYMOUTH,Buffalo,NY,14213,IL,ILLEGAL VEHICLE,"(42.909210482292, -78.892863040251)",42.90921048229208,-78.89286304025143,NIAGARA,District B,69.01,4,4001,UNKNOWN
2007010812RIV,01/08/2007,RIV,1995,FORD,,NY,STANNARD/ALABAMA,Buffalo,NY,14204,IL,ILLEGAL VEHICLE,"(42.872553043548, -78.860206027659)",42.87255304354756,-78.86020602765947,FILLMORE,District A,164,2,2009,UNKNOWN
2007010813DPE,01/08/2007,DPE,99,PONT,,NY,164 LATHROP,Buffalo,NY,14212,IL,ILLEGAL VEHICLE,"(42.899263948461, -78.8300020911)",42.899263948461275,-78.83000209109998,FILLMORE,District C,27.02,3,3001,UNKNOWN
2007010814DPE,01/08/2007,DPE,95,CHRY,,NY,291 S ELMWOOD,Buffalo,NY,14201,IL,ILLEGAL VEHICLE,"(42.893693380081, -78.877364403095)",42.89369338008107,-78.87736440309482,ELLICOTT,District B,165,1,1010,UNKNOWN
2007010815DPE,01/08/2007,DPE,95,PONT,,NY,113 ST LOUIS,Buffalo,NY,14211,IL,ILLEGAL VEHICLE,"(42.905991741027, -78.825177939759)",42.905991741026675,-78.82517793975931,FILLMORE,District C,29,4,4001,UNKNOWN
2007010816DPE,01/08/2007,DPE,6,CHEV,,NY,1001 HERTEL,Buffalo,NY,14216,IL,ILLEGAL VEHICLE,"(42.947715028328, -78.871223455622)",42.94771502832791,-78.87122345562238,NORTH,District D,50,1,1005,UNKNOWN
2007010817GAR,01/08/2007,GAR,,CHEV,,NY,SMITH/PADEREWSKI,Buffalo,NY,14212,GA,GONE ON ARRIVAL,"(42.889637030609, -78.844014001515)",42.889637030608526,-78.84401400151503,FILLMORE,District C,16,1,1004,UNKNOWN
200701081RIV,01/08/2007,RIV,1998,FORD,,NY,CLINTON/LEWIS,Buffalo,NY,14206,IL,ILLEGAL VEHICLE,"(42.877809039336, -78.834956008693)",42.87780903933551,-78.83495600869276,FILLMORE,District C,163,1,1001,UNKNOWN
200701082DPE,01/08/2007,DPE,2002,CHEV,,NY,11 HELEN,Buffalo,NY,14213,IL,ILLEGAL VEHICLE,"(42.920968135936, -78.894874098035)",42.92096813593558,-78.89487409803488,NIAGARA,District D,61,5,5000,UNKNOWN
200701083DPE,01/08/2007,DPE,2006,CADI,,NY,HERTEL/COLVIN,Buffalo,NY,14216,IL,ILLEGAL VEHICLE,"(42.947729013746, -78.858969022194)",42.94772901374583,-78.85896902219352,DELAWARE,District D,49,2,2003,UNKNOWN
200701084DPE,01/08/2007,DPE,1993,BUIC,,NY,ROTHERS/STANISLAUS,Buffalo,NY,14212,IL,ILLEGAL VEHICLE,"(42.897264045606, -78.831775956172)",42.89726404560609,-78.83177595617151,FILLMORE,District C,27.02,3,3002,UNKNOWN
200701086DPE,01/08/2007,DPE,1990,CHEV,,,771 BROADWAY,Buffalo,NY,14212,IL,ILLEGAL VEHICLE,"(42.891532662346, -78.845734042756)",42.89153266234552,-78.845734042756,FILLMORE,District C,15,2,2001,UNKNOWN
200701087RIV,01/08/2007,RIV,2006,LINC,,NY,16 SWAN,Buffalo,NY,14203,IL,ILLEGAL VEHICLE,"(42.881832604505, -78.875079392139)",42.88183260450534,-78.8750793921388,FILLMORE,District B,165,1,1100,UNKNOWN
200701088RIV,01/08/2007,RIV,,,,NY,1 DREXEL,Buffalo,NY,14214,IM,IMPOUNDED,"(42.930494464333, -78.839195604886)",42.93049446433346,-78.83919560488647,MASTEN,District E,40.01,4,4011,UNKNOWN
2007010910RON,01/09/2007,RON,2000,CHEV,,NY,50 DELAWARE,Buffalo,NY,14202,IL,ILLEGAL VEHICLE,"(42.885085004546, -78.87864874861)",42.88508500454633,-78.87864874860958,ELLICOTT,District B,165,1,1067,UNKNOWN
2007010911RON,01/09/2007,RON,1995,CHEV,,NY,403 POTOMAC,Buffalo,NY,14213,IP,ILLEGALLY PARKED,"(42.924056670404, -78.884303842589)",42.92405667040448,-78.8843038425887,NIAGARA,District D,63.01,3,3000,UNKNOWN
2007010912JMA,01/09/2007,JMA,1994,CHEV,,NY,8 GOODRICH,Buffalo,NY,14203,IP,ILLEGALLY PARKED,"(42.901355482477, -78.86899457222)",42.901355482476916,-78.86899457222017,ELLICOTT,District B,31,4,4005,UNKNOWN
2007010913DPE,01/09/2007,DPE,1997,FORD,,NY,1452 BAILEY AVE,Buffalo,NY,14206,IL,ILLEGAL VEHICLE,"(42.893806786297, -78.814168440272)",42.89380678629674,-78.81416844027159,LOVEJOY,District C,24,5,5008,UNKNOWN
2007010915GAR,01/09/2007,GAR,1996,PONT,,NY,27 SIDNEY,Buffalo,NY,14211,IP,ILLEGALLY PARKED,"(42.916257298184, -78.842019635488)",42.91625729818441,-78.84201963548803,MASTEN,District E,34,3,3006,UNKNOWN
2007010916DPE,01/09/2007,DPE,1996,HOND,,NY,NORMAL/HAMPSHIRE,Buffalo,NY,14213,IL,ILLEGAL VEHICLE,"(42.912076965175, -78.893801938127)",42.91207696517465,-78.89380193812664,NIAGARA,District B,69.01,3,3001,UNKNOWN
200701091DPE,01/09/2007,DPE,96,OLDS,,NY,1345 BAILEY,Buffalo,NY,14206,IL,ILLEGAL VEHICLE,"(42.890769583209, -78.814068785311)",42.89076958320947,-78.81406878531119,LOVEJOY,District C,24,5,5013,UNKNOWN
200701092DPE,01/09/2007,DPE,94,PONT,,NY,2040 NIAGARA ST,Buffalo,NY,14207,IL,ILLEGAL VEHICLE,"(42.93953119907, -78.904903978355)",42.93953119907017,-78.9049039783553,NORTH,District D,59,3,3009,UNKNOWN
200701093DPE,01/09/2007,DPE,93,SATU,,NY,1001 HERTEL,Buffalo,NY,14216,IL,ILLEGAL VEHICLE,"(42.947715028328, -78.871223455622)",42.94771502832791,-78.87122345562238,NORTH,District D,50,1,1005,UNKNOWN
200701094DPE,01/09/2007,DPE,1993,CHEV,,NY,MILLS /C STREET,Buffalo,NY,14211,IL,ILLEGAL VEHICLE,"(42.899060990479, -78.836622053087)",42.89906099047885,-78.8366220530871,FILLMORE,District C,27.02,2,2001,UNKNOWN
200701094JMA,01/09/2007,JMA,88,JEEP,,NY,50 CALIFORNIA,Buffalo,NY,14213,AI,ACCIDENT,"(42.913678946652, -78.895551204221)",42.91367894665202,-78.89555120422087,NIAGARA,District B,61,3,3010,UNKNOWN
200701095DPE,01/09/2007,DPE,4,MITS,,NY,1001 HERTEL,Buffalo,NY,14216,IL,ILLEGAL VEHICLE,"(42.947715028328, -78.871223455622)",42.94771502832791,-78.87122345562238,NORTH,District D,50,1,1005,UNKNOWN
200701096JMA,01/09/2007,JMA,0,PONT,,NY,1001 HERTEL,Buffalo,NY,14216,IL,ILLEGAL VEHICLE,"(42.947715028328, -78.871223455622)",42.94771502832791,-78.87122345562238,NORTH,District D,50,1,1005,UNKNOWN
200701097DPE,01/09/2007,DPE,97,CHEV,,NY,87 KINGSTON,Buffalo,NY,14210,IL,ILLEGAL VEHICLE,"(42.853314155959, -78.809784700309)",42.85331415595921,-78.80978470030924,SOUTH,District A,10,3,3002,UNKNOWN
200701099JMA,01/09/2007,JMA,,MITS,,OK,22 LANCASTER,Buffalo,NY,14222,IL,ILLEGAL VEHICLE,"(42.919400809128, -78.868953532332)",42.91940080912786,-78.86895353233206,DELAWARE,District D,169,1,1001,UNKNOWN
2007011011JMA,01/10/2007,JMA,97,HYUN,,NY,116 HIGH ST,Buffalo,NY,14203,IP,ILLEGALLY PARKED,"(42.900376173455, -78.865001659085)",42.90037617345532,-78.86500165908504,ELLICOTT,District B,31,4,4008,UNKNOWN
2007011012DPE,01/10/2007,DPE,1995,CHEV,,NY,888 E EAGLE,Buffalo,NY,14210,IL,ILLEGAL VEHICLE,"(42.878652907026, -78.8421965555)",42.87865290702584,-78.8421965555004,FILLMORE,District C,17,2,2020,UNKNOWN
2007011013DPE,01/10/2007,DPE,1993,HOND,,NY,121 MASSACHUSETTES,Buffalo,NY,14213,IL,ILLEGAL VEHICLE,"(42.908460862455, -78.896179246111)",42.908460862454994,-78.89617924611052,NIAGARA,District B,70,1,1010,UNKNOWN
2007011014RIV,01/10/2007,RIV,1997,CADI,,NY,KERNS/GENESEE ST,Buffalo,NY,14211,AB,ABANDONED VEHICLE,"(42.915775993198, -78.805882019366)",42.91577599319778,-78.80588201936554,LOVEJOY,District E,37,2,2001,UNKNOWN
2007011015DPE,01/10/2007,DPE,1991,TOYO,,NY,586 MARILLA,Buffalo,NY,14220,IL,ILLEGAL VEHICLE,"(42.837233887513, -78.819059465624)",42.83723388751275,-78.81905946562382,SOUTH,District A,6,2,2005,UNKNOWN
